"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"deezer";"spotify"
"Steep Pulse";"Reggae in a Babylon";"Klu Klux Klan (live)";1978;"ODEON";1711982425;1711982711;;"https://www.deezer.com/track/10759619";
"Phyllis Dillon";"Yesterday/ 16 Beatles reggae classics";"Something";1972;"TROJAN RECORDS";1711982710;1711982920;"https://music.apple.com/fr/album/something/1552675198?i=1552675467&uo=4";"https://www.deezer.com/track/642398922";"https://open.spotify.com/track/4FeXBe8FQqkzlOsYi9VEaI"
"Carl Dawkins";"Mr Satisfaction / Vol. 2";"Why oh why";1970;"PATATE RECORDS";1711982918;1711983117;;;
"Sylvia Tella";"Lovers Rock";"Spell (7"""" mix)";1981;"SANCTUARY RECORDS GROUP";1711983116;1711983360;;;
"Wingless Angels";"Wingless angels / Vol. I & II";"Write my name / Good morning";1995;"MINDLESS RECORDS";1711983353;1711983734;;;
"Some Dub Stories";"Chapter one";"Mafagians";2023;"TAKE IT EASY AGENCY / ALPINE RECORDS";1711983735;1711984024;"https://music.apple.com/fr/album/mafagians/1682082652?i=1682082654&uo=4";;"https://open.spotify.com/track/6Eh9rscImDLFhX9IkxgeK6"
"Vanupie";"Dreamtime";"Wonder";2023;"SHOESTRING RECORDS / BACO RECORDS";1711984023;1711984277;;"https://www.deezer.com/track/2242582637";"https://open.spotify.com/track/38zgeaytT91o3BdjkvvaXX"
"Djeuhdjoah & Lieutenant Nicholson";"Aimez ces airs";"Attache";2019;"HOT CASA / BIG WAX / PUSHER";1711984277;1711984489;"https://music.apple.com/fr/album/attache/1449979804?i=1449980015&uo=4";;
"Me And My Friends";"Hide your way";"Leave my bones";2016;"SOUNDWAY RECORDS";1711984486;1711984778;"https://music.apple.com/fr/album/leave-my-bones/1611595079?i=1611595649&uo=4";"https://www.deezer.com/track/1666120982";"https://open.spotify.com/track/1mrXdcGosNhpPCgDVQympi"
"Chab Hamouda";"A moi la liberté - Early electronic rai (Algerie - 1983-1990)";"Zahri mate";1986;"BORN BAD RECORDS";1711984774;1711985111;;;
"The Baba Brooks Band";"The Skatalites : Essential artist collection";"Donkey city";1964;"BODY & SOUL (BLUES/JAZZ-IMPORT)";1711985105;1711985271;;;
"Jimmy Cliff";"Sound system : the story of jamaican music / CD1";"Dearest Beverley";2012;"ISLAND";1711985270;1711985429;;"https://www.deezer.com/track/140778135";
"Stand High Patrol";"The shift";"News from 2083";2017;"STAND HIGH RECORDS";1711985430;1711985624;"https://music.apple.com/fr/album/news-from-2083/1229170695?i=1229170720&uo=4";"https://www.deezer.com/track/486392782";"https://open.spotify.com/track/465BcyLnCo3waRTNP5EgiO"
"Malted Milk";"Love, tears & guns";"Children of the world";2019;"DAYDREAM";1711985624;1711985880;"https://music.apple.com/fr/album/children-of-the-world/1462625530?i=1462625544&uo=4";;"https://open.spotify.com/track/3pGqs89cEQJ0srihvPxUmR"
"The Haggis Horns";"Stand up for love";"Stand up for love (feat. John McCallum)";2020;"HAGGIS RECORDS";1711985879;1711986226;"https://music.apple.com/fr/album/stand-up-for-love-feat-john-mccallum/1505760894?i=1505760900&uo=4";;"https://open.spotify.com/track/6IuVugiDpLLVJoOZWtMAdu"
"Jah Jazz Orchestra";"Introducing Jah Jazz Orchestra";"The mystery song";2020;"BRIXTON RECORDS";1711986226;1711986468;"https://music.apple.com/fr/album/the-mystery-song/1535804482?i=1535805282&uo=4";"https://www.deezer.com/track/1108803612";"https://open.spotify.com/track/6nGJpVpsATbXDNpDBV1nbp"
"Marcus Gad";"Rhythm of serenity";"Pouvoir";2020;"LUSTRE KINGS";1711986462;1711986748;;"https://www.deezer.com/track/1030373772";"https://open.spotify.com/track/2bh9GiserB9FJGue2qBSRN"
"The Pioneers";"Nova classics three";"Papa was a rolling stone";1973;"WAGRAM";1711986746;1711987028;;;
"Paul Simon";"The Paul Simon - anthology";"Mother and child reunion";1972;"WARNER";1711987026;1711987197;"https://music.apple.com/fr/album/mother-and-child-reunion/380625640?i=380625646&uo=4";;"https://open.spotify.com/track/5vZ1BKMSLgrxxPYGMR904n"
"Aggrovators Meet Prince Phillip";"The Rough Guide to dub/Original dub masters:birthplace of modern dance music";"Satta dread dub";2005;"WORLD MUSIC NETWORK";1711987199;1711987351;;;
"Bost";"Warrior brass";"Dreamcatcher riddim";2021;"THE BOMBIST";1711987350;1711987572;;;
"Dennis Brown";"Love's gotta hold on me";"Your man";;"VP MUSIC";1711987569;1711987799;"https://music.apple.com/fr/album/your-man/368607276?i=368607450&uo=4";"https://www.deezer.com/track/8074966";"https://open.spotify.com/track/5Lg8c9ONrsqCQS0za5MBbe"
"Marcia Griffiths";"Melody Life";"Stepping out a babylon";2007;"VPR RECORDS";1711987791;1711988033;;"https://www.deezer.com/track/63398596";"https://open.spotify.com/track/2uKdu5wX0KmdSa9VNEAL2R"
"Page One And The Observer";"Deep roots observer style";"Love in the land";;"VP MUSIC";1711988026;1711988231;;;
"Pablo Master";"A l'aube de l'an 2000";"Ragga o micro";1996;"DECLIC";1711988230;1711988454;;;
"Tommy Mac Cook";"Dubbing with horses";"Dub creation";2011;"JAMAICAN RECORDINGS";1711988448;1711988673;;;
"Mystically";"Iration";"Jah bless";2020;"AUTO PRODUCTION";1711988670;1711988916;"https://music.apple.com/fr/album/jah-bless/1538772427?i=1538772623&uo=4";"https://www.deezer.com/track/1131255942";"https://open.spotify.com/track/6v4jZMO56ZC1bWf9HgLWrd"
"Youthie & Macca Dread";"The roots explorers";"Dub in abbesses";2022;"YOUTHIE RECORDS";1711988916;1711989246;;;
