"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"itunes";"deezer"
"Summer Pearl";"Outmysystem";"Green Eyes";2023;"KITTO RECORDS";1704043923;1704044127;"https://open.spotify.com/track/0xHKCllx7cjjwqfuQoEhpX";;
"Surprise Chef";"Education & recreation";"Spring's theme";2022;"BIG CROWN";1704044126;1704044457;"https://open.spotify.com/track/6cF8Z623V1z9sovxUEdWYW";"https://music.apple.com/fr/album/springs-theme/1633665943?i=1633666576&uo=4";
"Etta James";"At last";"My heart cries";1960;"CHESS";1704044353;1704044506;;;"https://www.deezer.com/track/1528299202"
"Drugdealer";"Hiding in plain sight";"New fascination";2022;"MEXICAN SUMMER";1704044505;1704044704;"https://open.spotify.com/track/4wugx5UcJaefwqsrqfRmDK";;
"L'Imperatrice";"Hématome";"Hématome";2021;"MICROQLIMA";1704044703;1704044918;"https://open.spotify.com/track/1F2JdXzAJRfCYNhIelTuVU";"https://music.apple.com/fr/album/h%C3%A9matome/1545197529?i=1545197977&uo=4";"https://www.deezer.com/track/1180108692"
"The High Llamas";"Cold and bouncy";"Glide time";1998;"V2";1704044810;1704045185;"https://open.spotify.com/track/6MYwf9n23aBDTyWJypSbWS";;
"Darwin Experience";"Stroke my hair";"Stroke my hair";2022;"ALTER K";1704045185;1704045400;"https://open.spotify.com/track/4xwsl9onnQQmxbY8TwMy5F";"https://music.apple.com/fr/album/stroke-my-hair/1655886724?i=1655886725&uo=4";
"CVC";"Get real";"Hail Mary";2023;"CVC RECORDINGS";1704045399;1704045641;"https://open.spotify.com/track/0HVC4TI9SHqx0c8LrIQPj9";"https://music.apple.com/fr/album/hail-mary/1645173433?i=1645173969&uo=4";"https://www.deezer.com/track/1913492587"
"June Christy";"Something cool";"Kicks";1955;"( CAPITOL (ET PM )";1704045725;1704045852;;"https://music.apple.com/fr/album/kicks/724521603?i=724522090&uo=4";"https://www.deezer.com/track/944110632"
"Michel Legrand (Compositeur)";"Both sides now";"Cléo de 5 à 7 (film) : Sans toi";2011;"BIS";1704045851;1704046122;;;
"Samara Joy";"Linger awhile (Edition deluxe)";"I'M GONNA LOCK MY HEART (AND THROW AWAY THE KEY)";2023;"VERVE";1704045851;1704046055;"https://open.spotify.com/track/1f9APkh4hjVx7H3inu8z0f";"https://music.apple.com/fr/album/im-gonna-lock-my-heart-and-throw-away-the-key/1686503032?i=1686503304&uo=4";
"Jeremy Pelt";"The art of intimacy / Vol. 2: His muse";"Slow hot wind";2023;"HIGHNOTE RECORDS";1704046050;1704046365;"https://open.spotify.com/track/5KLuxrGo0LBcyGvGj3NKai";"https://music.apple.com/fr/album/slow-hot-wind/1663963635?i=1663964071&uo=4";"https://www.deezer.com/track/2101811857"
"Bo/La Panthere Rose";"BOF / La panthére rose";"Champagne and quail";1964;"RCA";1704046362;1704046533;;;
"Gary Mcfarland";"The in sound";"Bloop bleep";1965;"VERVE";1704046525;1704046669;"https://open.spotify.com/track/0z133mavJxhx7Q1LVpKjJw";;
"Gheorghe Zamfir";"Bof / Le grand blond avec une chaussure noire & le retour du grand blond";"Sirba";1972;"SONY";1704046525;1704046647;"https://open.spotify.com/track/4g4DJINNUWXeUQ9ehBDEbA";;
"Nicholas Thomas";"Plays the music of Hank Jones";"Minor conception";2021;"FRESH SOUND";1704046668;1704046854;"https://open.spotify.com/track/4LJNyerqCgnHZ3OgVBjwnC";;
"Jon Hendricks";"Fast livin' blues";"Stop and go blues";1962;"PHONO";1704046847;1704047115;;;
"Snorre Kirk & Stephen Riley";"Going up";"Bright and early";2021;"STUNT RECORDS";1704047047;1704047228;;"https://music.apple.com/fr/album/bright-and-early/1552840208?i=1552840223&uo=4";
"Paul Gonsalves";"Tell It The Way It Is";"Body And Soul";1963;"VERVE";1704047227;1704047551;"https://open.spotify.com/track/2FGkQfM3mgUEb39Xc2FNM0";"https://music.apple.com/fr/album/body-and-soul/1442898546?i=1442898837&uo=4";
"Benny Golson";"Free";"You're my thrill";1961;"CHESS@";1704047579;1704047674;;;
"Caetano Veloso";"A foreign sound";"Love for sale";2004;"UNIVERSAL";1704047673;1704047829;"https://open.spotify.com/track/4aLNSp3sbJkl1W1wRsLwro";"https://music.apple.com/fr/album/love-for-sale/1443305025?i=1443305174&uo=4";"https://www.deezer.com/track/44576011"
"No Strings Sextet";"No Strings / The Sound of Music";"Love makes the world go round";1962;"Fresh Sound";1704047828;1704047970;;;
"Lorez Alexandria";"Lorez Alexandria on King 1957-1959";"Dancing on the ceiling";1955;"FRESH SOUND";1704047969;1704048153;;;
"Umlaut Big Band";"Mary's ideas";"Kaycee : The count";2021;"UMLAUT RECORDS";1704048152;1704048364;;;
"Frank Sinatra & Count Basie";"An historic musical first";"Looking at the world thru rose colored glasses";1962;"REPRISE RECORDS";1704048363;1704048511;;;
"Aldo Romano";"Because of Bechet";"Petite fleur";2002;"EMARCY";1704048510;1704048816;;"https://music.apple.com/fr/album/petite-fleur/1443309635?i=1443309855&uo=4";
"Pierrick Pedron & Gonzalo Rubalcaba";"Pédron Rubalcaba";"Si tu vois ma mère";2023;"GAZEBO";1704048813;1704049165;;;
"Anita O Day";"Anita O'Day sings the winners";"Blue champagne";1963;"VERVE";1704049157;1704049311;;;
"Les McCann";"Talkin' Verve";"Little Freak";1998;"Verve";1704049311;1704049425;"https://open.spotify.com/track/6GOuFkPuBoQ6IN3GW6F07C";"https://music.apple.com/fr/album/little-freak/1443287096?i=1443287612&uo=4";
"Les Mccann";"Talkin' Verve";"Compared to what?";1966;"Verve";1704049424;1704049574;;;
"Michel Legrand (Compositeur)";"Both sides now";"Cléo de 5 à 7 (film) : Sans toi";2011;"BIS";1704049810;1704050015;;;
"Gheorghe Zamfir";"Bof / Le grand blond avec une chaussure noire & le retour du grand blond";"Sirba";1972;"SONY";1704050384;1704050506;"https://open.spotify.com/track/4g4DJINNUWXeUQ9ehBDEbA";;
"Danny Kaye";"Danny Kaye sings Hans Christian Andersen & other favourites / Vol.3";"The Woody Woodpecker song";1948;"PICKWICK";1704050516;1704050644;;;
"Ralph Holmes";"Bof / Barry Lyndon";"Trio en Mi bémol Maj op 100 D 929 : Andante con moto - pour piano violon et violoncelle";1975;"Warner Bros";1704050960;1704051105;;;
"The Carpenters";"Close to you";"Close to you";1970;"A&M RECORDS";1704051329;1704051597;;;
"J.B DUNCKEL";;"J.B DUNCKEL / BLOOD PIZZA / B.O NORMALE";;;1704051446;1704051791;;;
"Genesis";"From Genesis to revelation";"In hiding";2014;"NOT BAD RECORDS";1704051793;1704051954;;;"https://www.deezer.com/track/1625974222"
"April Orchestra";"April orchestra : musique pour radio TV";"Le piano d'Estelle";1974;"APRIL";1704051951;1704052078;;;
"Les McCann";"Nova / Le spectacle commence à 8h exactement / Vol. 21";"Compared to what";1969;"SONY";1704052664;1704053177;;;"https://www.deezer.com/track/510162862"
"Fred Pallem & Le Sacre Du Tympan";"Cartoons";"Super Mario Bros";2017;"TRAIN FANTOME";1704053145;1704053368;;;
"Claudja Barry";"Mellow mellow - Original smooth grooves & chilled beats";"Love for the sake of love";1976;;1704053176;1704053490;;;
"Montell Jordan";"BOF / Save the last dance";"Get it on tonite";2000;"HOLLYWOOD RECORDS";1704053490;1704053765;"https://open.spotify.com/track/74R8HMfpQSOpb3SWAnUKl6";;"https://www.deezer.com/track/107351294"
"Louis Armstrong";"The great entertainer";"What a wonderful world";1967;"EMI";1704053763;1704053899;;"https://music.apple.com/fr/album/what-a-wonderful-world-single-version/1434925400?i=1434925921&uo=4";
"Sinfonia De Londres";"BOF TV / Les feux de l'amour (The young and the restless)";"The Young and the Restless : Theme from The Young and the Restless"""" (""""Lost"""") Long Version";1998;"CPT HOLDINGS";1704053898;1704054104;;;
"Baccara";"Yes sir I can boogie";"Yes sir I can boogie";1977;"RCA";1704054097;1704054369;;"https://music.apple.com/fr/album/yes-sir-i-can-boogie/210479029?i=210479035&uo=4";
"Queen & David Bowie";"Hot space";"Under pressure";1981;"UNIVERSAL MUSIC (LABEL & DISTRIBUTEUR)";1704054368;1704054610;;;
"Demon Fuzz";"Afreaka!";"Disillusioned man";1971;"SANCTUARY RECORDS";1704054600;1704054896;;;
"UB40";"The very best of UB40 1980-2000";"Food for thought";1980;"VIRGIN RECORDS";1704054895;1704055142;"https://open.spotify.com/track/5YkkeIiErNf2ckvMxmT5RT";;
"Orchestre Des Sapeurs Pompiers Des Yvelines";"Sax... j'écoute !";"West side story : I feel pretty";2004;"JUPITER";1704055139;1704055318;;;
"Dalida";"Les plus grands duos";"Paroles, paroles";1973;"CHARLES TALAR";1704055316;1704055560;;;
"Busta Rhymes";"It Ain't Safe No More...";"I know what you want";2002;"J RECORDS";1704055557;1704055848;;;"https://www.deezer.com/track/570905532"
"Sababa 5";"Popcorn / The bird song";"The bird song";2022;"BATOV RECORDS";1704055844;1704056001;"https://open.spotify.com/track/2bmIXr2nKhgghaHarvbkVv";"https://music.apple.com/fr/album/the-bird-song/1622173806?i=1622173808&uo=4";
"Adriano Celentano";"Antologia vol 2 (1966-1975)";"Prisencolinensinainciusol";1973;"CLAN";1704056000;1704056229;;;
"Fred Pallem & Le Sacre Du Tympan";"Cartoons";"Super Mario Bros";2017;"TRAIN FANTOME";1704056031;1704056254;;;
"Stevie Wonder";"Song Review / A greatest hits collection";"Isn't she lovely";;"MOTOWN";1704056226;1704056401;"https://open.spotify.com/track/3NlLmKBJozwoi0k03Feb1N";"https://music.apple.com/fr/album/isnt-she-lovely/1440788438?i=1440788554&uo=4";
"Fred Pallem & Le Sacre Du Tympan";"Cartoons";"Super Mario Bros";2017;"TRAIN FANTOME";1704056400;1704056625;;;
"Etienne Daho";"La notte, la notte";"Week-end à rome";1984;"VIRGIN";1704056647;1704056899;"https://open.spotify.com/track/0hMUcAdD9QT8apFfjv26A5";;
"The Kinks";"Greatest hits";"All day and all of the night";1964;"RHINO RECORDS";1704056893;1704057034;"https://open.spotify.com/track/1mfV2kv9RwFKVI8kEQlmOJ";"https://music.apple.com/fr/album/all-day-and-all-of-the-night/1143692008?i=1143692054&uo=4";
"The Honeymoon Killers";"Les Tueurs de la lune de miel";"Histoire à suivre";1981;"CRAMMED DISCS";1704057033;1704057217;"https://open.spotify.com/track/28266UrLENtPQ18qXEPD53";;
"Art Of Noise";"The best of the Art of noise (Art works 7'')";"Peter gunn";1986;"WEA";1704057210;1704057319;;;
"Otis Redding";"The very best of Otis Redding";"My girl";1965;"ATLANTIC";1704057322;1704057495;"https://open.spotify.com/track/5zQyqgNXKzhifkivumzxDS";;"https://www.deezer.com/track/2671772972"
"Quantic Presenta Flowering Inferno";"Dog with a hope (Quantic presenta Flowering inferno)";"Cumbia sobre el mar";2010;"TRU THOUGHTS";1704057491;1704057862;;;
"Manu Chao";"Esperanza";"Me gustas tu";2001;"VIRGIN";1704057853;1704058094;"https://open.spotify.com/track/6b37xrsNCWYIUphFBazqD6";"https://music.apple.com/fr/album/me-gustas-t%C3%BA/726124221?i=726124491&uo=4";
