"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"spotify";"deezer"
"Nina Simone";"Feeling good - The very best of";"See-Line woman";"1964";"Mercury";1735268653;1735268800;"https://music.apple.com/fr/album/see-line-woman/1426021626?i=1426021728&uo=4";"https://open.spotify.com/track/2vyIoVK6ggvXVNEvmIt1vs";"https://www.deezer.com/track/2144435567"
"La Feline";"Tarbes";"La route de Pau";"2022";"KWAIDAN";1735268797;1735268904;;"https://open.spotify.com/track/1ieRotDaVNiRQlLt0t5YWR";"https://www.deezer.com/track/1871514147"
"Petite-Vallee";"Couleurs";"Couleurs";"2024";"AUTOPRODUCTION";1735268901;1735269173;"https://music.apple.com/fr/album/couleurs/1770556675?i=1770556683&uo=4";"https://open.spotify.com/track/5P8xWFzv43U2m6kA9OXVkg";"https://www.deezer.com/track/3000775481"
"The Innocence Mission";"Midwinter swimmers";"John williams";"2024";"BELLA UNION";1735269170;1735269392;;"https://open.spotify.com/track/0aB7AARRbZeMqZXAy0KcBM";"https://www.deezer.com/track/2938818201"
"John Williams";"B.o.f./Maman j'ai raté l'avion / Home alone";"Home Alone main title";"1990";"CBS";1735269390;1735269679;;;
"Binky Griptite & The Dee Kay S";"Binky Griptite Christmas single";"Stoned soul Christmas";"2011";"DAPTONE RECORDS";1735269685;1735269933;;;
"The Honey Drippers";"Impeach the president";"Impeach the President";"1973";"ALAGA RECORDS";1735269929;1735270132;"https://music.apple.com/fr/album/impeach-the-president/473092779?i=473092783&uo=4";"https://open.spotify.com/track/06IfNMdoVrWAizU8boYYCt";"https://www.deezer.com/track/1858875297"
"Kid Sundance";"Meer seconden";"Bre";"2024";"ILIAN TAPE";1735270127;1735270280;"https://music.apple.com/fr/album/bre/1770111424?i=1770111767&uo=4";;
"Joe Snow";"Elephants";"Elephants";"2024";"PANG PRODUCTIONS";1735270279;1735270457;;"https://open.spotify.com/track/79jvWvuf50YfVALd5dznQJ";
"Buffalo Springfield";"Box set";"For what it's worth";"1967";"VIRGIN";1735270465;1735270622;;;"https://www.deezer.com/track/3586842"
"Ghetto Brothers";"Power fuerza";"Girl from the moutain";"1969";"TRUTH & SOUL";1735270620;1735270884;;;
"Chucho Valdes";"The latin jazz sides";"Mambo influenciado";"2002";"YEMAYA";1735270881;1735271075;;;
"Zhang Liping";"Liping Zhang interpréte des airs d'opera";"La rondine : Chi il bel sogno di Doretta (Acte I) Air de Magda";"2008";"EMI";1735271073;1735271228;;;
"Kate Bollinger";"J’aime les filles";"J'aime les filles";"2023";"GHOSTLY INTERNATIONAL";1735271226;1735271417;"https://music.apple.com/fr/album/jaime-les-filles/1659658955?i=1659659128&uo=4";"https://open.spotify.com/track/6GiwLIxSRc3bEBaLj2RPjK";"https://www.deezer.com/track/2068502297"
"Beastie Boys";"Licensed to Ill";"Girls";"1986";"DEF JAM RECO";1735271421;1735271552;"https://music.apple.com/fr/album/girls/1440912031?i=1440912350&uo=4";"https://open.spotify.com/track/5h40ovzXu7rF7Giwb9oXYy";"https://www.deezer.com/track/1085494"
"Prince";"Parade";"Girls and boys";"1986";"PAISLEY";1735271552;1735271882;;;"https://www.deezer.com/track/2107381497"
"The New Mastersounds";"Renewable energy";"Chicago girl";"2018";"ONE NOTE RECORDS";1735271881;1735272135;"https://music.apple.com/fr/album/chicago-girl/1344927574?i=1344927778&uo=4";"https://open.spotify.com/track/3hwzhBQeR7T7jt16NL83YU";"https://www.deezer.com/track/460021132"
"Frank Liin";"Rhythm Section International";"Chemical Dub";"2024";"RHYTHM SECTION INTERNATIONAL";1735272159;1735272487;;;
"Iamddb";"Rasta pasta (feat. Masego)";"Rasta pasta (feat. Masego)";"2024";"WAEV ENTERTAINMENT";1735272484;1735272732;;;
"Tom Verlaine";"Warm and cool";"Sleepwalkin'";"1992";"ROUGHTRA";1735272721;1735272930;"https://music.apple.com/fr/album/sleepwalkin/41228966?i=41228981&uo=4";"https://open.spotify.com/track/07YfRl54arLMMwysdfAPve";"https://www.deezer.com/track/2765840841"
"Television";"Marquee moon";"Elevation";"1977";"ELEKTRA";1735272926;1735273226;;"https://open.spotify.com/track/1pimWzwUERYZbAFr5tL0Xl";
"NTM";"Paris sous les bombes";"Tout n'est pas si facile";"1995";"EPIC";1735273229;1735273518;;;
"Alcynoos & Parental";"Night shift";"Disoriented";"2024";"HHV RECORDS / AKROMEGALIE RECORDS";1735273506;1735273691;;;
"Emma-Jean Thackray";"Yellow";"Golden green";"2021";"MOVEMENTT";1735273688;1735273931;"https://music.apple.com/fr/album/golden-green/1556894279?i=1556894652&uo=4";;"https://www.deezer.com/track/1438272332"
"Lonnie Liston Smith & The Cosmic Echoes";"Visions of a  New World";"Summer nights";"1975";"BMG/RCA";1735273928;1735274233;;;
"Theodore Shapiro";"BOF TV / Severance - saison 1";"Main titles";"2022";"ENDEAVOR CONTENT";1735274237;1735274317;"https://music.apple.com/fr/album/main-titles/1608610102?i=1608610104&uo=4";"https://open.spotify.com/track/2dssT0G1eXmqLoNIzKEuxN";"https://www.deezer.com/track/1644141492"
"Renaissance";"Prologue";"Kiev";"1972";"ONE WAY UP RECORDS";1735274316;1735274771;"https://music.apple.com/fr/album/kiev/715822899?i=715823465&uo=4";"https://open.spotify.com/track/51aFFAg11GhQkgEWPnlwsS";"https://www.deezer.com/track/4622042"
"Bob Dylan";"The freewheelin'";"Blowin' in the wind";"1963";"S";1735274768;1735274933;;"https://open.spotify.com/track/18GiV1BaXzPVYpp9rmOg0E";"https://www.deezer.com/track/75768709"
"The Bongo Hop";"La pata coja";"Magica bonita";"2024";"UNDERDOG RECORDS";1735274936;1735275233;;"https://open.spotify.com/track/0vNSp9Yv3g8ucQnWlSb3kp";"https://www.deezer.com/track/2914895341"
"Taj Mahal";"Taj Mahal : Mkutano";"Zanzibar";"2004";"T&M";1735275230;1735275426;;;
"Kyana";"Luna";"Mauvais côté";"2023";"AUTOPRODUCTION";1735275421;1735275556;"https://music.apple.com/fr/album/mauvais-c%C3%B4t%C3%A9/1693083083?i=1693083086&uo=4";"https://open.spotify.com/track/2zub3kf0DswxQ4NNFKYrTb";"https://www.deezer.com/track/2179166077"
"Destiny's Child";"The writing´s on the wall";"Bills, bills, bills";"1999";"COLUMBIA";1735275554;1735275811;"https://music.apple.com/fr/album/bills-bills-bills/258513023?i=258513478&uo=4";"https://open.spotify.com/track/1Oi2zpmL81Q0yScF1zxaC0";"https://www.deezer.com/track/580889"
"Milton Floyd";"Compil. / Product placement breaks";"I am shadow";"1973";"PRODUCT PLACEMENT BREAKS";1735275823;1735275946;;;
"Smith And Burrows";"Funny looking angels";"As the snowflakes fall";"2011";"PIAS";1735275939;1735276149;;;
"Fleet Foxes";"Fleet foxes";"Your protector";"2008";"BELLA UNION";1735276146;1735276394;"https://music.apple.com/fr/album/your-protector/1211881401?i=1211881526&uo=4";"https://open.spotify.com/track/7pI54YxwZOSUa3yPNq8USf";"https://www.deezer.com/track/143462342"
"Daniel Villarreal";"Lados B";"Chicali outpost";"2023";"INTERNATIONAL ANTHEM";1735276388;1735276708;;"https://open.spotify.com/track/4RlBSOlY54non8Qzp9RIyQ";
"Sibusile Xaba";"Unlearning / Open letter to adoniah";"Liyabukwa";"2017";"CAPITAL ARTS";1735276708;1735276943;;;
"Moriarty Et Mama Rosin";"The Pigalle sessions (cd promo FIP)";"Calypso triste";"2013";"L AUTRE DISTRIBUTION";1735276942;1735277152;;;
"Ben Harper";"Fight for your mind";"Ground on down";"1995";"VIRGIN";1735277150;1735277443;;"https://open.spotify.com/track/6THh5CL5PYf7OqOq9pTqNb";"https://www.deezer.com/track/3133365"
"George Benson";"Shape of things to come";"Shape of things to come";"1968";"A&M";1735277442;1735277755;;"https://open.spotify.com/track/3F127d8TgEigZ8LitdTukt";
"Weldon Irvine";"Too slow to disco / Vol. 3";"I love you";"1976";"HOW DO YOU ARE";1735277760;1735277940;"https://music.apple.com/fr/album/i-love-you/274773656?i=274773724&uo=4";"https://open.spotify.com/track/0kmAuNheB4u0rHToopLLzd";"https://www.deezer.com/track/13213144"
"Akira Yasuda";"Wamono A to Z / Vol. 2";"Yumura no obaba";"1971";"180G";1735277937;1735278117;;;
"Karate Boogaloo";"Hold your horses";"Ps emmylou";"2024";"COLEMINE RECORDS";1735278116;1735278330;;"https://open.spotify.com/track/2PTN1Dm3PjoxB99aT4RRzL";"https://www.deezer.com/track/2627764682"
"Warhaus";"Karaoke moon";"What goes up";"2024";"PIAS";1735278327;1735278590;;"https://open.spotify.com/track/3LCRCstz2lYNxOJJu07mjM";"https://www.deezer.com/track/2954185431"
"Maria Chiara Argiro";"Closer";"Closer";"2024";"INNOVATIVE LEISSURE";1735278594;1735278791;"https://music.apple.com/fr/album/closer/1727783185?i=1727783199&uo=4";"https://open.spotify.com/track/0L72fNWnw3Zx7zBlIJwXtq";"https://www.deezer.com/track/3200524561"
