"Artist";"Album";"Song";"Label";"start";"end";"Year";"itunes";"deezer";"spotify"
"Tony Clarke";"The best Northern Soul all-nighter ever !";"Landslide";"VIRGIN/ EMI";1709322738;1709322918;1964;;;
"Stevie Wonder";"Motown greatest hits";"Uptight (everything's alright)";"MOTOWN";1709322868;1709323040;1964;;;
"Joel Culpepper";"W. A. R.";"W. A. R.";"BELIEVE MUSIC";1709323038;1709323249;2020;;;
"Eddie & The Movement";"Caribbean disco boogie sounds";"Macho man";"FAVORITE RECORDINGS";1709323248;1709323548;1981;;;
"Bacao Rhythm & Steel Band";"BRSB";"How we do";"BIG CROWN RECORDS";1709323547;1709323762;2024;;"https://www.deezer.com/track/2540888921";"https://open.spotify.com/track/5k7Vvi5wOvokoyIiKtIckp"
"50 Cent";"Get rich or die tryin'";"P.I.M.P.";"SASDRE";1709323760;1709324010;2003;"https://music.apple.com/fr/album/p-i-m-p/1440796266?i=1440797376&uo=4";"https://www.deezer.com/track/1141674";"https://open.spotify.com/track/2D1hlMwWWXpkc3CZJ5U351"
"Foxy Brown";"BOF / Jackie Brown";"(holy matrimony) letter to the firm";"MAVERICK";1709324008;1709324213;1996;"https://music.apple.com/fr/album/holy-matrimony-letter-to-the-firm/316316847?i=316316890&uo=4";"https://www.deezer.com/track/60725757";"https://open.spotify.com/track/41OxaMCY6gMKILoNVd2hdP"
"Visioneers";"Dirty Old Hip Hop";"Ike's mood i";"BBE";1709324211;1709324470;2006;"https://music.apple.com/fr/album/ikes-mood-i/1444685797?i=1444686078&uo=4";;"https://open.spotify.com/track/1jIF6u4TLDWpJ6bdJSNsoG"
"The Dramatics";"Whatcha see is watcha get";"Get up and get down";"CONCORD MUSIC GROUP";1709324466;1709324654;1971;"https://music.apple.com/fr/album/get-up-and-get-down/1443071228?i=1443071412&uo=4";"https://www.deezer.com/track/13622519";"https://open.spotify.com/track/6DJQhP9YVTwBB3Ixlq5aVN"
"The Coconuts";"Kid Creole - Ze August Darnell sessions";"Ticket to the tropics (12 version) (Remastered)";"ZE RECORDS";1709324652;1709325040;1983;;;
"Muriel Dacq";"Cette annee la ! 1985";"Tropique";"REMARK";1709325038;1709325247;1985;;;
"Sim Fossil";"Course d'amour";"Marimba desert";"MISTER T RECORDS";1709325244;1709325659;2023;"https://music.apple.com/fr/album/marimba-desert/1718505305?i=1718505306&uo=4";"https://www.deezer.com/track/2561154972";"https://open.spotify.com/track/1cQvIMl3ur38pwmn3JOCVO"
"Barbara Tucker";"The electronic music anthology : House";"Beautiful people (Original club mix)";"WAGRAM MUSIC";1709325658;1709326002;1994;;"https://www.deezer.com/track/414340942";"https://open.spotify.com/track/4nvzr1bsjfNd72IU0qr0jj"
"Demuir";"Return to Paris";"You must pay";"FRAPPE RECORDS";1709325894;1709326276;2023;"https://music.apple.com/fr/album/you-must-pay-mixed/1686495377?i=1686495380&uo=4";;"https://open.spotify.com/track/6h2MgiGcYlxTi4m2u88JgR"
"Satellites";"Satellites";"Disko arabesque";"BATOV RECORDS";1709326267;1709326520;2022;"https://music.apple.com/fr/album/disko-arabesque/1600784238?i=1600784242&uo=4";"https://www.deezer.com/track/1593314881";"https://open.spotify.com/track/1FVxZq0yplnNxSwPIOMq0d"
