"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"deezer";"itunes";"youtube"
"Kurt Vile";"Bottle it in";"Rollin with the flow";"2018";"MATADOR RECORDS";1714820246;1714820422;"https://open.spotify.com/track/7uM2jqTjQMs5HKwDeC8upX";"https://www.deezer.com/track/557495222";;
"Lord$";"Speed it up";"Here we go";"2024";"TRICATEL";1714820419;1714820557;"https://open.spotify.com/track/49VSeVrRuDvtpHM8CKk06V";;"https://music.apple.com/fr/album/here-we-go/1735994038?i=1735994813&uo=4";
"Amanda Whiting";"The liminality of her";".liminal";"2024";"FIRST WORD RECORDS";1714820557;1714820782;;;;
"The Abyssinians";"Satta massagana";"I and I";"1975";"HEART BEAT";1714820780;1714820993;;;;
"Etienne Daho";"Les chansons de l'innocence retrouvée";"L'homme qui marche (Visconti's dub)";"2013";"POLYDOR";1714820989;1714821146;;;;
"Aoife Nessa Frances";"Land of no junction";"Geranium";"2020";"BASIN ROCK";1714821143;1714821393;"https://open.spotify.com/track/2BEnNyQVwbSd8xz35ZQ4Zs";;;
"Felbm";"Tape 3 / Tape 4";"Tartufai";"2020";"SOUNDWAY";1714821391;1714821563;"https://open.spotify.com/track/1T0M15C0xXoNDe5FkTkIbE";;;
"Rubel";"Casas";"Mantra";"2018";"DORILEO";1714821559;1714821850;"https://open.spotify.com/track/4pkcufYBrwhYMi5mZ8276B";;;
"David Bowie";"Ziggy Stardust (remast)";"Five years";"1972";"EMI";1714821839;1714822121;;;;
"The Turtles";"The Jack Nitzsche story / Vol. 2 : Hard workin' man";"You know what i mean";"1967";"ACE";1714822117;1714822235;"https://open.spotify.com/track/5BE7v9I2FUjUnObRAcopIs";"https://www.deezer.com/track/2043988";;
"Vladimir Cosma";"Shake sauvage: French soundtracks 1968-1973";"Bowery mood";"1973";"CRIPPLED DICK HOT WAX";1714822233;1714822378;;;;
"Mathieu Berube";"Coucou";"Moscou";"2021";"AD LITTERAM";1714822377;1714822574;"https://open.spotify.com/track/5EsaQCZMg8mEQvKvHFplDs";;;
"Iyamah";"In two worlds";"Luxury";"2024";"AUTOPRODUCTION";1714822573;1714822776;"https://open.spotify.com/track/2i10BXxQQoHp0uXnr9Al7R";"https://www.deezer.com/track/2703804312";;
"Nils Frahm";"Keys (A comprehensive collection of contemporary piano compositions)";"Because this must be";"2010";"AMERICAN TYPEWRITER";1714822775;1714822936;;;;
"Akiko Yano";"Gohan ga dekitayo";"Gokigen wanisan";"1980";"WE WANT SOUNDS";1714822934;1714823115;;;;
"Joy Division";"Closer";"Passover";"1980";"FACTORY RECO";1714823111;1714823395;;;;
"Divine Scienze";"Divine ScienZe III";"Juice";"2024";"FAT BEAT RECORDS";1714823394;1714823585;"https://open.spotify.com/track/6nppkkJogCI6B5FFvxezxc";;;
"The Juju Exchange";"Exchange";"Morning of";"2017";"THE JUJU EXCHANGE";1714823582;1714823844;"https://open.spotify.com/track/59roaq5sdWiH6YUiZLwBz6";;;
"Bryony Jarman-Pinto";"Below dawn";"Moving forward";"2024";"TRU THOUGHTS";1714823832;1714824179;"https://open.spotify.com/track/1lKmV0hJEbISaPTOA9tQEV";;;
"Maya";"French disco boogie sounds vol. 3 (1977-1987)";"Lait de coco (dub)";"1987";"FAVORITE";1714824177;1714824409;;;;
"The Mighty Diamonds";"Reggae anthology";"Pass the kutchie";"1981";"VP RECORDS";1714824406;1714824620;;;;
"Ondatropica";"Baile bucanero";"Lazalypso";"2016";"SOUNDWAY";1714824619;1714824830;;;;
"Rasco";"Dmaot";"Suzi suzuki";"2024";"BATOV RECORDS";1714824830;1714825096;"https://open.spotify.com/track/4ahHB1Ewvf6Xgsk3qT5r8s";;;
"Cigarettes After Sex";"Tejano blue";"Tejano blue";"2024";"PARTISAN RECORDS";1714825090;1714825319;"https://open.spotify.com/track/6sQ833YbGp8SbtGcLCBwHw";;;
"Blackjoy";"Figures";"Saint Exupery";"2023";"LES RYTHMES RUBAN";1714825317;1714825501;"https://open.spotify.com/track/6XiEPi1ESloUTzLQpbYvSN";"https://www.deezer.com/track/2572212272";"https://music.apple.com/fr/album/saint-exupery/1719822002?i=1719822285&uo=4";
"Buggles";"The age of plastic";"Video killed the radio star";"1980";"ISLAND";1714825500;1714825750;;;;
"Lio";"Amicalement votre";"La panthère rose";"1980";"WEA";1714825708;1714825902;;;;
"Tsar Shate II";"The bacchae";"What do I see ?";"2007";"AUTOPRODUCTION";1714825900;1714826061;;;;
"Orchestre De Philadelphie";"Igor Stravinsky et Jean Sébastien Bach : Oeuvres orchestrales";"Pastorale - arrangement pour orchestre";"2013";"DEUTSCHE GRAMMOPHON";1714826057;1714826245;;;;
"Andrew Bird Trio";"Sunday morning put-on";"I fall in love too easily";"2024";"LOMA VISTA RECORDINGS";1714826243;1714826477;;;;
"Celeste";"Not your muse";"Love is back";"2021";"POLYDOR RECORDS";1714826475;1714826727;"https://open.spotify.com/track/4kzcJJUonbCSlNXrHXt6n8";;;
"Julio Jaramillo";"BOF TV / Narcos """"Season 3"""" (A Netflix Original Series Soundtrack)";"Amor profundo";"1999";"GAUMONT TELEVISION";1714826726;1714826876;;;;
"Rodrigo Y Gabriela";"Mettavolution";"Electric soul";"2019";"RUBYWORKS RECORDS";1714826875;1714827111;"https://open.spotify.com/track/4YhqlvorKX7kd9pHLLfWz1";;;
"Cher";"Delta swamp rock / More sounds from the south 1968-75 / Vol 2 (cd promo)";"For what it's worth";"1969";"SOUL JAZZ RECORDS";1714827062;1714827202;"https://open.spotify.com/track/0wB5DvGTHmhtH1DhAMsfUk";;;
"The Reed Conservation Society";"La société de préservation du roseau";"Pylônes";"2024";"VIOLETTE RECORDS";1714827200;1714827435;"https://open.spotify.com/track/3vokpR7RUZDz8IFhMdot62";;;
"Radiohead";"Hail to the thief";"Go to sleep. (little man being erased.)";"2003";"EMI";1714827432;1714827633;;;;
"Francis Lai";"Robert Et Robert";"Robert et robert";"2000";"MANT";1714827630;1714827839;;;;
"Young Gun Silver Fox";"Ticket to Shangri-La";"Sierra nights";"2022";"LEGERE RECORDINGS";1714827838;1714828053;"https://open.spotify.com/track/2AQkk1yHpBzctF0Lj97Ilb";;;
"Jackie De Shannon";"What the world needs now is ....";"What the world needs now is love";"1965";"EMI";1714828051;1714828242;;"https://www.deezer.com/track/1137708352";;
"Yaya Bey";"Evidence / Crying through my teeth";"Crying through my teeth";"2023";"NINJA TUNE";1714828241;1714828382;"https://open.spotify.com/track/20iD8PakuwRgP2puGQYIUE";;"https://music.apple.com/fr/album/crying-through-my-teeth/1725005180?i=1725005181&uo=4";
"Mac Demarco";"Five easy hot dogs";"Edmonton";"2023";"MAC RECORDS LABEL";1714828380;1714828520;"https://open.spotify.com/track/4ZXPTjjDYiseWM0xTQbmPl";;;
"Dekker";"Slow reveal V1";"Hands clean";"2020";"B DEKKER RECORDS";1714828517;1714828706;"https://open.spotify.com/track/4JBi0kogX3cZ9ycuYnD33a";;;
"She Keeps Bees";"Kinship";"First quarter moon";"2019";"BA DA BING RECORDS";1714828703;1714828921;"https://open.spotify.com/track/2nQX4mIy23Z8zNsxFYOnTG";;;
"Serge Gainsbourg";"Gainsbourg forever";"69 annee érotique (ft. Jane Birkin)";"1969";"MERCURY";1714828914;1714829111;;;;
"Glenn Jones";"The wanting";"The great pacific northwest";"2011";"THRILL JOCKEY";1714829109;1714829402;"https://open.spotify.com/track/1COwbYslt7Ofxabim6CzEg";"https://www.deezer.com/track/491675832";;
"Sly & The Family Stone";"Ain't but the one way";"Who in the funk do you think you are";"1982";"WARNER MUSIC";1714829399;1714829668;;;;
"The Sextones";"Love can't be borrowed";"Daydreaming";"2023";"RECORD KICKS";1714829667;1714829911;"https://open.spotify.com/track/1O2eJVtdyWCVrsoQobQqst";;;
"The Two";"Sadela";"Mo ale";"2023";"AUTOPRODUCTION";1714829908;1714830119;"https://open.spotify.com/track/3HzdX9lfq2ZsnmzUPmqUgg";;;
"Kibrom Birhane";"Here and there";"Digis";"2022";"FLYING CARPET RECORDS";1714830113;1714830400;"https://open.spotify.com/track/5RLHSVbTtiLPxotyoq8v3b";;;
"Slim & The Beast";"Part 2";"First time";"2020";"DAY DREAM MUSIC";1714830398;1714830593;"https://open.spotify.com/track/1YBOMBj1N3vLh38gVJAsqu";;;
"Jungle";"For ever";"Happy man";"2018";"XL RECORDINGS";1714830592;1714830780;"https://open.spotify.com/track/1oSDiyNMslJoTCfUZBHNP2";;;
"Ural Thomas & The Pain";"Dancing dimensions";"Apple pie (oh me oh my)";"2023";"BELLA UNION";1714830778;1714831012;;;;
