"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"deezer";"itunes"
"Warpaint";"Radiate like this";"Melting";2022;"VIRGIN";1710647900;1710648207;"https://open.spotify.com/track/5mz7RBZI7ETPFcZQIkNcLF";;"https://music.apple.com/fr/album/melting/1603821860?i=1603822482&uo=4"
"Blonde Redhead";"Sit down for dinner";"If";2023;"SECTION1 / PARTISAN";1710648218;1710648476;"https://open.spotify.com/track/1L1xp13BnyBVOk5RI9hEME";;
"Leon Phal";"Stress killer";"Balanced action";2023;"HEAVENLY SWEETNESS";1710648470;1710648755;"https://open.spotify.com/track/3KPLRErpvfCY1ife2rtw17";;
"Jamiroquai";"The return of the space cowboy";"Space cowboy";1994;"SONY";1710648751;1710649133;"https://open.spotify.com/track/6K53GM9W6Vle5KBwGFVnZM";;
"Slim Young";"Straight from the decks";"Otan hunu";;"PURA VIDA";1710649128;1710649413;"https://open.spotify.com/track/14HaQ8iuZTQRIYj9wuZLG3";"https://www.deezer.com/track/691592012";
"Sinkane";"Life & livin’ it";"Favorite song";2017;"CITY SLANG";1710649412;1710649704;"https://open.spotify.com/track/5AeWDIg9lQXo2goqD9POSe";"https://www.deezer.com/track/2622241942";
"Hot Chip";"Why make sense ?";"Need you now";2015;"DOMINO RECORDING CO LTD";1710649696;1710649981;"https://open.spotify.com/track/5MRYyecW552BEq2nRBfIQX";"https://www.deezer.com/track/99689648";
"Bonobo";"Dial M for Monkey";"Flutter";2003;"NINJA TUNE";1710649979;1710650263;"https://open.spotify.com/track/5K8WNrf5JvmBE6O0MbSRuJ";"https://www.deezer.com/track/75535360";
"Oxmo Puccino";"365 jours";"365 Jours";2009;"CINQ7/WAGRAM";1710650263;1710650507;"https://open.spotify.com/track/0uJlnJm9O50C8K3kn4PIRw";"https://www.deezer.com/track/1212824772";"https://music.apple.com/fr/album/365-jours/1316145146?i=1316146822&uo=4"
"Massive Attack";"Mezzanine";"Teardrop";1998;"VIRGIN";1710650514;1710650840;"https://open.spotify.com/track/67Hna13dNDkZvBpTXRIaOJ";"https://www.deezer.com/track/3129748";"https://music.apple.com/fr/album/teardrop/724466069?i=724466700&uo=4"
"Les McCann";"Layers";"Sometimes I cry";1973;"RHINO ATLANTIC";1710650833;1710651148;"https://open.spotify.com/track/6gA0ps6IzjBj7azFvWjWME";;
"Joan As Police Woman";"The deep field";"Human condition";2011;"PLAY IT AGAI";1710651141;1710651470;"https://open.spotify.com/track/1ipftANRr4OUHmNHKFa7VW";;"https://music.apple.com/fr/album/human-condition/410264532?i=410264551&uo=4"
"Voyou";"L'hiver";"L'hiver";2023;"ALSO";1710651467;1710651684;"https://open.spotify.com/track/3gUgoLt5p69lJCfCJ7bhLd";;"https://music.apple.com/fr/album/lhiver/1656771718?i=1656771965&uo=4"
"Quincy Jones (Chef d'orchestre)";"BOF / Dans la chaleur de la nuit et Appelez-moi monsieur Tibbs";"Appelez moi monsieur Tibbs : Blues for mister Tibbs";1970;"RYKO";1710651700;1710652084;;;
"Jackie De Shannon";"Bof / Le mariage de mon meilleur ami";"What the world needs now is love";1965;"WORK";1710652080;1710652269;;;
"Gregory Porter";"Liquid spirit";"Lonesome lover";2013;"BLUE NOTE";1710652264;1710652449;"https://open.spotify.com/track/16ozuGb2UB8ERRwmKrQLGn";;
"David Bowie";"London boy";"Did you ever have a dream";1995;"SPECTRUM MUS";1710652448;1710652572;"https://open.spotify.com/track/2SrRq2zALu0Mo5lEF3WW98";"https://www.deezer.com/track/2256663727";
"Bob Corritore";"Taboo";"Taboo";2014;"DELTA GROOVE MUSIC";1710652579;1710652682;"https://open.spotify.com/track/5WMk5mE2gmfzL6ujKDljfh";;
"2cellos";"In2ition";"Bang Bang";2012;"SONY MUSIC ENTERTAINMENT";1710652681;1710652845;;;
"Fabien Martin";"Je ne fais que marcher sur la montagne";"Sur la jetée";2023;"LITTORAL REC";1710652842;1710653032;"https://open.spotify.com/track/2bTePVc7rvygCChAuA1oXR";;
"Balthazar";"Sand";"Halfway";2021;"PIAS";1710653025;1710653191;"https://open.spotify.com/track/5mYXUnU7Ey2ONASPqlZX5M";"https://www.deezer.com/track/859154252";
"The Ironsides";"Colemine Records Presents : Brighter Days Ahead";"Sommer";2021;"COLEMINE RECORDS";1710653196;1710653430;;;
"Fontella Bass";"Chess soul sisters";"I Surrender";1966;"UNIVERSAL";1710653426;1710653603;;;
"Ziggy Marley";"The disney reggae club";"What a wonderful world";2010;"WALT DISNEY RECORDS";1710653596;1710653792;"https://open.spotify.com/track/36bNugatsCkXmPz3uJOdIx";;"https://music.apple.com/fr/album/what-a-wonderful-world/1443104192?i=1443104363&uo=4"
"Kids Return";"Lovers war";"Lovers war";2024;"FOREVER MELODIES / EKLEROSHOCK / HAMBURGER RECORDS";1710653791;1710653979;"https://open.spotify.com/track/5A10nmW6Fn1nzMenzsWdvK";"https://www.deezer.com/track/2636114622";
