"Artist";"Album";"Song";"start";"end";"itunes";"spotify";"Year";"Label";"deezer";"youtube"
"Sebastien Tellier";"Sexuality";"Roche";1705547253;1705547548;;"https://open.spotify.com/track/43clCmiuxugZg3Jdn6R26c";2008;"RECORD MAKER";"https://www.deezer.com/track/66221585";
"Solange";"I decided";"I decided (produit par The Neptunes)";1705547544;1705547790;;;2008;"POLYDOR";;
"Charles Wright Ant The Watts 103rd Street Rhythm Band";"What it is ! Funky soul and rare grooves";"Spreadin' honey";1705547785;1705547927;;;1967;"RHINO";;
"Elton John";"Goodbye yellow brick road";"Grey seal";1705547923;1705548152;"https://music.apple.com/fr/album/grey-seal-2014-remaster/1440863013?i=1440863128&uo=4";"https://open.spotify.com/track/2mHUIe8LLV4ZSXNb4TER9O";1973;"DJM@";"https://www.deezer.com/track/880226";
"Immy Owusu";"Lo-life !";"Sunsum dware";1705548151;1705548457;"https://music.apple.com/fr/album/sunsum-dware/1677951160?i=1677951548&uo=4";"https://open.spotify.com/track/2MM0rHmKtNe3PNF8aCCduW";2023;"HOPESTREET RECORDINGS";;
"Lala & Ce";"Sunsystem";"Fallait dire non";1705548456;1705548633;;;2022;"&CE RECLESS";;
"Lucho Gavilanes";"Saturno 2000 : la rebajada de los sonideros 1962-1983";"La danza del mono";1705548631;1705548824;;;1972;"ANALOG AFRICA";"https://www.deezer.com/track/1612637582";
"The Zombies";"The EP collection";"What more can i do";1705548824;1705548913;"https://music.apple.com/fr/album/what-more-can-i-do/1719885561?i=1719885583&uo=4";"https://open.spotify.com/track/2U7KrrxEeGPAS29Xtwu7ko";1965;"SEE FOR MILES RECORDS";;
"The Lemon Twigs";"Everything harmony";"Everything harmony";1705548908;1705549128;;"https://open.spotify.com/track/3aIBZz8dwQnWZSKH5fKGWO";2023;"CAPTURED TRACKS";;
"Alabaster DePlume";"Mrs Calamari";"Who is a fool";1705549126;1705549327;;"https://open.spotify.com/track/6W9ozRia7aAmWE8G6EgYtB";2022;"INTERNATIONAL ANTHEM";"https://www.deezer.com/track/1593306851";
"Blue Lake";"Sun Arcs";"Fur";1705549327;1705549540;"https://music.apple.com/fr/album/fur/1676038814?i=1676039244&uo=4";"https://open.spotify.com/track/0gCSRpNBTP6M74KQZlXdGf";2023;"TONAL UNION";;
"Tennessie Ernie Ford";"Memories are made of this";"Sixteen Tons";1705549539;1705549680;;;1955;"CAPITOL";"https://www.deezer.com/track/46505351";
"Derya Yildirim & Graham Mushnik";"Hey dostum cak !";"Ilgaz";1705549680;1705549807;"https://music.apple.com/fr/album/ilgaz/1664745874?i=1664745877&uo=4";;2023;"BUBAK";;
"Leonard Cohen";"Various positions";"Dance me to the end of love";1705549806;1705550077;;"https://open.spotify.com/track/3mFzIFFFmEXTQs6BDAK2ZZ";1984;"COLUMBIA";;
"Dominique A";"Si je connais Harry";"L'adversité";1705550072;1705550268;;"https://open.spotify.com/track/25dH5Zmy0080tZTjfUDHCS";1993;"LITHIUM";;
"Whatitdo Archive Group";"Palace of a thousand sounds";"Astral-desia";1705550270;1705550453;;"https://open.spotify.com/track/3aVrq7StWOPGwFS0SV2qkN";2023;"RECORD KICKS";;
"The Electric Prunes";"Release of an oath";"Holy are you";1705550452;1705550699;"https://music.apple.com/fr/album/holy-are-you/78982611?i=78982573&uo=4";"https://open.spotify.com/track/2PFYK7BI5JRoKOfA1FtfTV";1968;"REPRISE RECORDS";"https://www.deezer.com/track/753139";
"Frank Ocean";"Channel orange";"Thinkin bout you";1705550699;1705550900;"https://music.apple.com/fr/album/thinkin-bout-you/1445147125?i=1445147130&uo=4";"https://open.spotify.com/track/7DfFc7a6Rwfi3YQMRbDMau";2012;"ISLAND";;
"Joe Yorke & The Co-Operators";"A distant beat";"No good for me";1705550899;1705551081;"https://music.apple.com/fr/album/no-good-for-me/1681380793?i=1681380795&uo=4";;2023;"WAGGLE DANCE RECORDS";;
"Nico Motte";"The missing person";"B.B.D.C";1705551081;1705551304;;"https://open.spotify.com/track/1hzp2fUFdGQmW80ushL28X";2023;"ANTINOTE";;
"Dorothy Ashby";"The Rubaiyat Of Dorothy Ashby";"Dust";1705551303;1705551463;"https://music.apple.com/fr/album/dust/1497564253?i=1497564568&uo=4";"https://open.spotify.com/track/2wzvWMUo0fLuqHTQRplTJW";1970;"UMG";"https://www.deezer.com/track/867038022";
"Julien Daian Quintet";"Cut-up";"Trop c'est trop";1705551471;1705551627;;;2021;"FRENCH PARADOX";;
"Pira Pora";"Mi nina";"Mi nina";1705551621;1705551794;"https://music.apple.com/fr/album/mi-ni%C3%B1a/1488001830?i=1488001835&uo=4";"https://open.spotify.com/track/5BJXDvTqCFsnv4haZsS4ds";2019;"AUTOPRODUCTION";;
"Tilman Hoppstock";"Tilman Hoppstock interprète des préludes célèbres pour guitare";"5 préludes : Prélude n°5 en Ré Maj -  pour guitare acoustique";1705551793;1705551995;;;2013;"CHRISTOPHORUS";;
"The Smiths";"Louder than bombs";"Ask";1705551991;1705552181;"https://music.apple.com/fr/album/ask-remix/802231063?i=802231077&uo=4";;1987;"RHINO RECORDS";;
"Girl Ray";"Prestige";"Up";1705552180;1705552397;"https://music.apple.com/fr/album/up/1677565271?i=1677565725&uo=4";"https://open.spotify.com/track/0ZM9hIpZsM3o8n4NnkuENe";2023;"MOSHI MOSHI";"https://www.deezer.com/track/2257185437";
"Daft Punk";"Get lucky";"Get Lucky (Radio Edit)";1705552397;1705552644;;;2013;"COLUMBIA";;
"Surprise Chef";"Education & recreation";"Money music";1705552643;1705552812;"https://music.apple.com/fr/album/money-music/1633665943?i=1633666334&uo=4";"https://open.spotify.com/track/5aJaL72YTZmsfEK1xWexyw";2022;"BIG CROWN";;
"Yussef Dayes";"Black classical music";"Womans touch (feat. Jamilah Barry)";1705552802;1705553008;;;2023;"BROWNSWOOD / CASHMERE THOUGHTS / NONESUCH";;
