"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"deezer";"itunes"
"Jungle By Night";"Hidden";"Togetherness";"2012";"KINDRED SPIRITS";1730526224;1730526516;"https://open.spotify.com/track/28Baz1uHvlWyDXAV6zHWBG";;"https://music.apple.com/fr/album/togetherness/508147263?i=508147497&uo=4"
"Marina Allen";"Eight pointed star";"I'm the same";"2024";"FIRE RECORDS";1730526515;1730526764;"https://open.spotify.com/track/04PbVCjjPdAOenZoD2rRvB";;
"Cesar Precio";"La suite logique des choses";"Solitude mon amour";"2024";"OBJET DISQUE - LABEL SERVICE";1730526761;1730527050;"https://open.spotify.com/track/3qi4DH7FPlXMjp6cFdFcLc";;
"Burning Spear";"Marcus Garvey / Garvey's Ghost";"I And I Survive";"1976";"IMS";1730527048;1730527275;;;
"Ferrante & Teicher And Their Orchestra";"American love themes";"Fascination";"1963";"LIBERTY";1730527203;1730527378;;;
"Pink Martini";"Sympathique";"Sympathique";"1997";"NAIVE";1730527373;1730527539;"https://open.spotify.com/track/1sKpay0q1lsH8RgafNzdI1";;"https://music.apple.com/fr/album/sympathique/307233050?i=307233081&uo=4"
"Laufey";"From the start";"From the start";"2023";"PROPELLER CREATIVE LTD";1730527535;1730527703;"https://open.spotify.com/track/43iIQbw5hx986dUEZbr3eN";;"https://music.apple.com/fr/album/from-the-start/1690607869?i=1690609217&uo=4"
"Vinicius De Moraes";"Vinicius de Moraes en La Fusa";"Tomara";"1971";"TROVA";1730527700;1730527870;"https://open.spotify.com/track/05c0xQt46QZBFQs32W5dZB";;
"As Sublimes";"Mr Bongo record club / Vol. 7";"Mangueira é canção";"1973";"MR BONGO";1730527866;1730528034;;;
"J. Rawls";"Jazzhop";"Stay";"2022";"POLAR ENTERTAINMENT";1730528029;1730528159;;;
"A Tribe Called Quest";"The anthology";"Electric relaxation";"1993";"JIVE";1730528156;1730528380;"https://open.spotify.com/track/32WDVNZXIAuu7EqncTTKjH";;"https://music.apple.com/fr/album/electric-relaxation/265670545?i=265670650&uo=4"
"Amp Fiddler";"Inspiration information";"Drama inside";"2008";"STRUT";1730528374;1730528621;"https://open.spotify.com/track/1V7O28AEUn8DE6ej3XseU1";;
"Allysha Joy";"The making of silk";"Reset";"2024";"FIRST WORD";1730528615;1730528745;;;
"Superbravo";"La digue";"Chanson tremble´e";"2024";"MARELLE MUSIC";1730528744;1730528994;;;
"Phoenix 70";"Lee Hazlewood industries / Whistling for a dog named kindness that you'll never find / Vol.4 / 1966-1971";"Goin' on";"1969";"LIGHT IN THE ATTIC RECORDS";1730528993;1730529135;;;
"Nancy Sinatra & Lee Hazlewood";"Fairytales and fantasies : The best of";"Some velvet morning";"1969";"";1730529134;1730529353;;;
"Conway Twitty";"Gold";"What Am I Living For (Single Version)";"1960";"MCA NASHVILLE";1730529351;1730529508;;"https://www.deezer.com/track/3056297";
"The Gaylads";"Studio one rocksteady";"Joy in the morning";"1967";"SOUL JAZZ RECORDS";1730529506;1730529692;"https://open.spotify.com/track/4NdDCtUmNNVg2mhfH8aAzB";"https://www.deezer.com/track/117250320";"https://music.apple.com/fr/album/joy-in-the-morning/807427655?i=807427733&uo=4"
"Kelly Finnigan";"The tales people tell";"Impressions of you";"2019";"COLEMINE RECORDS";1730529690;1730529922;"https://open.spotify.com/track/5eFjVu6lbgz4eUIOZMijdx";"https://www.deezer.com/track/645114132";"https://music.apple.com/fr/album/impressions-of-you/1447166285?i=1447166477&uo=4"
"Ki!";"The boy from Haeundae beach";"End credits (feat. Charlotte Schultz)";"2022";"CRUNCHY FROG";1730529919;1730530084;;;
"Nicolas Michaux";"Vitalisme";"Au revoir ma chérie";"2024";"CAPITANE RECORDS";1730530085;1730530308;"https://open.spotify.com/track/02cYzAP3gKNQXKXRsbq7Gh";"https://www.deezer.com/track/2976138311";
"Strongboi";"Strongboi";"unconditional (feat. Salami Rose Joe Louis)";"2023";"AUTOPRODUCTION";1730530304;1730530563;;;
"Miller, Miller, Miller & Sloan";"Aor global sounds / Vol.4";"Key to my heart";"1980";"FAVORITE RECORDINGS";1730530563;1730530720;;"https://www.deezer.com/track/613550342";
"The Bee Gees";"BOF / Saturday night fever """"Fievre du samedi soir""""";"Night fever";"1977";"POLYDOR";1730530717;1730530926;;;
"Bertrand Burgalat";"B.O.F./ My little princess";"Dr timsit laser";"2011";"TRICATEL";1730530923;1730531025;"https://open.spotify.com/track/4QwTqlHAlnOGnSCQyLExJv";"https://www.deezer.com/track/8057484";
"Sebastien Tellier";"Ma calypso";"Ma calypso (edit)";"2014";"RECORD MAKERS";1730531025;1730531245;;;
"Virna Nova";"Keep on";"Giving it away";"2024";"ANTIPODES MUSIC";1730531239;1730531455;"https://open.spotify.com/track/6w1FsG7foCK9XeeCY9VQ6N";"https://www.deezer.com/track/2893662951";
"Satellite Lovers";"Sons of 1973";"Sunnyday, holiday";"1996";"OO RECORDS INC.";1730531453;1730531737;;;
"Teresa Noda";"Tokyo riddim vol. 2 1979-1986";"Tropical love";"1979";"TIME CAPSULE";1730531734;1730531989;;;
"Makoto Kubota & The Sunset Gang";"Hawaii Champroo";"Steel Guitar Rag";"1975";"WEWANTSOUNDS";1730531987;1730532193;;;
"Jimmie Rodgers";"Country & western hit parade - 1955";"In the jailhouse now n°2";"1928";"BEAR FAMILY RECORDS";1730532190;1730532367;;;
"Louis Armstrong";"C'est si bon";"La vie en rose";"1950";"";1730532365;1730532567;;"https://www.deezer.com/track/107288724";
"Roberto Alagna";"Ma vie est un opéra";"Manon Lescaut : Donna non vidi mai (Acte I) Air de Des Grieux";"2014";"DEUTSCHE GRAMMOPHON";1730532566;1730532720;;;
"Bilal";"Adjust brightness";"Micro macro";"2024";"ONERPM";1730532718;1730532954;"https://open.spotify.com/track/6WzQSYea0S0r0g8bztdLUd";;"https://music.apple.com/fr/album/micro-macro/1768104173?i=1768104185&uo=4"
"David Axelrod";"Song of innocence";"Urizen";"1968";"CAPITOL";1730532950;1730533193;"https://open.spotify.com/track/02bEdJ4ERhPXSTsxtQg3QF";;
"Kids Return";"Forever melodies";"My life";"2022";"HAMBURGER RECORDS";1730533183;1730533335;"https://open.spotify.com/track/1FkUsQm0yEiDXmOjbOMcPZ";"https://www.deezer.com/track/1590602412";
"Pale Regard";"Tout va";"Tout va";"2024";"DIRTY MELODY";1730533336;1730533650;"https://open.spotify.com/track/6X2nCr7UwH5h8coXIUVaeY";"https://www.deezer.com/track/3041622941";"https://music.apple.com/fr/album/tout-va/1773459586?i=1773459861&uo=4"
"Mac Demarco";"2";"Freaking out the neighborhood";"2012";"CAPTURED TRACKS";1730533641;1730533813;"https://open.spotify.com/track/3HlK8txWAdtKMrbsqX40pl";"https://www.deezer.com/track/62744398";"https://music.apple.com/fr/album/freaking-out-the-neighborhood/561048714?i=561048720&uo=4"
"Robohands";"Shapes";"Perception";"2021";"KINGUNDERGROUND";1730533808;1730534073;;;
"Roy Ayers";"Evolution: The Polydor anthology";"Searching";"1976";"POLYDOR";1730533994;1730534229;"https://open.spotify.com/track/45muf22QzSyKwsF4l3IcwJ";"https://www.deezer.com/track/982382";
"Cal Tjader";"Strange games & funky things / Volume 5";"Morning";"1972";"BBE";1730534226;1730534433;;"https://www.deezer.com/track/2487835";
"Claude Nougaro";"Du jazz chez les yéyés / Integrale  vol. 2";"Les don juan";"1962";"PHILIPS";1730534430;1730534629;;"https://www.deezer.com/track/1101581";
"Michel Legrand";"Michel Legrand se joue Claude Nougaro";"Les don juan";"1962";"PHILIPS";1730534628;1730534829;;;
"Ray Charles";"Pure genius : The complete Atlantic recordings / CD 3";"Swanee river rock (talkin' 'bout that river)";"1957";"ATLANTIC";1730534826;1730534962;;;
"Hanni El Khatib";"Dead wrong";"Dead Wrong";"2011";"BECAUSE MUSI";1730534961;1730535168;"https://open.spotify.com/track/2WfaVvH5JEA7DkMLzL6ZN8";;
"Barrie";"Like someone I know : A celebration of Margo Guryan";"Love";"2024";"SUB POP RECORDS";1730535165;1730535333;"https://open.spotify.com/track/2z4pTsS2suRA9JS9o4ZBRD";"https://www.deezer.com/track/3013249601";
"Limousine";"L'été suivant";"Oiseau du matin";"2019";"EKLER O SHOCK";1730535333;1730535500;"https://open.spotify.com/track/6NEUE3ChKwvjumt1lrXkxd";"https://www.deezer.com/track/633587022";
"Andrea Laszlo De Simone";"I nostri giorni";"I nostri giorni";"2023";"EKLER'O'SHOCK/VIRGIN";1730535499;1730535725;;;
"La Femme";"Teatro Lúcido";"Maialen";"2022";"IDOL";1730535720;1730535957;"https://open.spotify.com/track/1DZv8n2XBpARfkFa5an9lP";;
"The Last Shadow Puppets";"The age of the understatement";"The age of the understatement";"2008";"DOMINO";1730535955;1730536140;"https://open.spotify.com/track/5WXMS6w7Gvb02b6bx4eBSF";;"https://music.apple.com/fr/album/the-age-of-the-understatement/277075850?i=277075928&uo=4"
"Michel Polnareff";"BOF/ La folie des grandeurs";"La Folie des grandeurs";"1971";"EMARCY";1730536139;1730536296;;;
"Chubby Checker";"Kosher nostra jewish gangsters";"Misirlou";"1962";"ESSAY RECORD";1730536296;1730536459;;;
"Sammy Davis Jr.";"Hey there";"In a persian market";"1956";"NAXOS";1730536459;1730536608;;"https://www.deezer.com/track/2439382";
"Yom";"New king of klezmer clarinet";"Oh daddy that's goodi";"2008";"BUDA MUSIQUE";1730536608;1730536958;;;
"Sababa 5";"Ya hiah (feat. Shiran Tzfira)";"Ya hiah (feat. Shiran Tzfira)";"2022";"BATOV RECORDS";1730536957;1730537237;;;
"Forever Pavot";"L'idiophone";"Decalco";"2023";"BORN BAD RECORDS";1730537236;1730537459;"https://open.spotify.com/track/4alyaB3bCoUyBgeV5vaKlt";;
"Unessential Oils";"Unessential oils";"Distrust The Magician";"2024";"SECRET CITY RECORDS";1730537458;1730537795;"https://open.spotify.com/track/1pGY6SmwN0CR3s2E8VOgVe";;
