"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"spotify";"itunes"
"Orchestre Du Festival D'Athenes";"Fidelio (integrale)";"Fidelio : Gott welch Dunkel hier (Acte II Sc 1) Récitatif de Florestan";"";"WALHALL";1764987859;1764987997;;;
"Curtis Mayfield";"Roots";"Keep on keeping on";"1971";"CHARLYRECORDS";1764987991;1764988308;"https://www.deezer.com/track/14619062";"https://open.spotify.com/track/4xWggCcJgtUWw1yxJAXZR9";
"Buena Vista Social Club";"Buena Vista social club";"Dos gardenias";"1997";"NIGHT&DA";1764988291;1764988485;"https://www.deezer.com/track/704071522";"https://open.spotify.com/track/3okCsBWWv7okRgaTnMQ2Fp";
"Mongo Santamaria";"Mucho Mongo / Ole ola";"Day tripper";"1989";"CONCORD PICA";1764988470;1764988805;"https://www.deezer.com/track/3050885";;
"Michel Jonasz";"Tous les succès de Michel jonasz cd1";"Les wagonnets";"1980";"WEA";1764988791;1764988996;"https://www.deezer.com/track/381024881";;
"Flash And The Pan";"Les introuvables 80";"Waiting for a train";"1982";"EMI";1764988986;1764989279;"https://www.deezer.com/track/2882130772";;
"Helene Barbier";"Panorama";"Milquetoast";"2025";"BONSOUND";1764989264;1764989416;"https://www.deezer.com/track/3497424821";"https://open.spotify.com/track/7IHmiNRSIPhbRIkik7fGY4";
"Pratt & Moody";"Creeping around";"Creeping around (instrumental)";"2024";"TIMMION RECORDS";1764989399;1764989676;"https://www.deezer.com/track/2586541642";;
"The Poets Of Rhythm";"Practice what you preach";"Upper class";"1993";"SOULCIETY";1764989661;1764989888;"https://www.deezer.com/track/779480872";"https://open.spotify.com/track/1NeD8WqgxlVEdJPNFjpmUm";
"Bobbi Humphrey";"Satin doll";"San Francisco lights";"1974";"BLUE NOTE";1764989869;1764990203;"https://www.deezer.com/track/3105506";;
"Margo Guryan";"Take a picture";"Sun";"1968";"SUNDAZED";1764990191;1764990347;"https://www.deezer.com/track/2246722527";"https://open.spotify.com/track/5HtMWQFq71FIyWlg1M12aP";
"The Diasonics";"Ornithology";"Storm Petrel";"2025";"RECORD KICKS";1764990356;1764990520;"https://www.deezer.com/track/3363849651";"https://open.spotify.com/track/2q7iAciWGjkviitwlPanQY";
"We Five";"Love is the song we sing / Vol.1";"You were on my mind";"1965";"RHINO RECORDS";1764990501;1764990668;"https://www.deezer.com/track/10319762";;
"Staples Jr Singers";"Searching";"You got to believe";"2024";"LUAKA BOP";1764990653;1764990852;;;
"Kendra Morris";"Next";"Go nowhere";"2025";"KARMA CHIEF";1764990837;1764991093;"https://www.deezer.com/track/3406426471";"https://open.spotify.com/track/3Ub2NUrn0sUF8vcQ3WKqLq";
"Leon Pops";"Dj Yoshizawa Dynamite. JP presents : Minyo groove 1963-1979 : Japan meets latin, rock, rare groove & funky vibes";"Mamurogawa ondo";"1971";"180G";1764991090;1764991266;;;
"Paul Simon";"Negotiations and love songs 1971-1986";"Mother and child reunion";"1972";"WARNER BROS";1764991251;1764991431;"https://www.deezer.com/track/6581084";"https://open.spotify.com/track/5vZ1BKMSLgrxxPYGMR904n";
"Bob Marley & The Wailers";"Selassie is the chapel";"Chances are (original)";"1997";"PENSE A MOI";1764991407;1764991605;;;
"Michael Head & The Red Elastic Band";"Loophole";"A ricochet moment";"2024";"MODERN SKY UK";1764991605;1764991773;"https://www.deezer.com/track/2792941432";"https://open.spotify.com/track/5HzijsPj9mMZICNgFIPSDB";"https://music.apple.com/fr/album/a-ricochet-moment/1728050771?i=1728050883&uo=4"
"Led Zeppelin";"Led Zeppelin IV";"Going To California";"1971";"ATLANTIC";1764991763;1764991984;"https://www.deezer.com/track/2291544915";;
"Pomme";"Des excuses";"Des excuses";"2025";"NAIVE";1764991965;1764992183;"https://www.deezer.com/track/3539326051";"https://open.spotify.com/track/3oheKF0nqti5irt9c83pIp";
"Al Jarreau";"Ain't no sunshine / Lean on me / kissing my love";"Ain't no sunshine";"1994";"AB PRODUCTION";1764992166;1764992302;"https://www.deezer.com/track/46591561";;
"Mourning (a) Blkstar";"Ancient//Future";"Junee";"2024";"DON GIOVANNI RECORDS";1764992288;1764992560;;;
"World Brain";"Open source";"Fromage collatéral";"2024";"MANSION AND MILLIONS";1764992545;1764992747;"https://www.deezer.com/track/2764687601";"https://open.spotify.com/track/1BjDuFwLrdjo6gPZBIRAAJ";
"Theo Champion";"The Mean Time";"The Mean Time";"2025";"AUTOPRODUCTION";1764992746;1764992915;"https://www.deezer.com/track/3343084491";"https://open.spotify.com/track/5GstR0lRCHdggvkq7nrVzG";
