"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"itunes";"spotify";"youtube"
"Pleasurewood";"Mojave desert";"Mojave desert";"2025";"FARFALLA RECORDS";1757880919;1757881147;"https://www.deezer.com/track/3342729191";"https://music.apple.com/fr/album/mojave-desert/1811076447?i=1811076461&uo=4";"https://open.spotify.com/track/56NbZeHsyTfTlb4euA05tp";
"Yasmine Baiou";"Créature inhumaine";"Créature inhumaine";"2024";"LISBON LUX RECORDS";1757881131;1757881412;"https://www.deezer.com/track/2992323891";"https://music.apple.com/fr/album/cr%C3%A9ature-inhumaine/1768095345?i=1768095810&uo=4";"https://open.spotify.com/track/0cwhbEAfCl1lle4W7yyLtF";
"Sully Braq";"Symphonie dans le coin d'une pièce";"Failullaby";"2022";"CHAMBRE MUSIC";1757881395;1757881632;"https://www.deezer.com/track/1743474757";"https://music.apple.com/fr/album/failullaby/1622860901?i=1622860902&uo=4";"https://open.spotify.com/track/4VSirivV74mlFyqi6QHKKi";
"Strongboi";"Special";"Special";"2025";"STRONGBOI";1757881615;1757881769;"https://www.deezer.com/track/3365252821";;"https://open.spotify.com/track/06pGjykKy9y55C5o9Unk0p";
"AZE";"We Move";"We move";"2022";"AUTOPRODUCTION";1757881749;1757881982;"https://www.deezer.com/track/1763834617";"https://music.apple.com/fr/album/we-move/1671321011?i=1671321532&uo=4";"https://open.spotify.com/track/34LPoXQEil10fjqreSV6ha";
"Joesef";"Play me something nice";"Don't give in";"2019";"BOLD CUT / AWAL RECORDING";1757881982;1757882203;"https://www.deezer.com/track/1898490417";"https://music.apple.com/fr/album/dont-give-in/1473936195?i=1473936202&uo=4";"https://open.spotify.com/track/2sBlNhuX1jZYCjSZvq3fQd";
"Slim Jim From The Donjon";"The lost Island";"Full moon walk";"2024";"HOLOGRAM RECORDS";1757882185;1757882489;"https://www.deezer.com/track/3045171981";"https://music.apple.com/fr/album/full-moon-walk/1773784363?i=1773784583&uo=4";"https://open.spotify.com/track/2ogH9h40Fjo7WoFIE3Sgam";
"Awa Ly";"Essence & elements";"Summer rain (relieves pressure)";"2025";"NAIVE";1757882470;1757882669;"https://www.deezer.com/track/3304424661";;"https://open.spotify.com/track/4SDueVRe8pOUIHTLiH0fna";
"Lake";"Forever or never";"Give back";"2017";"TAPETE";1757882652;1757882926;"https://www.deezer.com/track/493394592";"https://music.apple.com/fr/album/give-back/1203314524?i=1203314715&uo=4";"https://open.spotify.com/track/0KeK7RVbDaMh0aejmbUOmF";
"Neal Francis";"Sentimental garbage";"Strawberry letter 23";"2022";"ATO RECORDS";1757882907;1757883172;"https://www.deezer.com/track/1910171457";;"https://open.spotify.com/track/6zgEZWcdMXB1PKpnuHdom4";
"The Pro-Teens";"I flip my life every time I fly";"Spray it, don't say it";"2021";"MR BONGO";1757883152;1757883413;"https://www.deezer.com/track/1475167952";;"https://open.spotify.com/track/27iPP3SsK5vAzvOm1BdNdM";
"Le Couleur";"Comme dans un penthouse";"Au 44e étage... invisible touch";"2023";"LISBON LUX RECORDS";1757883395;1757883581;"https://www.deezer.com/track/2411006155";;;
"Common Saints";"Cinema 3000";"Dream on";"2024";"STARSONICS";1757883606;1757883859;"https://www.deezer.com/track/3507815151";;"https://open.spotify.com/track/5V9CnWuCZIp2MqnX9l8gdr";
"Kate Bush";"The Kick inside";"Oh to be in love";"1978";"EMI";1757883859;1757884071;"https://www.deezer.com/track/3128007";;"https://open.spotify.com/track/628RVPULYzx6bvh8uf0Msn";
"Quatuor Zemlinsky";"Franz Schubert : Les premiers quatuors à cordes";"Quatuor à cordes n°10 en Mi bémol Maj op 125 n°1 D 87 :  scherzo: prestissimo-trio";"2008";"PRAGA";1757884056;1757884209;;;;
"Marvin Gaye";"Trouble man";"This magic moment";"1969";"TAMLA MOTOWN (ET PM)@";1757884191;1757884364;"https://www.deezer.com/track/588246532";;"https://open.spotify.com/track/78fPXkLKAkMakXHZ9x0ZC9";
"Kelly Finnigan";"A lover was born";"Get a hold of yourself";"2024";"COLEMINE RECORDS";1757884357;1757884540;"https://www.deezer.com/track/2892958481";;"https://open.spotify.com/track/5t5gC4v5qtlJh4RlttLXIc";
"Setenta";"Apollo Solar Drive";"Apollo solar drive (feat. Grégoire Maret)";"2025";"LATIN BIG NOTE";1757884523;1757884768;;;;
"Greg Zlap";"Road movie(s)";"The harmonica the devil & the Chaplin piano";"2008";"NOCTURNE";1757884752;1757884876;;;;
"Paul Simon";"Still crazy after all these years";"Night game";"1975";"WARNER BROS";1757884858;1757885031;"https://www.deezer.com/track/6581144";;"https://open.spotify.com/track/7kzZwlkzIjVTgH9gbzsqe4";
"Marianne Faithfull";"Marianne Faithfull";"Plaisir d'amour";"1965";"LONDON ADRM";1757885038;1757885189;"https://www.deezer.com/track/115710960";;"https://open.spotify.com/track/1MwtuPYz9auZuLoD14E6O3";
"Shawn Lee";"Shawn Lee Rides again";"Kansas city summer";"2019";"A CE JOUR";1757885189;1757885427;"https://www.deezer.com/track/770365252";;"https://open.spotify.com/track/2maFMtWBtxWdK4AwSzjrmu";
"Erobique";"No. 2";"Acquamarina";"2023";"MR. MELLOW’S MUSIC";1757885410;1757885678;"https://www.deezer.com/track/2214663737";"https://music.apple.com/fr/album/acquamarina/1679809938?i=1679810217&uo=4";"https://open.spotify.com/track/75lQC2f3cbUUeS3J0nLY65";
"Odyssey";"Royal funk";"Going back to my roots";"1981";"WAGRAM";1757885667;1757885883;"https://www.deezer.com/track/62862350";"https://music.apple.com/fr/album/going-back-to-my-roots/303951065?i=303951078&uo=4";;
"Christian Yeye";"Disques Debs International Vol.3";"Misyé zanndo";"1993";"STRUT";1757885868;1757886164;"https://www.deezer.com/track/3173291561";;;
"Alain Jean Marie";"Biguine reflections";"Fête à la Guadeloupe";"2000";"COULEURS MUSIC";1757886164;1757886315;;;;
"Melissa Weikart";"Easy";"Running in the rain";"2025";"AUTOPRODUCTION";1757886298;1757886466;"https://www.deezer.com/track/3068240011";;"https://open.spotify.com/track/3W77N1CzJHCFsWyrDY5Jfs";
"Julie London";"BD Music presents Julie London";"September in the rain";"1956";"BDMUSIC";1757886451;1757886565;"https://www.deezer.com/track/103856210";;;
"Young Holt Unlimited";"Born again / Mellow dreamin'";"Raindrops keep falling on my head";"1970";"WATER";1757886550;1757886805;;;;
"Panda Bear";"Sinister grif";"Praise";"2025";"DOMINO";1757886790;1757887011;"https://www.deezer.com/track/3001194911";"https://music.apple.com/fr/album/praise/1761198973?i=1761198977&uo=4";"https://open.spotify.com/track/08aaQA6A7UHvbPGsfPrAFe";
"The Beach Boys";"Made in u.S.A.";"Fun, fun, fun";"1965";"EMI";1757886996;1757887131;"https://www.deezer.com/track/508354132";;;
"JB Dunckel & Jonathan Fitoussi";"Mirages II";"Iris";"2025";"PROTOYP RECORDINGS";1757887163;1757887370;;;;
"Bobby Caldwell";"Bobby Caldwell";"My flame";"1978";"POLYDOR";1757887370;1757887636;"https://www.deezer.com/track/1627634912";;"https://open.spotify.com/track/1FgyYm1kcXjkdR1VZmaiVo";
"Al Green";"Love and happiness";"Let's stay together";"1972";"MUSICCLUB";1757887621;1757887824;"https://www.deezer.com/track/97095572";;"https://open.spotify.com/track/63xdwScd1Ai1GigAwQxE8y";
"Tau & The Drones Of Praise";"Misneach";"It is right to give drones and praise";"2022";"GLITTERBEAT";1757887811;1757888171;;;"https://open.spotify.com/track/0Oxw7QybIHRMpjLaEIiNpS";
"Angela Gheorghiu";"Daughters";"Gianni Schicchi : O mio babbino caro (Air de Lauretta)";"2015";"WARNER CLASSICS";1757888166;1757888343;;;;
"Gerald Calvi";"Asterix au cinema";"(Les douze travaux d'Astérix) / L'île du plaisir";"1976";"PLAYTIME RECORDS";1757888312;1757888471;;;;
"Sophia Loren";"Tchic tchic french bossa nova 1963 1974";"De jour en jour";"1963";"BORD BAD";1757888461;1757888639;"https://www.deezer.com/track/142874868";;;
"Pad Deaf";"Bleu";"Fill";"2024";"KRISPY RECORDS";1757888620;1757888796;"https://www.deezer.com/track/3121132701";;"https://open.spotify.com/track/3tYUiS32WzK6WQQjcU4kRV";
"Hannah Cohen";"Earthstar mountain";"Draggin'";"2025";"BELLA UNION";1757888789;1757889069;"https://www.deezer.com/track/3156000761";;"https://open.spotify.com/track/4tYUqYAM5rxOQ4UhjlLV7r";
"T Rex";"Electric warrior";"Mambo sun";"1971";"UNIVERSAL MUSIC (LABEL & DISTRIBUTEUR)";1757889056;1757889281;;;;
"Jackie Mittoo & Brentford Rockers";"Studio One scorcher/Instrumentals";"Sidewalk doctor";"2002";"SOUL JAZZ";1757889270;1757889677;;;;
"Redeyes";"Slow";"Mockingbird";"2024";"FIVE ALLEY";1757889669;1757889945;"https://www.deezer.com/track/2964092501";;"https://open.spotify.com/track/46Bf7ZwvyKmKdOo7YWAfIs";
"Dj Design & Vermin The Villain";"Un chien perdu";"Un chien perdu";"2024";"LEWIS RECORDINGS";1757889921;1757890084;;;;
"Georges Delerue";"Musique de film / A bout de souffle";"Mona l'étoile sans nom : Mona";"";"HORTENSIA";1757890071;1757890168;;;;
"Romano Bianchi";"Le don et la disgrâce";"Les annees folles";"2023";"STONE PIXELS RECORDS";1757890157;1757890367;"https://www.deezer.com/track/2482313601";;"https://open.spotify.com/track/6QMWsHeHK4ej9JcqTcOORQ";
"Mereba";"The breeze grew a fire";"White doves";"2025";"SECRETLY CANADIAN";1757890354;1757890494;"https://www.deezer.com/track/3024236101";;"https://open.spotify.com/track/0AmUX3xWSizcLuYMfO36Ef";
"Aretha Franklin";"Lady soul";"A natural woman";"1968";"ATLANTIC";1757890493;1757890654;;;;
"Jeff Beck";"Beck-ola";"Girl from Mill Valley";"1969";"EMI";1757890652;1757890885;;"https://music.apple.com/fr/album/girl-from-mill-valley/697246533?i=697246862&uo=4";;
"Tokyo Tea Room";"There’s a place";"There’s a place";"2024";"NICE GUYS";1757890874;1757891041;"https://www.deezer.com/track/2871739682";;"https://open.spotify.com/track/6JW0QcGCKRIKFu5emOhsGP";
"Piers Faccini & Ballake Sissoko";"Our calling";"Mournful moon";"2025";"NO FORMAT";1757891053;1757891290;;;;
"My Friend Dario";"Senza estate";"Keep on cruising";"2024";"HELL YEAH";1757891278;1757891554;"https://www.deezer.com/track/2864294512";;"https://open.spotify.com/track/5WnrZilcGtEZ7KO5ra7o1c";
"Didier Makaga";"AOR global sounds / Vol. 5 : 1977-1984";"J’irai squatter ton coeur";"1984";"FAVORITE RECORDINGS";1757891537;1757891768;"https://www.deezer.com/track/1260623252";;;
"Alex Gopher";"You my baby and I";"The child (feat. Billie Holiday)";"1999";"V2";1757891755;1757892036;;;;
