"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"spotify";"deezer";"youtube"
"Chris Bacon";"BOF TV / Mercredi (Wednesday)";"Mercredi : It's a snood";"2022";"LAKESHORE RECORDS";1721707926;1721707972;;;;
"The Cramps";"File under sacred music (Early singles 1978-1981)";"Goo goo muck";"1981";"MUNSTER RECORDS";1721707972;1721708153;;"https://open.spotify.com/track/3EEd6ldsPat620GVYMEhOP";;
"Ben Harper";"She got kick";"She got kick";"2013";"UNIVERSAL";1721708149;1721708318;;"https://open.spotify.com/track/56j0qBTqlv5gno2b8TrEDL";"https://www.deezer.com/track/63461199";
"Mo Kolours";"Original flow";"Time";"2024";"WE RELEASE JAZZ RECORDS";1721708317;1721708512;;"https://open.spotify.com/track/2f6ggzZgGSVB1meYapl2nd";;
"Alpacas Collective";"Big words";"Boyoma (feat. Zouratié Koné)";"2023";"CATALPAS RECORDS";1721708508;1721708795;;;;
"Al Green";"I'm Still in love with you";"Love and happiness";"1972";"Hi Records";1721708793;1721709085;;"https://open.spotify.com/track/6SMHgPgNkhe9lneNTbgtel";;
"Adi Oasis";"Lotus glow";"Sidonie";"2023";"UNITY GROUP";1721709092;1721709288;"https://music.apple.com/fr/album/sidonie/1660061448?i=1660061704&uo=4";"https://open.spotify.com/track/0CARDWgulJdJvDFlbpryvw";"https://www.deezer.com/track/2071647257";
"Benny Sings";"Santa Barbara";"Santa Barbara";"2022";"STONES THROW RECORDS";1721709287;1721709504;;"https://open.spotify.com/track/5HYPU0x0lbMfMyCASETzK5";;
"Molly Lewis";"On the lips";"Crushed velvet";"2024";"JAGJAGUWAR";1721709500;1721709691;;"https://open.spotify.com/track/0ot8VA36fmxBlIqa5xbnf7";;
"Voyou";"Les royaumes minuscules";"Soleil soleil (feat. November Ultra)";"2023";"SONY MUSIC";1721709690;1721709872;;"https://open.spotify.com/track/4U8Dv8rLUSkWPqAf94zhhx";"https://www.deezer.com/track/2041041037";
"Sandra Bernardo & Natalia Doco";"Camino que pasa";"Camino que pasa";"2022";"AUTOPRODUCTION";1721709876;1721710055;"https://music.apple.com/fr/album/camino-que-pasa/1631208903?i=1631208904&uo=4";;;
"Cass Elliot";"Mama's big ones";"A song that never comes (mono single mix)";"1973";"GEFFEN";1721710051;1721710193;;;;
"Clear Path Ensemble";"Solar eclipse";"Solar eclipse";"2022";"SOUNDWAY RECORDS";1721710190;1721710378;"https://music.apple.com/fr/album/solar-eclipse/1635544490?i=1635544513&uo=4";"https://open.spotify.com/track/0ZXRm3EaDFJdwpGFe9X75F";"https://www.deezer.com/track/1832023737";
"Laura Cahen";"My girl (feat. Pi Ja Ma)";"My girl (feat. Pi Ja Ma)";"2022";"PIAS";1721710371;1721710591;;;;
"Ornette";"Crazy";"The lion $ the dall";"2011";"DISCO";1721710588;1721710829;;;;
"Tony Allen";"FIlm of life";"Go back (feat. Damon Albarn)";"2014";"HARMONIA MUNDI";1721710829;1721711153;"https://music.apple.com/fr/album/go-back-feat-damon-albarn/1443214546?i=1443214565&uo=4";;;
"The Pastel Six";"Intoxica / Strange and sleazy instrumental sounds  from the socal suburbs";"A week from tuesday";"2006";"DOWNEY";1721710829;1721710949;"https://music.apple.com/fr/album/a-week-from-tuesday/1621425900?i=1621426334&uo=4";"https://open.spotify.com/track/5KAGAlAWNeSIejYiJWPxxu";"https://www.deezer.com/track/1734042967";
"JD McPherson";"Let the good times roll";"Shy boy";"2015";"ROUNDER RECORDS";1721710948;1721711119;;"https://open.spotify.com/track/6Ka3YpoDoYXzvgoAfGACBZ";;
"Coralie Clement";"Bye bye beauté";"Indécise";"2005";"CAPITOL";1721711116;1721711273;;"https://open.spotify.com/track/1cRqSZwe9zhxIDxnNDQV9L";;
"Amparo Sanchez";"Espiritu del sol";"Hermosa";"2014";"WORLD VILLAGE";1721711272;1721711490;"https://music.apple.com/fr/album/hermosa/919507511?i=919507534&uo=4";;;
"Tito Puente";"Latin DJ all stars";"Safari";"1968";"WAGRAM MUSIC";1721711487;1721711620;"https://music.apple.com/fr/album/safari/1464264973?i=1464265149&uo=4";"https://open.spotify.com/track/5Pxp3yzPyK5uYvhBKmQTP8";;
"James Brown";"I feel good! - The best of";"I got you (I feel good)";"1965";"POLYDOR";1721711619;1721711785;;;"https://www.deezer.com/track/598055772";
"Sharon Jones & The Dap Kings";"Soul of a woman";"Sail on !";"2017";"DAPTONE RECORDS";1721711784;1721711960;;;;
"Kokoroko";"Could we be more";"Tojo";"2022";"BROWNSWOOD RECORDINGS";1721711957;1721712194;;"https://open.spotify.com/track/5w3b1UFMnOqxeNSiJBLzqO";"https://www.deezer.com/track/1822656727";
"Pat Kalla & Le Super Mojo";"Caramel";"Caramel";"2023";"PURA VIDA SOUNDS";1721712192;1721712385;"https://music.apple.com/fr/album/caramel/1694325945?i=1694326222&uo=4";;;
"Immy Owusu";"Lo-life !";"Flashback";"2023";"HOPESTREET RECORDINGS";1721712383;1721712630;;"https://open.spotify.com/track/06eCo019QxinfSvTIsIAQi";"https://www.deezer.com/track/2193605717";
"Bacao Rhythm & Steel Band";"BRSB";"Nuthin' but a G thang";"2024";"BIG CROWN RECORDS";1721712626;1721712805;;"https://open.spotify.com/track/0ijDK0OPC3c2vOd2Xrb0q5";"https://www.deezer.com/track/2540889001";
"Snoop Dogg";"Doggystyle";"Gz and hustlas";"1994";"INTERSCOPE RECORDS";1721712803;1721713035;;;;
"Bernard Wright";"Nothin' but a funk thang";"Haboglabotribin'";"1981";"V2";1721713036;1721713293;;"https://open.spotify.com/track/3XiHctnuCGCKuq2YC1O6ZU";"https://www.deezer.com/track/46126201";
"Prince";"Dirty mind";"Do it all night";"1980";"WARNER BROS";1721713283;1721713505;"https://music.apple.com/fr/album/do-it-all-night/214145168?i=214145300&uo=4";"https://open.spotify.com/track/6NlGNrAoQuO6bFMr9WXT8P";;
"Social Dance";"Rumeurs";"Fais le pour elles";"2022";"LISBON LUX";1721713502;1721713706;;;;
"Leon Phal";"Stress killer";"Bongo 113";"2023";"HEAVENLY SWEETNESS";1721713702;1721713963;;"https://open.spotify.com/track/69syLVWZKt6XUP8ZLbPos5";;
"Nicola Conte";"Umoja";"Flying circles";"2023";"FAR OUT RECORDINGS";1721713961;1721714301;"https://music.apple.com/fr/album/flying-circles/1687595227?i=1687595478&uo=4";"https://open.spotify.com/track/3V4o7VYKKDPmrKzppQDgOZ";;
"Madmadmad";"« Do you » b/w « Shambles »";"Do you";"2023";"BAD VIBRATIONS RECORDS";1721714293;1721714558;"https://music.apple.com/fr/album/do-you/1737418889?i=1737418896&uo=4";"https://open.spotify.com/track/27ckzZGMtYgXz3woYsUfAd";;
"France Lise";"French disco boogie sounds 1975-1984";"Pour moi ça va (Charles Maurice Version)";"1983";"FAVORITE";1721714556;1721714801;;;;
"Solange";"Brazilian disco boogie sounds /1978-1982";"Quero um baby seu";"1980";"FAVORITE RECORDINGS";1721714794;1721714991;;;;
"Brittany Davis";"Image issues";"Sepricon";"2024";"LOOSEGROOVE RECORDS";1721714988;1721715253;;"https://open.spotify.com/track/24lQ8JtUFN5F48UnL2Udqk";;
"Mac  Demarco";"One Wayne G";"20200327";"2023";"MAC DEMARCO, LLC";1721715253;1721715377;;"https://open.spotify.com/track/0uAHp8lkf6viAb8CPqzqx9";"https://www.deezer.com/track/2238193977";
"Baron Retif & Concepcion Perez";"Funk";"On fait comment";"2023";"MOSTLA / MUSIQUE LARGE";1721715377;1721715616;;"https://open.spotify.com/track/0csQIZy0hZjzvcBddxxAiv";;
"Mohamed Lamouri";"Méhari";"Ya rayah";"2023";"ALMOST-MUSIQUE";1721715613;1721715876;;"https://open.spotify.com/track/7ppSAC8IjZfDKPZuy8QcwN";;
"Yoni Mayraz";"Dybbuk Tse !";"Painkillers";"2023";"ASTIGMATIC RECORDS";1721715874;1721716091;"https://music.apple.com/fr/album/painkillers/1687460635?i=1687460986&uo=4";"https://open.spotify.com/track/5UoDEiibLvl259q9vkxWwa";"https://www.deezer.com/track/2279732687";
"Emma-Jean Thackray";"Yellow";"Spectre";"2021";"MOVEMENTT (WARP RECORDS)";1721716089;1721716356;;"https://open.spotify.com/track/6VcEe0UlNSqSCdQ2zFfwXK";"https://www.deezer.com/track/1390386712";
"Flying Lotus";"Reset";"Tea leaf dancers";"2007";"WARP";1721716348;1721716537;"https://music.apple.com/fr/album/tea-leaf-dancers/263228560?i=263228564&uo=4";"https://open.spotify.com/track/1D6Xuo2PmLcK247cgvX7AV";;
"Nerd";"Nothing";"Nothing on you";"2010";"STAR TRAK LL";1721716534;1721716731;;;;
"Les Sages Poetes De La Rue";"Jusqu'a l'amour";"Bouge tete seuf'";"1998";"EDEL RECORDS";1721716731;1721716943;;"https://open.spotify.com/track/0KoH1S8aP04OQcKnpjLWA9";;
"Beastie Boys";"The in sound from way out!";"Ricky's theme";"1996";"CAPITOL";1721716938;1721717162;;"https://open.spotify.com/track/2y5PBBac3bYilEkad4qbet";"https://www.deezer.com/track/3131835";
"Bobbie Gentry";"Country funk 1969-1975";"He made a woman out of me";"1970";"LIGHT IN THE ATTIC RECORDS";1721717159;1721717309;;"https://open.spotify.com/track/2gMxsK1P5PF65J6q4rsCYl";"https://www.deezer.com/track/3102680";
"George Soule";"The Fame studios story 1961-1973";"Get involved : Get involved";"1973";"KENT";1721717307;1721717507;;;;
"Makaya McCraven";"In these times";"Dream another";"2022";"INTERNATIONAL ANTHEM / NONESUCH / XL RECORDINGS";1721717505;1721717696;;"https://open.spotify.com/track/7vrUr4ik4xw8ukdGdQ1v9Q";;
"Minyo Crusaders";"Echoes of Japan";"Kushimoto bushi (cumbia)";"2019";"MAIS UM";1721717695;1721717996;;;"https://www.deezer.com/track/2198589547";
"Lucho Bermudez Y Su Orquesta";"Tolu y otros grandes exitos";"Tolu";"1989";"FM DISCOS";1721717995;1721718154;;"https://open.spotify.com/track/5SanC5O2phTdHu1qFuQGhB";;
"Tom Waits";"Frank's wild years";"Way down in the hole";"1986";"ISLAND";1721718154;1721718362;;;;
"Bessie Smith";"BD Music presents Bessie Smith";"Blue Spirit Blues";"1929";"?";1721718362;1721718537;;;"https://www.deezer.com/track/1031392222";
"Amy Winehouse";"Frank";"(there is) No greater love";"2003";"ISLAND";1721718534;1721718661;;"https://open.spotify.com/track/5ssPFzCfV7vy1oPyNQJoES";"https://www.deezer.com/track/102414348";
"Matthew Halsall";"An ever changing view";"Calder shapes";"2023";"GONDWANA RECORDS";1721718655;1721719079;;"https://open.spotify.com/track/7KoJQChUf2HAZQQOZkDU1r";;
"Haruyoshi Yamashina";"Tokyo glow";"Osake to joke";"1979";"WEWANTSOUNDS";1721719075;1721719288;;;;
"Munya";"Jardín";"Un deux trois";"2023";"LUMINELLE RECORDINGS";1721719284;1721719494;;"https://open.spotify.com/track/3B9rkj19z4Hno7NdkN6cNe";;
"Erika De Casier";"Still";"Ice";"2024";"4AD";1721719492;1721719656;;"https://open.spotify.com/track/0Tsr1YNiCw3znq8RYwiLjp";;
"Kiefer";"Between days";"Superhero";"2021";"STONES THROW";1721719656;1721719821;;"https://open.spotify.com/track/7AMcu9TrTEw0jSYKNjXyGD";"https://www.deezer.com/track/1289620042";
"Baxter Dury";"Prince of tears";"Miami";"2017";"HEAVENLY RECORDINGS";1721719816;1721720089;;"https://open.spotify.com/track/2qNJxMlONDZieqa2lCq0aU";"https://www.deezer.com/track/421044452";
"Gang Of Four";"Entertainment";"Natural's not in it";"1979";"SONOPRESSE @";1721720088;1721720275;;;;
"Betty Davis";"Betty Davis (Deluxe)";"If I'm in luck I might get picked up";"1973";"LIGHT IN THE ATTIC RECORDS & DISTRIBUTION";1721720274;1721720572;;"https://open.spotify.com/track/16gAn2l94SvrbAVgECAK19";;
"Coxsone";"Studio one dub fire special - Chapter 3 : 18 heavyweight dub cuts from Brentford road";"Better dub";"";"SOUL JAZZ RECORDS";1721720572;1721720746;;;;
"Domenique Dumont";"Miniatures de auto rhythm";"Le soleil dans le monde";"2018";"ANTINOTE";1721720741;1721720980;;"https://open.spotify.com/track/4Ve8G6KOhjDwi1fSOOdYds";"https://www.deezer.com/track/556003182";
"Aina";"Aloha got soul";"Your light";"1980";"STRUT RECORDS";1721720960;1721721148;;;;
"Papooz";"Resonate";"Minor miracles";"2024";"HALF AWAKE";1721721147;1721721339;;"https://open.spotify.com/track/5zg4vtr3r90Y6CFZPGZUTD";;
"George Benson";"The George Benson collection";"Breezin'";"1976";"WB";1721721332;1721721648;;"https://open.spotify.com/track/1m3BAsNsQAaSNMD2M6vlKY";"https://www.deezer.com/track/710681";
"Lucia Rango";"Lucia Rango canta Piero Ciampi";"Samba per un amore";"1967";"ANNI LUCE";1721721632;1721721762;;;;
"Betty Hutton";"Somebody Loves Me";"It's oh so quiet!";"1951";"SEPIA RECORDS";1721721760;1721721949;;;;
"The Arcs";"Electrophonic chronic";"Love doesn't live here anymore";"2023";"EASY EYE SOUND";1721721948;1721722171;;"https://open.spotify.com/track/1li7Xw94UTDJH6PGUIH8WZ";;
"Albrecht Mayer";"Albrecht Mayer : Récital de hautbois";"2 Mélodies op 46 : 2. Clair de lune - arrangement pour hautbois d'amour et piano";"2009";"TUDOR";1721722169;1721722346;;;;
"Veronique Sanson";"De l'autre côté de mon rêve";"Lorelei";"1972";"WEA";1721722344;1721722464;;;;
"Matthew Larkin Cassell";"The complete works";"Beggin' to stay";"1977";"STONES THROW RECORDS";1721722462;1721722593;;;"https://www.deezer.com/track/1947774227";
"Merryn Jeann";"Dog beach";"Thank god! for astrology !";"2024";"RESCUE / RETURN RECORDS";1721722591;1721722783;;;;
"Jacno";"So young but so cold";"Triangle";"1980";"TIGERSUSHI";1721722784;1721722990;;;;
"Molly Nilsson";"These things take time";"Wounds itch when they heal";"2009";"DARK SKIES ASSOCIATION";1721722982;1721723115;;"https://open.spotify.com/track/22VkMnH7MTeXrvU2RdmZYl";;
"Shuggie Otis";"Inspiration information";"Aht uh mi hed";"1974";"LUKA BOP";1721723115;1721723368;;;"https://www.deezer.com/track/7410264";
"Sugar Minott";"Sugar Minott at Studio One";"Love gonna pack up";"1978";"SOUL JAZZ RECORDS";1721723368;1721723560;;;;
"Brother Jack Mcduff";"Down Home Style";"Theme from electric surfboard";"1969";"BLUE NOTE";1721723558;1721723768;;;"https://www.deezer.com/track/3405514";
"Viktor Vaughn";"Vaudeville villain";"Mr. Clean";"2003";"SOUNDINK RECORDS";1721723766;1721723899;;"https://open.spotify.com/track/4fA40676Ja1N59rCa9QECx";;
