"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"itunes";"deezer";"youtube"
"Breakestra";"Dusk till dawn";"Get it right";"2009";"STRUT";1718921616;1718921805;"https://open.spotify.com/track/40KeMi4kkYpAlT1VmjrxDb";;;
"Jeff Lorber";"Flipside";"Flipside";"2005";"NARADA";1718921808;1718922047;"https://open.spotify.com/track/7r06xggcTDB88R2bU9Uzzt";"https://music.apple.com/fr/album/flipside/723679708?i=723680211&uo=4";;
"Jane Weaver";"Flock";"Flock";"2021";"FIRE RECORDS";1718922038;1718922242;"https://open.spotify.com/track/5GgYi7g01AwYCddV7CavEu";;"https://www.deezer.com/track/2125287967";
"Grand Union";"Folk funk & trippy troubadours / Vol. 2";"Morning Brings The Light";"2023";"RE WARM";1718922236;1718922398;"https://open.spotify.com/track/647tC7iF6P5hgTCQOI3EJ3";;;
"Yaya Bey";"Ten fold";"Yvette's cooking show";"2024";"BIG DADA";1718922397;1718922602;"https://open.spotify.com/track/4hYUrx6BJxfeE7pvaTDzif";;"https://www.deezer.com/track/2641721742";
"Arnaud Roulin";"Massages for piano";"Angela";"2023";"LYING LIONS PRODUCTIONS";1718922603;1718922835;"https://open.spotify.com/track/54FO8XcuRRCGeKRN8yaUVD";"https://music.apple.com/fr/album/angela/1671621234?i=1671621240&uo=4";;
"Janet Jackson";"Janet";"That's the way love goes";"2023";"CAPITOL";1718922810;1718923075;"https://open.spotify.com/track/6ZB8f8k6mT8FSZxZH1mTKa";;;
"Tropic Hotel";"Tum tum bossa";"Vivre une vie sans vivre";"2024";"VELVETICA MUSIC";1718923073;1718923260;"https://open.spotify.com/track/17QhNtr9QprLwlEnu0eLoU";"https://music.apple.com/fr/album/vivre-une-vie-sans-vivre/1748203235?i=1748205719&uo=4";;
"Jorge Ben";"Samba Esquema Novo";"Por causa de você, menina";"1963";"PHILIPS";1718923256;1718923421;;;;
"Piero Piccioni";"Action beat and psycho grooves from the italian cinema (1966-1974)";"Camille 2000 (film) : Chains of love";"1969";"SEMI-AUTOMATIC RECORDS";1718923417;1718923611;;;;
"Dire Straits";"Down on the waterline";"Southbound Again";"1978";"VERTIGO";1718923610;1718923785;"https://open.spotify.com/track/6MzKPuwhG9cFVRkKQ7RrtH";"https://music.apple.com/fr/album/southbound-again/1440801714?i=1440801914&uo=4";;
"The Islanders";"Louis Wayne moody high: 1967";"King of the surf";"2020";"NUMERO GROUP";1718923781;1718923951;"https://open.spotify.com/track/5Ih3NUSRWCSRIFxd0GtkD0";;"https://www.deezer.com/track/506932252";
"Les Louanges";"La nuit est une panthère";"Dm's";"2018";"BONSOUND";1718923948;1718924166;;;;
"Antoine Berjeaut";"Chromesthesia";"Life In Ocre";"2022";"MENACE";1718924165;1718924339;"https://open.spotify.com/track/5U0gnqztPxfTcrHDstHmSf";"https://music.apple.com/fr/album/life-in-ocre/1694993566?i=1694993567&uo=4";"https://www.deezer.com/track/2304719605";
"Dreamcastmoe";"Molly's son";"We gone make it";"2024";"SPECTRAL SOUND";1718924337;1718924602;"https://open.spotify.com/track/1ItIbKrwHtLzZXwTUVnfzU";;;
"The Sindecut & Ijeoma";"Early";"My mam said";"2024";"TRU THOUGHTS";1718924601;1718924836;;;;
"Romano Bianchi";"Le don et la disgrâce";"HS to HS";"2023";"STONE PIXELS RECORDS";1718924836;1718924984;;;;
"Blackjoy";"Grand soleil";"Michel Chevalet";"2024";"LES RYTHMES RUBAN";1718924983;1718925190;"https://open.spotify.com/track/1VptQspdC8R7hkR8sVua3E";;"https://www.deezer.com/track/2709670772";
"Why Mud";"Ketchup";"Ketchup";"2017";"BAGUETTE";1718925188;1718925410;;;;
"Total Experience";"Funk spectrum II / Vol 2";"Contradiction";"1975";"BBE";1718925412;1718925647;;;;
"Saigon Soul Revival";"Nao ta cung hat";"Nao ta cung hat (Dub)";"2020";"SAIGON SUPERSOUND";1718925644;1718925892;;;;
"Youthie";"Nomad skank";"Koala walk";"2019";"ZULU VIBES";1718925891;1718926145;"https://open.spotify.com/track/7oBvJGC2eKkFoLyzVvzEf4";;"https://www.deezer.com/track/682388212";
"Dario Moreno";"Oh ! que Dario !";"Papa loves mambo";"1955";"POLYGRAM";1718926144;1718926327;;"https://music.apple.com/fr/album/pap%C3%A1-loves-mambo/1443357518?i=1443358336&uo=4";"https://www.deezer.com/track/3975752";
"Etta James";"The dreamer";"Too tired";"2012";"VERVE";1718926330;1718926479;;;;
"Minuano";"Spring lovers";"Paper moon";"2010";"COLLEGE MUSIC RECORDS";1718926477;1718926690;"https://open.spotify.com/track/765kgQlal6rCJiYVQAsFmZ";"https://music.apple.com/fr/album/paper-moon/1743167176?i=1743167816&uo=4";"https://www.deezer.com/track/2766187211";
"Billa Qause";"Day & night";"I walk alone";"2011";"BECAUSE";1718926689;1718926907;;;;
"Reverend Baron";"From anywhere";"Fool on the ave";"2022";"KARMA CHIEF RECORDS";1718926904;1718927133;"https://open.spotify.com/track/1MXY573K2JTIRVGHnsGXTm";"https://music.apple.com/fr/album/fool-on-the-ave/1616913585?i=1616913605&uo=4";"https://www.deezer.com/track/1703648267";
"Rachel Chinouriri";"What a devastating turn of events";"I hate myself";"2024";"PARLOPHONE";1718927132;1718927329;"https://open.spotify.com/track/0p0IxvoTw3HPqDg5ObbUC7";"https://music.apple.com/fr/album/i-hate-myself/1743973064?i=1743973951&uo=4";"https://www.deezer.com/track/2761352441";
"Lord$";"Speed it up";"Fantasy";"2024";"TRICATEL";1718927328;1718927568;"https://open.spotify.com/track/7i4auXVFopusC43mgC9lum";;"https://www.deezer.com/track/2704030692";
"Thievery Corporation";"Abductions and reconstructions";"Closer to god";"1999";"EIGHTEENTH STREET LOUNGE MUSIC";1718927567;1718927835;;;;
"Paul Mac Cartney";"The 7"""" singles";"Check my machine (2011 remaster)";"2022";"PAUL MCCARTNEY CATALOG";1718927834;1718928179;;;;
"Grace Jones";"Love you to life";"Love you to life";"2010";"PIAS";1718928179;1718928386;;"https://music.apple.com/fr/album/love-you-to-life-cagedbaby-guy-williams-paradise-45-rework/367856217?i=367856243&uo=4";"https://www.deezer.com/track/547373682";
"Coxsone";"Studio one dub fire special - Chapter 3 : 18 heavyweight dub cuts from Brentford road";"Just can't dub";"";"SOUL JAZZ RECORDS";1718928400;1718928547;;;;
"Nana Budjei";"Ghana special 2 : Electronic highlife & afro sounds in the diaspora, 1980-93";"Asobrachie";"1988";"SOUNDWAY RECORDS LTD";1718928546;1718928844;;;"https://www.deezer.com/track/2621241012";
"Stella";"Détends-toi";"Plus vite";"2022";"COSMIC ROMANCE";1718928843;1718929094;"https://open.spotify.com/track/0TjvQoLEjKGnJlIo0DUM6u";"https://music.apple.com/fr/album/plus-vite/1633026533?i=1633026677&uo=4";;
"Erika De Casier";"Still";"Test it";"2024";"4AD";1718929085;1718929248;"https://open.spotify.com/track/1UMAHQ2G23kmost9bTNv26";"https://music.apple.com/fr/album/test-it/1712085894?i=1712085911&uo=4";"https://www.deezer.com/track/2641220312";
"Silvan Strauss";"Facing";"Storks";"2022";"KABUL FIRE RECORDS";1718929250;1718929395;"https://open.spotify.com/track/6pjLOywrQmflS5h8fQMdDU";"https://music.apple.com/fr/album/storks/1643955907?i=1643956481&uo=4";;
"The Isley Brothers";"The very best of : Harold Melvin &The Blue Notes - The Isley Brothers";"Love The One You're With";"1971";"SONY MUSIC";1718929394;1718929611;;"https://music.apple.com/fr/album/love-the-one-youre-with/169740221?i=169741961&uo=4";;
"Larry Jon Wilson";"Let me sing my song to you";"Sheldon churchyard";"1976";"BE WITH RECORDS";1718929611;1718929847;"https://open.spotify.com/track/5Ic08EW0Dn1v4s6FNzRIWZ";;;
"Jerry Lee Lewis";"The killer 1963-1969 Vol.8";"Break my mind";"1968";"BEAR FAMILY RECORDS";1718929841;1718929984;"https://open.spotify.com/track/7DdbCwWqSXTwucX2MdwCNH";"https://music.apple.com/fr/album/break-my-mind/1444196468?i=1444196703&uo=4";"https://www.deezer.com/track/2802363";
"Gavin Crisfield";"The buckling point";"Well-trodden lonesome blues";"2017";"AUTO PRODUCTION";1718929986;1718930272;"https://open.spotify.com/track/4cfiGQRxenXNzN67liKH5M";"https://music.apple.com/fr/album/well-trodden-lonesome-blues/1203840746?i=1203840826&uo=4";"https://www.deezer.com/track/141879721";
"Jurg Eichenberger";"Danza de la vida";"Valse-ballet - arrangement pour violoncelle et piano";"2018";"SOLO MUSICA";1718930267;1718930409;;;;
"Jimmy Witherspoon";"Mean old frisco";"Baby, baby, baby";"1970";"PRESTIGE";1718930406;1718930591;;;;
"Julie London";"BD Music presents Julie London";"Free and easy";"1956";"BDMUSIC";1718930579;1718930718;;;;
"Marion Rampal";"A volé";"A volé";"2022";"LES RIVIERES SOUTERRAINES";1718930720;1718930883;"https://open.spotify.com/track/5nxHquHybV72alTeaS8wem";;"https://www.deezer.com/track/1591913401";
"Dido";"Life for rent";"White flag";"2003";"ARISTA";1718930875;1718931113;"https://open.spotify.com/track/3adnLFXKO5rC1lhUNSeg3N";"https://music.apple.com/fr/album/white-flag-radio-edit/972068645?i=972068646&uo=4";;
"Nightmares On Wax";"Shape the future";"On it maestro";"2018";"WARP";1718931112;1718931361;"https://open.spotify.com/track/2Wg2fNCAZD4KdiWq9nHtCI";;"https://www.deezer.com/track/443266432";
"Jgrrey";"If not now ?";"Superrfly";"2023";"PACE";1718931356;1718931509;"https://open.spotify.com/track/1zUTgXHTArKPXhxykmRy0X";"https://music.apple.com/fr/album/superrfly/1698148275?i=1698148494&uo=4";"https://www.deezer.com/track/2371032245";
"Nxworries";"Daydreaming";"Daydreaming";"2023";"STONES THROW RECORDS";1718931507;1718931687;"https://open.spotify.com/track/6qqq5zPYV7U4UsKnGC82tw";;;
"Mike Oldfield";"Mike oldfield : Crises";"Foreign affair";"1983";"VIRGIN";1718931681;1718931912;;"https://music.apple.com/fr/album/foreign-affair-2013-remaster/1442908884?i=1442908892&uo=4";"https://www.deezer.com/track/3978860";
"Blonde Redhead";"23";"Silently";"2007";"4AD";1718931911;1718932144;"https://open.spotify.com/track/2zfmwjtGlR1y3UApiEXS95";;;
"Poni Hoax";"Tropical suite";"Tropical suite";"2017";"PAN EUROPEAN RECORDING";1718932151;1718932294;"https://open.spotify.com/track/2zytbkpYaqGrVdEQ0QF1vg";;"https://www.deezer.com/track/1280571722";
"Hassan Shamaizadeh";"Zendooni : Funk, psychedelia and pop from the iranian pre-revolution generation";"Safar (Journey)";"";"PHARAWAY SOUNDS";1718932294;1718932529;;;;
"Dee Dee Warwick";"Before they were hits / Vol.3";"You're no good";"1963";"TRIPLE CROWN";1718932527;1718932675;;;;
"Sylford Walker";"Lamb's bread international";"Chant down Babylon";"2000";"BLOOD AND FIRE";1718932672;1718932870;;;;
"Camille Bazbaz";"Manu militari";"No limit";"2019";"22D MUSIC GROUP";1718932871;1718933035;;;;
"Saint Michel";"Saint Michel";"Espace publicitaire";"2022";"SALES GOSSES RECORDS";1718933034;1718933104;"https://open.spotify.com/track/0xvTrOV9HPTaY3ND7t9DCA";"https://music.apple.com/fr/album/espace-publicitaire/1604875559?i=1604876637&uo=4";"https://www.deezer.com/track/1620770492";
"Jessica Pratt";"Here in the pitch";"Life is";"2024";"CITY SLANG";1718933099;1718933279;"https://open.spotify.com/track/7I20yqgoGEEfXBK8YNICJ8";;;
"West";"Sad about the times";"Sad about the times";"1969";"KEMADO RECORDS";1718933272;1718933422;"https://open.spotify.com/track/3x3DglWS72YSw1t0P2Vhxw";;"https://www.deezer.com/track/855439392";
"Tamtam";"Ramble In the rainbow";"Nue";"2024";"PPU";1718933423;1718933651;"https://open.spotify.com/track/6ewQUvxuOuS5Tptop43br6";"https://music.apple.com/fr/album/nue/1722550611?i=1722550939&uo=4";"https://www.deezer.com/track/2595437212";
"Cousin Kula";"Vitamin D";"The sun";"2024";"RHYTHM SECTION ITNL.";1718933649;1718933836;"https://open.spotify.com/track/0wNAQj2w4sVY7VzihW3wMG";;"https://www.deezer.com/track/2555455402";
"Figub Brazlevic & Parental";"Métro-bahn";"20000 (feat. below your mind)";"2024";"KREKPEK";1718933834;1718934044;;;;
"Fabe";"Le fond et la forme";"Des durs, des boss... des dombis!";"1997";"UNIK RECORDS";1718934034;1718934263;;;;
"Us 3";"Broadway and 52nd";"I'm thinking about your body";"1997";"BLUE NOTE";1718934264;1718934587;;;;
"Horace Silver";"Total Response";"Soul searchin'";"1972";"BLUE NOTE";1718934585;1718934843;"https://open.spotify.com/track/3PYOwQFOdPMMfuHtxt1R1Z";"https://music.apple.com/fr/album/soul-searchin/781564752?i=781564819&uo=4";;
"Lee Fields";"My world (instrumentals)";"Ladies (instrumental)";"2009";"TRUTH & SOUL RECORDS";1718934836;1718935092;;;;
"Fleetwood Mac";"English rose";"Black magic woman";"1968";"BGO RECORDS";1718935091;1718935253;;"https://music.apple.com/fr/album/black-magic-woman/324296505?i=324297140&uo=4";"https://www.deezer.com/track/545753";
"John Lee Hooker";"Boom boom";"Boom boom";"1992";"VIRGIN";1718935253;1718935505;;;;
"Bobby Hebb";"Sunny";"You don't know what you got until you lose it";"1966";"TROCADERO RECORDS";1718935503;1718935651;;"https://music.apple.com/fr/album/you-dont-know-what-you-got-until-you-lose-it/1440918582?i=1440918594&uo=4";;
"Sweatson Klank";"Embers";"B movie";"2024";"FRIENDS OF FRIENDS";1718935666;1718935843;"https://open.spotify.com/track/7MwDiDmFJzHGy31iz3qIfd";"https://music.apple.com/fr/album/b-movie/1724951216?i=1724951228&uo=4";"https://www.deezer.com/track/2613982102";
"Jordan Rakei";"Trust";"Trust";"2024";"DECCA RECORDS";1718935841;1718936046;;"https://music.apple.com/fr/album/trust/1720224491?i=1720225211&uo=4";;
"Dub Colossus";"Addis to omega";"Mi dad";"2014";"ECHOMASTER";1718936045;1718936243;;;;
"Nubiyan Twist";"Find your flame";"Carry me (feat. Seun Kuti)";"2024";"STRUT RECORDS";1718936240;1718936472;;;;
"Hubert Laws";"Hubert Laws : In the beginning";"Gymnopedie #1";"1974";"CTI RECORDS";1718936474;1718936706;"https://open.spotify.com/track/0KC2nohOCPVXkQZ7vqRq3g";"https://music.apple.com/fr/album/gymnopedie-1/933345652?i=933345687&uo=4";"https://www.deezer.com/track/1041077";
"Aida Garifullina";"Aida Garifullina";"Siren' op 21 n°5";"2017";"DECCA";1718936699;1718936846;;;;
"Serge Gainsbourg";"Histoire de Melody Nelson";"Melody";"1971";"PHILIPS";1718936845;1718937293;"https://open.spotify.com/track/1fWUWwXvAxlLEwJOVq67zE";"https://music.apple.com/fr/album/melody/1554326645?i=1554330636&uo=4";"https://www.deezer.com/track/212180451";
"Noonday Underground";"Surface Noise";"Hitch your wagon to the stars";"2002";"SETANTA";1718937292;1718937432;"https://open.spotify.com/track/2SXFYkcccLxauQOJLFWxdo";"https://music.apple.com/fr/album/hitch-your-wagon-to-the-stars/875108591?i=875108695&uo=4";"https://www.deezer.com/track/78276177";
"J. Bernardt";"Last Waltz";"Last waltz";"2024";"PIAS";1718937432;1718937592;"https://open.spotify.com/track/0ArK1r4poKWG8GWfPmumhg";"https://music.apple.com/fr/album/last-waltz/1730728829?i=1730729010&uo=4";;
"JD McPherson";"Let the good times roll";"Shy boy";"2015";"ROUNDER RECORDS";1718937590;1718937762;"https://open.spotify.com/track/6Ka3YpoDoYXzvgoAfGACBZ";;;
"Le Migou";"California Love";"Pistolero";"2017";"GROLEKTIF PRODUCTIONS";1718937761;1718937977;;;;
"Dinah Washington";"The swingin' miss """"D""""";"Caravan";"1956";"VERVE";1718937976;1718938134;;"https://music.apple.com/fr/album/caravan/500568278?i=500569086&uo=4";"https://www.deezer.com/track/616990302";
"Fairuz";"In America";"Ya mayla aal ghousoun";"1971";"RIGHT TRACK";1718938133;1718938319;;;;
"Sharky";"Up till now";"Hawaii";"2024";"TRU THOUGHTS";1718938318;1718938499;"https://open.spotify.com/track/2zX8I0rAFJGSTbaVo5nINp";"https://music.apple.com/fr/album/hawaii-instrumental/1732258049?i=1732258188&uo=4";;
"Rukhsana Merrise";"September songs (EP)";"Standing still";"2015";"COMMUNION GROUP";1718938498;1718938645;"https://open.spotify.com/track/2m6UBxQLqfLamPHEMjcNTx";"https://music.apple.com/fr/album/standing-still/1444328216?i=1444328403&uo=4";"https://www.deezer.com/track/107537642";
"Tom Misch";"Quarantine sessions";"For Carol (Quarantine Sessions)";"2021";"BEYOND THE GROOVE";1718938644;1718938923;;;"https://www.deezer.com/track/1951178547";
"Teme Tan";"Témé Tan";"Améthys";"2017";"PIAS";1718938923;1718939140;"https://open.spotify.com/track/1OHWHRCfDnRLLig4JVj4Fm";;;
"Wayne Smith";"Smoking reggae";"Under mi slengteng";"1984";"EMI";1718939154;1718939400;;;;
"Seafood Sam";"Standing on giant shoulders";"Bullets from a butterfly";"2024";"DRINK SUM WTR";1718939395;1718939592;"https://open.spotify.com/track/5Jp0dKE3ljASWW3Hy3LCO9";;;
"Eric Hilton";"Sound vagabond";"Endless affair";"2023";"MONTSERRAT HOUSE";1718939589;1718939760;;;;
"Project Gemini";"Colours & light";"Colours & light";"2024";"MR BONGO";1718939757;1718940012;"https://open.spotify.com/track/7fbGwtFrVZGq2dMaFJy8Z9";;"https://www.deezer.com/track/2586340142";
"The Mamas & The Papas";"16 Of Their Greatest Hits";"Dancing in the street";"1966";"MCA RECORDS";1718940012;1718940241;"https://open.spotify.com/track/1Vv7ZtyDro81xmznV48gF6";"https://music.apple.com/fr/album/dancing-in-the-street/1423333392?i=1423333813&uo=4";"https://www.deezer.com/track/538670242";
"Kid$";"MaAuLa-o-rama / vol 1 : Exotic viennoiseries";"Midnight on the stormy deep";"2017";"MAAULA RECORDS";1718940238;1718940466;;;;
"Oxalys";"Ferdinand Ries : Intégrale des quatuors avec flûte traversière";"Quatuor en ut min op 145 n°1 : Allegro all'espagnola";"2011";"";1718940461;1718940689;;;;
"Domenico Lancellotti";"Remixes Ep";"Florecer (Ricardo Dias Gomes remix)";"2024";"MAIS UM";1718940688;1718940893;;;;
"Julien Baer";"Julien baer";"Dérive";"1997";"POLYDOR";1718940892;1718941152;;;;
"Ramsey Lewis";"Maiden voyage (and more)";"Les fleurs";"1968";"GRP (V. ARISTA GRP)";1718941151;1718941423;;;"https://www.deezer.com/track/81657250";
"Bruno Spoerri";"Der würger vom tower";"Der wu¨rger vom tower 1 (big ben’s little secret)";"1966";"FINDERS KEEPERS";1718941420;1718941513;;;;
"Dog Park";"Festina lente";"Time";"2024";"GEOGRAPHIE";1718941512;1718941695;"https://open.spotify.com/track/7rE8Ri3413AjapnOkBu3AQ";"https://music.apple.com/fr/album/time/1730905627?i=1730905628&uo=4";;
"The White Stripes";"Get behind me Satan";"The denial twist";"2005";"XL";1718941708;1718941856;"https://open.spotify.com/track/4Hzg7Hcqo2aUooTQ0pnBYC";"https://music.apple.com/fr/album/the-denial-twist/65645123?i=65645050&uo=4";"https://www.deezer.com/track/1092293182";
"Swamp Dogg";"Love, loss, and auto-tune";"Lonely";"2018";"JOYFUL NOISE";1718941854;1718942013;"https://open.spotify.com/track/2C1AsnDaK873i5FZ0QL7CU";"https://music.apple.com/fr/album/lonely/1391970463?i=1391970467&uo=4";"https://www.deezer.com/track/538838252";
"Resolution 88";"Afterglow";"Homing in";"2016";"SBCD2";1718942013;1718942277;;"https://music.apple.com/fr/album/homing-in/1478008260?i=1478008269&uo=4";"https://www.deezer.com/track/741451432";
"Alice";"BOF / House of Gucci";"Una notte speciale";"1986";"METRO GOLDWYN MAYER / UNIVERSAL / DECCA";1718942276;1718942530;;"https://music.apple.com/fr/album/una-notte-speciale/723944483?i=723944733&uo=4";;
"Elegance";"100% tubes de l'été";"Vacances j'oublie tout";"";"WAGRAM MUSIC";1718942527;1718942761;;"https://music.apple.com/fr/album/vacances-joublie-tout/1663799496?i=1663805596&uo=4";;
"Marta Del Grandi";"Until we fossilize";"Amethyst";"2021";"FIRE RECORDS";1718942776;1718943009;"https://open.spotify.com/track/69uVn0ygSoC7l0lZZKbr6s";"https://music.apple.com/fr/album/amethyst-edit/1667409118?i=1667409125&uo=4";"https://www.deezer.com/track/2120283387";
"Céu";"Novela";"Gerando na alta";"2024";"URBAN JUNGLE / ONERPM";1718942992;1718943238;"https://open.spotify.com/track/4G4eOBdzSRr7n7cp1sapat";;;
"Sven Wunder";"Wabi sabi";"Bamboo and rocks";"2020";"LIGHT IN THE ATTIC RECORDS";1718943240;1718943417;"https://open.spotify.com/track/7ndM7fNwsl4lMOoqYjknyD";"https://music.apple.com/fr/album/bamboo-and-rocks/1671868302?i=1671869036&uo=4";"https://www.deezer.com/track/2149611917";
"Odyssey";"Hang together (Expanded edition)";"Hang together";"1980";"RCA - LEGACY";1718943413;1718943772;"https://open.spotify.com/track/1VyzLNcRqpVaEhbqjYOPdF";;;
"Mamas Gun";"Cure the Jones";"Party for one";"2022";"LEGERE RECORDINGS";1718943765;1718944055;"https://open.spotify.com/track/380BSMOdud50NotaTV0dOD";"https://music.apple.com/fr/album/party-for-one/1611027907?i=1611028257&uo=4";;
