"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"spotify";"itunes"
"Dafne Kritharas";"Djoyas De Mar";"Irme Kero Madre";2018;"LIOR EDITIONS";1710268371;1710268551;;"https://open.spotify.com/track/00XtHt5C10lrXcqpQVzviz";"https://music.apple.com/fr/album/irme-kero-madre/1435718235?i=1435718250&uo=4"
"Enrico Pieranunzi";"Double circle";"Belja flor";2015;"CAM JAZZ";1710268548;1710268907;;;
"Bex Burch";"There is only love and fear";"Follow me I make you happy";2023;"INTERNATIONAL ANTHEM RECORDING CO.";1710268905;1710269130;;;
"Cab Calloway";"Blues make me happy : The ABC-Paramount and Coral years (1956-1961)";"I'll follow you";1961;"SEPIA";1710269128;1710269293;"https://www.deezer.com/track/1699171887";;
"Daniel Garcia Trio";"Vía de la Plata";"Spring of life";2021;"ACT MUSIC";1710269292;1710269503;"https://www.deezer.com/track/1451388292";"https://open.spotify.com/track/1jfeTu7iQd0vhGSXJ1FEjw";"https://music.apple.com/fr/album/spring-of-life/1579642505?i=1579642604&uo=4"
"Kofi Flexxx";"Flowers in the dark";"Increase awareness (feat. Ganavya)";2023;"NATIVE IN THE DARK";1710269498;1710269777;;;"https://music.apple.com/fr/album/increase-awareness-feat-ganavya/1702105878?i=1702105886&uo=4"
"Blue Mitchell";"The last tango blues";"Killing me softly with his song";1973;"MAINSTREAM RECORDS";1710269777;1710269956;;"https://open.spotify.com/track/16gFLUgmJV1XugI6Z6Oup1";
"Les Rugissants";"Le cri";"Hyménée";2024;"PEGAZZ & L'HELICON";1710269955;1710270223;;;
"Aaron Frazer";"Introducing";"If I Got It (Your Love Brought It)";2021;"DEAD OCEANS";1710270221;1710270390;;"https://open.spotify.com/track/1jSAARNT7fzLTcPc4IUQQz";"https://music.apple.com/fr/album/if-i-got-it-your-love-brought-it/1525638178?i=1525638183&uo=4"
"The Animals";"Bo Diddley is a songwriter";"The story of Bo Diddley";1964;"ACE RECORDS";1710270386;1710270728;;;"https://music.apple.com/fr/album/the-story-of-bo-diddley/696659789?i=696659864&uo=4"
"Bonnie Banane";"Franchement";"Franchement";2023;"PECHE MIGNON - GRAND MUSIQUE MANAGEMENT";1710270725;1710270875;"https://www.deezer.com/track/2596471692";;
"Larry Houl";"Into the void";"Nature energy (feat. Cosmique Monique)";2024;"THE DISCO EXPRESS";1710270875;1710271050;;;
"Mathematiques Modernes";"Les visiteurs du soir";"TV night (Instrumental)";2012;"CELLULOID";1710271048;1710271246;;;
"Sonzeira";"Tam tam tam reimagined";"Aves de leme (feat. Daniel Casimir)";2016;"BROWNSWOOD";1710271243;1710271440;;"https://open.spotify.com/track/6mqhOcNjsi6jcAxOWzCRp3";"https://music.apple.com/fr/album/aves-de-leme-feat-daniel-casimir/1561238030?i=1561238035&uo=4"
"Max Romeo & The Upsetters";"War Ina Babylon";"I chase the devil";1976;"ISLAND";1710271433;1710271639;;;
"Tony Allen";"FIlm of life";"Go back (feat. Damon Albarn)";2014;"HARMONIA MUNDI";1710271612;1710271943;;;"https://music.apple.com/fr/album/go-back-feat-damon-albarn/1443214546?i=1443214565&uo=4"
"Curtis Mayfield";"Sweet exorcist";"Make me believe in you";1974;"CNR";1710271633;1710271963;;"https://open.spotify.com/track/1yw66ZPsfqblI4PFcEdIKe";"https://music.apple.com/fr/album/make-me-believe-in-you/1181989962?i=1181990085&uo=4"
"Joe Yorke";"Hopeless";"Hopeless";2023;"RHYTHM STEADY";1710271960;1710272088;"https://www.deezer.com/track/2471721581";"https://open.spotify.com/track/0ymcglA4PYo7H7teqBQNs3";
"John Barry";"Eternal echoes";"Crazy dog";2001;"DECCA";1710272086;1710272267;;"https://open.spotify.com/track/4r1Eiy4NdQmH6SeKh2ATXz";
"Lita Roza";"Allentown jail, the very best of Lita Roza (1951-1962)";"(How much is) That doggie in the window ?";1953;"JASMINE RECORDS";1710272265;1710272399;;;
"Anderson .Paak";"Oxnard";"Anywhere (feat. Snoop Dogg & The Last Artful, Dodgr)";2018;"AFTERMATH /12 TONE MUSIC, LLC";1710272398;1710272626;"https://www.deezer.com/track/585667542";"https://open.spotify.com/track/4n02GblHZte3q5AzcLHlIK";
"William Doyle";"Eternal springs";"Cannot unsee";2024;"TOUGH LOVE RECORDS";1710272623;1710272811;"https://www.deezer.com/track/2483875351";"https://open.spotify.com/track/5DQWqigPnGjhbuiJ6Y8Vf1";"https://music.apple.com/fr/album/cannot-unsee/1710623653?i=1710623953&uo=4"
"Vegyn";"The path less travelled";"The path less travelled";2024;"PL Z MAKE IT RUINS";1710272808;1710273023;;"https://open.spotify.com/track/18cm1ZEAPohP5fWo0o0RAe";"https://music.apple.com/fr/album/the-path-less-travelled/1701651479?i=1701651489&uo=4"
"Barbagallo";"Nuit après nuit";"Nuit après nuit";2023;"LA SOUTERRAINE";1710273020;1710273295;"https://www.deezer.com/track/2628585712";"https://open.spotify.com/track/2Bb7UfjNIPecbhnAgCSuk5";"https://music.apple.com/fr/album/nuit-apr%C3%A8s-nuit/1709969630?i=1709969631&uo=4"
"Vampire Weekend";"Capricorn / gen-x cops";"Capricorn";2024;"COLUMBIA";1710273287;1710273535;;"https://open.spotify.com/track/2tKqhcDNVVKXJqllKzrecM";"https://music.apple.com/fr/album/capricorn/1728945682?i=1728945688&uo=4"
"Cat Stevens";"New masters";"Blackness of the night";1967;"DECCA";1710273533;1710273680;;;"https://music.apple.com/fr/album/blackness-of-the-night-mono-single-version/1547618659?i=1547619073&uo=4"
"Johnny Cash & June Carter Cash";"16 Biggest hits";"'cause i love you";1969;"COLUMBIA";1710273680;1710273831;;;
"Nemanja Radulovic";"Les Trilles Du Diable";"Romance andalouse op 22 n°1";2009;"DECCA";1710273830;1710274090;;;
"Papete";"Berimbau e percussao - music and rhythms of Brazil";"Bumba meu boi";1975;"UNIVERSAL SOUND";1710274089;1710274282;;"https://open.spotify.com/track/4GuaaxacnI4G6R2XnCkM3I";"https://music.apple.com/fr/album/bumba-meu-boi/1689703870?i=1689704386&uo=4"
"Claude Nougaro";"Africa Brasil / Integrale  vol. 4";"L'amour sorcier";1965;"MERCURY";1710274278;1710274485;;;
"Stevie Ray Vaughan";"Couldn't stand the weather";"Voodoo chile (slight return)";1984;"EPIC";1710274483;1710274960;;;
