"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"spotify";"deezer"
"Morricone Youth";"Battleship Potemkin";"Giliarovsky is watching";2023;"LIGHT IN THE ATTIC";1707997700;1707998063;"https://music.apple.com/fr/album/giliarovsky-is-watching/1719003453?i=1719003457&uo=4";"https://open.spotify.com/track/1wninuE6wELFpTXOXT3M0I";
"Renarde";"Courts metrages";"Comme un mensonge";2021;"NUANCE RECORDS / KURONEKO";1707997885;1707998055;;"https://open.spotify.com/track/60W8HyGO0bfvOQpswfujaj";
"Love";"Forever changes";"Alone again or";1967;"ELEKTRA";1707998054;1707998247;"https://music.apple.com/fr/album/alone-again-or/217606771?i=217606773&uo=4";;"https://www.deezer.com/track/672299"
"Emiliana Torrini";"Me and armini";"Ha ha";2008;"ROUGHTRADE";1707998244;1707998438;"https://music.apple.com/fr/album/ha-ha/289405558?i=289405619&uo=4";"https://open.spotify.com/track/74DUcxW3KRZwveOKc8W4pJ";
"Molly Lewis";"On the lips";"The crying game";2024;"JAGJAGUWAR";1707998437;1707998632;"https://music.apple.com/fr/album/the-crying-game/1712878079?i=1712878591&uo=4";"https://open.spotify.com/track/1G9vZiz2B20W5YLfaNT3EF";
"Roger Miller";"All time greatest hits";"England swings (single version)";1965;"MERCURY NASHVILLE";1707998631;1707998744;;;"https://www.deezer.com/track/602429572"
"John Holt";"Essential artist collection";"Reggae from the ghetto";1973;"TROJAN RECORDS";1707998743;1707998918;;;"https://www.deezer.com/track/2230859767"
"Sting";"The very best of sting & the police";"Englishman in New York";1987;"A&M";1707998906;1707999169;;"https://open.spotify.com/track/4KFM3A5QF2IMcc6nHsu3Wp";
"Moodymann";"Moodymann";"Hold it down";2014;"KENNETH DIXON";1707999166;1707999340;"https://music.apple.com/fr/album/hold-it-down/796538533?i=796538578&uo=4";"https://open.spotify.com/track/0HQZJbulEJMr5hnGdHz8Wu";"https://www.deezer.com/track/75411194"
"Neue Grafik";"Roy - EP";"Roy";2016;"BEAT X CHANGERS";1707999340;1707999466;;"https://open.spotify.com/track/5OQv3gSFvf39m7mQwhWwJX";
"Awon & Parental";"Sublime";"Goretex (feat. Debonair P)";2024;"HHV RECORDS";1707999462;1707999659;;;
"Baby Rose";"Through and through";"Dance with me";2023;"SECRETLY CANADIAN";1707999654;1707999852;;"https://open.spotify.com/track/5TdzPzC6hlBT5cofaaqybi";"https://www.deezer.com/track/2094692917"
"Les Cris De Paris";"Memento mori";"Disperar di se stesso : Allor che più pena - cantate morale à 5 voix et basse continue";2012;"APARTE";1707999850;1708000043;;;
