"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"deezer";"spotify"
"Finley Quaye";"Maverick a strike";"Even after all";"1997";"SONY";1742370039;1742370270;"https://music.apple.com/fr/album/even-after-all/211423363?i=211424260&uo=4";;"https://open.spotify.com/track/096O9QxDBQ1xPIyLskGwbq"
"Metronomy";"Mandibules";"Mandibules";"2021";"BECAUSE";1742370268;1742370578;;;
"Jeanne Moreau";"Toujours";"Rien n'arrive plus";"1963";"CANETTI";1742370420;1742370607;"https://music.apple.com/fr/album/rien-narrive-plus/1294638614?i=1294639399&uo=4";"https://www.deezer.com/track/416199372";
"Belle And Sebastian";"The boy with the arab strap";"Ease your feet in the sea";"1998";"DELABEL";1742370606;1742370818;"https://music.apple.com/fr/album/ease-your-feet-in-the-sea/516530719?i=516530758&uo=4";"https://www.deezer.com/track/17914662";"https://open.spotify.com/track/5xb2LIv7SFiO1pwWaSqJ8Z"
"Marshall Allen & Neneh Cherry";"New dawn (radio edit)";"New dawn (radio edit)";"2025";"WEEK-END RECORDS";1742370816;1742371036;"https://music.apple.com/fr/album/new-dawn-radio-edit/1784995274?i=1784995641&uo=4";;
"Lita Roza";"Allentown jail, the very best of Lita Roza (1951-1962)";"Hernando's hideaway";"1955";"JASMINE RECORDS";1742371035;1742371207;;"https://www.deezer.com/track/100536486";
"Bo/Il Etait Une Fois Dans L Ouest";"Musiques de films / Ennio Morricone his greatest themes movies";"L'adieu à Cheyenne";"1968";"RCA/BMG";1742371206;1742371362;;;
"Sierra Ferrell";"Trail of flowers";"Rosemary";"2024";"ROUNDER RECORDS";1742371361;1742371577;"https://music.apple.com/fr/album/rosemary/1723919787?i=1723920148&uo=4";"https://www.deezer.com/track/2704494962";"https://open.spotify.com/track/2WzbImUwpFZYnl6Zn44API"
"The Red Goes Black";"Keep it in mind";"Summer night";"2023";"DAYDREAM MUSIC";1742371575;1742371797;"https://music.apple.com/fr/album/summer-night/1679631283?i=1679631628&uo=4";"https://www.deezer.com/track/2134420427";"https://open.spotify.com/track/6VJ70HLBFjSrm5lQWq5YSp"
"Everything Is Recorded";"Temporary";"Ether (feat. Maddy Prior)";"2025";"XL";1742371796;1742371996;;;
"The Offline";"Les cigales";"Chambre d'amour";"2024";"DEEPMATTER RECORDS";1742371993;1742372144;"https://music.apple.com/fr/album/chambre-damour/1755160394?i=1755161643&uo=4";;"https://open.spotify.com/track/35EFQw4C3ZZGuJduGjNag0"
"Serge Gainsbourg";"De Gainsbourg a gainsbarre : Vol 5 : 1969-1970-1971";"69 année érotique (avec jane birkin)";"1969";"FONTANA";1742372142;1742372338;;;
"Pastor T.L. Barrett And The Youth For Christ Choir";"Like a ship (Without a sail)";"It's me o lord";"1971";"LIGHT IN THE ATTIC";1742372333;1742372544;"https://music.apple.com/fr/album/its-me-o-lord/1253758522?i=1253758532&uo=4";;"https://open.spotify.com/track/4eDyujiAavhtJR7ZffQgCt"
"Mo Kolours";"Original flow";"Time";"2024";"WE RELEASE JAZZ RECORDS";1742372541;1742372740;;"https://www.deezer.com/track/2555699582";"https://open.spotify.com/track/2f6ggzZgGSVB1meYapl2nd"
"Trio Alborada";"Alborada / Oeuvres pour orgue et duo de guitares";"Danse espagnole n°2 : orientale - arrangement pour 2 guitares";"2005";"CALLIOPE";1742372737;1742373030;;;
