"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"itunes";"spotify"
"Ramsey Lewis";"Maiden voyage (and more)";"Maiden voyage";"1968";"GRP (V. ARISTA GRP)";1736704913;1736705203;"https://www.deezer.com/track/568119912";"https://music.apple.com/fr/album/maiden-voyage/1438921875?i=1438922079&uo=4";"https://open.spotify.com/track/7pmnC44GrfnEKMt9lPcfDT"
"Archie Shepp";"Kwanza";"Spoo pee doo";"1968";"IMPULSE";1736705196;1736705355;"https://www.deezer.com/track/2293716";;
"JAZZ SEMAI";"Spiritual jazz vol. 5";"Koy yolu";"2014";"JAZZMAN RECORDS";1736705349;1736705584;;;"https://open.spotify.com/track/11TRRxvgnKZTV85jRNUdiI"
"LABI SIFFRE";"";"LABI SIFFRE / A NUMBER OF WORDS";"";"";1736705577;1736705724;;;
"Fela Kuti";"Lagos baby 1963-1969";"Lai so";"1965";"VAMPISOUL";1736705718;1736705821;;;
"RICHARD BONA";"The ten shades of blues";"Take one";"2009";"EMARCY";1736705820;1736705869;"https://www.deezer.com/track/4301929";"https://music.apple.com/fr/album/take-one/1444005842?i=1444006078&uo=4";"https://open.spotify.com/track/6U70wgVR3ULPFcBU3SQ3gp"
"GEORGE SEMPER";"";"GEORGE SEMPER / PRETTY LADY";"";"";1736705868;1736706023;;;
"PRESTON BILLY";"Ultimate collection";"Struttin'";"2000";"LAKESHORE";1736706036;1736706195;;;
"Weather Report";"Weather report : Mr. Gone";"River people";"1980";"CBS";1736706188;1736706476;;;
"FOSTER SYLVERS";"Foster Sylvers";"Misdemeanor";"2018";"MR BONGO";1736706495;1736706645;"https://www.deezer.com/track/496024932";;
"";"Bof / Stavisky";"Final";"1992";"CAM";1736706644;1736706762;;;
"ANNE-MARIE COFFINET";"";"ANNE-MARIE COFFINET / MOI J AIME LES HOMMES";"";"";1736706761;1736706962;;;
"Gato Barbieri";"Chapter Three : Viva Emiliano Zapata";"Cuando vuelva a tu lado (what a difference a day makes)";"1974";"Impulse !";1736706955;1736707289;;;
"ELVIN JONES";"";"ELVIN JONES / P.P PHOENIX";"";"";1736707282;1736707586;;;
"Don Byas """"the Big Sound"""" (Chef d'orchestre)";"Amoureusement votre...";"Portrait of jennie (Portrait de Jennie)";"";"Polydor";1736707579;1736707726;;;
"GONG";"";"GONG / OILY WAY";"";"";1736707719;1736707941;;;
"THE STARK REALITY";"Funk spectrum III / Vol 3";"Prelude to say brother";"";"BBE";1736707934;1736708200;;;
"Georges Delerue (Compositeur, Chef d'orchestre)";"Maurice André interprète Jean-Michel Defaye et Georges Delerue";"Fanfares pour tous les temps : Méditation - pour 4 trompettes 4 trombones et tuba";"";"ERATO";1736708199;1736708379;;;
"LEO FERRE";"L'indigné : Amour anarchie (cd.11)";"Paris je ne t'aime plus";"2013";"Barclay";1736708372;1736708684;;;
"Rhoda Scott";"Ladies & Gentlemen";"Dreamers";"2024";"Sunset Records";1736708683;1736708934;"https://www.deezer.com/track/3048449921";;"https://open.spotify.com/track/2ubTrEV2hhTlXl6gSK6NY6"
"ALEXANDRE DESPLAT";"";"ALEXANDRE DESPLAT / THE GRAND BUDAPEST HOTEL";"2014";"";1736708988;1736709223;;;
"LOUIS ARMSTRONG";"The Complete RCA Victor Recordings";"Rain, rain";"";"Blue Bird";1736709222;1736709378;"https://www.deezer.com/track/517173112";;
"GEORGE DUNNING";"";"GEORGE DUNNING / COWBOY";"";"";1736709377;1736709479;;;
"Certains L'Aiment Chaud";"J'ai deux amours";"Milenberg joys (vocal)";"1995";"MAGALI MUSIC";1736709476;1736709678;;;
"Stavros Xarchakos";"BBC Radio top tunes";"The lotus eaters";"1996";"EMPORIO";1736709677;1736709824;;;
"";"BOF / Guillermo del Toro's Pinocchio";"Guillermo del Toro's Pinocchio : Better tomorrows";"2022";"COLUMBIA";1736709818;1736710066;;;
"Orchestre Symphonique De Londres";"BOF / La forme de l'eau (The shape of water)";"La forme de l'eau : Overflow of love";"2017";"DECCA";1736710065;1736710240;;;
"John Williams";"BOF / E T L'extra terrestre (film)";"Flying";"1982";"MCA RECORDS";1736710241;1736710446;;"https://music.apple.com/fr/album/flying/1442885023?i=1442885035&uo=4";
"JARVIS COCKER";"";"JARVIS COCKER / ALINE";"2021";"";1736710439;1736710693;;;
"Bo/Moonrise Kingdom";"BOF / Moonrise kingdom";"Moonrise kingdom (film) : The heroic weather-conditions of the Universe : part 2 : Smoke/fire";"2012";"ABKCO";1736710686;1736710807;;;
"ALEXANDRE DESPLAT";"";"ALEXANDRE DESPLAT / MOONRISE KINGDOM";"";"";1736710731;1736711037;;;
"THE PLATTERS";"";"THE PLATTERS / B. BUTTON";"2008";"";1736711025;1736711203;;;
"Alexandre Desplat";"BOF / L'étrange histoire de Benjamin Button";"L'étrange histoire de Benjamin Button : Postcards";"2008";"CONCORD";1736711203;1736711408;;;
"SUSSAN DEYHIN";"BOF/Argo";"Argo : Hace tuto guagua";"2012";"WATERTOWER MUSIC";1736711401;1736711610;;;
"Bo/Harry Potter Et Les Reliques De La Mort";"Bof / Harry Potter et les reliques de la mort / partie 1";"Dobby";"2010";"SONY CLASSIC";1736711603;1736711836;;;
"Alexandre Desplat";"BOF / L'île au chiens";"L'île aux chiens : Shinto shrine";"2018";"ABKCO MUSIC & RECORDS";1736711829;1736711941;;;
"Danny Hensworth";"Trojan upsetter box set";"Mr money man";"1977";"";1736712043;1736712285;;;
"Pongsri Woranuch";"Ayo Ke Disco: Boogie, Pop & Funk from the South China Sea (1974-88)";"Aew...phu chai";"2024";"SOUNDWAY RECORDS";1736712277;1736712509;;;"https://open.spotify.com/track/3nJi72SM1VHNLHTgOPO2iD"
"Khana Bierbood";"Monolam";"Srang Sue";"2024";"GURUGURU BRAIN";1736712503;1736712827;"https://www.deezer.com/track/3034106771";"https://music.apple.com/fr/album/srang-sue/1772654176?i=1772654598&uo=4";"https://open.spotify.com/track/0uz0aZNwnAawUW59xpVOQn"
"JaRon Marshall";"Discothèque 001";"Sunseekers (feat Paul Grant & Amahla)";"2023";"THE VAULT";1736712820;1736713036;;;
"Sons Of Zoku";"Endless";"Hunters";"2024";"AUTO PRODUTION";1736713029;1736713302;"https://www.deezer.com/track/2636010772";"https://music.apple.com/fr/album/hunters/1727907650?i=1727907655&uo=4";"https://open.spotify.com/track/6vMoJOu5qCOZNsex2Sqg3L"
"Les Mineurs";"La Souterraine et Les Mineurs (In situ)";"Dans mon rêve";"2017";"LA SOUTERRAINE";1736713295;1736713510;;;
"Elysian Fields";"Bleed your cedar";"Rolling";"1996";"RADIOACTIVE";1736713504;1736713820;;;
"Roudoudou";"Road songs";"Peace and tranquility to Earth";"1998";"UNIVERSAL";1736713809;1736714034;;"https://music.apple.com/fr/album/peace-and-tranquility-to-earth/696157485?i=696158748&uo=4";"https://open.spotify.com/track/7jKp4Yl1p89ByCMOjh2fHR"
"Jamiroquai";"High times singles (1992-2006)";"Blow Your Mind";"1993";"SONYBMG";1736714026;1736714262;"https://www.deezer.com/track/64608099";"https://music.apple.com/fr/album/blow-your-mind/181572851?i=181573668&uo=4";"https://open.spotify.com/track/5rzmEiv5KA1OskLzcqRDFK"
"Cousin Kula";"Didn't Cha Know / Gone Baby Don't Be Long (Medley)";"Didn't cha know / Gone baby don't be long (medley)";"2023";"RHYTHM SECTION INTERNATIONAL";1736714255;1736714576;"https://www.deezer.com/track/2425037845";"https://music.apple.com/fr/album/didnt-cha-know-gone-baby-dont-be-long-medley/1704163237?i=1704163239&uo=4";"https://open.spotify.com/track/7raFvJOQOCxHRy5jHfgNMp"
"Rapsody";"Please don't cry";"3:am";"2024";"WE EACH OTHERS";1736714562;1736714775;;;"https://open.spotify.com/track/02WFFXOR0D5Y5Z0pIRrotR"
"Aja Monet";"When the poems do what they do";"Give thanks";"2023";"DRINK SUM WTR";1736714773;1736715156;;"https://music.apple.com/fr/album/give-thanks/1678163140?i=1678163997&uo=4";"https://open.spotify.com/track/3fNTd4iHqZFcCAGuB6k3ta"
"Bill Evans Trio";"Portrait in jazz";"Some day my prince will come";"1959";"RIVERSIDE";1736715155;1736715452;;;
"Henri Salvador";"Intégrale Salvador vol 2 1946-1950 : Le loup la biche et le chevalier";"Cheveux dans le vent";"1947";"";1736715449;1736715621;;;
"Roger Rodier";"Sad about the times";"Am I supposed to let it by again (above the covers)";"1972";"KEMADO RECORDS";1736715454;1736715695;;;
"Roger Rodier";"Sad about the times";"Am I supposed to let it by again (above the covers)";"1972";"KEMADO RECORDS";1736715619;1736715866;;;
"The Meters";"Rejuvenation";"It ain't no use";"1974";"SUNDAZED";1736715861;1736716570;"https://www.deezer.com/track/735717";"https://music.apple.com/fr/album/it-aint-no-use/59401178?i=59401163&uo=4";"https://open.spotify.com/track/3MaqEiVpKGxqd2JhMH9xR7"
"Melodica Teens Band";"Sofrito : International soundclash (promo)";"Mwekuru muthao";"2012";"STRUT";1736716564;1736716777;;"https://music.apple.com/fr/album/mwekuru-muthao/1737021759?i=1737022040&uo=4";"https://open.spotify.com/track/1sETcgY5WNfFPJBL5OuV3j"
"The Barbecues";"Ghana special : Modern highlife, afro-sounds & ghanaian blues 1968-81";"Aaya lolo";"1972";"SOUND WAY";1736716772;1736717002;;;
"Ezra Collective";"Dance, no one’s watching";"Palm wine";"2024";"PARTISAN RECORDS";1736716997;1736717327;"https://www.deezer.com/track/3125117211";;"https://open.spotify.com/track/2YjNoF3XgTECAVYBhiIZzM"
"Melanie";"Cri d'amour";"L'alpha beta (feat. Tony Allen)";"2022";"COMET RECORDS";1736717311;1736717522;;;
"King Crimson";"In the wake of poseidon";"Cat food";"1970";"VIRGIN";1736717516;1736717815;;"https://music.apple.com/fr/album/cat-food/978458457?i=978459465&uo=4";"https://open.spotify.com/track/030ffOIPEEHxY86mYqVEQP"
"Vladimir Horowitz";"Chopin / Oeuvres pour piano / Horowitz";"Mazurka en fa diese min op 59 nº3 pour piano";"1974";"CBS";1736717809;1736718023;;;
"Charlie Haden";"Always say goodbye";"Everything happens to me";"1993";"VERVE";1736718017;1736718408;;;
"Greg Foat";"The rituals of infinity";"Sun hat";"2024";"AMERITZ MUSIC";1736718402;1736718741;"https://www.deezer.com/track/3036717221";"https://music.apple.com/fr/album/sun-hat/1772973539?i=1772973542&uo=4";"https://open.spotify.com/track/3HUUGN19rswlKuV8z2LJm9"
"Alicia Keys";"The diary of alicia keys";"If I Ain't Got You";"2004";"BMG";1736718735;1736718970;"https://www.deezer.com/track/629466";;
"Meimuna";"C'est demain que je meurs";"C'est demain que je meurs";"2024";"RADICALIS MUSIC GMBH";1736718964;1736719186;"https://www.deezer.com/track/2804747092";"https://music.apple.com/fr/album/cest-demain-que-je-meurs/1746720730?i=1746721975&uo=4";"https://open.spotify.com/track/0OAC5MfgxHbOzrDXOD2RXp"
"Daniel Lanois";"BOF / The music of Red dead redemption II (jeu video)";"Table top";"2019";"LAKESHORE RECORDS";1736719180;1736719431;"https://www.deezer.com/track/688442572";"https://music.apple.com/fr/album/table-top/1466010494?i=1466010510&uo=4";"https://open.spotify.com/track/4YzzeycRmg12c4SzgJDrFx"
"Jessica Pratt";"Quiet signs (Extrait)";"This time around";"2019";"";1736719436;1736719652;"https://www.deezer.com/track/2583123602";;"https://open.spotify.com/track/4KnoAsAqWsNQIoSCv9l6Ba"
"Prince";"For you";"Crazy you";"1978";"WARNER BROS";1736719645;1736719787;;"https://music.apple.com/fr/album/crazy-you/663586846?i=663586857&uo=4";"https://open.spotify.com/track/7dUuxR8ZgrZ6YL8rwdml1Y"
"Natalie Merchant";"Natalie Merchant";"It's a-coming";"2014";"NONESUCH";1736719780;1736720017;"https://www.deezer.com/track/77836723";"https://music.apple.com/fr/album/its-a-coming/839730211?i=839730225&uo=4";"https://open.spotify.com/track/6HJhpY1AuToGIFUKCAOyEk"
"Baxter Dury";"Slumlord";"Slumlord";"2020";"PIAS";1736720006;1736720215;"https://www.deezer.com/track/803817982";;"https://open.spotify.com/track/779s2z04bmWu8KX9BwtmIi"
"War";"Anthology 1970-1994";"Why can't we be friends ?";"1975";"ARG";1736720210;1736720443;;;
"Sound Dimension";"Studio One soul";"Soulful strut";"1968";"SOUL JAZZ RECORDS";1736720435;1736720562;;;
"Ziggy Marley";"Everyone wants to be";"Radiot edit";"1997";"ELEKTRA";1736720554;1736720788;;;
"Lana Del Rey";"Did you know that there's a tunnel under Ocean Blvd";"Peppers (feat. Tommy Genesis)";"2023";"POLYDOR RECORDS";1736720778;1736721030;;;"https://open.spotify.com/track/2Rlso2ZNV0PaWwUYeeBYxx"
"Julien Baer";"Notre dame des limites";"Drole de situation";"2005";"UNIVERSAL";1736721031;1736721244;"https://www.deezer.com/track/1159867";;"https://open.spotify.com/track/6kyECI3wEzaci75aFFtKCT"
"Whomadewho";"UUUU";"Silence & secrets";"2022";"EMBASSY OF MUSIC";1736721238;1736721510;;;"https://open.spotify.com/track/6wQMLsbcaGAxr3A6FdvQZo"
"The Last Shadow Puppets";"The age of the understatement";"My mistakes were made for you";"2008";"DOMINO";1736721503;1736721690;;;"https://open.spotify.com/track/15gkmegUbWk1FcRPjX8gq1"
"Kelis";"Kaléidoscope";"Good stuff";"1999";"VIRGIN";1736721688;1736721926;"https://www.deezer.com/track/2504455451";;"https://open.spotify.com/track/6E2K2I89maFIMR7Zqx57aE"
"Saya Gray";"19 MASTERS";"2019 was an empty carb";"2022";"DIRTY HIT";1736721920;1736722009;"https://www.deezer.com/track/1655586672";"https://music.apple.com/fr/album/2019-was-an-empty-carb/1610001855?i=1610002333&uo=4";"https://open.spotify.com/track/0YonEZEtQjRrnFz6VQEbil"
"Bonnie Banane";"Sexy planet";"Cha-cha-cha";"2021";"PECHE MIGNON / GRAND MUSIQUE MANAGEMENT";1736722000;1736722184;"https://www.deezer.com/track/1115597392";;"https://open.spotify.com/track/3M5DNhOHotm4rQpLIgFH9C"
"Felbm";"Tape 3 / Tape 4";"Colorists";"2020";"SOUNDWAY";1736722184;1736722400;"https://www.deezer.com/track/1666239772";"https://music.apple.com/fr/album/colorists/1611774424?i=1611774625&uo=4";"https://open.spotify.com/track/7KOrRbnAni8jnQP8j0yMQK"
"Astrud Gilberto";"That girl from Ipanema";"Meu piao";"1977";"BELLAPHON";1736722384;1736722607;;;
"Steely Dan";"Showbiz kids - the Steely Dan story 1972-1980";"Black Cow";"1977";"MCA";1736722601;1736722904;;"https://music.apple.com/fr/album/black-cow/1440803723?i=1440804048&uo=4";"https://open.spotify.com/track/1he20mKw1eq2OVp1BKBlpt"
"Gfh";"No rush";"Mamayeo";"2023";"PLANET TRIP RECORDS";1736722933;1736723269;;;"https://open.spotify.com/track/4208YqIktYI3z1PrETuFQ0"
"Elliot Maginot";"Easy morning";"Emilio (any day now)";"2021";"AUDIOGRAM / THE ORCHARD";1736723262;1736723477;;;"https://open.spotify.com/track/6IXYoemLh6tHupNGjwni1V"
"Petite-Vallee";"Petite-Vallée";"Amour mordant";"2024";"NOUVEAU MONDE";1736723470;1736723668;"https://www.deezer.com/track/2876483892";"https://music.apple.com/fr/album/amour-mordant/1770208602?i=1770209090&uo=4";"https://open.spotify.com/track/2mU0cpAdUdXDTSCCXb1dee"
"Al Hirt";"Dusty fingers";"Sentries charge";"1970";"STRICTLY BREAK RECORDS";1736723660;1736723831;"https://www.deezer.com/track/1346001212";;"https://open.spotify.com/track/4yoIy2Gmq43pXbHHvfzyr4"
"Sarah Williams White";"Unfathomable";"Monsters";"2022";"FIRST WORD RECORDS";1736723827;1736724038;;"https://music.apple.com/fr/album/monsters/1603612736?i=1603612740&uo=4";"https://open.spotify.com/track/4jJToUPCFG2LaXFdQW7MIt"
"Bryony Jarman-Pinto";"Below dawn";"Riverside";"2024";"TRU THOUGHTS";1736724022;1736724389;"https://www.deezer.com/track/2553681052";"https://music.apple.com/fr/album/riverside/1717620519?i=1717620677&uo=4";"https://open.spotify.com/track/4HuyfzqncnJttoZlg1Iitg"
"Jasmine Myra";"Rising";"How tall the mountains";"2024";"Gondwana Records";1736724382;1736724827;;"https://music.apple.com/fr/album/how-tall-the-mountains/1728065229?i=1728065693&uo=4";"https://open.spotify.com/track/2AorYOl4quvk75OLJICCT2"
"Cumbia Ya!";"No me busques";"La endormida";"2008";"TARAMBA";1736724821;1736725143;;;
"Chocolate Milk";"Action speaks louder than words";"Pretty pimpin' Willie";"1974";"RCA/BMG";1736725139;1736725385;;;
"Funk Factory";"Funk Factory";"Rien ne va plus";"1975";"WARNER MUSIC";1736725376;1736725697;;"https://music.apple.com/fr/album/rien-ne-va-plus/276978543?i=276978551&uo=4";
"Zero 7";"Simple things";"Give it away";"2001";"";1736725687;1736726007;"https://www.deezer.com/track/559978642";"https://music.apple.com/fr/album/give-it-away/1326273139?i=1326273148&uo=4";"https://open.spotify.com/track/2dYexYOVMItMNUvGXl4gtR"
"Feist";"The reminder";"1234";"2007";"POLYDOR";1736726003;1736726189;"https://www.deezer.com/track/1176221";"https://music.apple.com/fr/album/1234/1440837029?i=1440837804&uo=4";"https://open.spotify.com/track/49CP2usyaN98EdtrOWXnal"
"Patsy Cline";"Respect: A century of women in music";"Walkin' after midnight";"1958";"SESSIONS";1736726182;1736726344;;;
"Theo Lawrence";"Chérie";"Now that you're gone";"2023";"TOMIKA RECORDS";1736726338;1736726483;;"https://music.apple.com/fr/album/now-that-youre-gone/1655375354?i=1655375660&uo=4";"https://open.spotify.com/track/1ktbuGTLWxP6zKN9RNgfBH"
"Bo/Attento Gringo E Tomatato Sabata";"Musiques de western spaghetti";"Attento gringo e tornato sabata / one more time";"1996";"BEAT";1736726474;1736726631;;;
"Vanishing Twin";"Big moonlight (Ookii Gekkou)";"Big moonlight (Ookii Gekkou)";"2021";"FIRE RECORDS";1736726645;1736726935;"https://www.deezer.com/track/2121890217";;"https://open.spotify.com/track/343FRF9gbsQRFesy9H2V5M"
"FKJ";"V I N C E N T";"Stay a child";"2022";"ROCHE MUSIQUE";1736726919;1736727180;"https://www.deezer.com/track/1706227387";"https://music.apple.com/fr/album/stay-a-child/1617302876?i=1617304517&uo=4";"https://open.spotify.com/track/2bJLJ1vGoXgwfxcOgbguSp"
"Sophie Karthauser";"Claude Debussy : Harmonie du soir";"Nuit d'étoiles L 2 (4) - pour soprano et piano";"2018";"HARMONIA MUNDI";1736727170;1736727320;;;
"David Axelrod";"Blue break beats";"Holy thursday";"1968";"BLUENOTE";1736727314;1736727655;"https://www.deezer.com/track/3431638";"https://music.apple.com/fr/album/holy-thursday/724403605?i=724403863&uo=4";"https://open.spotify.com/track/0VF21fEzB6OszZcJlKzyg5"
"Lil' Wayne";"Tha Carter III";"Dr. Carter";"2008";"UNIVERSAL MUSIC";1736727638;1736727912;;;
"Michael Jackson";"Bad";"Smooth criminal";"1987";"EPIC";1736727906;1736728150;"https://www.deezer.com/track/1120580842";"https://music.apple.com/fr/album/smooth-criminal/159292399?i=159294551&uo=4";
"North Satellite";"The stars are ours (remixes)";"The stars are ours (cosmic freestyle)";"2024";"EL TRIANGULO";1736728150;1736728480;"https://www.deezer.com/track/2631052692";"https://music.apple.com/fr/album/the-stars-are-ours-cosmic-freestyle/1727016792?i=1727016796&uo=4";"https://open.spotify.com/track/593hMAqOV8rvT3awLlhlT5"
"Tommy Guerrero";"Perpetual";"Throwing stones at the moon";"2015";"GRAND PALAIS";1736728480;1736728726;"https://www.deezer.com/track/107656792";;"https://open.spotify.com/track/2FxvAC9pmyhqvyUoEWM98S"
"Santana";"Love is the song we sing";"Evil Ways";"1969";"COLUMBIA";1736728710;1736728950;"https://www.deezer.com/track/77879620";;"https://open.spotify.com/track/5tmrnhMxx39jnu3kjopMdP"
"Nicolette Larson";"The ladies of too slow to disco / Vol. 2";"Baby, don't you do it";"1978";"HOW DO YOU ARE";1736728940;1736729156;;;"https://open.spotify.com/track/0oPHDoHwD0DDtodAmAcLtk"
"Céu";"Novela";"Crushinho";"2024";"URBAN JUNGLE / ONERPM";1736729148;1736729330;"https://www.deezer.com/track/2674120432";"https://music.apple.com/fr/album/crushinho/1740125744?i=1740125960&uo=4";"https://open.spotify.com/track/3Gs6lg8kcj2vzNXH4vbGUo"
"Luiz Bonfa";"Black orpheus impressions";"Bahia soul";"1968";"DOT";1736729331;1736729496;;;
"Arthur H";"Trouble-fête";"La lionne et l' éléphant";"1996";"POLYDOR";1736729480;1736729730;;;
"Cousin Kula";"Vitamin D";"Hanging on your lips";"2024";"RHYTHM SECTION ITNL.";1736729717;1736729889;;;
"Handsome Boy Modeling School";"So ... How's your girl?";"The truth (feat. Roisin Murphy)";"1999";"TOMY BOY MUSIC";1736729883;1736730218;;;
"Blakroc";"Blakroc";"Ain't nothing like you";"2009";"V2 MUSIC";1736730236;1736730450;;;
"Rahill";"Flowers at your feet";"Gone astray";"2023";"BIG DADA";1736730434;1736730637;"https://www.deezer.com/track/2161620727";"https://music.apple.com/fr/album/gone-astray/1660270914?i=1660270921&uo=4";"https://open.spotify.com/track/2YpQUS2JiEHSVkFdw2EVPi"
"Yaya Bey";"Ten fold";"Carl Thomas sliding down the wall";"2024";"BIG DADA";1736730631;1736730772;;"https://music.apple.com/fr/album/carl-thomas-sliding-down-the-wall/1725005180?i=1725005200&uo=4";"https://open.spotify.com/track/4i9nylcKyNIIGpAVwaK5BJ"
"Okvsho";"A place between us";"Between us";"2024";"CURRENT MOVES";1736730772;1736730945;;"https://music.apple.com/fr/album/between-us/1728599761?i=1728600044&uo=4";"https://open.spotify.com/track/5DyTT8bj7Qbn2YZSZMgGq2"
"Limousine";"Hula hoop";"Hula hoop (pour toi) (feat Victor Solf)";"2023";"EKLER'O'SHOCK RECORDS";1736730943;1736731172;;;
"Pearl Jam";"Vs";"Indifference";"1993";"EPIC";1736731156;1736731453;"https://www.deezer.com/track/715565232";;
"Lhasa";"La llorona";"El desierto";"1997";"WARNER";1736731447;1736731677;;;
"Calexico";"Selections from road atlas 1998-2011";"Detroit stream";"2011";"CITY SLANG";1736731677;1736731872;"https://www.deezer.com/track/2583073072";;"https://open.spotify.com/track/0AgbhNThgnyrfRWBeJ0wFz"
"Arno";"Human incognito";"Je Veux Vivre";"2016";"NAIVE";1736731865;1736732059;;;"https://open.spotify.com/track/3rqDKVytCoq6UrcotNx5Xv"
"Marion Rampal";"Tissé";"Reminder";"2022";"LES RIVIERES SOUTERRAINES -L'AUTRE DISTRIBUTION";1736732053;1736732277;;;"https://open.spotify.com/track/2dxCnHwYWsCGzmzdBoI5G8"
"Oan Kim & The Dirty Jazz";"Rebirth of innocence";"Slow redux";"2024";"ARTWORK RECORDS / PIAS";1736732270;1736732496;"https://www.deezer.com/track/2630892732";;"https://open.spotify.com/track/00i7f3op3Dqs7iN0Jt4g1F"
"Shay Hazan";"Wusul";"Sunflowers (feat. Nitai Hershkovits)";"2024";"BATOV RECORDS";1736732488;1736732738;;;
"Bolis Pupul";"Letter to yu";"Ma tau wai road (with Salah Pupul)";"2024";"DEEWEE";1736732734;1736732983;"https://www.deezer.com/track/2497950781";;"https://open.spotify.com/track/6SahlIYFk1IHwMFKSIpXhc"
"Gossip";"Real power";"Tough";"2024";"COLUMBIA";1736732967;1736733189;;"https://music.apple.com/fr/album/tough/1714100978?i=1714101334&uo=4";"https://open.spotify.com/track/54YMjaS3Tmt582tj0AmAsp"
"Ottis Cœur";"Je marche derrière toi";"Je marche derrière toi";"2021";"AUTOPRODUCTION";1736733182;1736733391;"https://www.deezer.com/track/2668745542";;"https://open.spotify.com/track/61f2vIR4Hk2l4V4q7lCD8T"
"Madam";"Thanks for the noise";"To the moon";"2024";"BREAK A LEG RECORDS";1736733385;1736733567;"https://www.deezer.com/track/2666994802";;"https://open.spotify.com/track/77A8NNQjvAZgwH34jFPEnC"
"Forro In The Dark";"Bonfires of Sao Joao";"Forrowest";"2006";"NUBLU RECORD";1736733581;1736733871;;;"https://open.spotify.com/track/4KzOJdqRTYAouueUtnNNvx"
"Seu Jorge";"Seu Jorge & Almaz";"Cirandar";"2010";"NOW AGAIN";1736733855;1736734116;"https://www.deezer.com/track/6592286";;"https://open.spotify.com/track/5LqMl8aFcuVoKX3ERagNjX"
"Marcus King";"Mood swings";"F*ck my life up again";"2024";"ISLAND DEF JAM";1736734104;1736734367;"https://www.deezer.com/track/2728065471";"https://music.apple.com/fr/album/f-ck-my-life-up-again/1728128331?i=1728128339&uo=4";"https://open.spotify.com/track/0Jw0GvrJl8QIvY28wjAkdY"
"Roy Ayers & Adrian Younge & Ali Shaheed Muhammad";"Jazz Is Dead 002";"Sunflowers";"2020";"JAZZ IS DEAD";1736734356;1736734541;;;
"Ezechiel Pailhes";"Ventas rumba";"Pianovado";"2024";"CIRCUS COMPANY";1736734536;1736734675;;"https://music.apple.com/fr/album/pianovado/1729876179?i=1729877015&uo=4";"https://open.spotify.com/track/1Q1vXARlQmD2lSOk4Z48kl"
"Sameer Ahmad";"La vie est bien faite";"Daddy cool";"2024";"BAD COP BAD COP / IHH RECORDS";1736734659;1736734910;"https://www.deezer.com/track/2640241822";"https://music.apple.com/fr/album/daddy-cool/1728095840?i=1728095848&uo=4";"https://open.spotify.com/track/1nAbMsNUIW0tdzb8GYJnfu"
"Erykah Badu";"New amerykah";"The Healer";"2008";"UNIVERSAL";1736734905;1736735149;"https://www.deezer.com/track/627426402";;
"Sidsel Endresen";"Out here. In there.";"Try";"2002";"JAZZLAND";1736735142;1736735385;;;"https://open.spotify.com/track/4L9nYBHeCfbu5fNAxZy1Qg"
"Erik Truffaz";"The Dawn";"The Dawn";"1998";"BLUE NOTE";1736735384;1736735732;"https://www.deezer.com/track/3455497";;"https://open.spotify.com/track/3Pn4lxScyRhWEhoaACHSIV"
"Marvin Gaye";"What's going on";"Inner city blues (make me wanna holler)";"1971";"MOTOWN";1736735716;1736736041;"https://www.deezer.com/track/1101733";"https://music.apple.com/fr/album/inner-city-blues-make-me-wanna-holler/1538081586?i=1538081861&uo=4";"https://open.spotify.com/track/5hReWjUHqPqkHi31G7izL4"
"Miriam Makeba";"Miriam Makeba / In concert / Pata pata / Makeba";"Iphi ndilela";"1968";"REPRISE";1736736034;1736736249;"https://www.deezer.com/track/434882672";;
"Billy Swan";"Country funk III 1975-1982";"Oliver Swan";"1977";"LIGHT IN THE ATTIC RECORDS";1736736239;1736736429;;;"https://open.spotify.com/track/1lgHitq5AMx8uxk4Eai1tf"
"Dewolff";"Wolffpack";"Lady J";"2021";"MASCOT RECORDS ,";1736736426;1736736768;"https://www.deezer.com/track/1587057742";;"https://open.spotify.com/track/4y4s1stbokfgFCNhQVFaio"
"Karate Boogaloo";"Hold your horses";"Ps emmylou";"2024";"COLEMINE RECORDS";1736736761;1736736982;"https://www.deezer.com/track/2627764682";;"https://open.spotify.com/track/2PTN1Dm3PjoxB99aT4RRzL"
"Sleaford Mods";"English tapas";"B.H.S.";"2017";"ROUGH TRADE";1736736976;1736737205;"https://www.deezer.com/track/142486905";;"https://open.spotify.com/track/6iWzPIajmGNtKkeLIYKxkL"
"Social Dance";"Rumeurs";"Si peu clair";"2022";"LISBON LUX";1736737199;1736737395;"https://www.deezer.com/track/2206714207";;"https://open.spotify.com/track/4ElEAQjrWQhwqcHslZ3j35"
"CSS";"Donkey";"Left behind";"2008";"SUB POP";1736737389;1736737598;;"https://music.apple.com/fr/album/left-behind/284724353?i=284724844&uo=4";"https://open.spotify.com/track/1QlxmDFVNT9cUW8X7N6DNX"
"Scone Cash Players";"Blast furnace !";"Bliss machine";"2018";"COLEMINE RECORDS";1736737622;1736737832;"https://www.deezer.com/track/1488938212";"https://music.apple.com/fr/album/bliss-machine/1585036007?i=1585036015&uo=4";"https://open.spotify.com/track/2FmvSOjjw2Ho0pLv0lvm0N"
