"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"deezer";"spotify";"youtube"
"Omar Sosa";"Calma/Solo piano & ...";"Aguas";2011;"WORLD VILLAG";1704716477;1704716690;"https://music.apple.com/fr/album/aguas/1615670211?i=1615670216&uo=4";;"https://open.spotify.com/track/18F9ZF7gbLOSk7fiB1RIwC";
"Lionel Hampton";"Les trésors du Jazz 1937 / 1938 - Vol. 1";"Ring dem bells";1938;"CHANT DU MON";1704716686;1704716886;"https://music.apple.com/fr/album/ring-dem-bells-remastered-2002/1308872313?i=1308872713&uo=4";;;
"Michel Portal";"Baïlador";"Citrus juice";2010;"UNIVERSAL MU";1704716887;1704717445;"https://music.apple.com/fr/album/citrus-juice/1443627300?i=1443627501&uo=4";"https://www.deezer.com/track/7384665";"https://open.spotify.com/track/3JcEfFMZlVgZyrPy9n67IF";
"Anachronic Jazz Band";"Anachronic jazz band";"Bernie's tune";1978;"JBM";1704717440;1704717655;;;;
"S Mos";"Hip hop and jazz mixed up / Vol.2 (cd promo)";"Now please don't you cry";2011;"MUSICAST";1704717652;1704717760;;;;
"Roland Kirk";"Soul station";"Soul station";1960;"AFFINITY";1704717756;1704718083;"https://music.apple.com/fr/album/soul-station/944719731?i=944719740&uo=4";;;
"Roy Hargrove";"Earfood";"The Stinger";2008;"EMARCY";1704718082;1704718377;"https://music.apple.com/fr/album/the-stinger/1442929108?i=1442929758&uo=4";;"https://open.spotify.com/track/5jjwUNSXotl4oXCuHYp3xM";
"Don Cherry";"Home boy";"Art déco";1985;"BARCLAY";1704718373;1704718545;"https://music.apple.com/fr/album/art-deco/1373194754?i=1373194871&uo=4";;"https://open.spotify.com/track/4HWfFIYWtRR4MGZ4UyIRGS";
"Marissa O Donnell";"Annie the Broadway musical (story & songs from the sequel)";"It's the hard-knock life";1977;"TIME LIFE";1704718543;1704718721;;;;
"Yazz Ahmed (Compositeur, Trompette, Bugle, Traitement électronique, Percussions)";"Solo 7""""s - Volume I";"She stands on the shore";2021;"AUTOPRODUCTION";1704718721;1704719080;;;;
"Grant Green";"Idle moments";"Jean de fleur";1964;"BLUE NOTE";1704719077;1704719484;;;;
