"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"itunes";"deezer"
"Nat King Cole";"The complete after midnight sessions";"I Know That You Know";1956;"CAPITOL";1711353451;1711353598;;;
"Edward Perraud";"Hors temps";"Neguentropie (feat. Erik Truffaz)";2021;"LABEL BLEU";1711353599;1711354128;;;
"Horace Silver";"Blowin' the blues away";"Sister Sadie";1959;"BLUE/NOT";1711354125;1711354501;;;"https://www.deezer.com/track/3490081"
"Gregory Porter";"Liquid spirit";"Hey Laura";2013;"BLUE NOTE";1711354499;1711354695;"https://open.spotify.com/track/3VFr9JYb6ppsl4yxwerUXq";"https://music.apple.com/fr/album/hey-laura/1440861183?i=1440861324&uo=4";
"Jacques Thollot";"Tenga ninã";"Tenga ninã";1996;"NATO";1711354692;1711354842;"https://open.spotify.com/track/7EmeF5lGzMdEGrkwyslqBN";;
"Pierrick Pedron";"Fifty-Fifty / Vol. 1 : New York Sessions";"Be ready";2021;"Gazebo";1711354841;1711355132;"https://open.spotify.com/track/4OvH1Br07plpg5gdCwpd0m";"https://music.apple.com/fr/album/be-ready/1550270446?i=1550270459&uo=4";"https://www.deezer.com/track/1216731932"
"Frances Faye";"Caught in the act";"The man I love";1959;"GENE NORMAN";1711355129;1711355382;;"https://music.apple.com/fr/album/the-man-i-love/6039574?i=6039054&uo=4";"https://www.deezer.com/track/7697223"
"Eric Legnini";"Trippin'";"Trippin'";2009;"DISCOGRAPH";1711355382;1711355656;;;
"Aldo Romano";"Il piacere";"Ciao ciao";1979;"OWL";1711355653;1711355976;;;"https://www.deezer.com/track/2112970"
"Benny Benack III";"Gravy waltz";"Gravy waltz (feat. Christian McBride)";2019;"RING ROAD RECORDINGS";1711355972;1711356259;;"https://music.apple.com/fr/album/gravy-waltz-feat-christian-mcbride/1460864722?i=1460865245&uo=4";
"Art Pepper Quartet";"The complete Art Pepper Alladin recordings/ Vol.3";"Holiday flight";1957;"FRESHSOUND";1711356255;1711356564;;;"https://www.deezer.com/track/122358492"
"Charlie Hunter";"Right now move";"Le Bateau ivre";2003;"RYKO";1711356561;1711356908;;;"https://www.deezer.com/track/2059189017"
"Nancy Harrow";"Wild woman don't have the blues / You never know";"On the sunny side of the street";1960;"FRESH SOUND";1711356902;1711357193;;;"https://www.deezer.com/track/1584394022"
"Toine Thys (Compositeur, Saxophone soprano)";"Tamam morning";"Memory of the trees";2021;"Igloo";1711357193;1711357502;;;
"Yusef Lateef";"Eastern sounds";"The plum blossom";1961;"PRESTIGE";1711357498;1711357796;;"https://music.apple.com/fr/album/the-plum-blossom/1506112579?i=1506112755&uo=4";
"Monica's Dream Quartet";"Arraigo";"Incertitude";2021;"AUTOPRODUCTION";1711357792;1711358047;;;
"Weather Report";"Weather report : Mr. Gone";"River people";1980;"SONY";1711358044;1711358329;;;
"The Sultan's Swing";"Matter of urgency";"Crooked urge (pt.2)";2021;"LAZY ROBOT";1711358324;1711358582;"https://open.spotify.com/track/5D7ldQKiAn7XH8mOSmTqJ4";"https://music.apple.com/fr/album/crooked-urge-pt-2/1548486154?i=1548486458&uo=4";"https://www.deezer.com/track/1216807212"
"Randy Newman";"Sail away";"Lonely at the top";1972;"REPRISE";1711358579;1711358729;;"https://music.apple.com/fr/album/lonely-at-the-top/51963348?i=51963352&uo=4";"https://www.deezer.com/track/110010696"
"De Beren Gieren";"Less is Endless";"A Funny Discovery";2020;"Sdban";1711358725;1711359122;;"https://music.apple.com/fr/album/a-funny-discovery/1537751978?i=1537751979&uo=4";"https://www.deezer.com/track/1122794982"
"Nellie Lutcher";"The Best of Nellie Lutcher";"Come and get it, honey";1950;"Capitol Jazz";1711359123;1711359291;"https://open.spotify.com/track/74UftXLUVQzY1xPWLVYrZf";;
"Evan Christopher";"Django à la créole";"Manoir de mes rêves";2009;"FREMEAUX";1711359290;1711359610;;;
"Chuck Flores";"Flores azules";"Padali";1976;"DOBRE RECORDS";1711359604;1711359938;;"https://music.apple.com/fr/album/padali/395728698?i=395728744&uo=4";
