"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"spotify";"deezer"
"Eric Legnini";"Trippin'";"Con Alma";2008;"DISCOGRAPH";1705549749;1705550022;;;
"Dahveed Behroozi";"Standard Fare";"I love paris";2023;"Sunnyside";1705550022;1705550412;"https://music.apple.com/fr/album/i-love-paris/1689314100?i=1689314102&uo=4";"https://open.spotify.com/track/7CU7nXUeCDRLiSyCz038Jr";"https://www.deezer.com/track/2239554437"
"Jeanne Lee";"The newest sound around";"Laura";1961;"BMG";1705550412;1705550719;;;
"Michael Leonhart Orchestra";"The Normyn Suites";"The Normyn suite n°1 : Denial";2022;"Sunnyside";1705550716;1705550867;;;
"Nimbus Sextet";"Forward thinker";"High time";2022;"ACID JAZZ ACQUISITIONS";1705550866;1705551120;"https://music.apple.com/fr/album/high-time-dicky-continental-remix/1653857013?i=1653857311&uo=4";"https://open.spotify.com/track/1BUBjTl3wCT1XRnjnG3iQp";
"Monsieur Mala";"Ep - 002 - mm";"Til daylight";2022;"TCHOKOTCHOK";1705551118;1705551360;;;
"Joe Henderson Big Band";"Without a song";"Chelsea bridge";1996;"VERVE";1705551359;1705551626;;;
"Frank Sinatra & Count Basie";"An historic musical first";"Pennies from heaven";1962;"REPRISE RECORDS";1705551626;1705551833;"https://music.apple.com/fr/album/pennies-from-heaven/1443421017?i=1443421025&uo=4";;
"Nico Gori & His Orchestra";"Lelio Luttazzi Oltre il blu";"Armstronglogy";2023;"PARCO DELLA MUSICA RECORDS";1705551831;1705551964;;;
"Anita O Day";"Anita O'Day sings the winners";"Peanut vendor";1958;"VERVE";1705551963;1705552122;;;
"Monika Kabasele";"Grécofuturisme";"Maiandros";2023;"ART DISTRICT";1705552120;1705552439;"https://music.apple.com/fr/album/maiandros/1690269035?i=1690269039&uo=4";"https://open.spotify.com/track/2KhJnHrQ4NwM7grvMQn8nc";
"John Raymond";"Real Feels";"I'll fly away (Feat. Gilad Hekselman & Colin Stranahan)";2016;"SHIFTING PARADIGM RECORDS";1705552437;1705552739;"https://music.apple.com/fr/album/ill-fly-away-feat-gilad-hekselman-colin-stranahan-live/1316735350?i=1316735495&uo=4";"https://open.spotify.com/track/4B4AWluz0T5wcCHKZ9clfz";
"Kenny Wheeler";"Angel song";"Kind of gentle";1996;"ECM";1705552739;1705553018;;;
"Norma Winstone";"Descansado /Songs for films";"Amarcord : Amarcord (I remember)";2018;"ECM RECORDS";1705553013;1705553309;;;
"Luca Aquino";"Italian songbook";"La strada";2019;"ACT";1705553304;1705553494;;"https://open.spotify.com/track/3L4RKtZhop9896VpnRR9ov";
"Ensemble Art Sonic";"Le bal perdu";"Flambée montalbanaise";2017;"DRUGSTORE MALONE";1705553492;1705553685;"https://music.apple.com/fr/album/flamb%C3%A9e-montalbanaise/1204792181?i=1204792853&uo=4";"https://open.spotify.com/track/2f3VRfSPqrPIAp92It8Gvp";
"Carmen Souza";"Kachupada";"Donna lee";2012;"GALILEO MUSIC COMMUNICATION";1705553683;1705553857;"https://music.apple.com/fr/album/donna-lee/566285365?i=566285368&uo=4";"https://open.spotify.com/track/5ygL8Cz6hCg2KBADNvMECM";"https://www.deezer.com/track/60966734"
"Charlie Parker & His Orchestra";"Intégrale vol. 13 / I remember you 1953-1954";"If I Love Again";1953;"FREMEAUX ET ASSOCIES";1705553854;1705554000;;;
"Marco Vezzoso & Alessandro Collina";"Italian spirit";"Sotto il segno dei pesci";2020;"ART IN LIVE";1705554000;1705554239;"https://music.apple.com/fr/album/sotto-il-segno-dei-pesci/1535668155?i=1535668160&uo=4";;
"Randy Weston Trio";"Get happy with the Randy Weston trio";"Bass knows";1956;"MILESTONE";1705554234;1705554554;;;
"Katrine Madsen";"Simple life";"Turbulent time of life";2010;"STUNT RECORDS";1705554550;1705554774;;;
"Art Blakey & The Jazz Messengers";"Buhaina";"A chant for Bu";1973;"PRESTIGE";1705554769;1705555277;"https://music.apple.com/fr/album/a-chant-for-bu/1443224204?i=1443224507&uo=4";;
"Michel Benita Ethics";"River silver";"Back from the moon";2016;"ECM";1705555265;1705555602;;;
