"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"deezer";"spotify"
"Thomas De Pourquery & Supersonic";"Back to the moon";"Joy";2021;"LYING LIONS PRODUCTIONS / IDOL / L’AUTRE DISTRIBUTION";1711791889;1711792201;"https://music.apple.com/fr/album/joy/1580586698?i=1580586713&uo=4";;
"Ezra Collective";"Where I'm meant to be";"Love in outer space (feat. Nao)";2022;"PARTISAN RECORDS";1711792196;1711792534;"https://music.apple.com/fr/album/love-in-outer-space-feat-nao/1636465195?i=1636466946&uo=4";"https://www.deezer.com/track/1839448577";"https://open.spotify.com/track/5VhmL0AjrVrsOHqz5RqUZD"
"Roy Ayers";"Evolution: The Polydor anthology";"Searching";1976;"POLYDOR";1711792531;1711792768;"https://music.apple.com/fr/album/searching/1589123064?i=1589123068&uo=4";"https://www.deezer.com/track/982382";"https://open.spotify.com/track/45muf22QzSyKwsF4l3IcwJ"
"Viktorija Gecyte & Gene Perla";"In the moment";"I'll remember april (in Bamako) (feat. Nicholas Thomas & Mourad Benhammou)";2020;"P M RECORDS";1711792766;1711793001;;;
"Hank Jones";"Sarala / Hank Jones meets Cheick Tidiane Seck and the Mandinkas";"Fantague";1995;"VERVE";1711793000;1711793498;;;"https://open.spotify.com/track/6nqD7ScQIiUIiDcMfTGt4A"
"Nina Simone";"Little girl blue";"African mailman";1958;"CHARLY RECOR";1711793496;1711793687;;;
"Jeanne Lee";"After Hours";"Every time we say goodbye";1994;"OWL/EMI";1711793684;1711793992;;;
"Grant Stewart Quartet";"The lighting of the lamps";"I'm a fool to want you";2022;"CELLAR MUSIC GROUP";1711793991;1711794396;;;
"Kurt Elling";"1619 Broadway / The Brill building project";"Tutti for Cootie";2012;"CONCORD JAZZ";1711794396;1711794711;"https://music.apple.com/fr/album/tutti-for-cootie/1443119860?i=1443120311&uo=4";;"https://open.spotify.com/track/7oZAA7gO35RtmnMN18QapB"
"Duke Ellington";"Side by side";"You Need To Rock";1958;"VERVE";1711794711;1711795061;;"https://www.deezer.com/track/11601130";
"Brussels Jazz Orchestra & Camille Bertault";"Gainsbourg";"Couleur Café";2022;"BJO";1711795062;1711795449;;;
"Remi Panossian Trio (rp3)";"Sun Monkey Voltage";"Wisteria forever";2022;"Add Fiction / Regarts";1711795448;1711795702;;;
"DOMi & JD Beck";"Not tight";"Bowling (feat. Thundercat)";2022;"APESHIT / BLUE NOTE RECORDS";1711795699;1711795814;;;"https://open.spotify.com/track/3Sk51FK0sTdiRQN477u5oq"
"Weather Report";"Heavy weather";"A remark you made";1977;"LEGACY/SONY";1711795812;1711796220;;;"https://open.spotify.com/track/0k4XkPxJMQKQa7Ali1qske"
"Kathleen Grace";"Tie me to you";"Where Or When";2020;"MOONSOON RECORDS";1711796212;1711796399;;"https://www.deezer.com/track/886925422";"https://open.spotify.com/track/7hc7NZMiZ5y89WYM7zWgwh"
"Doug Carn";"JAZZ IS DEAD / Vol. 5";"Desert rain";2020;"JAZZ IS DEAD";1711796400;1711796624;;"https://www.deezer.com/track/2661141022";"https://open.spotify.com/track/4cmiQDye2NTMt7zIy8k7nk"
"Art Farmer";"Meet the jazztet";"I remember Clifford";1960;"CHES";1711796622;1711796815;"https://music.apple.com/fr/album/i-remember-clifford/1655715850?i=1655716232&uo=4";;
"Meshell Ndegeocello";"Cookie: The anthropological mixtape";"Criterion";2002;"MAVERICK";1711796811;1711797079;"https://music.apple.com/fr/album/criterion/358233993?i=358234069&uo=4";"https://www.deezer.com/track/5621965";"https://open.spotify.com/track/1amp2lenWoT0PrXYawrbSx"
"Gary Burton";"Ring";"Mevlevia";1974;"ECM";1711797077;1711797436;"https://music.apple.com/fr/album/mevlevia/1443183730?i=1443184035&uo=4";;
