Francoiz Breut - Lichens
Tom Caruana - Bunsen burner
L'Imperatrice - Danza Marilu (feat. Fabiana Martone)
Dionne Warwick - Walk on by
The Four Aces - Stranger in paradise
Orchestre Symphonique De Gotha Thuringe - Der Dorjahrmarkt : Ouverture (Sinfonia)  : Allegro assai
Edu Lobo - Reza
Nouvelle Vague - Just can't get enough
Charley Crockett - Spade
Lisa Leblanc - Y fait chaud
Ugggy - Snake stomach
Jethro Tull - Beggar's farm
The Deirdre Wilson Tabac - I can't keep from crying sometimes
The Undisputed Truth - Smiling Faces Sometimes
Savana Funk & Gaudi - Orewa (radio edit)
Frank Leone - Morning dew (ft. Coco O.)
Eda Diaz - Sabana y banano
Brigitte Fontaine - Je fume
Alessandro Alessandroni - Emanuelle a Tahiti : Uno yacht a Tahiti
Talk Talk - Life's what you make it
Jay-Jay Johanson - So tell the girls that i am back in town
Partner Look - Partner look
Or Kantor - Sarda Sarda
Kyrie Kristmanson - Talk - arrangement pour voix piano préparé et percussions
Nicolas Repac - La traque
Georges Brassens - Élégie à un rat de cave
Cosma - Le coup de parapluie :Shimmy
Asheru And Blue Black - Live at home
Esther Phillips - Home is where the hatred is
Ajate - Emisa lasso
The Movers - 2nd avenue
Stereolab - Infinity girl
Unessential Oils - Solutions To My Gloom
Unessential Oils - Suds
Kikagaku Moyo - Amayadori
Ali Danel - Face à l'ouragan
Wilson Simonal - Não vem que não tem
Sammy Davis Jr. - Face to face
Oscar Peterson - But not for me
Ian Bostridge - La bonne chanson op 61 : N'est-ce pas op 61 n°8 - arrangement pour ténor piano et quintette à cordes de 1898
Nobuo Uematsu - FF VII Remake : Shinra creed
Chew Kosaka - Tabi gokoro
Anri - Remember summer days
Paulette Tajah - Stop look listen
Marine Quemere - Bande annonce
Felt - Serpent shade
Barbra Streisand - Guilty
Ruby Wood - Let Him Go
Ley Soul - Fortune eyes
Q Tip - Let's ride
Joe Pass - When it's sleepy time down south
Mario Rui Silva - Ngisumba
Halima Kissima Toure - Duna
Alain Chamfort - Jet society
Astrolabe Musique & Denzel Macintosh - Monday jam
Thomas De Pourquery - Carry on
Daft Punk - Something About Us
Don Melody Club - Laat Me
Timmy Thomas - People are changin'
Spirit Of Mymymy - No Need For Words
Mississippi Fred Mcdowell - My baby
Dennis Brown - Party Time
Munya - Tresor
A Certain Ratio - Waiting on a train
Doves - Firesuite
The Doors - Wild child
Lee Fields - My world
Joy Crookes - When you were mine
The Greg Foat Group - Hello old friend
Asha Puthli - Sound of silence
Lossapardo - Leather Bellini
Joe Hisaishi - The rain
Pomme - La lumière
Astrud Gilberto - Look to the rainbow
Orchestre Symphonique De Londres - Sir John in love : Fantaisie sur greensleeves - pour harpe cordes et flutes ad libitum
Jordan Rakei - Bruises
Adrianne Lenker - Fool
Underworld - Blueski
Ali Farka Toure - Soukora
Francis Bebey - Les maris jaloux
Bacao Rhythm & Steel Band - Got my mind made up
The Beach Boys - Kokomo
Louis Armstrong - On a coconut Island
Chance The Rapper - Cocoa butter kisses (feat. Vic M)
Isolee - Coco's visa
Cocorosie - By wour side
Arooj Aftab - Whiskey
Yin Yin - Ascending to Matsu's height
Pierre Barouh - L'autre rive
Killah Priest - Vampire beet juice interlude
Outkast - Dracula's wedding
Jozef Van Wissem - Only lovers left alive : Our hearts condemn us
Pixies - Where is my mind ?
Moses Sumney - Me in twenty years
Katia Labeque - Orphée : 10. La chambre d'Orphée (Acte II) - arrangement pour 2 pianos
Sebastien Tellier - La Dolce Vita
Doris Day - Every now and then (you come around)
The Ventures - One step beyond (Fear)
The Scorpios - El sheikh sairo (Bridal procession)
Yael Naim - I Walk Until
Alex Beaupain - Les rois de la piste : Casino
Jeff Buckley - Calling you
Rachael Dadd - Heads down
Lau Ro - Metamorfose
Aa & Les Oneiroi - Where the gaze doesn't reach
Alfa Mist - Aged eyes (feat. Kaya Thomas-Dyke)
Slim Paul - Log dog blues
KC & The Sunshine Band - (Shake shake shake) Shake your booty
The Velvetones - Mr. X
Nana Mouskouri & Michel Legrand - On a vu
Dominique Fils-Aime - Love will grow back
Taeko Ohnuki - Kusuri wo takusan
Bach Collegium Du Japon - Concerto brandebourgeois n°3 en Sol Maj BWV 1048 : Allegro
Shirley Hurt - Empty hands
The Rolling Stones - Dear Doctor
Jessica Pratt - World on a string
Felbm - Memoirists
Tropic Hotel - Vivre une vie sans vivre
Nikki Yanofsky - Airmail Special
High Llamas - The grade
Wynder K Frogg - Hi-heel sneakers
"Rosetta Tharpe - Two little fishes, five loaves of bread"
Italia 90 - The mumsnet mambo
Nxworries - Daydreaming
Medeski Martin And Wood - Cat Creeps
Wax Tailor - Leave it (blend aka Mishkin remix)
Kcidy - Les gens heureux
Paul Anka - Love is a lonely song
Fairouz - Aainthudat
Joao Selva - Por um amor (berimbau remix)
This Is The Kit - Inside outside
Balthazar - Wait any longer
Sandro Brugnolini - Marsuino
Transmission Towers - Affirmation of love
Jane Birkin - Di doo dah
Dekker - The love
Konk - Baby dee
Manu Dibango - Soul makossa (1972 Cameroun)
El Gato Negro - T'aimes pas ça (Guts Edit)
Philanthrope - Queenslude
Aretha Franklin - Blue Holiday
St Vincent - Paris is burning
Noga Erez - Kids (against the machine)
Brigitte Engerer - La Belle au bois dormant op 66 : Panorama - pour piano à 4 mains
Sampha - Spirit 2.0
Saya Gray - 9/19
Bonnie Banane - Toi ou Moi ? (Sacha II)
"DJ Vadim - Raving (feat. Tenor Youteman, Jago & Syross)"
Juan Garcia Esquivel - Carioca
"Carmen Miranda - Chica Chica Boom Chic (From """"""""That Night in Rio"""""""")"
The Animals - Boom boom
Marcus King - Me or Tennessee
Rone - Wave
The Ironsides - Violet vanished
Jean Louis Murat - L'eau de la rivière
The Dandy Warhols - All the money or the simple life honey
Daniel Lanois - Lighthouse
Johnny Cash - Blue train
The Roches - We
Marina Allen - I'm the same
Melodiesinfonie - Ma Dieu
Myra - Saudade palace
Céu - Crushinho
Jeff Alexander - Come wander with me
Piers Lane - A nightingale sang in Berkeley Square - arrangement pour piano
Donny Hathaway - A song for you
Baha'I Victory Chorus - Nightingale of paradise
Niobe - Good old owl
Bojan Z - Ashes to ashes
A Tribe Called Quest - Can I kick it ?
Rone - Wave
MC Solaar - Paradisiaque
Melvin Sparks - Get ya some
Ko Ko Mo - Need some Mo'
Willie Dixon - The same thing
Vin's Da Cuero - Wings
The Chemical Brothers - Fountains
Crumb - From outside a window sill
Bon Voyage Organisation - Les pêcheurs
Terry Callier - You Goin' Miss Your Candyman
Etta James - At last
Orchestre Symphonique De Goteborg - Sérénade pour orchestre en Fa Maj op 31 : 2. Canzonetta : Tempo di valse
Vinyl Williams - Telaculum
Bertrand Belin - Que dalle tout
Amanda Whiting - No turning back
Eartha Kitt - Where is my man (instrumental)
Jose Casimiro - Morti sta bidjâcu
Emi Nekozawa - Me ni Mienai Mono
Iam - Je danse le mia
Robert Plant & Alison Krauss - Rich Woman
Habibi - Losing control
Robert Plant & Alison Krauss - Rich Woman
Hermanos Gutierrez - El fantasma
Maria Mckee - If love is a red dress (hang me in rags)
Wajatta - Don't let get you down
Real Love Seeker - Erica
Lonnie Liston Smith - Floating through space
Sinclair - Soleil de marseille
Stevie Wonder - Superstition
The Frightnrs - Profilin (version)
Pachyman - Toyota nuevo
Mildlife - Downstream
Mister Modo And Ugly Mac Beer - Danger modo
Mathieu Berube - Coucou
Cecile Mac Lorin Salvant - Il m'a vue nue
Stefano Di Battista - Con te partiro
"Sonny Criss - Sunrise, sunset"
March Mallow - Dreaming love
Mary Lou Williams & Six Men And A Girl - Scratchin' the gravel
Alexis Valet - Laika
Hypnotic Brass Ensemble - Soon it will be fire (Feat. Moses Sumney)
Legacy & Phil Cohran - Kilimanjaro
The Cannonball Adderley Quintet - Ndo lima
Angelique Manongo - Akayaka
Aka Moon - Aka 466
"Tender Spring - Hesitation (feat. 9ICK, Jonas Cook & Rich)"
Gael Rakotondrabe - Reckoner
Jesus Molina - What is this thing called love
Ghost Woman - Buik
Céu - Gerando na alta
Karate Boogaloo - One hand one bounce
Danny Brown - Bass jam
Bonnie Banane - Red flags
Joan As Police Woman - Damned devotion
Shay Hazan - Sunflowers (feat. Nitai Hershkovits)
FAITH EVANS - Brand new man
Loony - Raw
Finn Rees - Looking up
Finn Rees - Looking up
TRACY CHAPMAN - Baby can I hold you
"Thanya Iyer -  Please Don't Hold Me Hostage for Who I Am, For Who I Was"
Daniel Villarreal - Bring it
ANTHONY HAMILTON - Can't let go
Akagera - Rococo
RACHELLE FERRELL - Run to me
Eagles - Visions
Gros Coeur - Java
King Gizzard & The Lizard Wizard - Astroturf
Dawn Again - Every dogs hotel
Prince - Sign O' the times
Francis Bebey - Crocodile crocodile crocodile
Ikoqwe - Pele
Tshegue - Mais
Sameer Ahmad - C'est la vie
Khruangbin - Ada jean
The Doors - The end
Kourosh Yaghmaei - Tak derakht
Funkadelic - I got a thing you got a thing everybody's got a thing
Dewolff - Lady J
Slash - The pusher (feat. Chris Robinson)
Ali Shaheed Muhammad - Quiet storm
Bobbi Humphrey (Flûte traversière) - Satin Doll
Sly & The Family Stone - Everybody is a star
The Teskey Brothers - Oceans of emotions
Dick Hyman And The Group - The dock of the bay
The Rolling Stones - My girl
Reiko Ohara - Peacock baby
Joe Hisaishi - Mad summer
Irene Jacob - En japonais
Roseaux - Walking On the Moon
Cibelle - Waiting
Portishead - Sheared box
MC Solaar - Illico presto
A Polylogue From Sila - Hide and Seek (feat. Joey Steffens)
Tank And The Bangas - Cafe du monde
Magnus Lindgren - Chain of fools
Jean Pierre Rampal - Divertissement en Ut Maj hob iv : 1 : Allegro moderato - pour 2 flutes traversieres et basson
Elvis Presley - Oh little town of Bethlehem
Vivre! - Pauvre Jésus-Christ
Brad Mehldau - Prelude
Elliott Smith - Everything means nothing to me
Donny Hathaway - Jealous guy
Céu - Crushinho
Hiroshi Sato - Love and peace
Leonard Cohen - Hallelujah
"Noname - Gospel ? (feat. $ilkmoney, Billy Woods & Stout)"
Glenn Gould - Sonate nº61 en re maj hob xvi : 51 - pour piano : I. andante
Anne Sylvestre - Que vous êtes beaux
Belle And Sebastien - Mary jo
Kenya Vaun - Halfway
Kraked Unit - Poupées Russes
Royksopp - Sparks
Alain Chamfort - La Grâce
Jay Jay Johnson - Amazing grace
Omara Portuondo - Gracias
Adrianne Lenker - Vampire empire
The Yardbirds - Steeled blues
Mina - Et puis ça sert à quoi
Theo Champion - Lean on me
Aerosmith - Give peace a chance
Special Feelings - Down goose
Yaya Bey - I love you Frankie Beverly
Yot Club - Deer island
Paul Mac Cartney & Wings - Band on the run
Abou Diarra - Né nana (radio edit)
Il Giardino Armonico - Concerto en Ut Maj RV 425 p 134 : 1. Allegro / Pour mandoline cordes et basse continue
"Caroline Cler - Les chats, les souris et Mozart"
Cat Power - Woman (feat. Lana Del Rey)
"Urge Overkill - Girl, you'll be a woman soon"
Hermanos Gutierrez - Until we meet again
Yesking - Hardground
Vera Hall - Trouble so hard
Astrud Gilberto - Goodbye sadness (Tristeza)
Manu Chao - Infinita tristeza
Guadalupe Plata - Demasiado
Eddie Cochran - C'mon everybody
Don Gibson - Blue blue day
Philanthrope - Queenslude
Polylogue From Sila - Narcisse
Martina Topley Bird - Orchids
Beck - Everybody's gotta learn sometimes
Ezechiel Pailhes - Opus 53
James Murphy - People
Sly & The Family Stone - If you want me to stay
Pierre Michelot - Sous les ponts de Paris
Roce - Ma saleté d' espérance
Blick Bassy - One love
Plants And Animals - House on fire
Fontaines D.C. - Starburster
The Pharcyde - Passin´Me By (Instrumental)
Danny Hensworth - Mr money man
Mrs Miller - The Shadow Of Your Smile
The Sorcerers - Oromo moon
Marvin Gaye - The world is rated x
Marmalade - Reflections of my life
Nubiyan Twist - So mi stay
Kiefer - Falling
Jesse Tabish - Castro
Balthazar - Blood Like Wine
Brigitte Fontaine - Je suis décadente
Mariko Anraku - Beau soir / Pour voix et piano / Transcription pour harpe et flute traversiere
Andrew Bird Trio - I fall in love too easily
David Crosby - Laughing
Turnover - Queen in the River
Yummi Wisler Guitar Combo - Albanian shuffle
Mavis Staples - Chained
Wax Tailor - This train (just mike of dakuniks remix)
Oumou Sangare - Fadjamou (Radio edit)
Whatitdo Archive Group - Astral-desia
"Cake - Perhaps, perhaps, perhaps"
G Love And Special Sauce - Baby's got sauce
Omer Avital - Small time shit
MC Solaar - Géopoétique
Rone - Wave
Modestamente - Ghost
Paul Badura Skoda - Pizzicato Polka op 9 n°2 - pour piano
Emily Loizeau - Je ne sais pas choisir
Clare And The Reasons - Pluto
CANZONIERE GRECANICO SALENTINO - SUBBRA SUTTA (FEAT. PIERS FACCINI)
Limousine - Sad sun
Zara McFarlane - In Between Worlds
Mavis Staples - Little bit
Shuggie Otis - Not available
Manu Codjia Trio - Redemption song
Etienne Daho - Voodoo voodoo
King Gizzard & The Lizard Wizard - Searching...
The Dandy Warhols - Easy
ANOUAR BRAHEM - UNEXPECTED OUTCOME
Natacha Atlas - Hayati inta reprise (Hayatak ana)
THE STAVES & YMUSIC - TAKE ME HOME
Travelling Quartet - In my life
Pearl Jam - Last kiss
The Beatles - Nowhere Man
"Jo Wedin & Jean Felzine - Chanter, baiser, boire et manger"
Tee See Connection - Take my breath away
Madeleine Peyroux - More time
Bill Frisell - Disfarmer thème
Catherine Ringer - Como va
The Black Crowes - High head blues
Cypress Hill - Hits from the bong
King Gizzard & The Lizard Wizard & Mild High Club - Rolling stoned
EDDY DE PRETTO - JUNGLE DE LA CHOPE
Rhi - Forever
"Rone - I, Philip"
Christian Scott Atunde Adjuah - Phases
Camille - Kfir
Sly5thAve - California love (feat. Cory Henry)
Joe Cocker - Woman to woman
"Claude Nougaro - Chiffre deux, nombre d'or"
Orchestre Philharmonique Royal De Liege - Concerto n°6 en Sol Maj op 47 : Intermezzo
Renata Rosa - Caçador
Os Incriveis - Uma rosa pra dita
Beastie Boys - Song for junior
Pumpkin & Vin S Da Cuero - Persona Non Gratis
Fugees - Ready or not
Dexter Wansel - Voyager
The Doors - Riders on the storm
Still Corners - White sands
Little Dragon - Slugs of Love
Turnover - Queen in the River
Yummi Wisler Guitar Combo - Albanian shuffle
Mavis Staples - Chained
Wax Tailor - This train (just mike of dakuniks remix)
Oumou Sangare - Fadjamou (Radio edit)
Whatitdo Archive Group - Astral-desia
Kiefer - Work and purpose (feat. 10.4 ROG)
Andyfellaz - Samba Connection
Johnny Alf - O barquinho (Little boat)
Tropic Hotel - Je ne suis plus toi et moi
Wilco - Summer teeth
Station 17 - 20.000 meilen unter dem mond
"Thelma Houston - Dear white people : Saturday night, sunday morning"
Terez Montcalm - She's not there
The Zombies - I call you mine
Toros Can - Suite n°3 en Sol Maj z 662 pour piano : Allemande
Peggy Lee - I didn't know what time it was
Zizi Jeanmaire - Bloody Jack
Carlton Jumel Smith & The Soul Seeders - A better day
Philanthrope - Chromelude (feat. Wun Two & Chromonicci)
The Cure - Play for today
Le Grand Kalle - Biwela-biwela
Hermanos Gutierrez - Sonido cosmico
Pete Josef - Utopia (radio edit)
Young Jessie - Mary Lou
Creedence Clearwater Revival - Hello Mary Lou
Ultimate Spinach - Sacrifice of the moon
Lava La Rue - Push N Shuv
Prince - I wish u heaven
Quatuor Zaide - Quatuor à cordes n°40 en Fa Maj op 50 n°5 HOB III : 48 : Allegro moderato
Gruff Rhys - Peace signs
Marcia Maria - Amigo branco
Boozoo Bajou - No catch
Gabi Hartmann - Mille rivages
Cat Stevens - Lady d'Arbanville
Jerry Reed - The Claw
Sammy Davis Jr. - Bee-Bom
Gregory Porter - Liquid Spirit
Charles Wright Ant The Watts 103rd Street Rhythm Band - Spreadin' honey
Anna Wise - Greens
Alexvndria - Twilight
Chris Farlowe - Paint it black
Incredible Bongo Band - Satisfaction
Mathieu Boogaerts & Dick Annegarn - Faux frère
Mork - Dromedar (feat. Brother Portrait)
Sly & Robbie - Frenchman code
The Police - Can't stand losing you
