Quatuor Debussy - Chador
Creedence Clearwater Revival - Born on the bayou
Adrian Sherwood - Starship Bahia
Janett Silvera - Waiting in vain
Louis Chedid - Le cha-cha de l'insécurité
Ours Samplus - Luna mi amor
Doja Cat - Attention
Balm - Pair of glasses
Antoine Berjeaut - Horns & battle
Donny Hathaway - The ghetto
Pedro Miguel Y Sus Maracaibos - Almendra
Wilco - Jesus etc.
Ezechiel Pailhes - Fly finger
Petite-Vallee - Vivant
Norah Jones - I'm alive
Adrian Younge & Ali Shaheed Muhammad - Feel alive (feat Karolina and Lore)
Boards Of Canada - Aquarius
Galt Mac Dermot - Aquarius
The 9th Creation - Rule of mind
Romano Bianchi - La même chose
PEGGY LEE - STRANGERS IN THE NIGHT
JOHN WILLIAMS - JOHN WILLIAMS / NUAGES
The Eddie Higgins Trio - Tango Africaine (LP Version)
Chris Connor - Lullaby of birdland
Hank Jones & Oliver Nelson - Spy with a cold nose
JONI JAMES - JONI JAMES / ALL OR NOTHING AT ALL
RALPH MORGAN TRIO - RALPH MORGAN TRIO / DAT DERE
IRENE KRAL - IRENE KRAL / SHADOW OF YOUR SMILE
MONK WITH COLTRANE - MONK WITH COLTRANE / EPISTROPHY
TONY BENNETT - TONY BENNETT / PRELUDE TO A KISS
DUKE ELLINGTON - DUKE ELLINGTON / PORTRAIT OF WELLMAN BRAUD
SAMMY DAVIS JR - SAMMY DAVIS JR / MY FUNNY VALENTINE
ART FARMER - ART FARMER / WINDMILLS OF YOUR MIND
STAN GETZ - STAN GETZ / A SONG AFTER SUNDOWN
THE STAPLE SINGERS - For what it's worth
Oscar Peterson - How insensitive
Sylvain Daniel - Bossa champi
King Gizzard & The Lizard Wizard - Ice V
DJ Harrison - Lil birdie
Cotonete - Satori
Showa And Mafia - Deus me faca funky
Red Hot Chili Peppers - Sir psycho sexy
Jack White - Love interruption
Lana Del Rey - Tulsa Jesus Freak
Khruangbin - Cómo me quieres
Black Brothers - Saman doye
"Betty Davis - You won't see me in the morning (previously unreleased bonus track, 1974)"
Thomas De Pourquery - Back from the war
Veronique Sanson - Les délices d'hollywood
Leon Phal - Naima
Allysha Joy - Stay
Leon Phal - Naima
Marcus King - Bipolar love
Zeal & Ardor - To my ilk
Asta Hiroki - These hands (pt. 2)
Low Roar - I'll keep coming
Soulsavers - Unbalanced pieces
Altin Gun - Yüce dag basinda
Gossip - Real power
CSS - Let's make love and listen to death from above
Madam - Dance
Karate Boogaloo - Family song (sing-a-long)
Sameer Ahmad - Ne´ron
Adrian Younge - George Stinney Jr.
Babx - Milonga
Kamasi Washington - Lines in the sand
Shabaka - Living (feat. Eska)
Beastie Boys - Sure shot
G Love And Special Sauce - Making amends
Toots And The Maytals - 54-46 was my number
Oscar Jerome - Fkn happy days 'n' that
Ben Harper - Burn one down
Melissa Laveaux - Nan Fon Bwa
Amparo Sanchez - Corazon de la realidad
La Maison Tellier - Mexico city blues
Calexico - El morro
Shabaka - As the planets and the stars collapse
Cotonete - Satori
Lana Del Rey - Tulsa Jesus Freak
Kamasi Washington - Lines in the sand
Shabaka - Living (feat. Eska)
Beastie Boys - Sure shot
The Rolling Stones - Shine a light
Pearl Jam - Waiting for Stevie
Surprise Chef - Herbie Hemphill
The Impressions - I'm so proud
Buddy Holly - That'll be the day
Orkes Tropicana - Pantjaran kasih
Max Raabe - Bongo bong
Tchavolo Schmitt - Coucou
Gabrielle Sandman Sextet - Je t'aime (Swing 39)
Mac Demarco - Freaking out the neighborhood
Marcoca - I'm about to disappear
Pedro Mizutani - Amadurecer
Thibault Cauvin - Sonate en Sol Maj K 14 L 387
Yves Duteil - La puce et le pianiste
Sergio Mendes & Brasil 66 - One note samba/Spanish flea
Miriam Makeba - The naughty little flea
The Doors - The Mosquito
Sababa 5 - Fa Sol La
Jalen Ngonda - That's all I wanted from you
Alton Ellis - It's true
Count Basie - Li'l darlin'
Le Collage De France - Monts et merveilles
"Pascal Comelade (Compositeur, Piano) - Un samedi sur la terre : Un samedi sur la terre"
Iggy Pop - La javanaise
Kadhja Bonet - Joy
Céu - Crushinho
Whatitdo Archive Band - Farewell Lola
Tim Buckley - Pleasant street
Air - How does it make you feel
Hether - Look of love
Danger Mouse & Black Thought - No Gold Teeth
Parliament - Flash light
Vumbi Dekula - Congo yetu
Francis Bebey - Asma
Adrianne Lenker - Vampire empire
Dorothy Ashby - Heaven and hell
Orchestre Philharmonique De New York - Fantasia on Greensleeves sur l'opéra Sir John in love : Lento - pour violon harpe et orchestre à cordes
Bobby Vinton - Mr. Lonely
The Delfonics - La la means i love you
Emma Stone - La la land :  A lovely night
Yaron Herman - Layla layla
Fairuz - La wallah
Henri Salvador - Trompette d'occasion
The Swingle Singers - Cantate BWV 140 : Wachet auf ruft uns die Stimme : Choral : Zion hört die Wächter singen
Arman Melies - La fugue
Jessica Pratt - World on a string
The Jackson 5 - I'll be there
Brandon Coleman - Just reach for the stars
Knower - Real nice moment
Anoushka Shankar - Lola's lullaby
Clive Zanda - Ogun
Bastien Lallemant & Elisabeth Spettro - A prendre ou à laisser
Dan Deacon - Big milk
Flo Morrissey - Tomorrow will be beautiful
Joan As Police Woman - Kiss
Mark Mothersbaugh - The Sims 2 : Simsation
Kcidy - Les gens heureux
Devo - Working in the coal mine
Mauskovic Dance Band - Wie niet weg is is gezien
Zia - Helelyos
Bert Kaempfert - Afrikaan beat
Dean Martin - Money burns a hole in my pocket
Magdalena Kozena - Les noces de Figaro K 492 : Voi che sapete (Acte II) Air de Chérubin
Nick Drake - Fly
Francoiz Breut - Ode aux vers
La Bibliotheque De La Bergerie - Le fleuve de la nuit
Eko Afrobeat - Enemy
Holy Hive - Didn't you say
DJ Harrison - Candle lit
Tyler The Creator - Wharf talk (feat. ASAP Rocky)
Roy Ayers - Everybody loves the sunshine
24 Carat Black - Ghetto : Misfortune's wealth
Larry Jon Wilson - Broomstraw philosophers and scuppernong wine
Tommy Guerrero - Malas tierras
La Luz - Poppies
The Animals - House of the rising sun
Michael Rose - Born free
Titus - L'Endormie
Joe Pass - When it's sleepy time down south
Julie London - Misty
Lesley Garrett - Carmen : Sous les remparts de Seville (Acte I) air de Carmen
Mariachis De Mexico - Tenme un poco de paciencia
Y La Bamba - Michoacan
Munya - Cocoa
Alberta - Juste tous les deux
D Train - Keep On
Claudy Siar - Bondié
Guy Marchand - Relax
Limousine - Sukiyaki
Nirvana - Dumb
Lord$ - Here we go
Amanda Whiting - .liminal
The Abyssinians - I and I
Etienne Daho - L'homme qui marche (Visconti's dub)
Aoife Nessa Frances - Geranium
Felbm - Tartufai
Rubel - Mantra
David Bowie - Five years
The Turtles - You know what i mean
Vladimir Cosma - Bowery mood
Mathieu Berube - Moscou
Iyamah - Luxury
Nils Frahm - Because this must be
Akiko Yano - Gokigen wanisan
Joy Division - Passover
Divine Scienze - Juice
The Juju Exchange - Morning of
Bryony Jarman-Pinto - Moving forward
Maya - Lait de coco (dub)
The Mighty Diamonds - Pass the kutchie
Ondatropica - Lazalypso
Rasco - Suzi suzuki
Cigarettes After Sex - Tejano blue
Blackjoy - Saint Exupery
Buggles - Video killed the radio star
Lio - La panthère rose
Tsar Shate II - What do I see ?
Orchestre De Philadelphie - Pastorale - arrangement pour orchestre
Andrew Bird Trio - I fall in love too easily
Celeste - Love is back
Julio Jaramillo - Amor profundo
Rodrigo Y Gabriela - Electric soul
Cher - For what it's worth
The Reed Conservation Society - Pylônes
Radiohead - Go to sleep. (little man being erased.)
Francis Lai - Robert et robert
Young Gun Silver Fox - Sierra nights
Jackie De Shannon - What the world needs now is love
Yaya Bey - Crying through my teeth
Mac Demarco - Edmonton
Dekker - Hands clean
She Keeps Bees - First quarter moon
Serge Gainsbourg - 69 annee érotique (ft. Jane Birkin)
Glenn Jones - The great pacific northwest
Sly & The Family Stone - Who in the funk do you think you are
The Sextones - Daydreaming
The Two - Mo ale
Kibrom Birhane - Digis
Slim & The Beast - First time
Jungle - Happy man
Ural Thomas & The Pain - Apple pie (oh me oh my)
Booker T & The Mg'S - Deadwood Dick
Babx - Milonga
Tita Merello - Se dice de mi
Mina - Chihuahua (remastered)
Diana Ross And The Supremes - My world is empty without you
Mayer Hawthorne - Your easy lovin' ain't pleasin' nothin'
Lee Fields - You Can Count On Me
The Marvels - Rock steady
Leopold Roy - Motel Ozone
Enchantee Julia - Sois pas pressé
Gareth Donkin - Whenever
Michael Jackson - The girl is mine
Ezechiel Pailhes - Piccolo
Benny Sings - So far so good
The Inspector Cluzo - We The People Of The Soil
Stereolab - Rainbo conversation
Orchestre Philharmonique De New York - Les Préludes S 97 : Allegretto pastorale - Allegro marziale
Dorothy Ashby - Myself when young
Alice Dona - Réveille-toi
Scala & Kolacny Brothers - Clandestino
Lynn Taitt & The Jets - Batman
Les Humphries Singers - Derrick (part 1) (remastered)
Myra - Pom pom
Pedro Mizutani - Nublado (Patchworks remix)
General Ehi Duncan & The African Army Express - Africa (My No. 1)
Arc De Soleil - The thief in Marrakesh
Charlotte Day Wilson - Canopy
Frazey Ford - September fields
Pokey Lafarge - Sister Andre
Les Primitifs Du Futur - La Valse Chinoise
Juliette Greco - Sous le ciel de Paris (2eme version)
Nora Fischer - Augellin - arrangement pour voix et guitare électrique
Jose Feliciano - California dreamin
Herb Ellis - Ellis in wonderland
Harry Connick Jr - You're sensational
Jackie Wilson - (Your love keeps lifting me) higher and higher
Blue Mitchell - Blue's blues
Thee Sinseers - Talking back
Conchita Velasco - Calor
The Rendells - Hot licks
Field Music - Coffee or wine
Rikki Ililonga - Take it light
Breakestra - Get it right
Jeff Lorber - Flipside
Jane Weaver - Flock
Grand Union - Morning Brings The Light
Yaya Bey - Yvette's cooking show
Arnaud Roulin - Angela
Janet Jackson - That's the way love goes
Tropic Hotel - Vivre une vie sans vivre
"Jorge Ben - Por causa de você, menina"
Piero Piccioni - Camille 2000 (film) : Chains of love
Dire Straits - Southbound Again
The Islanders - King of the surf
Les Louanges - Dm's
Antoine Berjeaut - Life In Ocre
Dreamcastmoe - We gone make it
The Sindecut & Ijeoma - My mam said
Romano Bianchi - HS to HS
Blackjoy - Michel Chevalet
Why Mud - Ketchup
Total Experience - Contradiction
Saigon Soul Revival - Nao ta cung hat (Dub)
Youthie - Koala walk
Dario Moreno - Papa loves mambo
Etta James - Too tired
Minuano - Paper moon
Billa Qause - I walk alone
Reverend Baron - Fool on the ave
Rachel Chinouriri - I hate myself
Lord$ - Fantasy
Thievery Corporation - Closer to god
Paul Mac Cartney - Check my machine (2011 remaster)
Grace Jones - Love you to life
Coxsone - Just can't dub
Nana Budjei - Asobrachie
Stella - Plus vite
Erika De Casier - Test it
Silvan Strauss - Storks
The Isley Brothers - Love The One You're With
Larry Jon Wilson - Sheldon churchyard
Jerry Lee Lewis - Break my mind
Gavin Crisfield - Well-trodden lonesome blues
Jurg Eichenberger - Valse-ballet - arrangement pour violoncelle et piano
"Jimmy Witherspoon - Baby, baby, baby"
Julie London - Free and easy
Marion Rampal - A volé
Dido - White flag
Nightmares On Wax - On it maestro
Jgrrey - Superrfly
Nxworries - Daydreaming
Mike Oldfield - Foreign affair
Blonde Redhead - Silently
Poni Hoax - Tropical suite
Hassan Shamaizadeh - Safar (Journey)
Dee Dee Warwick - You're no good
Sylford Walker - Chant down Babylon
Camille Bazbaz - No limit
Saint Michel - Espace publicitaire
Jessica Pratt - Life is
West - Sad about the times
Tamtam - Nue
Cousin Kula - The sun
Figub Brazlevic & Parental - 20000 (feat. below your mind)
"Fabe - Des durs, des boss... des dombis!"
Us 3 - I'm thinking about your body
Horace Silver - Soul searchin'
Lee Fields - Ladies (instrumental)
Fleetwood Mac - Black magic woman
John Lee Hooker - Boom boom
Bobby Hebb - You don't know what you got until you lose it
Sweatson Klank - B movie
Jordan Rakei - Trust
Dub Colossus - Mi dad
Nubiyan Twist - Carry me (feat. Seun Kuti)
Hubert Laws - Gymnopedie #1
Aida Garifullina - Siren' op 21 n°5
Serge Gainsbourg - Melody
Noonday Underground - Hitch your wagon to the stars
J. Bernardt - Last waltz
Arctic Monkeys - Batphone
JD McPherson - Shy boy
Le Migou - Pistolero
Dinah Washington - Caravan
Fairuz - Ya mayla aal ghousoun
Sharky - Hawaii
Rukhsana Merrise - Standing still
Tom Misch - For Carol (Quarantine Sessions)
Teme Tan - Améthys
Wayne Smith - Under mi slengteng
Seafood Sam - Bullets from a butterfly
Eric Hilton - Endless affair
Project Gemini - Colours & light
The Mamas & The Papas - Dancing in the street
Kid$ - Midnight on the stormy deep
Oxalys - Quatuor en ut min op 145 n°1 : Allegro all'espagnola
Domenico Lancellotti - Florecer (Ricardo Dias Gomes remix)
Julien Baer - Dérive
Ramsey Lewis - Les fleurs
Bruno Spoerri - Der wu¨rger vom tower 1 (big ben’s little secret)
Dog Park - Time
The White Stripes - The denial twist
Swamp Dogg - Lonely
Resolution 88 - Homing in
Alice - Una notte speciale
Elegance - Vacances j'oublie tout
Mocky - Midnight rambler
Freedom Fry - Everybody's talkin'
Marta Del Grandi - Amethyst
Céu - Gerando na alta
Sven Wunder - Bamboo and rocks
Odyssey - Hang together
Mamas Gun - Party for one
Steam - Na na hey hey kiss him goodbye
Mosquito Hawks - Mosquito eater
Scott Bradlee'S Postmodern Jukebox - No diggity (Feat. Ariana Savalas)
Najoi Bel Hadj - Aminata
Morcheeba - I am the spring
Aurelia Visovan - Sonate pour piano nº14 en ut min K 457 : 3. Allegro assai - version pour pianoforte et violoncelle - arrangement pour pianoforte et violoncelle
Marvin Gaye - Sunny
J.P. Bimeni & The Black Belts - Four walls
Warhaus - Time bomb
Adrian Quesada - Alberto's loop
La Bionda - I wanna be your lover
Lescop - Les garçons
Balthazar - Sinking ship
Piero Umiliani - Nel Villaggio
Paolo Conte - Via con me
Waldeck Sextet - Sweetest lies (feat. Patrizia Ferrara)
Bryony Jarman-Pinto - Deep
The Soulful Strings - Burning spear
Aliocha Schneider - L'autre
Belle And Sebastian - Love on the march
Lenny Kravitz - I belong to you
El Michels Affair - Detroit twice
Bjorn Berge - A matter of time
Jeff Mailfert - On the way
Leyla McCalla - Too blue
Bela Fleck - The old north woods
Dinah Shore - Buttons and bows
Féloche & The Mandolin' Orchestra - Tous les jours
Duo Gallucci Pilato - Variazioni sul basso di tarantella : Allegro - pour mandoline et guitare
Bnny - Nothing lasts
"The Good, The Bad & The Queen - Northern whale"
Francoiz Breut - Crever l 'asphalte
Bon Voyage Organisation - La course (radio edit)
The Lions - The magnificent dance (Feat. Black Shakespeare)
LA Priest - Neon
Bonnie Banane - Red flags
The Moog Beatles - Good Night
Vera Sola - Desire path
Dana Gavanski - Late slap
Les Paul & Mary Ford - Bye bye blues
Jacqueline Perez - Cache cache
Dizzy Gillespie - Tin tin deo
Omar - Essensual
Moonchild - Let you go
Portishead - Mysterons
Bo/Jonathan Livingston Le Goeland - Flight of the gull (instrumental)
Willie Nelson - Mammas don't let your babies grow up to be cowboys
Theo Lawrence - Trail of signs
Emiliana Torrini - Miss flower
Mario Rui Silva - Dembita
Pierre Barouh - La nuit de mon amour
Beck - Missing
Lossapardo - Nostalgia
Allysha Joy - Stay
Giovanni Fusco - Il surf della luna
The Beach Boys - Surfin' Safari
La Femme - Sur la planche 2013
Altin Gun - Kirik cam
Bloom Bat - Drifting away
Bibio - A couple swim
Roberta Flack - You've got a friend
Meernaa - Love is good
Allez Kiki Fermentation - QMQS
Resolution 88 - Vortex
El Comité - Carrousel (feat. Ibrahim Maalouf)
Aki Takase Japanic - I'm confessin' (that I love you)
Nellie Lutcher & Her Rhythm - Fine brown frame
Gerry Mulligan - Feeling good
Jasmine Myra - How tall the mountains
Sylvain Daniel - Bossa champi
Amina Mezaache & Maracuja - Pixingando
Andre Minvielle - K you k yaw
"Joshua Redman, Brad Mehldau, Christian Mcbride & B - Right back round again"
Allen Hoist - Caravan
The Junior Mance Trio - Swish
Dele Sosimi & The Estuary 21 - You don't have to
Devon Russell - You found Heaven
La Feline - Alentour de lune
Emancipator & Koresma - Cherry blossom
The Stranglers - Everybody loves you when you're dead
"Lucas Santtana - Muita pose, pouca yoga"
Dick Annegarn - Crépuscule
Jimmy Giuffre - Gotta dance
Tom Misch - Insecure
Murray Head - Say it ain't so Joe
Atahualpa Yupanqui - Punay
Hollywood Studio Symphony - My place is with Casanova
Rex Orange County - Keep it up
Kate Bush - Cloudbusting
Ladysmith Black Mambazo - Isitimela
The Golden Gate Quartet - Preacher and the bear
The Roots - Tunnel vision
"Matthew Halsall - Mountains, trees and seas"
Forever Pavot - Decalco
Nectar Woode - Good vibrations
Lauryn Hill - Doo wop (that thing)
Poni Hoax - Tropical suite Pattaya
Pedro Ricardo - Cantar das kandakinhas
Elliott Smith - Happiness
Natacha Atlas - Something
Andrey Baranov - Caprice en la min op 1 n°24 - arrangement pour violon et piano
Malik Djoudi - Vivant
Msaki x Tubatsi - Imini Yesithembiso
Ann Peebles - I Can't Stand The Rain
Iiro Rantala & Ulf Wakenius - Seoul
Nick Mulvey - The world to me
Djelimady Tounkara - Sigui
The House Of Love - Phone
Mato - Also sprach Zarathustra dub
Serge Gainsbourg - Les locataires
Howlin Wolf - Evil
Bobby Bland - Ain't no love in the heart of the city
Wagner Pa - Xino xano
Manu Chao - Je ne t'aime plus
One Another Orchestra - Charangalila
Roxy Music - A really good time
Frank Sinatra - The lady is a tramp
Black Sheep - The choice is yours (revisited)
James Alexander Bright - Fall For You
Dirty Art Club - Just A Memory
mui zyu - Please be ok (feat. Miss Grit)
Suicide - Ghost Rider
Bruce Springsteen - State trooper
Mari Boine - Vuoi vuoi mu
Skeleton Crew - Zach's flag
Johnny Hammond - Big sur suite
Philippe Petrucciani And Nathalie Blanc - Miles Davis Licks
Salami Rose Joe Louis - Losing steam
"Pierre Louki - Allô, viens je m'emmerde"
Maston - Tulips
Suki Waterhouse - My fun
Jeff Simmons - Lucille has messed my mind up
Shuggie Otis - Sweet thang
Hoazin - Party at Benson's (radio edit)
George Benson - Summertime
Britti - So tired
Bryony Jarman-Pinto - Feel those things
Philippe Cohen Solal - Dimanche (piano version)
Stella Le Page - I was a fountain
Enji - Zavkhan
Charles Trenet - Où irons-nous dimanche prochain ?
Kid Loco - A grand love theme
High Llamas - How the best was won (feat. Bonnie Prince Billy)
Heavy Chest - Just you
The Rollers - One little piece
Joey DeFrancesco - Young at heart
Shirley Horn - The good life
Pomplamoose - Something About Us
Natalia M King - (lover) you don't treat me no good
Sunday Service Choir - That's how the good lord works
Ezechiel Pailhes - Unless
Ben Molinaro - MILF : Paperclips
Hiroshi Sato - Picnic
Alex Van Pelt - What if
5nizza - Vperyod
Francoise Hardy - Comment te dire adieu
Gato Barbieri - Cubano chant
Celia Cruz - Bombora quina
Stevie Wonder - I was made to love her
Lauryn Hill - Everything is everything
Off Swing Quintet & Samy Daussat - Rasé de près
Bob Dylan - Peggy day
Jacques Helian Et Son Nouvel Orchestre - Qu'il Fait Bon Vivre
Jalen Ngonda - Illusions
Amanda Whiting - Nomad
Sophye Soliveau - Initiation II (Wonder why) (radio edit)
Destiny's Child - Emotion
Andy Shauf - Spanish on the beach
Roger Fakhr - Waiting for it everyday
Real Estate - Sting
Flavien Berger - Plongereuse
Jungle - I've been in love
Marcos Valle - Batuque
Christopher Walken - Le livre de la jungle : I wanna be like you (2016)
Anis - Cergy
Jess Gillam - Pequeña czarda
"Anita O Day - Take the """"""""A"""""""" train"
Chris Thomas King - I'm on fire
"The Beatles - Ob-la-di, ob-la-da (Esher demo)"
"Antoine """"""""tato"""""""" Garcia - Nouno (inter)"
Ignacio Maria Gomez - Belesia
Agnes Obel - Riverside
Brad Mehldau - River man
Overhead - Air
"Al Green - Right now, right now"
Mavis Staples - Chance on me
Les Pythons De La Fournaise - Mo chérie l'amour
Vampire Weekend - Mary boone
Christian Loffler - Nadir ( Les pêcheurs de perles Air de Nadir)
Charlotte Day Wilson - Last call
Julie Roue - Fragile : L'huître amoureuse
Talk Talk - I don't believe in you
Alain Bashung - Ma Petite Entreprise
Soul Sugar - Happy riddim
Death And Vanilla - Baby snakes
Digable Planets - Where I'm from
Quincy Jones - Se E tarde me perdoa (forgive me if I'm late)
Astrud Gilberto - Maria quiet (Maria moite)
Norah Jones - Paradise
Peter Harvey - The kiss dear maid thy lip has left woo 153 n°9 - pour baryton violon violoncelle et piano
John Williams - The Fabelmans : The Fabelmans
Cleo Sol - Don't let me fall
Marc-Antoine Perrio - Mon cœur (feat. Élise Preys)
Joni Mitchell - Sometimes I'm happy
Mulatu Astatke - Yèkèmo sèw
Dr. John - Revolution
Hollie Cook - That very night
Khruangbin - A love international
Robson Jorge - Eva
L Imperatrice - Agitations tropicales
Daft Punk - Face to face
Chocho Cannelle - Ne feypal mwan
Beth Orton - Forever young
Beth Gibbons - Reaching out
Blick Bassy - One love
Rictus - Flashes
Patti Smith - Redondo beach
Sister Nancy - Can't test
Baby Rose - Paranoid
Francoiz Breut - Wudu-elfen
Francois De Roubaix - La scoumoune
Yellow Magic Orchestra - Limbo
"Cool Sounds - Hello, alright, you got that"
Baxter Dury - Aylesbury boy
Fereidoon Farrokhzad & Ramesh - Moondam az boodanet
Canned Heat - Mi Huautia
Big Maybelle - Way back home
Sarah McKenzie - I Was Doing Alright
Cecilia Bartoli - Les noces de Figaro K 492 / Voi che sapete (Acte II) air de Chérubin
Marie Laforet - Entre toi et moi
The Ventures - Sleep walk
The Byrds - Goin' back
Theo Lawrence - I've been here too long
Oscar Jerome - Joy is you
Yussef Kamaal - Yo Chavez
George Benson - Oh ! darling
Justin Hinds - Carry go bring home
Lord Cobra And Pana-Afro Sounds - Rocombey
Xavier Boyer - Oh liza
La Bibliotheque De La Bergerie - Le manuscrit Hopkins
Allie - Dna
The Bee Gees - How Deep Is Your Love
Boule Noire - Il me faut une femme
"L.G. Mair, Jr. - Ghosts"
Sparks - Singing in the shower (avec les Rita mitsouko)
Guadal Tejaz - Valley of hate
La Femme - La femme
Calexico - Gypsy's curse
Johnny Cash - Tell Him I’m Gone
Lee Hazlewood - The girl on death row
Jessica Pratt - The last year
Orchestre Chambre De Stuttgart - Orphee : Interlude (Acte II Sc 5)
Annikki Tahti - Muistatko monrepos'n
Buttering Trio - Love in music
Chelabom - Marécages
Amanda Whiting - Feels so far away
Ella Fitzgerald - Night And Day
Martina Topley Bird - All day
Bakar - All night
Devo - Whip it
UB40 - Food for thought
Dele Sosimi & The Estuary 21 - Alagbara ma me ro
Bon Voyage Organisation - Love soup (radio edit)
The Tango Saloon - Obvivious theres something down there
Drugdealer - Lost in my dream
Dana Gillespie - You just gotta know my mind
The Kingsmen - Louie Louie
The Vampires Sound Incorporation - There's no satisfaction
Nitin Sawhney - Be who you are (feat. Natacha Atlas)
Andy Cooper - Here comes another one (feat. Blabbermouf)
Wes Montgomery - Sunny (alternate take)
Dinah Washington - The kissing way home
Yvonne Fair - I Found You
Los Albas - Bugulu
JD McPherson - It's all over but the shouting
Pascal Comelade - Le riffifi brille en jaune
The Black Keys - Beautiful people (stay high)
Primal Scream - Movin' on up
Sinclair - Ensemble
New Visionaries - Giallo days
Roge - Grito do natureza
Bruno Berle - Margem do céu
Baron Retif & Concepcion Perez - L'œil insulaire
Sirens Of Lesbos - How many miles
Kassav' - Kakika
Musicism - Bermuda triangle
Dag - Home
"Jaco Pastorius - Come on, come over"
Tony Allen - Makoko
Joan As Police Woman - Human condition
Prince Waly - Risotto
Altin Gun - Esmerim güzelim
Sababa 5 - Lizarb
King Gizzard & The Lizard Wizard - Sense
Oan Kim & The Dirty Jazz - Lush (feat. Gabi Hartmann)
Jalen Ngonda - If you don't want my love
Kokoroko - Soul Searching
Lolo Et L'Orchestre O.K. Jazz - Lolo soulfire
Freddi Henchi And The Soulsetters - Funky to the bone
Beck - Readymade
Feist - Fightin' away the tears (feat. Mocky)
John Scofield - Unchain my heart (part 1)
Marion Rampal - Oizeau
Madeleine Peyroux - More time
Joe Yorke - Rough living
Whomadewho - Silence & secrets
Thoma - Fula
Warpaint - Love is to die
Chet Atkins - Something
Clarissa Connelly - Latitude
Sophye Soliveau - Leave
The Marvelettes - Forever
The Shadows - Atlantis
Originals Orchestra - Little nut tree
Bola Johnson & His Easy Life Top Beats - E ma s'eka
Bryony Jarman-Pinto - Riverside
Tommy Guerrero - Azucar
Steely Dan - Do it again
Lulu - I love to boogie
