Pavane - La Mer
SUE RANEY - SUE RANEY / JUST SITTIN AND A ROCKIN
STAN KENTON - Artistry in rhythm
DUKE ELLINGTON AND HIS ORCHESTRA - Artistry in rhythm
THELONIOUS MONK - Jackieing
Katia Labeque - West side story : Cha cha - arrangement pour 2 pianos et percussions
Leonard Bernstein (Compositeur) - West side story : Mambo - pour orchestre et exclamations
Sammy Davis Junior - Wichita lineman
OREGON - OREGON / THE SILENCE OF A CANDLE
ED AMES - ED AMES / SITTIN ON THE DOCK OF THE BAY
T Rex - Get it on
Dick Hyman And The Group - The dock of the bay
Mock Media - Louis won't break
Family Choice - Reggae beat goes on
Secret Night Gang - Never ever
Calibro 35 - Ambienti
Isolde Lasoen - Muse au musée
Lee Hazlewood - Dolly Parton's guitar
Dolly Parton - The bargain store
Enzo Carella - Malamore (3S Take1)
Clement Oury - La tête dans le mur
Capinera - Suonno
Go.Soul.Map. - Pushing (feat. Derane Obika)
Toro Y Moi - High living
Blondie - Heart of glass
Placebo - Balek
Laika - Essence (Isle of java)
Baloji - Gorgone (Too old) (feat.Jamila Woods) (radio edit)
Rio Mira - Adios Morena (Kaleema & Chancha Via Circuito remix)
Fai Baba - Herz
Orchestre La Tempesta - Mustalainen - arrangement pour violon et orchestre
The Righteous Brothers - You've lost that lovin' feeling
Jason Joshua - La vida es fría
Amanda Whiting - Where would we be (Chris Cracknell remix)
Lablue & Astronne - La femme du crépuscule
Flowering Inferno - Ikey's vibe
Duke Of Iron - Bambouche
Stuart Hamblen - This ole house
Alamo Race Track - Trespass
Aidan Knight - Rolodex
Tommy Guerrero - Through the mosaic
Laurence - Le musicien
Al Massrieen - El sobhiya
D Angelo - The door
Maiiah & The Angels Of Libra - I wanna go
Al Massrieen - El sobhiya
Mekanik Kantatik - Everybody's got to learn sometime
Peter Somuah - A thought of you
Warhaus - I'm not him
David Bowie - Starman
Kumisolo - Tous les jours
Skinny Pelembe - Hardly the same snake
Ennio Morricone (Chef d'orchestre) - Le grand air de la collaboration
Ohio Players - Funky worm
Atmosphere - This lonely rose (feat. Blueprint & Aesop Rock)
Trio Tekke - Electric sighs
Nadia Mcanuff - So jah seh
Munya - Nuit Blanche
Chas Jankel - 109
Human League - Love action (I believe in love)
Galt McDermot - Love knows no season
Duke Ellington - Portrait of the Lion
Paolo Conte - La ricostruzione del mocambo
Yukihiro Takahashi - Volare
Junko Hirotani - Day dreamin '
The Blaxound - La reina del baile
Gregory Isaacs - Sinner man
The Marvelettes - Don't make hurting me a habit
Dope Lemon - Home soon
Clair - Saint-Gilles-Croix-de-Vie
Parental & Figub Brazlevic - Correspondance
Roy Ayers - Searching
Lionel Hampton - Sad feeling
Eartha Kitt - I'm a funny dame
Piero Umiliani (Chef d'orchestre) - Le retour de Kriminal : Séquence n°6
Orchestre Symphonique De La Radio Bavaroise - Tes destins sont remplis (Acte I Sc 6) Le Grand Prêtre et Alceste
Tammy Wynette - Funny face
St. Vincent - Candy darling
Strongboi - unconditional (feat. Salami Rose Joe Louis)
Sunflowers - Dreaming of distant shores
Henri Salvador - Pauvre Jesus Christ
Sidan - Ar goll (bonus track)
Grateful Dead - Shakedown street
Donatella Viggiano - Napule canta e more
Camille Bazbaz - En liberté : Santi di Napoli
The Pogues - Dirty old town
Muddy Waters - Baby I done got wise
U-Roy - Gorgon wise
Thee Sacred Souls - A trade of hearts
Boogarins - San lorenzo
Jpye - Oui Non
Kinobe - Slip into something...
Yvette Michele - Summer love
Quiet Dawn - Han
Paper Tapes - Low
Charley Crockett - Downtrodden man
Crosby Stills Nash And Young - Ohio
Feqadu Amde-Mesqel - Asmarina
"Erick Cosaque - Guadeloupe, île de mes amours"
Gil Scott Heron - Home is where the hatred is
Lady - If you wanna be my man
Voyou - Deux oiseaux
Why? - Strawberries
Jaimie Branch - Simple silver surfer
Shirley Horn - Forget me
Emily Loizeau - Je suis jalouse
Doukkali - Je suis jaloux
Hung Cuong & Mai Le Huyen - Horn anh gian em (jealousy)
Drugs - Jealousy
Brian Jonestown Massacre - Mandrake handshake
Gaye Su Akyol - Bagrimizda tas
Dudu Tassa & Jonny Greenwood - Ahibak (feat. Safae Essafi)
Charles Stepney - No credit for this
Stevie Wonder - You are the sunshine of my life
Jamiroquai - Space cowboy
Medeski Martin And Wood - Just like i pictured it
Flavien Berger - D'ici là
Sirens Of Lesbos - Easy
Cat Power - Cherokee
Brad Mehldau Trio - Got me wrong
Bernard Lavilliers - Les Porteños sont fatigués
Cesaria Evora - Petit pays
Los Bitchos - Pista (fresh start)
Allah-Las - Pattern
The Dandy Warhols - Styggo
Jasual Cazz - Better before
Emma-Jean Thackray - Sun
Djeuhdjoah & Lieutenant Nicholson - Tangue à l’envie
79rs Gang - 79rs bout to blow
Baron Retif & Concepcion Perez - Italien chaussettes lin
Jorja Smith - Try me
Janelle Monae - Water slide
Zap Mama - Cache cache
Francis Lai - Hello goodbye
Young Gun Silver Fox - West side jet
Jackie De Shannon - What the world needs now is love
Brian Lopez - Looking glass
Mac Demarco - Harrison Ford escort
Holy Hive - A wind rose
Monika Kabasele - Afro blue
Lou De La Falaise - Dans la glace
Glenn Jones - A different kind of christmas carol
Sly & The Family Stone - Who in the funk do you think you are
The Sextones - This could last forever
The Two - Mo ale
Kibrom Birhane - Weleta
Slim & The Beast - Tongue Tied
Radiohead - Present tense
Ural Thomas & The Pain - Gimme some ice cream
Booker T & The Mg S - Light my fire
Blood Sweat And Tears - You've made me so very happy
Aaron Frazer - Bad news
Jesca Hoop - Sudden light
Lalo Zanelli And Ombu - Papillon
Czesare - Paris s'endort
Tony Bennett - I left my heart in San Francisco
The Hollies - The air that I breathe
Carl Emmanuel Fisbach - Libertango - arrangement pour saxophone et vibraphone
Kids Return - Orange mountains
Metronomy - Picking up for you (outtake)
Francoiz Breut - L'arbre
L'Attirail - Will bill band
Johnny Cash - The sons of Katie Elder
Meskerem Mees - Where I'm from
Konkoma - Shimmy nashi goro
Dressel Amorosi - Synthporn
Santana - Oye como va
Miguel Atwood-Ferguson - Airavata
Heeka - Useless
Chris Garneau - Lucioles
Jimmy McGriff - The worm
James Brown - I got you (I feel good)
King Sunny Ade - Mo ti mo
Vampire Weekend - Run
Cosmo Sheldrake - The fly
Michel Polnareff - La mouche
Taj Mahal - Needed time (banjo and hand clapping)
Anonymous 4 - Listen to the mocking bird
Tkay Maidza - Gone to the west (feat. Duckwrth)
Kendrick Lamar - King Kunta (Version Originale)
Keith Mansfield - Funky fanfare
George Baker - Little green bag
Mel Torme - I sent for you yesterday and here you come today
Thoma - New pathways
Guy Cabay - A m'vwèzène
Makoto Matsushita - Business man (pt. 1)
Ibrahim Hesnawi - Enti
"Kronos Quartet - Ya habibi ta'ala (my love, come quickly)"
Paul Simon - Me and Julio down by the schoolyard
Barry Louis Polisar - All I want is you
Theo Champion - Haven't you heard the news
Laurence-Anne - Polymorphe
The Ironsides - Ligurian dream
"Eartha Kitt - Smoke gets in your eyes (from """"""""Roberta"""""""")"
Meshell Ndegeocello - Better by the pound
Summer Pearl - Feel right remix (feat. Visaka)
J. Rawls - Feelings
Marcos Valle - Garra
Yves Simon - Au pays des merveilles de Juliet
Toro Y Moi - Still sound
Billy Cobham - Thinking of you
Tower Of Power - Get yo' feet back on the ground
Bev Lee Harling - Devil's on your tail
John Williams - At maxims
Ruben Fox - Django's Lullaby (feat. Samara Joy)
Claudine Longet - They long to be close to you
Keyon Harrold - Beautiful day (feat. PJ Morton)
The Oscillators - Track suit
Richard Allen - Things
"Leonard Cohen - Hey, that's no way to say goodbye"
Quantum Quantum - La rencontre
Miguel Trapaga - Sonata pour guitare acoustique : Toccata de pasquini
Lee Fields - What did I do
Malia - Death
Tame Impala - The boat I row
Mac Demarco - 20201127
Mathieu Boogaerts - Attention
Cat Stevens - Mona bone jakon
Howlin' Jaws - Mindreader
Surprise Chef - Blyth street nocturne
Daughter - To rage
Aldous Harding - Blend
Judee Sill - The vigilante
Turibio Santos - Brejeiro / E. Nazareth
Michael Jackson - I can't help it
Son Little - Blue magic
Great Area - so very
Jake Xerxes Fussell - Frolic
Féloche & The Mandolin' Orchestra - Bambino (feat. Dolche)
JJ Cale - Cajun moon
Son Of Dave - Caledonian street
L'Attirail - Lost In The Banat
Richie Havens - Here comes the sun
Shivaree - Helllo hello I'm back again
Maceo Parker - Right place wrong time
Daniel Romeo - Pali
Desert Sessions - Something you can't see
Wouf Wouf - Icare
The Beatles - Hey Jude
The Dynamites - Hey Jude
Miira - XX99
Malik Djoudi - Autrement
Marianne Faithfull - The blue millionaire
Allah Rakha Rahman - Mausam & Escape
Beirut - Arctic Forest
Feist - How come you never go there
Baxter Dury - Glows
Johannes Knecht - Die Kinder des Monsieur Mathieu (film) : Sieh auf deinem Weg - arrangement pour choeur d'enfants à 2 voix et quatuor à cordes
Monster Rally - Equinox
Stevie Wonder - Bang bang (my baby shot me down)
Kelly Finnigan - I called you back baby
Pat Kalla & Le Super Mojo - Caramel
Selman Faris - Ouvertur
The Kinks - I'm not like everybody else
The Lemon Twigs - No one holds you (Closer than the one you haven't met)
Theo Champion - She calls me darling
J.A.S. Ricci Quartette - Copacetic
Don Covay - Everything I do gonh be funky (from now on)
Bomb The Bass - Bug powder dust (la funk mob remix)
Felbm - Funicular
Ceu - Amor de antigos
Astrud Gilberto - Goodbye sadness
Clea Vincent - Bahia
Sofiane Pamart - Dear
Father John Misty - Date night
"The Eagles - Peaceful, easy feeling"
Sven Wunder - Impasto
Say She She - Norma
The Bee Gees - You should be dancing
Marabout Orkestra - Socalypso
Calypso Rose - Calypso blues
Finley Quaye - Broadcast
Skinshape - After midnight
Kcidy - L'eau la lune
Daniel Caesar - Do you like me
War - Flying machine
Chocolate Milk - Action speaks louder than words
Ferdi - Beach wear
Shirley Hurt - Problem child
Beastie Boys - Song for junior
Elli Medeiros - Toi mon toit
Gfh - Mamayeo
Kiledjian - Dlo (feat. Celia Wa)
Coco Bryce - Cantaloop
Cold Blood - Kissing My Love
The Meters - Just kissed my baby
Maple Glider - Don't kiss me
The Durutti Column - Lips that would kiss
Kate Bollinger - J'aime les filles
Eden Ahbez - Full moon
Marie Fabi - Sonatine en Sol Maj op 100 B 183 : Larghetto - arrangement pour vibraphone et piano
Creedence Clearwater Revival - Born on the bayou
John Mayall - All your love
Nas - Bridging the gap
The Wiseguys - Nil by mouth
La Feline - Va pas sur les quais de l'Adour
Vidderna - Utanför
Rachid Taha - Ya rayah
Antoine Bourachot - Apparition
House Gospel Choir - Angels (feat. Morgan) (crackazat remix)
Allysha Joy - Swallow me
Gildas Bocle - Hotel de la plage
Juliette Greco - Déshabillez-moi
Joe Cocker - You can leave your hat on
Vika & Linda - Princess tabu
Alain Goraguer - Strip-Tease - Some small chance
Glen Glenn - One cup of coffee
Yin Yin - The year of the rabbit
Sweetback Sisters - Love me honey do
Flamingosis - Love me in the evening
Nina Simone - Love me or leave me
Delvon Lamarr Organ Trio - I don't know
Eels - Are we alright again
The Coasters - Three cool cats
Al Jarreau - I'm beginning to see the light
Morricone Youth - Vakulinchuk's dream
Alain Bashung - Résidents de la république
Margo Guryan - Sun
Salami Joe Rose Louis - Nostalgic Montage
Jackson Browne - Linda paloma
Sinj Clarke - Ya eres mia
The Pharcyde - Drop
Arling & Cameron - Voulez-vous
Unknown Mortal Orchestra - Hunnybee
Docta G & Dr Charty - Dub for the poor
Erykah Badu - Didn't cha know
Ben Sidran - Thank god for the F train
Joni Mitchell - Little green
Quentin Sirjacq - Aquarius
Orchestre Tout Puissant Marcel Duchamp - Slide
Meernaa - Love is good
The Beach Boys - Wind chimes (smile version)
Freddie Redd Trio - The things we did last summer
Duke Ellington - It don't mean a thing (if it ain't got that swing)
Kitty Liv - Sweet dreams
Audrey - Le soleil sans moi
Iggy Pop - Avenue B
Bennett Lou Quartet - So what
Bennett Lou Quartet - So what
Hiatus Kaiyote - Red room
Fugees - The mask
Cannibale - Hidden wealth
Micky Milan - Quand tu danses (full instrumental mix)
Mel Brooks - It's good to be the king
Dbn Gogo - Black panther : Wakanda forever : Love & loyalty (believe)
Ronu Majumdar - African Queen
Mathieu Boogaerts - Angela
Molly Lewis - Balcony for two
Sinqa - She said
Alice Smith - Woodstock
Orchestre Manuel De Falla - Le nozze di Figaro K 492 : Ouverture
Toby Twirl - Movin' in
The Sextones - Cowboys to girls
Johnny Nash - Tears on my pillow
Vincent Peirani - Kashmir to heaven III : Stairway to heaven
Led Zeppelin - Since l've been loving you
Bill Ryder-Jones - I know that it’s like this (baby)
Parcels - Exotica
Lynn - Est-ce que c'est par la qu'on pleure
Masego - You never visit me
"Ennio Morricone - La faille : Tette e antenne, tetti e gonne"
Pedro Mizutani - Nublado
Jack Johnson - Taylor
Willie Nelson - Satan your kingdom must come down
The Staves & Ymusic - Year of the dog
Abel Selaocoe - Zawose
Someone - All time low
H-Burns - Familiar
Smith Bill Quartet - John Henry
Katerine Francis Et Ses Peintres - Le loup la biche et le chevalier
Shirley Scott - Noche azul
Isaac Hayes - Nothing takes the place of you
David Bowie - Changes
Miguel Atwood-Ferguson - Sweet invitation
Charlotte Dos Santos - Crooked house
Ariel Tintar - Seconde peau
Katy Kirby - Drop dead
Gregoire Maret - San Luis Obispo
Sonny Boy Williamson - Bye bye bird
George Harrison - Apple scruffs
Gianni Ferrio (Chef d'orchestre) - Un giorno in piu' - l'ultima volta
Madvillain - Accordion
BadBadNotGood - Tried
Laufey - Dreamer
Tsegué-Maryam Guèbrou. (Compositeur) - Homesickness
Julien Baer - Dérive
"Peter Tosh - Get up, stand up"
Kamaal Williams - The guvna (feat Sharay Reed & Brian Hargrove)
Beth Orton - Forever young
Billie Holiday - Yesterdays
Shani Diluka - Melody : Sun on you - pour piano
Omara Portuondo - Tal vez
"Any Other - Stillness, Stop"
Joe Hisaishi - Ponyo sur la falaise : Ponyo on the cliff by the sea
Anna Karina - La vie est magnifique (le voleur de tibidabo)
Sparklehorse - It's a wonderful life
Paolo Conte - Via con me
Hank Jones & Oliver Nelson - Spy with a cold nose
Enchantee Julia - Sois pas pressé
Sting - Message in a bottle (Fip Session Live in Paris at the Pantheon)
The Merritonians - Cb meditation's
Outkast - Bowtie
Shuggie Otis - Miss Pretty
Haziz - Kislev
Fairouz - Al thaniah
Noga Erez - Views (feat. Rousso) (against the machine)
Marc Rebillet - One more time
"Sly5thAve - No. No, No, Pt. 2 (feat. Jonathan Mones)"
Della Reese - I got the blues
The Sugarman 3 - Jealous moon
Eddie Chacon - Sundown
Aaron Goldberg - Poinciana
Doris Day - You Won't Be Satisfied
Amy Winehouse - Help yourself
La La Lars - Lugn i stormen
John Klemmer - Free soul
Jacques Pellen - Frère Jacques
Athol Mac Gregor - Fetterresso jigg
Mark Murphy - On the red clay
Peter Somuah - Soft touch
Thierry Maillard Trio - Au-delà de tout (feat. Philippe Gaillot)
Grateful Dead - Shakedown street
Tony Joe White - 300 pounds of hongry
Desmond Dekker - You can get it if you really want
Michelle David & The True-Tones - Better days
Psyche - Cumbia mahàre
Gyedu Blay Ambolley - Little small girl
Pierre Vassiliu - Noix de cola
Mock Media - Touch the ground
Delgres - Anko
The Shadows - Dance on
Buck Owens - I've got a tiger by the tail
Pentangle - I saw an angel (B-side single)
Alex Nicol - Colour my world
Robohands - Perception
Steve Arrington - The joys of love
D Angelo - When we get by
Mel Torme - A smooth one
Berlioz - Deep in it
Chaos In The Cbd & Lee Pearson Jnr Collective - It's up to me (vocal) (feat. K LaDawn & Joe Armon Jones)
Fela Kuti - Wayo (2nd. version)
Matumbi - Rock
The Jazz Butcher - Amalfi Coast May 1963
Melanie - Nausica
Chew Kosaka - Bon boyaji hatoba
Cho Co Pa Co Cho Co Quin Quin - Moon dance
Loveshadow - Horses
Joel Graham - Cool blue pool
Reginald Omas Mamode Iv - Rare love
Phil Collins - In The Air Tonight
La Feline - Effet de nuit
Liv.E - About love at 21
Nightmares On Wax - Me
Reginald Omas Mamode Iv - Rare love
L.B. Aka Labat - 4 You
Microphone Pager - Rapperz are danger
Neneh Cherry - Phoney ladies
Omerta - Moments in love
Led Zeppelin - When the levee breaks
BB King - 3 o'clock blues
Sylvain Luc Thierry Elez Andre Ceccarelli - Song for Marylise
Blossom Dearie - Chez moi
Jorge Ben - Guerreiro do rei
Carlinhos Santos - Nago
Anri - Windy summer
Lionel Richie - All night long
Kofi - Losinf time for love
Athlete Whippet - Let your feelings
Gggg - Amb1
David Byrne - Depp water
Salami Rose Joe Louis - The artist / Seventh dimension
"Orchidee - L'une chante, l'autre pas : La femme bulle"
Matthew E. White - Circle 'round the sun
Arnaud Roulin - Massage II
Jay-Jay Johanson - Finally
Theees - Temptation of the sound
Oracle Sisters - The dandelion
Francois Elie Roulin - Une caresse
Janis Joplin - Summertime
Iggy Pop - Les feuilles mortes
Eartha Kitt - Jonny
Sefi Zisling - Daytime near calm waters
Jose James - Just the two of us
Steve Lacy - Amber
Rudy De Anda - Miel
Jaakko Eino Kalevi - Don't ask me why
Colonel Red - Talk 2 me
Anna Karina - Jamais je ne t'ai dit que je t'aimerai toujours (Pierrot le fou)
The Offline - Jeanne et Alain
Maria Bethania - Mae Maria
Nancy Sinatra - Tippy toes
Patoum - Le dimanche matin
Louis Martinez & Jean Marc Floury - Aretha
Sade - Smooth Operator
Geese - Jesse
Lynn - Est-ce que c'est par la qu'on pleure
Menahan Street Band - Rising dawn
The Dramatics - In the rain
Kit Sebastian - With a Sense of Grace
Cecilia Bartoli - Péchés de vieillesse : Album de chant italien : La regata veneziana : 2. Anzoleta co passa la regata - pour mezzo soprano et piano
Ultramarine - Source
Wild Beasts - When i'm sleepy
Dudley Perkins - Flowers
Oko Ebombo - Diamond
Masaaki Hirao - One way ticket
Bumcello - Salvador
Anna Erhard - Three tons of steel
Belle Vedhere - Cracked floor
Stonewall Jackson - Not my kind of people
Marcia Griffiths - Melody life
Buddy Highlifers - Sway
Gildardo Zapata - Narcos (Vol.1): La rasquina
Manu Chao - Je ne t'aime plus
Futuro Pelo - Donald(feat Mila Stahly)
Joel Sarakula - Game of spies
Ours Samplus - Ceramic
Helen Merril - Waltz for Debby
Maria Callas - Tosca : Com'è lunga l'attesa (Acte III) Tosca
Lucio Battisti - Io vorrei... non vorrei... ma se vuoi
Edouard Bielle - Vitiliboy
Dead Combo - Mr. Snowden's dream
Nick Cave & The Bad Seeds - Red right hand
Booker T & The Mg S - Representing Memphis
Adi Oasis - Sidonie
Harrison - A View From The Sky
Camille Bertault - Certes
Roberto Fonseca - La llamada
Adolfo Echevaria - Sabroso bacalao
Y La Bamba - Damned
"Turner Cody, The Soldiers Of Love - Hairy women"
Calexico - Shortboard
Johnny Cash - Folsom prison blues
John Holt - Talking love
Rufus - Circles
Bernard Guyvan - Polar t'aurais du te tirer (Charles Maurice Version)
Reggie B - Realize
Paris - The days of old
Sen Morimoto - If the Answer Isn't Love
Jimi Hendrix - Purple haze
The Liminanas - Tigre du Bengale
Project Gemini - The ritual '70
Merry Clayton - Tell all the people
Doctor Rhythm - I'm so strong now (feat Spirits Rejoice)
Electric Jungle - Funky funky Christmas
Maceo Parker - Soul power 74
Gal Costa - Pontos de luz
Oscar Jerome - Give back what you stole from me
Baron Retif & Concepcion Perez - On fait comment
Chapelier Fou - G tintinnabulum
The National - Ice machines
Neil Young - Homefire (radio édit)
Buddy Miles - Down by the river
Brad Mehldau - Old man
Taggy Matcher - Only love can break your heart (feat. Mr Day)
Cindy Pooch - Enlève ton coeur
D Angelo - Betray my heart
John Scofield - Unchain my heart (part 1)
Roberta Flack - You've got a friend
The Rolling Stones - Fool to cry
Khruangbin - Zionsville
Rahill - Gone astray
Joe Yorke - Lane walking (feat. Mike Wiley)
Johan Papaconstantino - Mon chat danse (feat. Prosper)
Marina Satti - Adii dromi
Leon Phal - Vibing in ay
Julien Lourau - City boom boom
Guru/Elam Keith - Take a look (at yourself)
Tribeqa - Qartel
Feist - Mushaboom
Marine Quemere - Helicoidal
Oddisee - Right side of the bed
Marvin Gaye - You sure love to ball
Tim Maia - Ela partiu
Soul Coughing - Blueeyed devil
Marcus Roberts - Christmas blues
Harrison Kennedy - What's going on
Steve Tyrell - Trust me
Leo Blomov - Le voyageur immobile
Green-House - Top Soil
Allah-Las - Dust
Kid Loco - My girl
Brian Lopez - All souls
Chet Atkins - Something
Jimmy Martin - 20-20 vision
Ugo Del Rosso - Liberté
Onipa - I bore
Surprise Chef - Over the moon
Ann Peebles - It's your thing
Ugly Mac Beer - Peace on acid
Fredda - Cheveux serpents
The Offline - Cap de l'Homy
Otis Taylor - Write a book about it
Odetta - Gallows tree (gallows pole)
JB Dunckel - Zombie park
Tom Caruana - Bumble bee
The Blind Boys Of Alabama - The last time
Arthur H - Le chercheur d'or
JW Francis - Dream big
Web Web & Max Herre - Zutuma
Camille Yarborough - Take yo praise
The Grease Traps - It's a traps pt.2
Balthazar - Blues for Rosann
Mstislav Rostropovitch - Suite pour violoncelle nº3 en Ut Maj BWV 1009 : VI. Gigue
Cartola - Preciso me encontrar
Gaby Moreno - Illusion
Brigitte - Ma benz
Initials Mb - Goodbye lazy
Alexis Evans - It matters to me
Hupla - Dead end
Armando Trovajoli - D'amore si muore
The Cat'S Miaow - Note on the table
Aaradhna - Wake up
Ed Mount - Maybe baby (feat. Flore Benguigui)
Ana Frango Eletrico - Dela
Gerard Calvi - Les 12 travaux d'Astérix : Obélix samba
Katerine - Bonjour!
"The Doors - Hello, I love you"
Fai Baba - Rägeboge
Otis Junior & Dr Dundiff - Let it go
The Balanescu Quartet - Model
Joe Yorke - Man
Freddy McQuinn - Sixteen pints
Harry Nilsson - Gotta get up
George Benson - White Rabbit
Henri Salvador - Qui sait qui sait qui sait
Newen Afrobeat - Grietas (feat. Lido Pimienta)
Any Other - Second Thought
Denis Sanacore - Train shuffle
Hank Williams Jr. - Long gone lonesome blues
Jack Bruce - Rope ladder to the moon
Lea Mondo - Heights of love
Ocote Soul Sounds - Pirata
Voyou - D'amour et d'insouciance
Chali 2na & Krafty Kuts - Guard the fort (feat. Lyrics Born & Gift of Gab)
Bob Marley - Duppy conqueror
Booker T & The Mg'S - Hip hug-her
Gizmo Varillas - Love over everything
Mock Media - Louis won't break
Alamo Race Track - Wish I was a bird 1
National Philharmonic Orchestra - Au temps de holberg op 40 : Prelude
Charles Aznavour - Tu exagères
