Erobique - Acquamarina
Dezron Douglas & Brandee Younger - You make me feel brand new
Bonobo - Break  apart (feat. Rhye)
Bibi Club - La terre
Don Drummond & Roland Alphonso - Heaven and earth
Caterina Caselli - Cielo giallo
Clairo - Thank you
The Lewis Express - Is it this ?
Doja Cat - Woman
Neneh Cherry - Buddy X
Don Cherry - I Walk
Daniel Ogren - Annalena
Fool's Gold - I'm in love
Pat Thomas & Kwashibu Area Band - Onfa nkosi hwee
Forever Pavot - La belle affaire
Roberta Flack - Do what you gotta do
Shirley Bassey - Light my fire - Remix
Skinshape - Rubber Gloves
Laura Cahen - Quitter la ville (radio edit)
Belle And Sebastian - Ease your feet in the sea
The B-52's - Hero worship
The Heavy - Short change hero
Olivier Libaux - No more heroes
Juniore - Les héros de Barbès
Imhotep - Bomba dub
Gul Sorgun - Ara leyli
Cameo - Word up!
Noga Erez - Vandalist
Missy Elliott - We run this
Incredible Bongo Band - Bongolia
Pokey Lafarge - Rotterdam
Nicole Josy - Hey toi
Specials - Hey little rich girl
Mork - Dromedar (feat. Brother Portrait)
Mari Samuelsen - Timelapse
Dinah Washington - What'll I tell my heart
Thee Sinseers - Can't do that to her
Smoke City - Mr. Gorgeous (and miss curvaceous) [Radio edit]
Carwyn Ellis & Rio 18 - Undiu
Edouard Ferlet - Reflex
Ariel Tintar - Taxi Caraïbes
Ken Boothe - Set Me Free (You keep me hanging on)
James Ray - If you gotta make a fool
Theo Lawrence - The universe is winding down
Penguin Cafe Orchestra - In the back of a taxi
Kit Sebastian - Faust
Elvis Costello & The Imposters - Burnt sugar is so bitter
The Temptations - Shakey ground
Arrested Development - Mr. Wendal
Stella - Pourquoi
Bosq & Kaleta - Robojiyan
The Hollies - If I needed someone
Question Mark & The Mysterians - I need somebody
U2 - Bang a gong (Get it on) (feat. Elton John)
Riot Jazz Brass Band - Necropolis
Jon Regen - Stop time
Sage - Dear Dea
Ryuichi Sakamoto - Amore
Babx - Omaya (Part I et II) (feat. Archie Shepp)
Jaimeo Brown - Safflower
Meiko Kaji - Gincho Wataridori : Jingi komoriuta
Asha Puthli - Chipko Chipko
Jackson 5 - I am love (pt. 1 & 2)
Ian Dury - One love
The Kills - My girls my girls
Nxworries - Walk on by (feat. Earl Sweatshirt & Rae Khalil)
Ugggy - After party fungus
Altin Gun - Goca dünya
Kokoroko - We give thanks
Francois And The Atlas Mountains - Les plus beaux
Fruit Bats - The blessed breeze
Fleetwood Mac - The chain
Shuggie Otis - Not available
Madeline Bell - That's what friends are for
Manu Dibango - Soul makossa
Voilaaa - Manu écoute ça... (feat. Pat Kalla)
Cochemea - Black pearl
Emma-Jean Thackray - Golden green
Warpaint - Send nudes
Baron Retif & Concepcion Perez - Italien chaussettes lin
Bonnie Banane - Toi ou Moi ? (Sacha II)
Shawn Lee - P Walk
Skinshape - Hurry and enjoy
Bob Marley & The Wailers - Stir It up
Jamiroquai - Seven days in sunny june
Gecko Turner - Que siesta tan buena (he babeao y to...)
Claude Chalhoub - Don't wake me up
Deli Teli - Boumpam (clip edit)
Piers Faccini - Your name no more
Lisza - La Rythme
Chico Hamilton Quintet - It Don't Mean A Thing
Michele Hendricks - It Don't Mean A Thing
Italian Swing Sisters - La gelosia non È più di moda
Max Rocci & His Friends - Greeleeaf street
Jon Lucien - A sunny day
Edson Frederico - Garota de copacabana
Pierre Vassiliu - Qui c'est celui-là
Cyro Delvizio - 12 Etudes pour guitare : 6. Assai vivo
Blaze Foley - June or september
Joan Baez - Farewell Angelina
Georges Brassens - La marine
Lossapardo - Leather Bellini
Vulfpeck - Smile Meditation (feat. Tyler Duncan)
FKJ - Why are there boundaries
Dire Straits - Setting Me Up
Rudy Grayzell - Duck tail
Chiemi Eri - Okosa-bushi
Cannonball Adderley - Work song
Claude Nougaro - C'est ça la vie
Gyedu Blay Ambolley - Sunkwa
Bruce Ruffin - Cecilia
Bacao Rhythm & Steel Band - Nuthin' but a G thang
De La Soul - Pain ( Feat Snoop Dogg)
L'Imperatrice - Pulsar
Mat Camison - Summer discotheque
Quincy Jones - Summer in the city
Andre Claveau - Été
R. Stevie Moore - Here comes summer again
Santo And Johnny - Summertime
Or Kantor - Rising tides
Kassa Overall - Visible walls
Jono McCleery - To watch the world slip away
Kyung Wha Chung - Sérénade espagnole op 150 - arrangement pour violon et piano
"Michel Polnareff - Love me, please love me"
Vicky Tafoya - My vow to you
Marina Allen - Love comes back
Isha - The plant (feat. Joe Hertz)
Fernando Delpapa - Mundaréu
Dave Barker And Bunny Wailer - What a confusion
The Police - Does everyone stare
Blackjoy - Angela davis
Saturno 4000 - Ma Belle Fille
"Cowboy Junkies - If you gotta go, go now"
Fiona Apple - Sleep to dream
Tony Esposito - L'eroe di plastica
Barry White - Playing your game Baby
Madeleine Peyroux - You can´t do me
Sholto - Never going to end
Vonfelt - Combien
Owen Pallett - The sound of the engines
Quatuor Danel - Quatuor a cordes n°3 en Fa Maj : Scherzo
The Bee Gees - New York Mining Disaster 1941
Herman's Hermits - No milk today
Calexico - Cumbia peninsula
Hermanos Gutierrez - Barrio hustle
Captain Cumbia - Put your handz up
The Meters - Handclapping song
Boule Noire - Barbados girl (Version francaise)
Connie Price & The Keystones - Favelas (Instrumental)
Ant Antic And Rezar - Here We Go Again
Shivaree - Goodnight moon
Kenny Rogers & The First Edition - Just dropped in (to see what condition my condition was in)
Mac Demarco - 20220223
A. G. Cook - Serenade
Mj Cole - Crazy love
D Angelo - Me and those dreamin' eyes of mine
Handbook - All Deepens
Lau Ro - Onde eu vou
Pierre Barouh - La nuit de mon amour
Barbara Bonney - Im weissen Rössl / L'auberge du cheval blanc : Es muss was wunderbares sein von dir geliebt zu werden (Acte I) Air de Josepha
Diane Birch - Jukebox Johnny
Felt - Serpent shade
Talk Talk - It's my life
Carte De Sejour - Ramsa
Fadela - Mahlali Noum (Insomnia)
Azzurro 80 - Equilibrio
Tioklu - Finis ton assiette !
Eagles Of Death Metal - Wannabe in LA
Junior Walker - Money
The Supremes - I could write a book (album version)
Dinah Washington - If I could be with you one hour tonight
Los Silvertones - Carmen
Simon Jurad - Si bon di bon
Shenley Duffus - Sincerely
Thee Sinseers - Hold on
Claude Ciari - There's always something there to remind me
Stonewall Jackson - Why I'm walkin'
M. Ward - One hundred million years
Louis Matute - Forever (feat. Lea Maria Fries)
Magdalena Kozena - La verità in cimento RV 739 : Solo quella guancia bella Air deRosane
Josephine Baker - Le marchand de bonheur
Michael Kamen - Central services / the office
Gregory Porter - Lonesome lover
Jorja Smith - Kiss me in the morning (feat. Jorja Smith)
Ruby Wood - Let Him Go
Jgrrey - Superrfly
Pete Rock - The PJ's (Instrumental)
The Lollipops - Naked when you come
Leonie - En Alabama
The Monkees - The door in to summer
Rogerio Duprat - Honey - summer rain
Belle And Sebastian - Dirty dream number two
Kate Bush - Cloudbusting
Dezron Douglas & Brandee Younger - This woman's work
Rolando Villazon - La bikina - arrangement pour ténor et harpe
McKinley Dixon - Mama's home (feat. Alfred.)
Karate Boogaloo - One hand one bounce
Yo & The South - Mirage
Chico Buarque - Juca
NCY Milky Band - Loco burn ad (feat. Sr. Tumbao & Cotchei)
Shay Hazan - Shimo kitazawa
Unessential Oils - Suds
Alain Bashung - Le sud
Nino Ferrer - Southern feeling
Mary Lou Williams - Chicka boom blues
Balaphonics - Spicy boom boom (feat. Kandy Guira)
Janko Nilovic - Atchika boum
Piero Piccioni - Pour trois nuits d'amour (Tre notti d'amore) : Your smile
Abunai - Photon
Richie Havens - Eleanor Rigby
Norah Jones - Running
Jalen Ngonda - If you don't want my love
Adrian Younge - I declare war (instrumental version)
Mathieu Berube - Tennis
John Lennon - Hold on
Cassandra Jenkins - Devotion
Chet Baker - Spinning wheel
Gal Costa - Até quem sabe
Cleo Sol - Self
Devendra Banhart - Heard somebody say
Lars Vogt - Moment musical en fa min op 94 n°3 D 780 n°3 - pour piano
Zaho De Sagazan - Je rêve
Marissa Nadler - Was It a dream
Faron Young - Sweet dreams
Percy Faith - Pillow talk
Mina - Parole parole (feat. Alberto Lupo)
Dalida - Bang Bang
Andrew Bird - Lit from Underneath
Beirut - Fyodor dormant
Petit Fantome - Vivre peu
Clairo - Sexy to someone
Asta Hiroki - Lull
The Cleftones - Little girl of mine
The Chordettes - Just between you and me
The Frightnrs - Hey brother (do unto others)
Boris Gardiner - Bewitched
MC Solaar - Victime de la mode
Me One - Old fashioned
Lossapardo - Nostalgia
Jean Yves Thibaudet - 2 arabesques L 66 : Arabesque n°2 en Sol Maj L 66 n°2
Souad Massi - Raoui
Joni Mitchell - This flight tonight
George Benson - Sunny
Avery Sunshine - I got sunshine
Les Negresses Vertes - Sous le soleil de Bodega
Sonido Gallo Negro - Cumbia ishtar
Manu Chao - São Paulo motoboy
The XX - Dangerous
Faya Dub - Dolly
Lucibela - txe txu fla
Doris Day - A Woman's Touch
Alicia Walter - Just a little
Les Talens Lyriques - Farinelli : Artaserse : ouverture
Holy Hive - You will always be my side forever
Ha The Unclear - Cave paintings
Paul Dalobo - Celle qui ne m'aime pas
Jocelyn Pook - Her gentle spirit
Diana Ross And The Supremes - I hear a symphony
Cousin Kula - Softest touch
Sreya & Cilon - Amanhecer
Str4ta - Virgil (Vocal version)
Earth Wind & Fire - In The Stone
"Art Mengo - Mes désirs, mes désordres et mes déserts"
Bryony Jarman-Pinto - Leap
Alyson McNamara - After hours
Hermanos Gutierrez - Las navegantes
Abbey Lincoln - And it's supposed to be love
Harold Nicholas - That old black magic
Jeanne Moreau - Embrasse-moi
Gabriele Poso - Suite for Tambores
Reyna Tropical - Suavecito
Jungle - Problemz
Arrested Development - Ease my mind
The Offline - Cap de l'Homy
Marensin - Ce soir sur la plage
Cesaria Evora - Angola (Get Down Dub by Pepe Bradock)
Bobby Timmons - A little barefoot soul
Richard Cheese - Fight for your right
Jefferson Airplane - 3/5 of a mile in 10 seconds
Sababa 5 & Yurika - Halilim halilim
Goran Bregovic - Tango
Branko Galoic & Skakavac Orkestar - Sayonara mon amour
Minyo Crusaders & Frente Cumbiero - Cumbia del monte Fuji
The Hot 8 Brass Band - Sexual healing
The Dirty Dozen Brass Band - Please let me stay a little longer
Theo Lawrence - Kitty cat clock
The Raconteurs - Old enough
Tom Petty And The Heartbreakers - Mary Jane's last dance (1993 Greatest hits album version)
Cornell Dupree - Teasin'
Tim Maia - Bom senso
Martin Leon - Le shack à chuck
Cousin Kula - Poisoned
Gystere - Strange breathin
Prince - The ballad of Dorothy Parker
Hiatus Kaiyote - Dimitri
Medeski Martin And Wood - Bubblehouse
Soul Coughing - Soft serve
Laurent Bardainne & Prince Waly - Le maire de la ville
Canblaster - Transmission
The Chemical Brothers - One too many mornings
Altin Gun - Ervah-i ezelde
Kenan - Viens dans ma vie
Oscar Brown Jr - To stay in good with you
Madeleine Peyroux - Blues for heaven
Marcus King - Inglewood motel (halestorm)
L'Imperatrice - Any way (feat. Maggie Rogers)
Karate Boogaloo - Ps emmylou
"Burial, Four Tet & Thom Yorke - Her revolution"
A Tribe Called Quest - Can I kick it ?
Hollie Cook - Milk and honey
Quantic Presenta Flowering Inferno - Portada del mar
Hazy Malaze - Need somebody
Warpaint - Common blue
Dan Fogelberg - Wolf creek
Eddie Rabbitt - I love a rainy night
Fleetwood Mac - Gypsy
Gruff Rhys - Mausoleum of my former self
Lord$ - Fantasy
Freddie Joachim - Unlimited
Eric Andersen - Can't get you out of my life
Carroll Thompson - Make it with you (feat. Sugar Minott) (12' mix)
Camille Bazbaz - No limit
Da Lata - Deixa (feat. Jandira Silva)
Roy Ayers - Days of Wine and Roses
Julie London - Please do it again
"Non Identifie - Chiome d'oro, bel thesoro SV 143 - pour 2 sopranos 2 violons et clavecin"
Hank Williams - Jambalaya on the Bayou
Hubert Porter - Millie
Rosendo Martinez Y Su Orquesta - El alegron
Y La Bamba - Michoacan
Clea Vincent - Sans dec
Brainstory - Peach optimo
Minako Yoshida - Rainbow sea line
The Electronic System - Moog jealousy
I Monster - Heaven
Jay-Jay Johanson - So tell the girls that i am back in town
DJ Shadow - Midnight in a perfect world
Klim Beats - Firefly
"Minnie Riperton - Baby, this love I have"
"France Gall - Viens, je t'emmène"
Lucio Battisti - Mi ritorni in mente
Ennio Morricone - Revolver (film) : Quasi un Vivaldi
Carlos Mena - Amor d'un ombra e gelosia d'un'aura : Vorrebbe la speranza air de narcisse
Mamama - Message à toi même
Sebastien Tellier - League chicanos
Parsnip - Monument
Sadao Watanabe - Love will make it right
Dominique Panol - Le voyageur
Mario Lucio - Kreol
Piero Piccioni - Abigaille (versione campane tubolari)
Chris Cohen - Night or day
"The Monkees - Mary, Mary"
Elvis Presley - A little less conversation
Gnarls Barkley - Smiley Faces
Sandman Project - Cauda equina
Berlioz - Ode to Rahsaan
Evergreen - J'aime les filles
David Byrne - Girls on my mind
Marvin Hamlisch - Mojave club
Cheb Kader - N'ssiti
Amira Selim - La reine des mille et une nuits / Arrangement pour soprano instruments traditionnels
The Dixie Hummingbirds - Lord Come See About Me
Chloe - Someone's calling (chlöe)
Aphex Twin - Flim
Domenique Dumont - Deux paradis
Sly & The Family Stone - In time
Caldera - Coastin
Aaron Frazer - Easy to love
Electric Guest - American daydream
Beck - Think I'M In Love
John Keating - I feel the earth move
Brigitte Bardot - Contact
Ahluwalia Kiran - Kuch aur (Something else)
"Jean Carne, Adrian Younge & Ali Shaheed Muhammad - My mystic life"
Dave Guy - Morning glory
Polyrhythm Addicts - Motion 2000 Remix (Vocal)
Marlena Shaw - California soul
The Mamas & The Papas - Did you ever want to cry
Thomas Demenga - Suite pour violoncelle n°1 en Sol Maj BWV 1007 : 5. menuet I et II
Dominique Fils-Aime - Moi je taime
Msaki & Tubatsi - Time against the world
Kalbata & Mixmonster - Prisoner in love (feat. Little John)
The Sorcerers - Bebaynetu
Iggy Pop - The passenger
The Turtles - You know what i mean
The Divine Comedy - Norman and Norma
Toots Thielemans - Le trottoir
Neal Francis - Collage
Gami - Feel only the wind
Kiledjian - Promesses
Hlmnsra - Deep pressure
Naaman - Raindrops (feat. Groundation) (Cheer Up remix)
Morcheeba - Blood like lemonade
Cousin Kula - The sun
Forever Pavot - Les enjambées
Forest Law - Difficulties
Francoiz Breut - Crever l'asphalte
Balthazar - Blues for Rosann
Les Dynamites - Pop oud #2
Bachar Mar-Khalife - Jannah jannah (from le paradis)
Charlotte Day Wilson - Changes
Mar Malade - Balloon (feat. Joe Bel) (version air française)
Marc Ribot - Baile baile baile
The Beach Boys - Then i kissed her
Milena - Tous ces loups
Deluxe - Easy
Tony Allen - Makoko
Eric Wreckless - Badhat town
Buddy Holly - Well ... all right
Jenny Lewis - Chain of Tears
Eliot Fisk - Caprice en Si bémol Maj op 1 n°13
Eddy La Gooyatsh - On s'adore
Cortex - Poxa
Liam Bailey - Dance with me
The Budos Band - The sticks
Neil Young - Alabama
TIM PRESLEY - AURA AURA
Uneda Dennard & The Shandells Band - Fantasy ride
L'Attirail - La Ritournante
Christine Salem - Laye laye
Stevie Wonder - If it's magic
Surprise Chef - All news is good news
Coming Soon - School trip bus cash
Oracle Sisters - Honey moon
Flotation Toy Warning - Happy 13
Mach-Hommy - Same 24
Norman Connors - Once again
Bo/Shaft - Walk from Regio's
Angel Canales - Sabor los rumberos nuevos
Bigre ! & Celia Kameni - Le temps de l'amour
Burning Spear - Marcus Garvey
Rebecca Vasmant - Dance yourself free (feat. Emilie Boyd & Harry Weir)
The Clash - The magnificent dance
Paul McCartney - Dance Tonight
Lucy Pearl - Dance Tonight
Flavien Berger - Sapon
Akusmi - Fleeting future
Rufus Wainwright - Imaginary love
Barbara Bonney - Du bist die Ruh op 59 n°3 D 776
John Williams - The Fabelmans : The Fabelmans
Leonard Cohen - Night comes on
Selman Faris - Sehir uzakta
Abunai - Photon
Terry Callier - Love theme from spartacus (Zero 7 Remix)
Beak - Bloody miles
Isaac Hayes - Going In Circles
Th - Pilule
Hermeto Pascoal - Bebê
Maria Bethania - Ela E Eu
Joe Simon - Today : Let's spend the night together
Mount Kimbie - A Figure In The Surf
Belver Yin - Relatos de Praga
Stereolab - Miss modular
The Pyramids - Re-memory
Abunai - Photon
"Burial, Four Tet & Thom Yorke - Her revolution"
Jeanne Added - I carry your heart
Moodoid - La lune (Radio edit)
Louis Cole - End of the night
Roy Nathanson - Love train - gamble and huff
Andy Bey - River man
Marcos Valle - Dorme profundo
Francoise Hardy - Berceuse
David Sylvian - I Surrender
Dawn Richard & Spencer Zahn - Coral
Marika Hackman - The ground
Lambchop - Sunrise
Philippe Katerine - Sous mon bob
Lucia Rango - L'Angelo
Adriano Celentano - I want to know
Karate Boogaloo - Ps emmylou
Greentea Peng - Man made
FKJ - Brass necklace (feat. ((( O ))))
Diana Damrau - La Traviata : Sempre libera (Acte I) Violetta et Alfredo
Walter Murphy - A fifth of beethoven
Faye Webster - Wanna quit all the time
Shuggie Otis - Island letter
Arooj Aftab - Whiskey
Chet Baker - I'm glad there is you
Louis Chedid - Le cha-cha de l'insécurité
Rinky Dinks - Choo choo cha cha
Santpoort - The grey city (feat. Another Silent Weekend)
Finley Quaye - Sunday shining
Marcus King - Me or Tennessee
Jimmy Smith - (I can't get no) satifaction
Otis Redding - (I can't get no) satisfaction
Aretha Franklin - Save me
Van Morrison - Gloria
John Scofield - Sticks & stones
Cotonete - Bebete vaobora (feat. Sabrina Malheiros)
Clea Vincent - Du sang sur les congas
"Cake - Mahna, mahna"
Urban Dance Squad - Deeper shade of soul
Takuya Kuroda - I don't remember how it began
Juan Rozoff - Le fruit
Prince - Controversy
Arp Frique - Wa Ye Me (feat. Mariseya)
Meridian Brothers - En el caribe estoy triste
Jim Murple Memorial - Qui que l'on soit
Nat Adderley - Mean to me
Bing Crosby - How about you
Alicia Morton - Annie : The hard-knock life
Jay-Z - Hard knock life (ghetto anthem)
"Sly5thAve - No, no, no, pt. 2"
Beyonce - Texas hold 'em
Bobbie Gentry - Something in the way he moves
Connie Kim - Lý luân tình yêu
Limousine - Sad sun
Bryony Jarman-Pinto - Riverside
Moses Boyd - Axis Blue
Thomas De Pourquery - Back from the war
Sault - Free
Savarit - Nao sabemos
Mayer Hawthorne - Time for love
Nicola Conte - Like Leaves In The Wind
Soul Sugar - Why can’t we live together (feat. Leonardo Carmichael)
The James Hunter Six - Blisters
Jimi Hendrix - Red house
Renee - Lay me down
Unessential Oils - Solutions To My Gloom
Surprise Chef - Mario's lament
Claire days - Le plus beau spectacle
"Gilberto Gil - Nao chore mais (No woman, no cry)"
Eric Bibb - Stayed on freedom
C2C - Down the road
Tommaso Cappellato X Pavimento Fertile - Warming Up
Cousin Kula - Staying with you
Little Dragon - Stay (feat. Jid)
Etienne Daho - Le premier jour du reste de ta vie
Antoine Tamestit - Quatuor n°2 en sol min op 45 : Scherzo : Allegro molto
Nat King Cole - It's only a paper moon
Mandy Lerouge - La arenosa
Rosalia - G3N15
Kolinga - Kozala
Les Cappuccino - Tamoure hully gully
Johnny Montreuil - Vers les îles (feat. Rosemary Standley)
The Divine Comedy - Island life
Jose Feliciano - Light my fire
Gil Scott Heron - Hello sunday! Hello Road!
Maceo Parker - Soul power 74
Aelpeacha - Un pti break
Jones - Believe
Orchestre Pro Arte - The pirates of Penzance : Ouverture
Ella Fitzgerald/Louis Armstrong - Summertime
Ahu - It ain't necessarily so
Son Little - Doctor's in
Hermanos Gutierrez - Until we meet again
Mary McCreary - Singing the blues (reggae)
Pao Barreto - Buscando el sol
Melissa Laveaux - Angeli-ko
Dominic Frontiere - The stunt man (main title)
Sean Marshall & Charlie Callas - Boo bop bopbop bop (I love you too)
Randy Newman - I love to see you smile
Cocorosie - Terrible angels
Gabriels - Loyalty
Burkhard Maiss - Trio à cordes op 274 : 3. Sérénade - pour violon alto et violoncelle
Bill Withers - Stories
Veronique Sanson - Comment crois-tu que la musique Vienne
Jordan Rakei - Forgive
Turkish Delight - Mavi
Goldfrapp - Lovely head
Fai Baba & Amour Sur Mars - Fäderliecht
Jay-Jay Johanson - Heard somebody whistle
"Moondog - Lament I, """"""""bird's lament"""""""""
Novos Baianos - O samba da minha terra
Eli Paperboy Reed - Explosion
Calibro 35 - Stingray (Feat. Serena Altavilla)
L'Imperatrice - Amour ex machina
Dub Shepherds - Love & beat
Grace Jones - Walking In The Rain
Dj First Rate - Walk the walk
Or Kantor - Sarda Sarda
Angaleena Presley - Only blood
Willie Dixon - I got a razor
Maxime Baudin - L'aerodynamisme
Sebastien Tellier - L'amour naissant
Allysha Joy - Raise up
Archie Bell & The Drells - Tighten up (part 1)
Ezra Collective - Lady
Bongeziwe Mabandla - Mangaliso
Akiko Yano - Another wedding song
The Cure - Speak my language
DJ Harrison - Country fried
Method Man - P.l.O. style
Sugar Minott - Peace treaty style
Etti Ankri - Nilkach meemeni sod
Aphex Twin - Goon gumpas
Dido - White flag
Mitski - My love mine all mine
Tammy Wynette - Yesterday
Crumb - Sleep talk
Skinshape - The eastern connection
Bernardino Femminielli - Gibier de passage
Capco - No vayas al sol
Stevie Wonder - Come back as a flower
Elisabeth Schwarzkopf - 6 Lieder op 34 : Auf Flügeln des Gesanges op 34 n°2 - pour soprano et piano
Joe Hisaishi - Mother
The Lemon Twigs - Born to be lonely
The Beatles - Hey Jude
Kim Weston - Eleanor Rigby
Brigitte Bardot - Le diable est anglais
Henry Mancini - Lujon
Engelbert Humperdinck - From here to eternity
Elysian Fields - Before the crashing waves
Paul Piot - Il était une plage
Sylvia Fels - Corto Maltese
Gecko Turner - Ain't no fun preachin' to the choir
Sault - Why why why why why
Bob Holroyd - Crush
Kim Carnes - Bette Davis eyes
Drugdealer - Madison
The Brothers Nylon - Chill
Enchantee Julia - Fleur de peau (radio edit)
Crosby Stills And Nash - Long time gone
Alliance Ethnik - Salsalliancia
Bob Azzam Et Son Orchestre - Cha cha mambo
Santpoort - In my dreams (feat. Jonti)
Benny Sings - Music
Vin's Da Cuero - Gorilla
Al Green - Here I am
Janet Kay - You bring the sun out
Melodiesinfonie - Stay soft
Cesar Precio - Solitude mon amour
Ron Rinaldi - Mexican summer
Willy Deville - Hey Joe
Vladimir Cosma - Hello Marylin
Detroit Rising - Our world (Kaidi Tatham remix)
Solid Gold Revue - She’s so good
"The Brothers - Don't stop now (7"""""""" version)"
Rai Thistlethwayte - San Francisco street
Francois And The Atlas Mountains - Les plus beaux
Taj Mahal - Zanzibar
Laufey - Dreamer
Julie Andrews - A spoonful of sugar
Wolfgang Amadeus Mozart - Flute enchantée :  pa-pa-pa-pa-papagena (acte II) duo papagena papageno
Nina Hagen - Der Wind hat mir ein Lied erzählt
Carmen Mac Rae - Take five
Richard Anthony - Ne boude pas
Shirley Scott & The Soul Saxes - I wish i knew how it would feel to be free
Charles Bradley - Golden rule
Rahill - Fables (feat. Beck)
Flavien Berger - Sapon
Cotonete - Satori
Forest Law - Balm
Andrea Laszlo De Simone - Mistero
Fleetwood Mac - The chain
The Jayhawks - I'd run away
The Joey Altruda Quartet - Some other kind of meat
Sinclair - C'est pourquoi je fume
Noname - Oblivion (feat. Common & Ayoni)
Okvsho - Soulé
Oscar Jerome - Hall of mirrors
Warpaint - Biggy
Khruangbin - The man who took my sunglasses
Bertrand Belin - Ta peau
Cassandra Jenkins - Tape and tissue
Morcheeba - Small Town
Erik Truffaz - Less
Emma-Jean Thackray - Rahu & Ketu
Say She She - C'est si bon
Brenda - Natureza viva
Milton Banana Trio - Fato consumado
Flight Of The Conchords - Foux du Fafa
Wes Montgomery - Tequila
Serge Gainsbourg - Couleur Café
Frank Sinatra - I Concentrate on you
Cake - Frank Sinatra
Scott Hamilton - Love me or leave me
Gilbert Becaud - Le rideau rouge
George Benson - On Broadway
Myron And E - Do it do it disco
Mildlife - Yourself
Emma Peters - Le temps passé
Skinshape & Pedro Mizutani - Chorar (instrumental)
Carolina Katun - Cucurucucu
"Andrew Bird - I felt a funeral, in my brain"
Henning Kraggerud - Sonate n°1 en Fa Maj op 8 :  Allegretto quasi andantino
Camille - Paris
Mackenzie Leighton - Bubba's sulky lounge
Phoenix - Too young
Freedom Fry - Stayin alive (instrumental)
Paul Mac Cartney & Wings - Country dreamer
Antoine Henaut - Olé !
Blaze Foley - Cosmic doo doo
North Mississippi Allstars - Outside (feat. Lamar Williams Jr.)
Delvon Lamarr Organ Trio - Fried soul
Nas - Cherry wine
Sababa 5 & Yurika - Empty hands
Toshiyuki Honda - Lament
Gareth Donkin - Falling for you
Daft Punk - Digital love
