Mork - Astral visions
Devendra Banhart - I feel just like a child
Bar Kays - With a child's heart
Lee Fields & The Expressions - Special night
Slum Village - Fall In Love
Esperanza Spalding - I know you know
Okvsho - Soulé
Lisza - En finir
Panda Bear - Token
Frank Leone - Dead right
Vampire Weekend - The surfer
Thomas Bangalter - Mythologies : 5. Les amazones
Alain Bashung - La nuit je mens
Alice Clark - Don't wonder why
Rupert Holmes - Escape (the pina colada song)
Alaaska - Music for pool
Marine Quemere - Les vagues
Selman Faris - Yeni gün
Isha - Current (feat. Jack Howard)
Gong - Shamal
Robert Palmer - Every kinda people
Jim - Oxygen
Magic Source - Saturn moon dive
"Cloud One - Don't let my rainbow pass me by (feat. Margo Williams - club 12"""""""" mix)"
Israel Kamakawiwo Ole - Somewhere over the rainbow / what a wonderful world
Jeff Parker - My ideal
Jaseur - Billet (feat. Leya)
Matt Storm - What do ya miss ? (radio edit)
Janett Silvera - Oh if I should lose your love
Ahmad Jamal - Boatride
Eugene Mona - Ma maman m'a dit
The Rolling Stones - Sympathy for the Devil
The Rhum Runners - Chop chop
George Delerue - Les tribulations d'un chinois en chine
Danny Brown - Hanami
Brainstory - Gift of life
Martin Frost - Sonate en ré min K 32 L 423 - arrangement pour clarinette contrebasse et piano
Betty Carter - Rock-a-bye baby
Peggy Lee - Fever
Seelenluft - Manila
DMX Krew - Ankle grinder
Habibi - Fairweather friend
Petite-Vallee - Ella
Emma Donovan & The Putbacks - Crossover
Robert Jon & The Wreck - Ballad of a broken hearted man
Julian Lage - Splendor riot
Bertrand Belin - Porto
Tribalistas - Já sei namorar
Pink Floyd - Wish you were here
Funkadelic - I'll stay
Karate Boogaloo - The early bird catches
Sirens Of Lesbos - Cobra
La Femme - Sacatela
Bonnie Banane - Franchement
Ezra Collective - Chris and Jane
Jon Lucien - Who will buy
Claude Nougaro - Le piano de mauvaise vie
Ruben Gonzalez - Siboney
Bebo And Cigala - Veinte años
Elton John - Take me to the pilot
Blitzen Trapper - Requiem
L'Imperatrice - Déjà-vue
Bada Bada - Tallinn (album edit)
Sidsel Endresen - Out here. in there.
Portishead - Mysterons
Soothsayers - Love and unity (Victor Rice dub)
Joe Yorke - Hopeless
King Gizzard & The Lizard Wizard - No body
Eagles - Hotel California
Shuggie Otis - Funky thithee
Marcus King - Mood swings
Mustang - Qu'est-ce qui se passe ?
Ben Vaughn - Too happy
Bolis Pupul - Completely half
Ty Segall - Denee
George Otsuka Quintet - Loving you
Bob Marley & The Wailers - Stir It up
Don & Francoiz - Planet caravan
L'Imperatrice - Any way (feat. Maggie Rogers)
Jones - Darkest part
Janet Jackson - My need
Kadhja Bonet - Fairweather friend
Bob James - Nautilus
Branko Galoic - Don't let me be misunderstood
Lil Queenie & The Percolators - My dawlin' New Orleans
Bernard Lavilliers - La Salsa
Orchestre Symphonique De Londres - Trumpet volontary - arrangement pour orchestre
Andrew Bird Trio - Caravan
Crystal Murray - After ten
Nino Rota - Huit et demi : La passerella d'addio
Gotan Project - Peligro
Najoi Bel Hadj - Aminata
Men I Trust - Tree among shrubs
Or Kantor - Sarda Sarda
Eric Clapton - Willie and the hand jive
Michael Nau - Painting a wall
Lossapardo - Mr Nobody
The Sorcerers - Oromo moon
Brisebard - Les Carabiniers
Jewel Akens - The birds and the bees
Otis Taylor - Write a book about it
Alexandre Lagoya - Recuerdos de la Alhambra - pour guitare
Jeff Mailfert - Waiting for the sun (radio edit)
Aldous Harding - Leathery whip
Romtom - Mille-et-une idées
Altin Gun - Özüne özüm kurban
Marvin Gaye - What's going on
Benny Sings - Sunny afternoon
Simon Dalmais - Poor people
Hether - Nature boy
Supreme Ntm - That'S My People
Miranda Joan - Where did you go (Ash Walker remix)
Her - Five Minutes
Connan Mockasin - B'nd
Loving - Medicine
Personal Trainer - Intangible
L'Imperatrice - Girl !
Lance Ferguson - Summer Madness
"Kamasi Washington - Get lit (feat. George Clinton, D Smoke)"
Wouf Wouf - Icare
Niall Mutter - Maybe
L'Osmose - Überraschung
Monophonics - Chances
Jamiroquai - Alright
The Black Keys - Sit around and miss you
Venna - Sicily' box
Nina Simone - Plain gold ring (Mop mop rework)
Theo Champion - Lean on me
Theo Lawrence - Petit coeur
Yummi Wisler Guitar Combo - Meet me by the mausoleum (rainy night in Tirana)
Unessential Oils - Distrust The Magician
Donovan - Bert's blues
Michael Jackson - I wanna be where you are
Charlotte Day Wilson - Do You Still
Steven Bamidele - Kaleidoscope (instrumental)
Billie Eilish - The diner
Ose Schuppel - The grand Budapest hotel : S'rothe-zäuerli
Choeur D Enfants De La Radio Nationale Bulgare - Tchikidan : Bràtcho
Thomas De Pourquery & Supersonic - Lullaby (sunbeam)
The Beatles - Good day sunshine
Audrey - Le soleil sans moi
Yma Sumac - Taita inty (virgin of the sun god)
Harry Belafonte - Day O
Monster Rally - Orchids
J. Bernardt - I'm the ghost you forgot
Joel Culpepper - Woman - A colors show
Johnny Cash - Well alright
The Beach Boys - Sloop John B
Marmaduke - Jaguar
Nxworries - Battlefield
The Frightnrs - Maybe isle
Julien Brunetaud Trio - No Woman No Cry
Eddie Vartan - Comment réussir... quand on est con et pleurnichard : Tatou strip-tease
La Banda De Martin - Mi dueño
Alain Bashung - Elegance
David Bowie - Lazarus
Thomas De Pourquery - Back from the war
Johanna Warren - Good is gone
Bon Voyage Organisation - Et s'éveillent
Seu Jorge - Tive Razao
Helado Negro - Out there
The Surfing Magazines - Nostaw boogie
Clifford Buzz - Baby sittin’ boogie
Seafood Sam - Saylo
Stevie Wonder - Isn't she lovely
Yvonnick Prene & Geoffrey Keezer - Dans mon Ile
Gal Costa - Até quem sabe
Isabel Bayrakdarian - Carmen : L'amour est un oiseau rebelle (Acte I Sc 4) Carmen - arrangement pour soprano violon et piano
Frances Faye - Toreador
Los Yoyi - Tú no me puedos conquistar
Delasi - Learn from adversity (feat. Lollise)
Yazoo - Only you
Felbm - Birkach
Greg Houben - Cigarette
"Sammy Davis Jr. - Sherif, smoke that cigarette"
The Luvmenauts - Pimp walk
Louis Cole - Things Will Fall Apart
Ringo Starr - It don't come easy
The Persuasions - Octopus's garden
Cornershop - England is a garden
Dandara - Muri
Dani - H comme hippies
Ingrid Chavez - Hippy blood
Quintette Faberge - Quintette à cordes n°7 en Mi Maj op 50 : Scherzo tarantelle - pour 2 violons alto violoncelle et contrebasse
Carla Thomas - I've fallen in love (with you)
Aaron Taylor - Have a nice day
Stephen Hilton - Have a nice day
Little Dragon - Slugs of love (radio edit)
The Bangles - Walk like an Egyptian
Jonathan Richman & The Modern Lovers - Egyptian reggae
Leyla McCalla - Give yourself a break
Dick Annegarn - Coutances
Willie Wright - Nantucket island
Frank Leone - Koala (ft. Coco O.)
The Haggis Horns - Take it back (instrumental) (CMC & Silenta remix)
Cristina Camargo - Moral tem hora
Truemendous - Really wanna love (feat. GhostTown)
Tom Caruana - Down beat
The Mamas & The Papas - I call your name
Jane Birkin - Apocalypstick
PHILIPPE KATERINE - La joueuse
Oasis - Supersonic
Mount Kimbie - Yukka tree
Bloom Bat - Drifting away
Brandee Younger - The windmills of your mind (feat. 9th Wonder)
Sophye Soliveau - Can't sleep
Joan As Police Woman - The classic
Luidji - Joueur 1 (feat. Tuerie)
Omara Portuondo - Cenizas
Bebo Valdes - La unica
Elton John - Social disease
Sly & The Family Stone - (you caught me) smilin'
Red Hot Chili Peppers - Hollywood
Weapon Of Choice - Open Wide
Ezra Collective - May the funk be with you
Leon Phal - Something inside (feat. Lorine Chia)
Crumb - From outside a window sill
Ghost Woman - Alright alright
Mdou Moctar - Imagerhan
Shay Hazan - Guimbri retreat
Portishead - It could be sweet
NTM - Tout n'est pas si facile
D Angelo - Ain't that easy
Zara McFarlane - Fussin' and fightin
The Lahaar - Step 2
Marcus King - Delilah
DJ Harrison - Together
G Love And Special Sauce - Stepping stones
Hermanos Gutierrez - Cumbia lunar
Lila Downs - Mi corazon me recuerda
Calexico - Sinner in the sea
Julian Lage - Omission
Madeleine Peyroux - Please come on inside
Silvano Michelino - Dude Strut
Aziza Brahim - Haiyu ya zuwar
Will Smith - The fresh prince of bel air
Damian Marley - Welcome To Jamrock
Morio Agata - Cool cooling
Lau Ro - Ensolarade
Sreya & Cilon - Yemanja
Clair - Toutoutout (feat. Czerkinsky)
Mildlife - Sunrise
The Olympians - Mercury's odyssey
Aretha Franklin - Son of a preacher man
Veronique Sanson - Vancouver
Ramsey Lewis - Wade in the water
Mel Torme - What is this thing called love
Queen - Crazy little thing called love
Vulfpeck - In heaven (feat. Antwaun Stanley)
Paul Simon - Run that body down
Michael Giacchino - Zootopie : Foxy fakeout
Jacques Brel - Il nous faut regarder
Buena Vista Social Club - Y Tú Qué Has Hecho (prise alternative)
Arooj Aftab - Na gul
Orchestre Symphonique De Londres - L'été de Kikujiro : Summer
James Blake - Are you even real ?
Erika De Casier - Home alone
Ace Of Base - All that she wants
Joe Yorke - Night time
Francois & The Atlas Mountains - Coucou (Radio Edit)
A.M. Son - Déjà you
Gareth Donkin - Till the end of time (Night sky)
Kokoroko - Adwa
Louis Prima - Abou Ben Adhem
Shahrukh Khan - Silsila ye chahat ka - shreya ghosal
Tribeqa - Qaravan
Les Yeux Noirs - Liebkeit
Shirley Horn - And I love him
Frazey Ford - Runnin'
Bryan's Magic Tears - Tuesdays (bye Molly)
Pixies - Here comes your man
Dominique A - Rendez-Nous La Lumière
Elsa Grether - Vocalise-étude en forme de habanera M 51 - arrangement pour violon et piano
Rufus Wainwright - Moulin rouge : Complainte de la butte
Madeleine Peyroux - Our lady of Pigalle
Neue Grafik - Barbes Interlude
Nightlands - Stare into the sun
Air - Cherry blossom girl
Minnie Riperton - If I ever lose this heaven
Elias Rahbani - Always in my heart
Liam Bailey - Canary in the coal mine
MC Solaar - Bouge de là (part. 2)
Roy Nathanson - Sunny
Yasmin Williams - Sunshowers
Omar Sosa & Seckou Keita - Drops of sunrise
Masego - Eternal sunshine (fire pit)
Flavien Berger - Soleilles
Paolo Pandolfo - Concert n°12 en La Maj : Air gracieusement et légérement
The Divine Comedy - Your daddy's car
Marina Allen - Landlocked
John Zorn - The quiet surf
The Beach Boys - Surfer girl
Fugees - Zealots
Horace Andy - Easy money
Bacao Rhythm & Steel Band - How we do
Julien Baer - A plein temps
Roberta Flack & Donny Hathaway - Where is the love
Billie Eilish - L'amour de ma vie
"Phoenix - Love like a sunset, (Part.1)"
Tonstartssbandht - What has happened
Frank Ocean - Sierra leone
Maria Bethania - Labios De Mel
Leo Ferre - L' Albatros
Finn Rees - Looking up
Ezra Collective - God gave me feet for dancing (feat. Yazmin Lacey)
Michael Naura Quartet - Soledad de murcia
Wolfgang Lackerschmid & Chet Baker - Blue bossa
Billie Holiday - Night And Day
Albert Ayler - Summertime
Nduduzo Makhathini - Omnyama
Rabih Abou-Khalil - Shrewd woman
Varijashree Venugopal - Chasing the Horizon (feat. Victor Wooten & Hamilton de Holanda)
Shankar Jaikishan - Raga bairagi
NES - You made it hard for me
Penguin Cafe Orchestra - Nothing really blue
Martin Kratochvil's Jazz Q - Toledo
Goreala - She smiles easy
Daara J Family - Tchekoule
November Ultra - Miel
Adi Oasis - Red to violet
Laurent Bardainne & Tigre D'Eau Douce - Jou en nou rivé (feat. Celia Wa)
Voyou - Tombe la pluie
Peter Doherty & Frederic Lo - Keeping me on file
Bonnie Banane - Instant karma
Julien Lourau - Love and peace
Irene Dresel - Glam
Crystal Murray - Air
Luidji - Alexis
Kaiser Quartet - Schramm
Lord$ - Speed it up
Sophye Soliveau - Initiation II (Wonder why) (radio edit)
Gregory Privat Trio - Le parfum
ELOI - 37°2 le soir
Lala & Ce - Drogue d'hiver
Leon Phal - Naima
TUERIE - Là où on dort heureux
Jeanne Added - By your side
Merryn Jeann - Talking to angels
Sunshade - Plaisir soleil terre
Leslie Howard - Chant du cygne D 957 - transcription pour piano S 560bis : 12. Der dopelgänger
Tamasene - Beaches
Georges Brassens - Le roi boiteux
Carl Dawkins - How can you mend a broken heart
Renee - Jimmy
Alhaji Waziri Oshomah - Forgive them oh god amin-amin
Anna Dina Schick - Moderen op 41 FS 94 : Bornene leger (4ème scène) - arrangement flûte traversière et alto
Mc Fioti - Joga o bum bum tam tam
Snoop Dogg & Pharrell Williams - Drop it like it's hot
Angelo Outlaw - Free my mind
Young Gun Silver Fox - Who needs words
Souleance - La Plage
Pedro Mizutani - Amadurecer
Led Zeppelin - Stairway to heaven
Ando Drom - Kéren chave / Faites place que je danse!
17 Hippies - Tick tack
Don Vappie - Coconut shake
Robert Mitchum - Coconut water
The Cure - Boys don't cry
Michelle Shocked - When I grow up
Ray Ellis & His Orchestra - La Dolce Vita
Fabrizio De Andre - Amore che vieni amore che vai
La Femme - Je plane
Andra Day - Narcos
"The High Llamas - Wander, Jack Wander"
Lau Ro - Lugar
Harry Nilsson - Early in the morning
The Fools - It's a night for beautiful girls
Monty Alexander - Sleaky
Madeleine Peyroux - Showman dan
Melissa Laveaux - Angeli-ko
Joe Cocker - Marjorine
Jonny Trunk - Zeus
Jan Verstraeten - Vampire in my bed
Black Milk - Unveil (ft. Sudie)
Running Loving Something - I love the feeling
Compro Oro - Rastapopoulos
Michael Jackson - Baby be mine
Ceramic Animal - Sweet unknown
Lossapardo - Seul
Misha Panfilov & Shawn Lee - Volkswagenesque
Edmony Krater - Tijan
Aretha Franklin - Chain of fools
Lizz Wright - Your love (feat. Meshell Ndegeocello & Brandee Younger)
Xavier De Maistre - Casse noisette op 71 : Danse de la fée Dragée - arrangement pour harpe
Audrey Joumas - D'ailleurs
Westerman - Idol; re-run
Papooz - Hell of a woman
Blundetto - Final good bye
Jethro Tull - Thick as a brick edit #1
Grand Public - Torrent de compliments
Louise Thiolon - Réveille-toi
Ben Chasny - The many faces of stone
Prokop - Some of these nights
St. Paul & The Broken Bones - City federal building
Belle & Sebastian - Belle and Sebastian
The Oscillators - Track suit
Kit Sebastian - French disko
James Brown - Hot pants
Ray Charles - Feel so bad
Booker T & The Mg'S - Heads or tails
Thomas Fersen - Mange tes poux
Strongboi - Fool around
Daneshevskaya - Big bird
Steamhammer - Fran and Dee take a ride
Sly & The Family Stone - Spaced cowboy
Tunng - Three birds
Seu Jorge - Don't
Toby Hay - At the bright hem of god
Bastien Lallemant & Elisabeth Spettro - A prendre ou à laisser
Sergio Mendes - Mas que nada
Giuliano Sorgini - Sortilegio
Isabelle Mayereau - Trois kilos
Eddie Chacon - Sundown
The Beatles - Here comes the sun
Sully Braq - Sully's bark
Keyon Harrold - Pictures
Jay-Jay Johanson - Not time yet
Moriah Plaza - Estelar
Reminiscence Quartet - Listen Here
Unknown Mortal Orchestra - I killed Captain Cook
Veronique Sanson - Maria de Tusha - (version inédite)
Andrew Bird - Atomized
Quatuor Ebene - Quatuor à cordes en fa maj : Assez vif - Très rythmé
Lauryn Hill - Doo wop (that thing)
Norah Jones - Paradise
Theo Lawrence - Pretty bird
The Sweet Enoughs - Mysterious river snake
Robert Crumb - Hula medley
Moriarty Et Mama Rosin - Calypso triste
Kiefer - Memories of U
Gang Starr - Work
Nxworries - Daydreaming
The Philly Armada Orchestra - For the love of money
Roxy Music - Love is the drug
Horace Andy - Money money
William Doyle - Eternal spring
Chapelier Fou - Les métamorphoses du vide
Flavien Berger - Sapon
Los Angeles Negros - Como quisiera decirte (Murcof Mix)
Caetano Veloso - La fleur de mon secret :  Tonada de luna llena
Skinshape - After midnight
Freddy McQuinn - Sixteen pints
Dion And The Belmonts - Teenager in love
Joy Bryan - My romance
Love Unlimited Orchestra - Love's theme
Thee Sinseers - Like I can give
Elephant Stone - Solitude
Dana Gillespie - All cut up on you
Session Victim - Enlightenment
Karminsky Experience Inc. - Exploration
Cypress Hill - Illusions
Gary Burton - Las vegas tango
Jeanne Moreau - Les voyages
Bebel Gilberto - Desafinado
Alfredo De La Fe - Hot to trot
Shyguy - Heard this before
Jake Xerxes Fussell - In Florida
Bob Dylan - Like a rolling stone
L.A. Salami - Systemic pandemic
Arooj Aftab - Bolo na (feat. Moor Mother & Joel Ross)
Bill Conti - Reflections
Michael Miglio - Never gonna let you go
Ballin Jack - Try to relax
Hugo Kant - This old relaxation (remix from this old tune by Zé Mateo)
Luke Vibert - Music called jazz
Why Bonnie - 90 in november
Vanessee Vulcane - Will you withdraw
Yo Yo Ma - A lenda do caboclo pour 2 guitares acoustiques et violoncelle
Deee Lite - Groove is in the heart
New Paradise - Easy life
Jean Vernheres - Haumea city
Talya Ferro - Look at me
Emma Russack - Dream man
Mac Demarco - Simply paradise
DJ Harrison - Lil birdie
Forever Pavot &xp - The turkey bag diaries (instrumental)
Unessential Oils - Distrust The Magician
Fleetwood Mac - Dreams
Pierre Vassiliu - Ne me laisse pas
Shuggie Otis - The hawks
Slash - The pusher (feat. Chris Robinson)
"Sly5thAve - Monoxide (feat. MonoNeon, MacKenzie & Peter Knudsen)"
Emma-Jean Thackray - Rahu & Ketu
Tim Maia - No caminho do bem
Medeski Martin And Wood - Just like i pictured it
Mathieu Boogaerts - Sens
Emiliana Torrini - Unemployed in summertime
Msaki & Tubatsi - Madonna
Sholto - Never going to end
Eddie Jefferson - So what
Elvis Presley - Jailhouse rock
Poolside - Where is the thunder ?
Jr Thomas And The Volcanos - Sunk in the mist
Quantic - Get Ur Freak On
Saturno 4000 - Ma Belle Fille
Billy Joel - Worse comes to worst
The Cure - Play for today
Azzurro 80 - Equilibrio
Mayer Hawthorne - Out of pocket
Tom Petty And The Heartbreakers - Full grown boy
Pale Jay - My dirty desire
Orchestre De Chambre Anglais - Scherzo . allegro molto
Jacques Brel - Tango funèbre
Baskery - Nobody nice
Janelle Monae - Tightrope
Tremendous Aron - Lola
Jorge Ben - Cade o penalty
Céu - Lustrando estrelas
Will Butler - Anna
Danger Mouse - The matador has fallen
The Animals - House of the rising sun
Johnny Hallyday - A tout casser
Mattiel - Subterranean shut-in blues
Jamie Finlay - Daylight (Radio Edit) (feat. Ellen Beth Abdi)
Charles Ludig - Parking 106 Production
Holly Golightly And The Brokeoffs - One for the road
The Doors - Alabama song (Whisky bar)
The Andrews Sisters - Beer barrel polka
Trio Bad - Rhum
Zerolex - Wine
Nas & Dj Premier - Define my name
Rio 18 - Sempre amor
Anna Moffo - The kissing bandit (film) : Love is where you find it
Claude Bolling - Idylle interrompue
Robin Sarstedt - My resistance is low
David Byrne & St. Vincent - Who
Jarvis Cocker - Aline
Scrimshire - Ash
Lola Marsh - What am I
Lola Flores - Lola lolita
"Bo/Lola - Lola : C'est moi, c'est Lola"
Bo/Lola - Lola: Chanson de Lola
Whatitdo Archive Band - Farewell Lola
Arrested Development - Tennessee
Alexander Portious - Love overdue
Chuck Berry - You never can tell
Karate Boogaloo - Ps emmylou
Maxwell Farrington & Le Superhomard - Happening again
Laura Misch - Widening circles
Arooj Aftab - Aey nehin
The Wiseguys - Water
Sababa 5 & Yurika - Kokoro
Teddy Pendergrass - Take me in your arms tonight
New Visionaries - The sunshine
Mar Malade - Balloon (feat. Joe Bel) (version air française)
Lau Ro - Somewhere
Stephane Grappelli - Mellow yellow
Nat King Cole - I Know That You Know
Fiona Apple - Fast as you can
Satan's Pilgrims - Dilation
The Libertines - Merry old England
Alain Souchon - Londres sur tamise
Dj Yoda - London fields (feat. Joel Culpepper)
Claudio Corona - Burn the house down
JW Francis - New York
Mick Harvey - New York USA
Philharmonix - Englishman In New York (Philharmonix Version)
Francoise Hardy - If you listen
Lea Desandre - Le premier bonheur du jour - arrangement pour mezzo-soprano et luth
Caravelli Et Son Orchestre - Comment te dire adieu
Sergio Mendes - Waters of march (les eaux de mars)
Jimi Tenor - My mind (Single edit)
Ennio Morricone - Two mules for sister sara - Sierra torride : The braying mule
Nino Ferrer - Le sud
