UFO - Lipstick traces
The Faithful Brothers - Dance my hurt away
Malik Djoudi - Glitz
Céu - Cremosa
Christophe - La man (feat. Yasmine Hamdan)
Malik Djoudi - Glitz
Limousine - Spritz
Hot Chip - Clear blue skies
Miles Davis - Ascenseur pour l'échafaud : Au bar du petit bac
"Connan Mockasin - I'm the man, that will find you"
Oumou Sangare - Yere Faga (Malik Djoudi Remix)
Lorde - Royals
Malik Djoudi - Tempérament (Myd remix)
Etienne Daho - Comme un igloo
Nirvana - Lithium
Mathieu Amalric - Tralala : Dans le tube
Elis Regina - Aguas de Março
Nujabes - Lady Brown (feat. Cise Starr)
The Mighty Diamonds - Pass the kouchie
The Offline - Chambre d'amour
Sarah Vaughan - You're not the kind
The Gladiators - Chatty chatty
Molly Lewis - Porque te vas
Dargz - Lou's tune (feat. Moses Boyd)
Nujabes - Lady Brown (feat. Cise Starr)
Monty Python - Always look on the bright side of life
The Monochrome Set - The jet set junta
Francois Merlin - Le départ
Thomas De Pourquery & Supersonic - I gotta dream
Lenparrot - Ceci n'est pas une valse
Lossapardo - Naïve
James Blake - Retrograde
Wau Wau Collectif - Xale (Toubab Dialaw kids rhyme)
Avishai Cohen Trio - Hope
Nai Palm - Atoll
Ramiro Musotto - Gwyra mi
Wild Classical Music Ensemble - Je ne veux pas (feat. Shht)
Julien Martineau - Bolero op 26 - pour mandoline guitare et contrebasse
Duncan Browne - Journey
Jawhar - Khyoot
Elliott Smith - Punch and Judy
The Pointer Sisters - Send Him Back
Charles Danet - Sweet dreams
Billie Eilish - My future
Zara McFarlane - Future echoes
Douaa - Haditouni
Mort Garson - You don't have to walk a begonia
Henri Salvador - Un jour mon prince viendra
Syd Matters - To all of you
The Smile - Instant psalm
David Axelrod - The smile
Madeleine Peyroux - Smile
Belle And Sebastian - Mayfly
Corridor - Porte ouverte
Seu Jorge - Ela é bipolar
Shunzo Ohno - In the sky
Boris Gardiner - Bobby sox to stockings
Rapsody - He shot me
Jimmy Scott - Someone to watch over me
Angelo Badalamenti - Twin peaks main theme (edit)
Mylene Farmer - California [Radio Edit]
Caroline Polachek - Pretty in possible
Chanel Beads - Embarrassed dog
Phat Dat - Culture shock
Mato - Da funk dub
Ezra Collective - No one's watching me (feat. Olivia Dean)
Rex Williams - You are my heart
Dizzy Gillespie - Money honey
John Coltrane - Autumn serenade
Samson Francois - Valse en fa min op 70 n°2 - pour piano
Sumiko Sakamoto - Yume de aimasho
Suginami Jido Gasshodan - Mon voisin Totoro : Susuwatari
Kumisolo - Automne joli
Elli & Jacno - Je t'aime tant
Irmin Schmuttberg - Croisière
Lael Neale - Return to me now
The Beach Boys - All I wanna do
Stevie Wonder - Hey love
Moka Only - One more for the tape (instrumental)
Gang Starr - Love sick
Bazbaz Camille - Réponds moi
Triston Palma - Joker smoker
The Lijadu Sisters - Life is gone down low
Khruangbin - Shades of man
Dar Disku - Alsutur (feat. Flanah)
The B-52's - Rock lobster
Hugo & Luigi - Rockabilly party
Duke Ellington & His Orchestra - No regrets
Raquel Andueza - El diablo mudo auto sacramental pour voix et basse continue : Vuelve a ver aquel orbe (couplet)
La Chica - Drink
Reyna Tropical - Pajarito
Tommy Guerrero - El Camino negro
Superbravo - Chanson tremble´e
The Turtles - You showed me
The Bee Gees - To love somebody
Sharon Jones And The Dap Kings - Slow Down Love
Sly5thAve - My name is (feat. Robert Searight)
Pleasure Web - Music man (pts 1 & 2)
Jurassic 5 - Jayou
Baroto - Blossom
Jim James - State of the art (A.E.I.O.U.)
Melanie De Biasio - Let me love you
Malik Djoudi - Vivant
The Offline - Jeanne et Alain
Bob Marley - One cup of coffee
Little Tempo - The taste of tea
Pomme - Itsumo nando demo (from spirited away)
Joe Dassin - Les Champs-Elysées (version japonaise)
Ponta Preta - Yojimbo
Balthvs - Hooked (Hazy nights)
Joan As Police Woman - The dream
Percy Faith - Pillow talk
Gloria Lynne - The night has a thousand eyes
Louis-Jean Cormier - J'ai monté
Thom Yorke - Suspiria : Suspirium
Martha Argerich - Sonatine : Mouvement de menuet
Michael Jackson - I wanna be where you are
Chico Buarque - Roda viva
Forever Pavot - Hutre
Misha Panfilov & Shawn Lee - Volkswagenesque
The Cars - Sad Song
Lou Reed - Dirty blvd.
Marianne Faithfull - Young girl blues
Metronomy - Boy racers
The Chequers - Get up stand up
Thee Sacred Souls - Live for you
Terri Lyne Carrington & Social Science - If not now (feat. Maimouna Youssef)
Sound Providers - 5 minutes
Astrel K - By depol
Lewis Evans - Dead flowers
Calexico - Turquoise
Sydney Chaplin - I met a girl
Louis Chedid - Je dis aime
Tindersticks - New world (edit)
Atsuo Fujimoto - Theme of high school student
Hannah Miette - Between the nows (feat. Kate Stables)
Balthazar - Halfway
Rosie Lowe - In My Head
Gotts Street Park - Fuego
Harrison Kennedy - Imagine
Haley Heynderickx - Oom sha la la
Serge Gainsbourg - Comic Strip
Gregoire Jokic - Blue summer
James Hunter - You can't win
Leyla McCalla - Scaled to survive
Aldous Harding - Designer
Comic Wow - Jazz computer
Lady Blackbird - No one can love me Llike you do)
Aloe Blacc - I need a dollar
Monk Higgins - Railroad
Dan Wilson - Let your soul be your pilot
The Islanders - King of the surf
The Mannish Boys - It was fun
Mieke Miami - The Light
Oum Shatt - Over the world and out
Fela Kuti - Wayo (2nd. version)
Calypso Rose - Underneath the mango tree
Ted Lucas - Robins ride
Carla Bruni - The winners takes it all
The Polyphonic Spree - Section 49 (Hop off the fence)
Charlotte Cardin - How high
Figub Brazlevic & Parental - Parlin-beris (super city)
Hugh Coltman - Mid life crisis
Lisa Leblanc - Pourquoi faire aujourd'hui (Poirier remix)
Sylvia Striplin - Give me your love
Jamiroquai - Alright
Thundercat - Black qualls (feat. Steve Lacy & Steve Arrington)
Muddy Monk - Chaki queen
Dave Guy - The green door
Lonnie Liston Smith - Peaceful ones
Jorge Ben - Carolina carol bela
Brigitte Fontaine - C'est normal
Thabang Tabane - Father and Mother
Foals - Big big love
Daniel Villarreal - In-On
Jose James - The healer (feat. Ebban Dorsey)
Jorja Smith - Try me
Luidji - Miskine
Blue Lab Beats - Sunset in L.A.
Baron Retif & Concepcion Perez - On fait comment
Saknatee Srichiangmai - Nom samai mai
Hugo Winterhalter & His Orchestra - Anna (El Negro Zumbon)
Miranda Martino - Paura
The Salsoul Orchestra - Nice n' nasty (original Walter Gibbons 12' mix)
Ze Nigro - Andarilha das Galáxias (feat. Souto MC)
Monster Rally - Sister Owls
Claude Fontaine - Laissez-moi l’aimer
Jim Bauer - Mad about you
Patsy Cline - Crazy
Fever Exploration - Vulcania
Nicolas Michaux - Alma
Joy Crookes - Bad feeling
Joseph Malik - Mixed race combination diverse3
Royal Philharmonic Orchestra De Londres - Nursery Suite : 3. Busy-Ness
Annie Philippe - Baby love
Sharon Jones - Nobody's baby
Widowspeak - My Baby's Gonna Carry On
The Doors - Moonlight drive
Vladimir Cosma - Alexandre le Bienheureux : La sieste
Pokey Lafarge - Central time
Galliano - Circles going round the sun (short edit)
Black Uhuru - Sun is shining
Pleasurewood - Ghost ship
Jaseur - Blog personnel
Ziska Staubli - Progress not perfection
The Jam - Town called Malice
Olivier et Clare Manchon - Vamos
Teresa Berganza - Baile de Luis alonso (el) : Cancion gitana
Rudy De Anda - Miel
Linear John - Do you see what I see
Project Gemini - The invitation (Interlude)
Mira Lu Kovacs - Disappear
Elli & Jacno - Main dans la main
Boban Petrovic - Kupatilo je shvatilo
L'Eclair - Suite
Bryony Jarman-Pinto & Werkha - Willow (Birch community mix)
Chuck Higgins - All around the world
Bikini Machine - Bikini theme
Timber Timbre - The New Tomorrow
Giorgio Moroder - Today's a tomorrow
Jahson The Scientist - Lean on you
Joe Nora - Hourglass
Jerome Thomas - Secret (Saul remix)
Amp Fiddler - I believe in you
Gregory Isaacs - Crying over you
Tabu Ley Rochereau - Pitié
Mulatu Astatke & Hoodna Orchestra - Delilah
Herbie Mann - The sidewinder
Delicates - Little boy of mine
Loretta Lynn - You ain't woman enough (feat. Tanya Tucker)
Faye Webster - It doesn't work like that
Jungle By Night - Coco
Sirens Of Lesbos - Sweet harmony
Mild High Club - It's over again
The Crusaders - Soul shadows
David Axelrod - The poison tree
Izabella Kopec - Fantasmagories :  Berceuse - pour mezzo-soprano et orchestre
Theo Sarapo - On ce croit libre
Nick Cave & The Bad Seeds - Red right hand
Forever Pavot - Du pipeau
Helen Merrill - Close your eyes
Dora Morelenbaum - Petricor
Jgrrey - Pretty insane
Mf Doom - Rhymes like dimes (instrumental)
Virna Nova - Giving it away
Strongboi - Ugi
Akira Terao - Sasurai
Yosui Inoue - Anata wo rikai
Shinichi Omata - Egyptische knabe
Kumisolo - Ping pong machine
La Femme - Où va le monde
April March - While we're young
Stonewall Jackson - Greener pastures
Canned Heat - Junior's shuffle
Mustang - En arrière en avant
The Submissives - He wanted her
Later. - Power
Quincy Jones - Tout doucement
Eddy Mitchell - Toujours un coin qui me rappelle
Aretha Franklin - Sweet bitter love
Rejjie Snow - Poofy Leaves
Jeremiah Chiu - Seawater Swell
Piry Reis - O sol na janela
James Blake - Say what you will
Rone - Nora & Amber
The Cure - Three imaginary boys
Autour De Lucie - Chanson sans issue (ne vois-tu pas)
Cassandra Jenkins - Only one
Quatuor Protean - Quatuor à cordes nº4 en Ut Maj D 46 : 3. Menuetto. Allegro
Nat King Cole - Te quiero dijiste (Magic is the moonlight)
Clive Zanda - Ogun
Bessie Smith - Haunted house blues
John Fahey - Logan Lucky : Revolt of the dyke brigade
Leyla McCalla - Peze cafe
Johnny Cash - Hurt
Atticus Ross - Challengers : Final Set
Robert Glasper - Everybody love (feat. Musiq Soulchild & Posdnuos)
Desmond Dekker - Israelites
Mathieu Boogaerts - Je sais
Koki Nakano - Seraphic june
Neil Young - A man needs a maid
Lovage - Pit stop (Take Me Home)
Elias Rahbani - Always in my heart
Girma Beyene & Akale Wube - Mèlèwètesfh menèw
Betty Davis - Your mama wants ya back
Or Kantor - Armandino
Guy Cabay - Pôve tièsse
Animal Collective - Broke Zodiac
The Flaming Lips - A spoonful weighs a ton
Jon Hassell - G-Spot
Janet Jackson - The pleasure principle
Fairouz - Ana weyyak
Ennio Morricone - Evasion
Steely Dan - Night by night
The Red Goes Black - Summer night
Penny & The Quarters - You are giving me some other love
The Offline - Générique
Serge Gainsbourg - Initials B.B.
Pastor T.L. Barrett & The Youth For Christ Choir - Here I am
Billy Paul - Me and Mrs Jones
Trio Alborada - Habanera - réduction pour orgue et 2 guitares
Céu - Varanda suspensa
Horace Andy - Horse with no name
Of Montreal - When you'r loved like you are
Project Gemini - The sun devil
Warhaus - Shadow play
Jungle Brothers - Straight out the jungle
Jungle - Talk about it
Hermanos Gutierrez - Sonido cosmico
This Is The Kit - Inside outside
Audrey Joumas - That leave
Cat Power - Keep on runnin'
Felbm - Herfstzon
Vulfpeck - Miracle
Barbagallo - La lune
Tim Buckley - Get on top
Scary Goldings - Pony up
Lenny Kravitz - 5 more days 'til summer (edit)
Candice Ivory - World of trouble
Bedouine & Sylvie - Can you tell
Jerry Lu Trio - Samba for Thomas
Ana Layla - Someone
Roberto Cicogna - Il portiere
Manu Galure - Je ferais la chanson qui n'a rien a voir
Konteks - If only
The Beatles - Why don't we do it in the road
Forever Pavot - Dans la voiture
Kourosh Yaghmaei - Mosafere shar baran
Homer - Wishing well (feat. Girlnamedgolden)
Hiroshi Sato - Super market
Two Sisters - B-boys beware
Blood Sisters - Ring my bell
The Liminanas - Simon
Robert Getchell - An drumadoir - pour ténor et ensemble instrumental
Liraz - Mastam
Emiliana Torrini - Black Lion Lane
Steve Hiett - Are these my memories?
Francoise Hardy - Mes jours s'en vont
David Crosby - Laughing
Tiga - (far from) home
Bryan Ferry - Tokyo Joe
Pandapendu - Smoothy
Bella Brown & The Jealous Lovers - There is love
Tyler The Creator - Tomorrow
Clifford Brown - Yesterdays
Claude Nougaro - Maman m'l'a dit
Unkle Ho - Hiroshi waltz
Portishead - Numb
Bendik Giske - Cruising
The Smile - Zero sum
St. Vincent - Savior
World Brain - Fromage collatéral
Edu Lobo - Veleiro
Cortex - L'enfant samba
Matt Berry - Aboard
Mick Jagger - Memo from Turner
J. Bernardt - I'm the ghost you forgot
Skinshape - Another side of skinshape
Bembeya Jazz - Guantanamera
Vaudou Game - Râler
The Cromagnon Band - Sky burial
Ali Dada - Tone print
AC/DC - Little lover
Hubert Sumlin - Straight talk
Flying Lotus - You don't know
Hologram Lo & Ledouble - THÉORIES
JD Souther - Midnight prowl
Jeff Parker - Cliché
Marvin Gaye - Let's get it on
Gitkin - Ice coffee
Rodrigo Amarante - Tuyo (Narcos theme)
Dillinger - Cocaine in my brain
Richard De Bordeaux - La drogue
Jean Claude Vannier - La Horse
Niteroy - Amores nostalgia
Tiago Caetano - Salvo
Toots Thielemans - We'll be together again
Ray Charles - Georgia on my mind
Zhang Liping - La rondine : Chi il bel sogno di Doretta (Acte I) Air de Magda
Octave One - Blackwater - Strings vocal mix
Talking Heads - Mr. Jones
Yo & The South - Orange
Xpress Point - Feel free
Nectar Woode - How It's Gotta Be
Mk.Gee - Are you looking up
Gangsta Boo - Where Dem Dollas At (feat. DJ Paul & Juicy J)
Vin's Da Cuero - KOD
Jose Feliciano - California dreamin
Jack Adkins - American sunset
David Ferguson & Matt Sweeney - The course of true love
Khruangbin & Vieux Farka Toure - Savanne
Oscar Sulley And The Uhuru Dance Band - Olufeme
Claude Goaty - Petite fleur
Guy Lafitte - Le chat qui dort
Dmitry Baevsky - The sun died
Caloe - Reste un peu
Sylvain Luc - Les fleurs de Colette
Jan Johansson - Visa fran utanmyra
Ben Sidran - Humanity (feat. Rodolphe Burger)
Brad Mehldau Trio - Great day
Nat King Cole - Nobody knows the trouble I've seen
Ray Charles - Moanin'
Zangbeto - Akpèssè (feat. Skokiaan Brass Band)
"Michel Legrand - Summer me, winter me"
Ella Fitzgerald - It's only a papermoon
Snorre Kirk - A Thing Like That
Jimmie Lunceford - Tain' t what you do
The Doors - The ghost song (bonus track)
Eagles - One of these nights
The Allman Brothers Band - One way out
Flavien Berger - 666666
Ben Harper - Homeless child
Adriano Viterbini - Tubi innocenti
Les Filles De Illighadad - Irriganan
Jimmy Page - The battle of evermore
Esmerine - La pénombre
Hiatus Kaiyote - Atari
Flavien Berger - 666666
Bonnie Banane - Hop-là!
Charlotte Adigery & Bolis Pupul - Haha
Billie Eilish - Oxytocin
Nine Inch Nails - The perfect drug
Gin Tonic Orchestra - La couenne rance
Quincy Jones - Dude
Adriana - Contigo
Tim Maia - Rational culture
Red Hot Chili Peppers - If you have to ask
Prince - Sexy M.F.
The Rh Factor - Rich man's welfare
Flavien Berger - 666666
Queens Of The Stone Age - Time & place
Gros Coeur - Java
Shay Hazan - Riff raff
Flavien Berger - 666666
Meridian Brothers - Es mi nueva era
Chancha Via Circuito - Coroico
Zeal & Ardor - Kilonova
Slift - Uruk
Abstract Orchestra - Great day
Madvillain - All Caps
"Thunder And Lightning - Bumpin' Bus Stop, Pt. 1"
The Right Track - I gotta move with the groove
Soul Coughing - Blueeyed devil
Daniel Villarreal - Salute
Tyler The Creator - I killed you
Joan As Police Woman - Oh Joan
Thundercat - King Of The Hill (feat. BadBadNotGood & Flying Lotus)
Parcels - Yourfault
Pearl & The Oysters - Triangular girl
Sylvain Luc - Isn't she lovely
Los Cumbianeros De Pacheco - Santo domingo
Au P Tit Bonheur - J'veux du soleil
Gitkin - Foot steps
Racha Rizk - Les jours et les nuits de l'arbre coeur : Opening
Nubiyan Twist - Battle isn't over
Brandy - The boy is mine
Teresa Nodaa - Yellow Moon
Lowenzahnhonig - Moewe
Nicolas Michaux - Chaleur humaine
Sir Ali S Girls - Just A Gigolo
Collectif Medz Bazar - Prélude : cambaz
Albert Newton - Morning light
Vulfpeck - Wait for the moment
Trio Esperanca - Quelques mots d'amour
Polisse - Le temps qui passe
Vetiver - Time flies by
Mary J Blige - Argent comptant : A dream
The Platters - Remember when
Wolfgang Meyer - Quintette en La Maj K 581 (Stadler) : Larghetto - pour clarinette de basset et quatuor à cordes
Fairouz - Ya ana ya ana
The Dynamics - The creator has a master plan
Mieke Miami - Pharaohs sand
Nina Miranda - Paz
Beck - The new pollution
Elaquent - Tuscany
Enji - Duulnaa
Elliott Smith - Son of Sam
Magic Malik Orchestra - Le bip
Ichiko Aoba - Parfum d'étoiles
Duval Timothy - Fall again
L'Imperatrice - Ma starlight
Junior Y Su Equipo - Bien bailadito
The Doors - Waiting for the sun
Cousin Kula - The sun
Ka-Tet - Nikita
Michael Kiwanuka - Tell Me a Tale
Joan As Police Woman - Oh Joan
Taggy Matcher - Cantaloop island
Alain Souchon - En collant l'oreille sur l'appareil
Joni Mitchell - Edith and the kingpin
Ophelie Gaillard - O canto do cisne negro - arrangement pour violoncelle et harpe
Anne Paceo - Reste un oiseau
Gilberto Gil - Vôa papagaio
Bo/La Gifle - Samba et bossa d'Isabelle
Aupinard - Sois en sûre
Someone - Blowin in the wind
Aladean Kheroufi - Why do you call for rain
Soyuz - Weather Report
Satellite Lovers - Best friend
Stereolab - Infinity girl
Rahill - Note to self
Aphex Twin - Iz-us
Mirabelle Gilis - Rivière
Frank Ocean - Nights
Erykah Badu - Bag lady
Lonnie Liston Smith - Quiet dawn
Bobby Capo - Regalo de dios
Patricia Petibon - 12 tonadillas escritas en un estilo antiguo : El mirar de la maja - pour soprano et orchestre
Bernardino Femminielli - Fait Divers
Muddy Monk - En tandem
Freddie Joachim - Winding road
Amp Fiddler - Unconditional eyes
Isley Brothers - Footsteps in the dark. partie 1 et 2
Marie Pierre - Can't go through with life
Djeminay - Sun plash
World Brain - Open
Kali Uchis - I wish you roses
Mild High Club - Kokopelli
Kokopeli - Oiseau moqueur
The Rolling Stones - Dear Doctor
Waylon Jennings - Theme from the dukes of hazzard (good ol' boys)
Canyon - Country lovin?
Orion Sun - Nights like this
Roy Ayers Ubiquity - Mystic voyage
Anita O Day - It shouldn't happen to a dream
Laura Pitt Pulford - Seven brides for seven brothers : Glad that you were born
Luna Li - Take me there
Munya - Maracuya
"Ron Trent - Flos potentia (Sugar, cotton, tabacco) (feat. Khruangbin)"
Bjork - Human behaviour
Baraka - World of content
Brian Eno - Bone jump
The Smile - Foreign spies
Alice Coltrane - Ghana nila
Jorgen Ingmann - Apache
"Lonnie Johnson - Happy new year, darling"
Marcos Valle - Bora meu bem
Diana HP - Le jour
I Marc 4 - Ray ban
Das Efx - They want efx
Liam Bailey - Mercy tree
Jaqee - Pink drunken elephant
Clark Terry - Say si si
"Nina Hagen - Yes, sir"
Bertrand Belin - Pour un oui ou pour un non
Bobbie Gentry - Rainmaker
Weather Report - Teen town
Amy Haworth - Anthem : All I am is thee
Mira Lu Kovacs - Disappear
Papas Fritas - Girl
The Beatles - Sea of time
Prabhu Edouard - Rangoli
Mustafa - Imaan
Dina Ogon - Efter natten
Brume Parole - Plaisir remodelé
The Chemical Brothers - Let forever be
The Who - Baba o'riley
Espen Horne - Rory's sunrays
Jungle By Night - Oog om oog
Darondo - Legs (part 1)
Philanthrope - Queenslude
Billie Eilish - Everything I wanted
Zaho De Sagazan - Dis-moi que tu m'aimes
Steely Dan - Babylon sisters
Jerome Sabbagh - Lead The Way
Wild Cherry - Play that funky music
The New Clarence Reid - Cadillac Annie
Katy J Pearson - Those goodbyes
Joe Satriani - A piece of liquid
Claude Vinh-San - Maloya
Corail & Vanille - Poupée russe
Neil Young - On the beach
Avi Avital - Sonate en mi min BWV 1034 : Allegro - arrangement pour mandoline et basse continue
Marvin Gaye - I want you
Gecko Turner - Ain't no fun preachin' to the choir
Dar Disku - Sabir (feat. Billur Battal)
Hermanos Gutierrez - Sonido cosmico
Robert Finley - Nobody wants to be lonely
Renee Olstead - Sleepwalk
Yseult - Néon rouge
Penny Arcade - Garage instrumental
Wojcieh Kilar - Dracula : Lucy's party
Sara Watkins - Stay awake
Julie Andrews - A spoonful of sugar
Cass Elliot - Don't let the good life pass you by
Max Jury - Ella's moonshine
The Olympians - Sagittarius by moonlight
Pat Kelly - I Started A Joke
Harriet Brown - Outerworld (feat. Felicia Douglass)
Reyna Tropical - Aquí te cuido
Lynn - Tes petites fesses
John Scofield - I brake 4 monster booty
Lana Del Rey - Video Games
Fleet Foxes - White winter hymnal
Cantus Colln - Nun danket alle Gott
Sue Foley - Mediterranean breakfast
Santa Esmeralda - Don't let me be misunderstood
Ete 67 - Le cow-boy tout nu
Charley Crockett - Baby 1-2-3
Mulatu Astatke & Hoodna Orchestra - Major
G.T. Moore - I'm still waiting
Bob Marley - Waiting in vain (advert mix)
Rosenberg Trio - Minor swing
Django Reinhardt - Coucou
Ainda Duo - La otra mitad
Kings Of Convenience - Cayman Islands
Orchestre Symphonique De Londres - La forme de l'eau : Overflow of love
Alicia Walter - Just a little
Richard Robbins - Mr. Sandman
Fats Waller - Everybody loves my baby
Dale Hawkins - My babe
Liam Bailey - I got no answers
Ezechiel Pailhes - Hands on hips
Gizmo Varillas - Losing you
"Africa Express - The river (feat. Muzi, Zola 7, Mahotella Queens)"
Dr. Rubberfunk - Steppin' in
Cro - Easy
Yvnnis - Je(u)
Andrew Bird - Are you serious
Anja Lechner - An answer
Caetano Veloso - María la O
Henri Salvador - Petite fleur
Ella Fitzgerald - I'm beginning to see the light
Michel Portal - Un été à la Garoupe : Summer Swing
Mercury Rev - You're my Queen
Echo & The Bunnymen - My kingdom
Nicolas Michaux - Reparations
Yann Kornowicz - Detective opening
Roy Ayers - Everybody loves the sunshine
Seu Jorge - Tá em tempo
Ben Marc - Sometimes slow
Talk Talk - Time it's time (remastered version)
Clairo - Sexy to someone
Allen Toussaint - Singin the blues
Odetta - Take me to the pilot
Ben Harper - Diamonds on the Inside
Branko Mataja - Sreo sam te
Yo & The South - Le vent tourne
Leadbelly - My friend blind lemon
Tom Waits - Bella ciao (goodbye beautiful)
The Offline - Chambre d'amour
Outkast - Elevators (me & you)
Roy Hargrove - Family
Nelson Freire - Nocturne nº1 en si bémol min op 9 nº1 pour piano : Larghetto
Rufus Wainwright - Foolish love
Omara Portuondo - Si llego a besarte
Anna Karina - Pierrot le Fou : Jamais je ne t'ai dit que je t'aimerai toujours
Stephane Kerecki Quartet - Alphaville (film) : Thème d'amour
