Molly Lewis - Sonny
Michael Nyman - Waltzing the bird
Nicola Di Bari - Como violetas
Slap! - Dark knights
Tia Blake & Her Folk Group - Betty and dupree
Trunks - What is fantasy
Ronnie Bird - Chante
Charley Crockett - How long will I last
Helado Negro - Best for you and me
El Michels Affair - Hipps
Happy Meals - Altered images
Otto - Orélia
Santana - Evil Ways
Docta G & Dr Charty - Dub for the poor
Junior Murvin - Give me your love
Portishead - Glory box (Edit)
Cloud - Crawl
Teebs - Slumber
Orchestre Symphonique National Tcheque - Serenade
Jenny Lewis - Essence of life
Watchglass - Flick the hair on exit
Joe Thomas - Polarizer
High & Mighty - B-boy document 99
The Spencer Davis Group - Keep on running
Paper Tapes - No answer
Matthieu Chazarenc - Cambio
Giovanni Tommaso - L'avventura
Francesco Cavestri - Intro salute to Dilla
Kurt Elling - Higher vibe
Eddie Harris - The things you do
Francis Lockwood - Monkamania
Ts Monk - Crepuscule with Nellie
The Four Freshmen - Speak low
Blossom Dearie - Lonely town
Yes Trio - The best is yet to come
Wynton Marsalis - Habanera
Orrin Evans - Amazing grace
Links Trio - T-Tune
JEAN SABLON - Cette chanson est pour vous madame
Princess Nokia - Gemini
The Subterraneans - Taurus woman
Yaya Bey - On the pisces moon
Dub Shepherds - Aquarius
Art Wilson - Sun sign Aries
Peter And The Roses - Shades of black
Aloa Input - The other rainbow
Odetta - Gallows tree (gallows pole)
Ilyas Ahmed - Nasty man
Douniah - Runnin'
Co-Pilot - Move to it
Juliette Greco - Le hibou
Maxence Cyrin - La bellevilloise
Elli Ingram - Trouble
Cousin Kula - Poisoned
Segun Bucknor - Nigeria one - And forever
Andre Hossein - Jerk
Dany - La fille à la moto
Haruomi Hosono - Choo choo gatagoto
David Bowie - The gospel according to tony day
Andrew Wasylyk - Westway nocturne
Archie Whitewater - Seacoast
Omerta - Au commencement
Damon Locks & Black Monument Ensemble - The colors that you bring
The Natural Yogurt Band - 57 Lashes of the mallet
Kreidler - Loisaida sisters (feat. Khan Of Finland)
Flora Purim - Black Narcissus
Pearl & The Oysters - Mercury Comet Caliente
Jeru The Damaja - Come clean
Flora Purim - Black Narcissus
Comic Wow - Jazz computer
Ralfe Band - A thousand miles away
Aliocha Schneider - Hey Mama
Janis Joplin - Cry baby
Morricone Youth - Cossacks charge
Lea Mondo - Heights of love
Orbiting Human Circus - I cover the waterfront
Flora Purim - Black Narcissus
Cocosuma - Blowing oceans by
OWEN LE GUEN - Silent shouters
Thomas Newman - Dead already
Franco Et Tpok Jazz - Si vous passez par là
JORDI SABATES - Ocells del mes enlla Part III
Herbie Mann - Dance of the semites
Arlette Tephany - Ne vous mariez pas les filles
Khruangbin - Lady and man
Nusantara Beat - Borondong garing
Tricky - Pumpkin
Lost Horizons - In quiet moments (feat. Ural Thomas)
Aja Monet - Why my love ?
Marcoca - Tofu salad
Michel Colombier - Du fond de mon lit
Ennio Morricone - Mon nom est personne
Natascha Rogers - Land
Buttering Trio - Little goat (Iza Ktana)
Pokey Lafarge - End of my rope
Guillaume Nouaux Trio - Dark eyes
Arthur Conley - Sweet soul music
The Brand New Heavies - Soul flower
Philippe Katerine - Bonhommes
Nicolas Godin - Zaire 73
Feiertag - Reverie (feat. Robin Kester)
Barbara & Ernie - Play with fire
Steely Dan - Fire in the hole
Ravi Harris And The Prophets - Path of the blazing sarong
Transglobal Underground - The khaleegi stomp
Bonnie Banane - Franchement
Pachyman - Trago coqueto
Sly5thAve - Get free
Betty Everett - The shoop shoop song (it's in his kiss)
Francis Lai - Vivre pour vivre
Wanda Sa - Inutil paisagem
Voyou - Enfin
Gary Numan - Cars
Cotonete - La dernière guitare
Joe Bel - Ivory (please)
The Howlin Jaws - Three days
Ganache - Comet
David Brutti - 2 sonatines op 194 : Sonatine op 194b n°2 : Final - pour saxophone soprano et orchestre de chambre
Aa'In - Aguacerito
Scary Pockets - Hotline bling (Feat. Michael Blume)
Santana - Evil Ways
Scary Goldings - The shiner (feat. John Scofield)
Malik Djoudi - À tes côtés (feat. Étienne Daho)
Rover - Venise Hat
Muddy Waters And His Guitar - I just want to make love to you
Adrian Quesada - Fireflies
Com Mus/Finian S Rainbow - Necessity
The Blind Boys Of Alabama - A prayer
Beach Fossils - Sleep apnea
Tommy Guerrero - Time burns bright
Half Alive - Arrow
Biche - Lovebirds
Allison Russell - The Returner
Charif Megarbane - Pale baleine
Radiohead - No surprises
Alex Nicol - Colour my world
Balthazar - Roller coaster
Jasual Cazz - Libellule
Eli Paperboy Reed - Bank robber
Dina Ogon - Berget
Melanie De Biasio - Sweet Darling Pain
Tosca - Dave Dudley
The Beach Boys - Surfer girl
Dirty Projectors - Overlord
Manu Chao - Desaparecido
Muriel Anderson & Jean-Felix Lalanne - El noi de la mare
Leon Redbone - Let it snow
"Anne Sylvestre - Flocon, papillon"
Gregory Porter - Purple snowflakes
Masayoshi Takanaka - Star wars samba
Dionysos - Song for Jedi
Dj Yoda - Day to night
Stuff - Skywalker
Lossapardo - Nostalgia
Molly Lewis - Crushed velvet
Kaori Muraji - Kinderszenen op 15 : Träumerei
The Specials - A message to you Rudy
Hamid El Shaeri - Ya saheb
Whitney - Red moon
Haim - Gasoline
Jorja Smith - Little Things
Bjork - Human behaviour
24 Carat Black - Foodstamps
Kendrick Lamar - The heart part 5
"Fred Pallem & Le Sacre Du Tympan - Aimons, foutons"
"Charles Lloyd Quartet - Caroline, no"
Robert Wyatt - Just as you are
Arthur Verocai - Dedicada a ela
Arnaud Rebotini - The red island variation 2
Lana Del Rey - Blue Jeans
Flying Lotus - The Room
Massive Attack - Better things
Adrien La Marca - Quatuor à cordes n°3 : 6. Mishima / Closing - arrangement pour alto et piano
L (raphaele Lannadere) - L'etincelle (Adele)
Norah Jones - Running
Elliott Smith - Everything means nothing to me
Brad Mehldau - Dat dere
Paolo Conte - Come di
Drugdealer - The end of comedy (feat. Weyes Blood)
Simon Mavin - Good hair day
Inon Zur - Into the starfield (main theme)
Archive - So few words
The Band - Chest fever
Jean Claudric - La recherche
Eddie Jefferson - So what
Oan Kim - Slow redux
Axone / X 1 - By this river (Axone ft. Lou-Angel)
Jamiroquai - Didjital vibrations
Khruangbin & Vieux Farka Toure - Savanne
Ben E King - Stand By Me
Al Green - So you're leaving
Alex Bleeker - Swang
The Liminanas - El beach
Django Django - Life's a beach
The Mohawks - Dr. Jekyll & Hyde park
Rome Streetz - Destiny child
The Velvet Underground - Sunday morning
Unloved - Lee
Orchestre De La Suisse Romande - 6 Epigraphes antiques L 139 : 1. Pour invoquer Pan dieu du vent d'été - arrangement pour orchestre
Jungle - Keep moving
Isaac Delusion - Premonitions
Dave Hamilton - Pisces Pace
Wilson Pickett - Mustang sally
Chakachas - Un rayo del sol
Joe Bataan - Chevere que chevere
Quiet Dawn - Dododo
Mondo Grosso - VibePM (Jazzy Mixed Roots) (Remixed by Yoshihiro Okino)
France Gall - Le coeur qui jazze
The Simon Park Orchestra - Dawn to Dusk
Barry Biggs - Illusion
Inkswel - Mystical magic (feat. Lee Scratch Perry & Elf Tranzporter)
Zero 7 - Give it away
Red Hot Chili Peppers - My friends
Emma Ayzenberg - Hero
Yamandu Costa - Brejeiro
Dan Hicks - Strike it while it's hot
Jacques Higelin - Coup de blues
"Cecile McLorin Salvant - Easy come, easy go blues"
Bei Bei - Into the wind
Shintaro Sakamoto - Extremely bad man
Danny Brown - Hanami
Bo/Le Samourai - Le samouraï: Le samouraï
Pale Jay - In your corner
Loving - No mast
Bloom Bat - Odd friends
The Dynamics - Brothers on the slide
MC Solaar - Bouge de là (part. 1)
Harrison - A View From The Sky
Lael Neale - Aquainted with night
Nico - Winter song
The Dodos - Walking
Beck - Old man
Sufjan Stevens & Lowell Brams - The unlimited
Enoch Light - Temptation
Sara Miette - Happy talk
Pawpaw Rod - Love On You
Wilco - Summer teeth
Sholto - Lucid state
Bryan Ferry - I´m in the mood for love
Myriam Makeba - L’enfant et la gazelle
Los Yoyi - Tú no me puedos conquistar
Koxo - Step by step
Gruff Rhys - They sold my home to build a skyscraper
Stephen Ulrich - Rinse cycle
The Rockin' Berries - He's in town
Ashia And The Bison Rouge - Country will do her well
Quatuor Emerson - Quatuor à cordes n°12 en Fa Maj op 96 B 179 (Américain) : Molto vivace
Gene Chandler - Eleanor Rigby
Kacimi - Lettre à mon frère
Gilberto Gil - Ela
Ella Fitzgerald - Desafinado
The Sound Defects - Peace
"Chinese Man - Too late (feat. Stogie T, Kt gorique & Fp)"
Chloe - Someone's calling (chlöe)
Ella Grace - Wannanumbawayhours
Blondie - Call Me
Bacao Rhythm & Steel Band - Love for the sake of dub
Gizmo Varillas - Camino al amor
Vashti Bunyan - Trawlerman's song
Helena Noguerra - Appelle-moi
Amerigo Gazaway - She said
The Sextones - The Other Side
Esther Marrow - He don't appreciate it
Alan Hawkshaw - Lounging at dave's (remix)
Papooz - Minor miracles
Ron Sexsmith - You don t wanna hear it
Wendy Carlos - Suite n°3 en Ré Maj BWV 1068 : Aria . Air on a G string
Daniella Dee - Stutter
Pat Kalla & Le Super Mojo - Canette
Cal Tjader - Afro blue
Buffy Sainte-Marie - The Circle Game
Fleet Foxes - White winter hymnal
Haley Heynderickx - Oom sha la la
Theo Champion - Most dreams come false
Gustafson - Full sentimental
Holy Hive - This is my story
Aretha Franklin - Sister from Texas
Thee Sinseers - Seems like (Instrumental)
Galathea - Koloko
Manu Chao - La vie a 2
Brad Stank - Glass half full of tears
Revolver - Airport
Maya Hawke - Sweet tooth
Fai Baba - Rägeboge
Isaac Delusion - Premonitions
Call Sender - Wilderness
Gabi Hartmann - People Tell Me / Les gens me disent (Feat. Julian Lage)
Michele Arnaud - Les papillons noirs
Robert Finley - My Story
Woods - The wind again
The Saxophones - Desert flower
Abbey Lincoln - The world is falling down
"Joni Mitchell - Both sides, now"
Jian Wang - Romance sans paroles en Sol Maj op 23 - arrangement pour guitare acoustique et violoncelle
Orselle - Ailleurs
Yves Jarvis - Stitchwork
The Beach Boys - God only knows
Sully Braq - Sully's bark
Kandy Guira - Talanloge
Jon Batiste - Tell the truth
Natascha Rogers - O baba
Bloom Bat - Odd friends
Shake Stew - Not water but rest
Dionne Warwick - I say a little prayer
Shannon And The Clams - Leaves fall again
The Vaughan Brothers - Hillbillies from outerspace
Munya - Caramel (Mon coeur s'ouvre à toi)
Dina Ogon - Jag vill ha allt
The Leisure Society - Nothing like this
Blundetto - Since you've been gone
Marcos Valle - Democustico
Bo/Marry Poppins - Penguin dance
Dungen - Jakten genom skogen
Ella Raphael - See you through
Alice - Pense à moi
Neil Young - Don't let it bring you down
Sergio Assad - Chôro n°1
Andreya Triana - Superlove
Arlo Parks - Green Eyes
Jane Weaver - Perfect storm
Weather Report - Barbary coast
The Whatnauts - Why can't people be colors too?
A Tribe Called Quest - Oh my god
Donna Blue - Fantasy girl
Mark William Lewis - Pleasure is everything
Tala Andre Marie - Djamena
Cotonete - O céu é preto (feat. Gystere)
Joe Yorke & The Co-Operators - The singerman
Benny Sings - Dancing in the dark
Henrik Lindstrand - Stora huset
Feist - Hiding out in the open
Francoise Hardy - Pouce au revoir
Extraa - Blue Jeans
The Jb S - Hot Pants Road
The Notorious J.B.'S - B.I.G. Poppa's got a brand new bag (clean version)
William Z Villain - Anybody gonna move
Tom Ze - Gloria
Dida - Estrada de canindé (baiao/xaxado)
Vincent Peirani - Goodnight Iréne
Mark Hollis - The Gift
Helado Negro - Out there
Devendra Banhart - Fireflies
Leon Phal - Balanced action
La Poison - Décadanse générale
Prince - When Doves Cry
Angles Morts - Garage 74
Knower - The abyss
Loving - On my way to you
William Tyler - Neither heaven nor space
Stealers Wheel - Stuck in the middle
Orquesta Ritmo De Sabanas - Porro bonito
Minyo Crusaders & Frente Cumbiero - Cumbia del monte Fuji
Dwight Druick - Georgy porgy (disco version)
George Benson - Thunder walk
Laufey - Second best
Judy Garland - Over the rainbow
John Barry (Chef d'orchestre) - Thème
Danny Brown - Hanami
April March - Les fleurs invisibles
Drugdealer - Madison
Cousin Kula - Hanging on your lips
Surprise Chef - Yung Boi suite
Marvin Gaye - I heard it through the grapevine
The Grass Roots - You baby
The Drones - I'm down today
Marion Rampal - Canards
Lefto Early Bird - I sing to find peace of mind
Talya Ferro - Look at me
Tteo - Samba
Barbara Tucker - Beautiful people (Original club mix)
Michael Zager Band - Let's all chant
Hedzoleh Soundz - Rekpete
Os Anjos - Avante juventude
Yo & The South - Orange
Nuyorican Soul - I am black gold of the sun (4 hero remix)
Orchestre Philharmonique De Prague - Serenade n°2 h 216 : Poco andante
The Turtles - You showed me
Tioklu - Special gem
Pearl Jam - Dark matter
Oscar Jerome - Channel your anger
Chlorine Free - Minicocotte
Magic Malik Orchestra - Paper nut
Os Incriveis - Uma rosa pra dita
Antonio Carlos Jobim - Stone flower
Bobbie Gentry - Ode to Billie Joe
Louis-Jean Cormier - Si Tu Reviens
Esmerine - Pas trop pas tropes
Blonde Redhead - Via savona
Massive Attack - Better things
John Scofield - Chicken dog
Ben Harper - With my own two hands
Arat Kilo - Dou coula
Rodolphe Burger - Elle Est Pas Belle Ma Chérie ?
PJ Harvey - Pocket knife
The Smile - I quit
Jorja Smith - Greatest Gift (feat. Lila Iké)
Jasual Cazz - Better before
Gil Scott Heron - A sign of the ages
Carol Kim - Diêu ru nuoc mat
Toshiko Yonekawa - Saitaro-bushi
Prince Waly - Coquelicot
Sampha - Satellite business
Rozi Plain - Agreeing for two
Baron Retif & Concepcion Perez - L'œil insulaire
Rosalia - Beso (feat. Rauw Alejandro)
Cheb Hindi - A moi la liberté
Michael Hoenig - Sun and moon
The Who - Baba o' riley
The Hives - A little more for little you
La Femme - Sur la planche 2013
Ady Zehnpfennig - Erster Afternoon
Wu Tang Clan - Gravel pit
Billy Ze Kick - O.C.B.
Tamba Trio - Mas que nada
Pedro Mizutani - Melhor se acostumar (Tour Maubourg remix)
Gareth Donkin - Falling for you
Chic - Soup for one
Jah Shaka - Soloman Dub
Lautrec - Le flemmard du 12e
Talmud Beach - Hobo don't mind a little rain
Mavis Staples - Peaceful dream
Joel Favreau - Comment fais-tu l'amour Cerise ?
Manno Charlemagne - Pot drapo
Field Music - That's close enough for now
Faye Webster - But not kiss
Molly Lewis - The crying game
Baby Charles - Invisible
Otis Redding - (I can't get no) satisfaction
Elza Soares - O samba está com tudo
Laurent Coulondre - Bahia
Hubert Laws - Gymnopedie #1
Jacques Brel - Ces gens-là
Jeff Buckley - Everyday people
Florence And The Machine - Not fade away
Rudy Grayzell - Duck tail
Sababa 5 - Rosenzweig
Emir Kusturica And The No Smoking Orchestra - Duj sandale
Bonbon Vodou - Les écailles de chasteté
Choeur De Chambre Accentus - Ihr Töchter Zions weint über euch (2ème partie) - pour choeur mixte et orchestre
Oscar Peterson - Yesterday
Sophye Soliveau - Initiation II (wonder why) (radio edit)
Benny Sings - Falling (feat. MadeinTYO)
Blanka - Spanning Will
Ezechiel Pailhes - Bien certain
Donna Lewis - I love you always forever
Mariel Bildsten - Downtown uproar
Clora Bryant - Angel eyes
Irreversible Entanglements - Celestial pathways
Gerald Bailey - Dusty rhodes
Jon Hassell - Balia
Matthieu Chazarenc - Les sauvages
Pepe Habichuela & The Bollywood Strings - Yerbagüena (oriente)
Fabiano Do Nascimento & Sam Gendel - Foi boto
Chet Baker - When I fall in love
Duo Brady - Glass on Mars
Oma - The message
Eartha Kitt - Darling je vous aime beaucoup
Riley Mulherkar - Ride or die
Ambrose Akinmusire - Rio
Keith Jarrett - Rio part V
Julie Tippetts - Mind of a child
Maridalen - Pa nye eventyr
Oumou Sangare - Kamelemba (Acoustic)
Oum Shatt - Madame le soleil levant (My hostess)
The Animals - House of the rising sun
Michelle - Sunrise (Feat. Arlo Parks)
Sholto - Theme for Niki
Sam Evian - Time to melt
Alexander Robotnick - Computer sourire
Blur - Music is my radar
E Lundquist - Elements
Douniah - Nur für mich
Sault - Air
The Shacks - Audrey Hepburn
Lesley Garrett - My fair lady
Henri Mancini - Breakfast at tiffany's
Albert Newton - Yimtyk
Thee Sacred Souls - Love comes easy
Valerie Lagrange - La nuit de mon amour
Thievery Corporation - Doors of perception
Grateful Dead - Shakedown street
Papooz - Don't you think it'd be nice ?
Bai Kamara Jr & The Voodoo Sniffers - The rest of everything
DJ Shadow - Organ donor
Watchglass - How will you know me ?
Archie Whitewater - Northstar
Herbie Mann - A man and a woman
Hugh Masekela - Wosa
Domenico Lancellotti - Asas (Wings)
DJ Harrison - L'anthropofemme
Jay-Z - So ghetto
Ennio Moricone - Le ruffian : Sporco ma distinto
Alain Bashung - Vertige de l'amour
Delia Meshlir - My only child
The Nude Party - Cure is you
Cookin On 3 Burners - Sunday Mumma
Louise Vertigo - Sea sex & fleurs
Sault - Air
Jose James - On & on (feat. Diana Dzhabbar & Ebban Dorsey)
Ego Ella May - The Morning Side Of Love
Lee Perry - The person I am
Nouvelle Vague - Sur ma mob
Kamaal Williams - Stings
Dina Ogon - Nirvana
Tony Allen - Go back (feat. Damon Albarn)
Ural Thomas & The Pain - My favourite song
"Francois Luambo Makiadi Dit """"""""franco"""""""" - Kinsiona"
"The Burning Hell - Fuck the government, I love you"
The Saxophones - The mist
The Roundtable - Scarborough fair
Charlie Feathers - So ashamed
Faye Webster - Say it now
Bobbie Gentry - Papa won't you let me go
"Marion Rampal (Compositeur, Chant) - De beaux dimanches"
Roudoudou - Sunny sunday
Hortense Ellis - Sitting in the park
The Supremes - Buttered popcorn
Arlo Parks - Hurt
Outkast - Ms. Jackson
Parental & Figub Brazlevic - Ghetto birds
Letta Mbulu - What's wrong with groovin'
Pilar Jurado - Cançoes de Beiramar Op 21bis Version pour soprano et 8 violoncelles : Iemanja ôtô
Inger Nordvik - Go back
Bandit Voyage - Je déplace (feat. Maël Godinat)
The Faces - Tug of war
Manu Dibango - Soul makossa
Mandrill - Happy beat
Billy Swan - Oliver Swan
Forever Pavot - En voiture
Jan Verstraeten - Goodbye World
April March - Que le soleil soit maudit
Ramp - Everybody loves the sunshine
Bill Conti - Reflections
ASM (A State of Mind) - Hide & seek
Peter One - Birds go die out of sight
Helado Negro - I just want to wake up with you
Garden City Movement - Santal 33
Antena - Bye bye papaye
Sade - Smooth Operator
Ana Frango Eletrico - Nuvem vermelha
Monster Rally - Menagerie
Piers Faccini - Sharpening bone
Don Fardon - Indian reservation
Johnny Cash - Old apache squaw
Leyla McCalla - Le bal est fini
Espen Horne - Rory's sunrays
Nancy Wilson - Ode to Billie Joe
Perry Como - Bali ha´I
Luke Vibert - Fly hawaii
La Caravane Passe - Exode exotique
The Black Keys - Tighten up
Isolde Lasoen - Bed & breakfast
The Gingerbread Express - Missed another day
Henry Mancini - The return of the pink panther : The pink panther theme
Baked A La Ska - Trust in me
The Soundcarriers - Caught by the sun
Vonfelt - Soleil
The True Loves - Sunday afternoon
Trio Tekke - Electric sighs
Christie - Yellow river
Hank Williams - Honky tonk blues
Compro Oro - Rastapopoulos
Michael Jackson - P.Y.T. (Pretty Young Thing)
Unknown Mortal Orchestra - Layla
Natascha Rogers - Move Etchéké
Misha Panfilov & Shawn Lee - Voodoo You Love
Edmony Krater - Fò kontinyié goumé
Aretha Franklin - Save me
Brandee Younger - Dust (feat. Meshell N'degeocello)
Xavier De Maistre - Concerto en ré min : Adagio - pour harpe cordes et basse continure
Jeff Mailfert - Unknown love
Westerman - Help didn't help at all
Papooz - Baby girl
Blundetto - West Highland
Jethro Tull - Living in the past
"Julia, Julia - Corner town"
Louise Thiolon - L'amour ailleurs
Ben Chasny - Circular road
David Barretto - On Broadway
St. Paul & The Broken Bones - Wolf in rabbit clothes
Belle And Sebastian - If they're shooting at you
The Oscillators - Track suit
Kit Sebastian - Sinanay
James Brown - Cold sweat
Ray Charles - Wheel of fortune
Booker T. & the MG's - Sunny
Thomas Fersen - Les cravates
Strongboi - Flame
Daneshevskaya - Ice pigeon
Steamhammer - Fran and Dee take a ride
Sly & The Family Stone - Everyday people
Tunng - Sdc
Grand Blanc - Immensité
Toby Hay - At the bright hem of god
JP Nataf - La grande ourse
Sergio Mendes - Constant rain
Joao Donato Trio - Bananeira
Grizzly Bear - Two weeks
Beirut - A sunday smile
Yann Tiersen - L'autre valse d'Amélie
Richard Galliano - Valse n°10 en si min op 69 n°2 - arrangement pour accordéon
Lhasa - Floricanto
The Hot 8 Brass Band - What's my name ?
The Stance Brothers - Again
I M From Barcelona - Mingus
Molly Lewis - Silhouette
Domenique Dumont - People on sunday
Poom - Je bois (Poom cover)
Barry White - Rum and coke (Rum and coca-cola)
Tito Puente And His Orchestra - El mambo diablo
David Byrne - The cowboy mambo (hey lookit me now)
Marianne Feder - Toi mon indien
Randy Kerber & Jowee Omicil - Luxologie
The Polyphonic Spree - Section 50 (open the shores)
The Flaming Lips - Waitin' for a superman
Bo/Superman - Superman march (alternate)
Gil Scott Heron - Ain't no such thing as a superman
Freddie Gibbs & The Alchemist - Babies & Fools
Ambrose Akinmusire - Flux Fuelings
Bertrand Belin - Camarade
The Space Lady - Humdinger
Tom Ze - Doi
Avi Avital - Quatuor à cordes n°12 en Fa Maj op 96 B 179 (Américain) : Vivace ma non troppo  - arrangement pour mandoline accordéon et quatuor à cordes
Villagers - Rhythm composer
Rozi Plain - Complicated
Sylvain Daniel - School song
Minnie Riperton - Inside my love
"Christine And The Queens - Aimer, puis vivre"
Joe Armon-Jones & Maxwell Owin - Pedal bike
Joni Mitchell - At last
Dina Ogon - Mellan slagen
Benny Sings - Music
Little Barrie - Stones throw instrumental
Jimi Hendrix - Red house
Tinariwen - Nak idnizdjam
Urban Species - Listen (feat. MC Soolar)
The Bar Kays - Humpin
Billy Gardener - I got some
LA Priest - Silent
Black Sabbath - Planet caravan
Laurence-Anne - Tempête
Thundercat - Them changes
Mark Mothersbaugh - The Sims 2 : The sims 2 theme
Mathis Haug - Birthday cake
The Four King Cousins - Good day sunshine
Sugar Minott - Party Time
"Robert Mitchum - Matilda, Matilda"
Dizzy Gillespie - Days of wine and roses
Gilberto Gil - Samba do aviao
Kenny Nolan - You're so beautiful tonight
Michel Jonasz - Les wagonnets
The Blaxound - Rio Bravo
Worries And Other Plants - Olavarria
Omega Violet - Somnifère
The Cure - Three imaginary boys
The Offline - Jeanne et Alain
Erykah Badu - Woo
"Sarah Vaughan - Blue, green, grey and gone"
Charlotte Margiono - Lieder : Laue sommernacht / Pour voix et piano / Arrangement pour soprano et orchestre / Integrale
Anz - Decisions (am intro)
Avalon Emerson - Astrology poisoning
Yaya Bey - On the pisces moon
Greyhound - Moon river
Boby Lapointe - La maman des poissons
Patrick Doyle - Harry Potter et la coupe de feu : Hogwart's march
Dionne Warwick - What the world needs now is love
Tess Parks - Happy birthday forever
Robbi Curtice - Pick up the phone
Pan Ron - Don't speak
Chuck Mangione - Feels so good
Steve Eaton - Without you
Delbert Mc Clinton - Shot from the saddle
Billy Ray Cyrus - Achy breaky heart
Joe Hisaishi - Mon voisin Totoro : Catbus
Yumi Matsutoya - Rouge no dengon
Philippe Katerine - Mon coeur balance
San Proper - Catgroove
Bonobo - Days to come [Instrumental]
Adi Oasis - Multiply
Coolio - Gangsta's paradise
David Axelrod (Chef d'orchestre) - Go for it
Dolly Parton - Joshua
This Is The Kit - This is what you did
Lana Del Rey - Peppers (feat. Tommy Genesis)
Bacao Rhythm & Steel Band - Love$ick
Luidji - Joueur 1 (feat. Tuerie)
Leon Russell - A song for you
Tim Bernardes - Leve
Dub Shepherds - Water your seeds
Young Gun Silver Fox - Kids
Marlena Shaw - Rose Marie (Mon cherie)
Jacques Loussier - Fugue n°2 en ut min BWV 847
"Hazel Scott - Viens danser - extrait de """"""""Une balle dans le canon"""""""" (film)"
Justin Hurwitz - Another day of sun
Maurice El Medioni - Ouine rak
Decisive Pink - Dopamine
