Thomas Mayeras - Bluegaloo
Tom Ze - Amor do Rio
Green-House - Nocturnal Bloom
Cocteau Twins - Lazy calm
Lablue & Astronne - Sous la pluie
Spain - It's so true
Ennio Morricone - Ricardo Rosa
Sue Barker - Love to the people
Arlo Parks - Black dog
Daneshevskaya - Pink mold
Antonin - Caresse 2
Arthur Conley - Get yourself another fool
Exxtra - God
Louis De Funes - Dans mes godasses
Joshua Redman - Manhattan (feat. Peter Bernstein)
Salami Joe Rose Louis - Nostalgic Montage
Aretha Franklin - I say a little prayer
Still Pigeon - Tippy toes
You & The Explosion Band - Lupin III : Sunset flight
Bob Newman - Hangover boogie
"Amos Milburn - One scotch, one bourbon, one beer"
Ella Fitzgerald - Water To Drink (Agua de Beber)
The Rascals - A beautiful morning
Steven Osborne - Le tombeau de Couperin :  Rigaudon -  pour piano
Jane Birkin - Comic Strip
Faye Webster - Come to Atlanta
Helen Merrill - Someday My Prince Will Come To Me
Sinj Clarke - Departure
Holy Hive - This is my story
Daniel Caesar - Cyanide
Robert Finley - Livin out a suitcase
Session Victim - Soft landing
Hupla - Dead end
The Slits - Instant hit
Cherise - Elixir
Tom Caruana - Northern lights
Amanda Shires & Bobbie Nelson - Waltz across Texas
David Bowie - Golden years
De Flore - Météo astrale
Sitar Funk Group - Prem durga
Diners - Fifteen on a skateboard
Buffy Sainte-Marie - The Circle Game
Eddy Mitchell - Sur la route de memphis
Carrousel - Taxi brousse
Alicia Nafe - 7 chansons populaires espagnoles : Jota
Air - Californie
Bernard Chabert - Il part en californie (He moved to california)
Swindle - California (feat. Etta Bond & Kojey Radical)
Thomas Dybdahl - Intermission
Wilco - Summer teeth
Mark Ronson - Bird calling (feat. Damon Albarn & Wale)
Carta'P / Parental - MOM- Migraines of Milan (Instrumental)
Eliades Ochoa - Con dolor en el alma
Peggy Lee - The party's over
Ensemble De L'Orchestre De Chambre Anglais - Danse norvégienne en La Maj op 35 n°2 - pour flûte à bec et orchestre
Readymade FC - Dolphins
Marvin Gaye - Baby I need your loving (album version)
Joe Yorke - Zara
Gotts Street Park - Strawberry dream
Leonard Cohen - In My Secret Life
Alain Bashung - Suzanne
"Naim Amor And John Convertino - Tucson, Paris"
Bobby Goldsboro - Little Things
Howlin' Jaws - Healer
Ty Taylor - Cha cha twist
Henry Mancini - Moon river cha cha
Beth Carvalho - Com a vida que pediste a deus
Pauline Croze - Legere (souleve moi)
Tommy Guerrero - Through the mosaic
Kajagoogoo - Too shy
Mayer Hawthorne - Deeper vibration
Jean-Jacques Perrey - Frère Jacques
Chagrin D'Amour - Jacques a dit sic
Gilberto Gil - Maracatu atômico
Yaron Herman - Fragile
Nancy Harms - Prelude to a kiss
Philippe Jaroussky - Ecoutez la chanson bien douce - pour voix piano et quatuor à cordes
Mercury Rev - Opus 40
Pepper White - Ok alright
Black Pumas - Ice cream (pay phone)
Parviz - The Widow's Lament In Springtime (Radio Edit)
Jose Barrense Dias - Itapicuruassú
France Gall - Zozoi
Ural Thomas & The Pain - Apple pie (oh me oh my)
Amy Winehouse - You Know I'M No Good
Dj Nu-Mark & Pomo - Imagine
Sampha - Spirit 2.0
Hiroshi Sato - Say goodbye
Norah Jones - Say goodbye
Mikey Ras Starr - Got to say Love
John Barry - The girl with the sun in her hair
The Flamingos - I only have eyes for you
Francois And The Atlas Mountains - Grand dérèglement
Tinariwen - Cler achel
Misha Panfilov & Shawn Lee - Volkswagenesque
The Cars - My best friend's girl
Unknown Mortal Orchestra - Weekend run
Frank Ocean - Forrest gump
Freddie King - Manhole
Dolly Parton - Jolene
Kacey Musgraves & Ruston Kelly - To june this morning
Alex Burger - Du country dans le ravin
Jun Miyake - Lillies of the valley
Jay-Jay Johanson - Nde
Adi Oasis - Get it got it
Nujabes - Feather (Feat. Cise Starr & Akin from Cyne)
Boris Gardiner - Negril
War - Tobacco road
Loverman - Limbo (we'll meet again)
Louis-Jean Cormier - Croire en rien
Thomas Bangalter - Mythologies : 5. Les amazones
Etta James - Stormy weather
Pitou - Problems
Skinshape - After midnight
Wendy Rene - After laughter comes tears
Sababa 5 - Nasnusa (feat. Barak Cohen)
Jose Gonzales - La vie rêvée de Walter Mitty : Time & life
Hector Zazou - Stayin' alive
Sally Anne Morgan - The center
Matias Enaut - Danser sur l'eau
Molly Lewis - Cabana de mel
Lewis Evans - Home
Johnny Cash - Ring of fire
Nat Myers - Ramble no more
Armando Trovajoli - II commissario Pepe : Masquerade
Bertrand Burgalat - Sans accolades
Etta Jones - Someday my prince will come
Yebba - October sky
Hard Meat - Free wheel
Mavis Staples - Chained
Joe King - Glad I found you
Drugdealer - It's only raining right where you're standing
Adrian Younge - A symphony for sahara
BlauBird - Laisse moi rêver
Balthazar - Bunker
The Temptations - My girl
Kiefer - I mean that
Clark Terry - Que Sera
Tony Joe White - Boom boom
Hydroplane - Wurlitzer jukebox
Jian Wang - Pièces op 76 : Etude op 76 n°2 - arrangement pour guitare et violoncelle
Peter Von Poehl - Behind the Eight Ball
"Dekker - Tethered, wrapped around"
Hamid El Shaeri - Ayonha
Gentle Nature - Auras
The Strawberry Alarm Clock - Incense and peppermints
Phat Dat - Autotune the world
VV Brown - Philosophy
Klim Beats - Urban jazz
Robin Kester - Cat 13
Joe Cocker - Marjorine
Our Native Daughters - Black myself
Stein Urheim - Lamp
Oscar Isaac - Inside Llewyn Davis : The shoals of herring
Forever Pavot - La belle affaire
Lootpack - New years resolution
Jean Marais - Bonne année
Pickle Darling - In good health
"Lonnie Johnson - Happy new year, darling"
Staff Benda Bilili - Bonne année
Michigan & Smiley - Time to be happy
Monty Alexander - What's going on (wa'a gwan)
Bakar - Facts_situations
Joy Denalane - I believe
Kcidy - L'absolu
Aron Ottignon - Waterfalls
Neil Young & Crazy Horse - Tumblin' thru the years
Sun Ra Arkestra - Sometimes I'm happy
Dionne Warwick - I just don't know what to do with myself
Sunwook Kim - Sonate pour piano n°8 en ut min op 13 (Pathétique) : Rondo
Marino Marini - Guarda che luna
Shivaree - Goodnight moon
Chuck Berry - Jamaica moon
D2x - Waves & moonlights
Joe Hisaishi - Mon voisin Totoro : Moonlight flight
Mackenzie Leighton - Miyazaki
Frank Ocean - Sierra leone
Los Invasores - El raton
Elvis Presley - Viva Las Vegas
Charles Mingus - Tijuana Gift Shop
Hollie Cook - Milk and honey
Mac Demarco - One more love song
Kiledjian - Nioloti (La Nuit) (feat. Cindy Pooch)
Philip Glass - Ouverture
Keren Ann - Sur le fil
David Bowie - Modern love
Anderson .Paak - King James
Slowfest Orchestra - Dentifrice
Danger Mouse & Black Thought - No Gold Teeth
Eliades Ochoa (Chef d'orchestre) - Que se me caigan los dientes
Henri Salvador - Blouse du dentiste
Ron Sexsmith - Winery blues
Ennio Morricone - Una voce allo specchio (reprise)
Ana Frango Eletrico - Camelo azul
Arny Margret - Spring
Beyonce - Hold up
Duster - Before the veil
Devendra Banhart - Little boys
Mai Yamane - Don't bother none
Theo Lawrence - Sweet candy love
Azmari - Hadashi
Roberta Flack & Donny Hathaway - Where is the love
Miranda Joan - Circle
Keyon Harrold - Peace beyond
Ratatat - Bustelo
Honey For Petzi - Infini
"Belle And Sebastian - Get Me Away from Here, I'm Dying"
Astrel K - Maybe it all comes at once
Super Yamba Band - Last leap
Labelle - Lady marmalade
Azekel - Just expectationz (feat. ivy sole)
Lord Apex - Mise en scène
Aswad - Red up
Serge Gainsbourg - New York - Usa
Chris Garneau - Millions
Nat Myers - Trixin’
Cyro Delvizio - 12 Etudes pour guitare : 6. Assai vivo
Gerardo Rosales - Londres cha cha
Kira Chao - Marmelada
Ceu - Vira lata
Yin Yin - The year of the rabbit
Sly & The Family Stone - Hot fun in the summertime
Meernaa - On my line
Zoo Baby - Paralysie du sommeil
Angels Of Libra - Ganimed
Adult Mom - Sober
Kevin Morby - Aboard my train
Arnaud Rebotini (Compositeur) - L'ile rouge variation
Nat King Cole - L-o-v-e (Japanese version)
Matt Costa - So I say goodbye
Moondog - Dog trot
Andrea Laszlo De Simone - I nostri giorni
Leo Ferre - Il patinait merveilleusement
Forever Pavot - Roller 2
Nick Cave & The Bad Seeds - Red right hand
Vera Sola - Desire path
Elliott Smith - Tomorrow tomorrow
Tuatara - She dreams of snow
Tom Ze - Lá vem a onda
Kokoroko - Carry me home (radio edit)
France Gall - Nefertiti
"Kronos Quartet - Ya habibi ta'ala (my love, come quickly)"
Cleo Sol - Gold
Minnie Riperton - Light my fire
Adrian Quesada - Turk’s cap
Dolly Parton - Joshua
Eddy Mitchell - Quand je te vois
Johnny Weismuller - Cri de Tarzan
"The Intruders - Me tarzan, you Jane"
Eydis Evensen - Bylur
Bill Ryder-Jones - How beautiful I am
Wu Tang Clan - C.r.e.a.m.
Professor Longhair - Big chief
Dr. John - Kingdom of izzness
Vv Brown - Just be good to me
Teme Tan - Pancake
Romeo Elvis - Chocolat
Giuliano Sorgini - Curiosita'
10 CC - Honeymoon with b troop
Feist - Inside And Out
Any Other - Awful thread
Gautier Capucon - 5 stucke im volkston op 102 : Mit humor
Czesare - Regards
Lhasa - Por eso me quedo
Los Piranas - Palermo's Grunch
Paul Revere & The Raiders - Once upon a time in Hollywood : Good thing
Boris Boublil-Mu - Super star
"Kerbside Collection - New day, new year"
Lightnin Hopkins - Happy New Year
Jeff Buckley - New year's prayer
Neneh Cherry - Move with me
Minais B - Off-Brand M&M's
Timmy Thomas - Sexy woman
The Temptations - My girl
Canari - Rangi hotel
Allah-Las - Roco ono
Roy Ayers - Synchronize vibration
Letta Mbulu - Normalizo
Sade - The sweetest taboo
Bonga - Mu nhango
The Orchid - Des bouteilles à la mer
San Proper - Buck wild
Channel Tres - Walked In The Room
Magic Source - Superglider
Robert Palmer - Every kinda people
Natalia Lafourcade - El lugar correcto
Katy Kirby - Party of the century
John Williams (Chef d'orchestre) - Theme From Jurassic park
The Jacksons - This place hotel
Romanthony - Bring U up
Rowl - Dragon Fly
Sampha - Spirit 2.0
Nina Simone - Here comes the sun
Margo Guryan - Sun
Brigitte Bardot - Nue au soleil
The Ironsides - Ligurian dream
Melodiesinfonie - Life is easy (feat. Claudi Isaki)
Morcheeba - Trigger hippie
Baden Powell - Berimbau
Andrea Bissoli - Floresta do Amazonas : Veleiros - version pour soprano et 2 guitares acoustiques
Bernard Lavilliers - Fensh vallée
Kayyak - Monchhof amour (feat. Xenia Lasareva) (radio version)
Emancipator & 9 Theory - Pharaoh dunes
Portishead - Wandering star
Isaac Hayes - Medley: Ike's rap II
The Soulful Strings - What now my love
"Hazel Scott - Viens danser - extrait de """"""""Une balle dans le canon"""""""" (film)"
Roberto Fonseca - Cuando Tú Bailas Pa Mi
Criolo - Subirusdoistiozin
"Pete Rock - Hop, skip & jump"
Tea Eater - Obsession
Siouxsie & The Banshees - Dear Prudence
Moody - While my guitar gently weeps
Control Alt Supp - I sometimes know
Brick - Dazz
Reuben Vaun Smith - Mintaka
Antoine Villoutreix - La falaise
Johnny Cash - Redemption day
Trio Beethoven De Ravensbourg - Trio avec piano en si bémol min op 5 : 2. Ritornell
Ella Fitzgerald - Just one of those things
Acantha Lang - It's gonna be alright
Supergrass - Alright
The Reekers - Don't call me flyface
Rita Lee - Tiroleite
Sleepindogs - Stardawgs
Iogi - Out of fuel
Le Migou - Ennio
Ennio Morricone - Le foto proibite di una signora per bene
Jeanne Moreau - Les voyages
Fixi & Lindigo - Le vin
Fulanito - El padrino
The Last Poets - On the subway
Non Identifie - Street musicians : Bongo boys
Harry Belafonte - John Henry
Meskerem Mees - Cod liver oil and orange juice
Kaiser Quartet - Chase
Nat King Cole - Tenderly
Laufey - Haunted
Dawa Salfati - Paris
Tutankhamun - New year's resolution
Joe Yorke - Man
Benny Sings - Here it comes
BEYONCE KNOWLES - Work it out
Bloom Bat - Mugen & Jin
The Texas Gentlemen - Gone
Rudy Grayzell - Day By Day
Arno - Ils Ont Changé Ma Chanson
Bo/Chat Noir Chat Blanc - Bubamara (Sunflower)
Hot 8 Brass Band - Sweetest Taboo
Butcher Brown - I can say to you (feat. Vanisha Gould)
Parcels - Yourfault
Clair - Quand je chante
Vulfmon - Never can say goodbye (feat. David T. Walker & Solomon Dorsey)
Van Morrison - Domino
Diogo Ramos - Gamela
Jim Carrey - Cuban pete (arkin movie mix)
Art Blakey - Blues march
The Merritonians - No one after six
El Michels Affair Meets Liam Bailey - Walk with me
Amy Winehouse - Just Friends
Wim Van Hasselt - Sound the trumpet - arrangement pour trompette trombone et basse continue
Dionne Warwick - I'll Never Fall In Love Again
Voyou - Il neige
Laura Marling - Goodbye england (covered in snow)
Ambrose Akinmusire - Weighted corners
Arif Mirbaghi - Gestures of light
EABS Meets Jaubi - Sun
Salah Ragab And The Cairo Jazz Band - A tribute to Sun Ra
Jaimie Branch - Borealis dancing
Daniel Villarreal - Sunset cliffs
Carlos Garnett - Black Love
Pharoah Sanders - Love will find a way
Ancient Infinity Orchestra - Rejoicing
Flash Pig - In the mood for love
Abdullah Ibrahim - Mindif
Malombo Jazz Makers - Lullaby for angels
Lou Rawls & Les McCann - Willow weep for me
Jay Z - Hard knock life (the ghetto anthem)
Gil Scott Heron - Inner city blues (Poem : The siege of new orleans)
Dressel Amorosi - Blitz
Teleman - Easy now I've got you
Forever Pavot - Nos vélos sous la pluie
The Who - Magic bus
Shannon & The Clams - It's gonna go away
La Sonora Mazuren - Cachicha
Black Roots - Stuck pon waff
Claude Morgan - Le sherif qui danse
Ly Sander - Under the moonlight (feat. Matt Bessa) (long version)
Bella Brown & The Jealous Lovers - Soul clap (radio edit)
The Doors - Moonlight drive
David McCallum - The far side of the moon
Hindi Zahra - Beautiful tango (unplugged session)
Alumine Guerrero & Yeahman - Canción para la muerte
Dayme Arocena - Mambo na' mà
Ronny Peller Satin Sound - Coming home baby
Armando Trovaioli - La famiglia Benvenuti : F.M.B. shake
Nino Ferrer - Mirza Ambiance
Haiku D Etat - Dogs
Harvey Sutherland - Feeling of love (feat. DaM-FunK)
Balm - Strange flower
Sababa 5 - Barbara
Jimi Hendrix - Burning of the midnight lamp
Big Maybelle - Ocean of tears
Norman Palm - Boys don't cry
Jon Batiste - Cry
Emmanuelle Swiercz Lamoure - Valse n°5 en La bémol Maj op 42 - pour piano
Albin De La Simone - Les chiens sans langue
Cheo Feliciano - El raton
Ben & The Platano Group - Paris soul
Bella Brown & The Jealous Lovers - Soul clap (radio edit)
Unlisted Fanatic - Blackman
Michael Kiwanuka - Black man in a white world
Thom Yorke - Black swan
Grandmaster Flash - White lines (don't don't do it) (feat. Melle Mel)
The Strangers - Movin'
Marcoca - Road to laguna
Cc Adcock - Stealin' all day
Deep Purple - Lalena
Marianne Faithfull - She moved through the fair
Yehudi Menuhin - Prabhati (Raga Gunkali) - pour violon tabla 2 luths et sitar
Don Leisure & Amanda Whiting - The first chant
Melonyx - Energy (Zero T remix)
Espen Horne - La psychosomnie
Ennio Morricone - Scherzi a parte
Toots Thielemans - One morning in Rome
Supertramp - School
Les Cowboys Fringants - Les Etoiles Filantes
Los Compadres - Macusa
Grand Hotel - L'Aventure Degiheugi Remix
Resavoir - Sunday morning (feat. Elton Aura & Whitney)
The Bee Gees - How Deep Is Your Love
R.Wan - Quand on est riche
Marcos Valle - Dorme profundo
Al Green - I'm so lonesome I could cry
Alex Van Pelt - Breath in breath out
"Coconut - Wild Coast (de l'EP """"""""In the end"""""""")"
Ugo Del Rosso - Liberté
Louis Armstrong - This train
Francesco Bearzatti Tinissima 4et - Long train running
Jaqee - Take the train
Ariane Moffatt - Montréal
Hayden Besswood - Spin out
CATT - Automatic stop
Bon Cœur - Les jours d'après
Scala & Kolacny Brothers - Creep
Antonio Carlos Jobim - Chega De Saudade
Gregory Porter - What are you doing new years eve ? (feat. Samara Joy)
"Willie Mitchell - Mercy, mercy, mercy"
Johnny Nash - Ooh baby you've been good to me (Album version)
Laventure - I thought I knew
Matias Enaut - DD D
Blue Lab Beats - Great lemon (interlude)
Ceu - Comadi
JJ Cale - I got the same old blues
Tutankhamun - Big foot
Savarit - Desert sun
Henri Salvador - Il fait dimanche
Gilberto Gil - Domingou
Finley Quaye - Sunday shining
Liam Bailey - Ugly truth
Orchestra Baobab - Souleymane
Jenny Lewis - Joy'All
Charles Trenet - Dimanche prochain
Jack Kerouac - Ain't we got fun
Saturne - Télesto
Curtis Mayfield - Give me your love
Yanti Bersaudara - Gumbira
Sampha - Inclination compass
Quilapayun - De mille murmures - pour violon et piano
Jeanne Moreau - Le blues indolent
Sen Morimoto - Deeper
Geese - Space race
Holy Hive - Green milk
Mark Berube - Ethiopia
The Seekers - California dreamin'
Cesaria Evora - Besame Mucho (Bonus Track)
Andre Reweliotty - Les enfants s'ennuient le dimanche
D Angelo - Betray my heart
Lucette Raillat - Mon dimanche à moi
Moonchild - The List (Acoustic)
The Offline - Cap de l'Homy
Marcoca - Magic drips
Lizette & Quevin - Grow forever
War - Spill the wine
Wroblewski Jazz Quintet - Nana imboro
Gorillaz - Rock the house
Etta James - I got you babe
Bebel Gilberto - Chica chica boom chic
Pascal Roge - Scaramouche op 165b : 3. Brazileira
"Le Couleur - Moderne, transgressive et excessive"
Scala - Fuser
VV Brown - Swallowing my pride
Kamaal Williams - Little river
Bonnie Dobson - Good morning rain
Charlie Byrd - Spanish guitar blues
Francois De Roubaix - Les strip-teaseuses : Le roi du yéyé
Georgie Fame & The Blue Flames - Yeh Yeh
Foxy Brown - Oh yeah (feat Spragga Benz)
The Stance Brothers - Dam Reyes
Leila Pinheiro - O fundo
Sade - Paradise
Dub Shepherds - Dirty side of town (feat. Jolly Joseph)
Breakestra - You'll never know
Rotary Connection - The weight
Orchestre Symphonique De La Radio De Leipzig - Missa brevis en Sol Maj K 140 (Pastoralmesse) : 3. Credo
Le Superhomard - September 9
Meskerem Mees - Best friend
James Taylor - You've got a friend
Joshua Redman - You've got a friend in me
Courir Les Rues - Mon ami
The Sextones - Your love shines golden
Takeshi Terauchi - Ginza no onna
Dengue Fever - Silver fish
Kim Wilde - Cambodia
Felbm - Birkach
Steven Bamidele - Throw it all away!
Prince - The future
Bobby Valentin - Batmans bugaloo
Erroll Garner - Watermelon man
Rachael & Vilray - Go on shining (feat. Jon Batiste)
Sandrine Piau - Nuit d'etoiles L 4
Luke Anger - Childish eyes
Adi Oasis - Red to violet
Jimmy Cliff - The harder they come
Rudy De Anda - Miel
Hubert Kah - Rosemarie
Shawn Lee - Mr. Maestro
Eddie 9V - I'm lonely
Smokey Robinson - Cruisin
Julian Lage - Everything helps
Czesare - La lune
Jeff Buckley - Hallelujah
Orchestre De Chambre Anglais - Simple symphony op 4 : Playful pizzicato - pour orchestre à cordes
Barbara Lynn - You'lllose a good thing
Willie Colon - Ausencia
Black Pumas - Chronicles of a diamond
The Wiseguys - Too easy
Empress Chai - Piece of mind
Jacques Higelin - La ballade de chez Tao
Jerry Reed - Wayfaring stranger
Theo Champion - Trouble ahead
Lonnie Liston Smith - Expansions
Oko Ebombo - Nalingi yo
Steve Shehan - Free horizons
Mark Hollis - The Gift
Troublemakers - God bless billie
Yusef Lateef - Juba juba
Miguel Atwood-Ferguson - Datsuzoku
Mark Padmore - The Creation HOB XXI : 2 : In rosy mantle appears (3ème partie) Récitatif d'Uriel
Shirley Hurt - Problem child
Bjork - Mother heroic
Blanka - Childhood
Roni Kaspi - Why does
Q-Tip - Gettin' up
J Dilla - Rico suave bossa nova
Emilio Santiago - Nega dina
Pierre Barouh - Vivre
Damien Jurado - Life away from the garden
Bibio - Quantock
Loverman - Would (Right In Front Of Your Eyes)
Jazztick - Main Theme (From Animal Crossing New Horizons )
Blossom Dearie - Our Love is Here to stay
Betty Wright - Pure love
Adina Edwards - Talk about love
Patsy Cline - Walkin' after midnight
Juicebox - Love beads
Lee Fields - Moonlight mile
Pale Jay - By the lake
Elsa Kopf - Tout ce dont je me souviens
Andreas Scholl - Im Haine op 56 n°3 D 738 - pour haute-contre et piano
Kazam - Momentum
Men I Trust - Hard to Let Go
Nina Simone - Trouble in mind
Martha High - I can't hold on
Jonathon Hansen - What its meant to me
Compro Oro - Baobab
Mild High Club - Head out
The Beatles - I'm only sleeping
Michel Polnareff - Sous quelle étoile suis-je né ?
Theo Champion - Haven't you heard the news
Monster Rally - Qué Linda
Makoto Kubota & The Sunset Gang - Moonlight hula
Dobby Dobson - (I'm a) loving pauper
Melanie - Brand new key
Roger Miller - You can't roller skate in a buffalo herd (single version)
Tommy Guerrero - El bandito
Baxter Dury - Celebrate me
