Omar Khorshid - Habibati
Daft Punk - Teachers
JENO JANDO - JENO JANDO / BAGATELLE N°25 EN LA MIN WOO 59 A ELISE
Oxmo Puccino - Lettre aux instituteurs
Powfu - Stay4ever
Vampire Weekend - Campus
The Police - Don't stand so close to me
Branko Galoic - Flâneur
Elliott Smith - Good will hunting : Say yes
Klassy - Redirect
Shirley Ellis - The clapping song
Jan & Dean - White tennis sneakers
Frank Zappa - Night school
Joe Dassin - Le jardin du luxembourg
Bassekou Kouyate & Ngoni Ba - Jama ko
Bassekou Kouyate & Ngoni Ba - Jama ko
Lee Fields & The Expressions - Will I get off easy
Dub Shepherds - Dirty side of town (feat. Jolly Joseph)
People Under The Stairs - Tales of kidd drunkadelic
DJ Harrison - Ebony moonbeams
Prince - Annie Christian
Charanjit Singh - Raga bhairav
Frank Ocean - Lost
Moon Duo - In a cloud
Lou Reed - Perfect day
Todd Terje - Johnny and Mary (feat. Bryan Ferry)
Mazzy Star - Fade into you
Flavien Berger - Mars balnéaire
JB Dunckel - Coeur volant
Amy Winehouse - Me & Mr Jones
Skalpel - Long Distance Call
Baxter Dury - Slumlord
Yael Naim - New soul
Feist - Hiding out in the open
Bo/Jour De Fete - Jour de fête : Chanson des forains
Celia Cruz - Fiesta de navidad
Louis Chedid - Ce soir c'est noël
Papooz - Don't you think it'd be nice ?
Dire Straits - Water Of Love
Jorge Ben - Fio maravilha
Bruno Berle - Te amar eterno
Erykah Badu - Certainly
Sylvia Striplin - You can't turn me away
The Lewis Express - Clap Your Hands
Mister Modo And Ugly Mac Beer - Clapin
David Walters - Gimme love (feat. K.O.G)
Kassav - Love and ka dance
Mork - Astral visions
Nancy Sinatra - Bang bang (my baby shot me down)
Immaterial Possession - See through stares
Vanishing Twin - Telescope
Paul Desmond - Take ten
Johnny Hartman - The day the world stopped turning
Flight Of The Conchords - Foux du Fafa
Rosalia De Souza - Luiza manequim
Da Lata - Beija Flor
Portishead - Mysterons
The Undisputed Truth - You make your own heaven and hell right here on earth
Summer Pearl - Green Eyes
Allen Toussaint - St James Infirmary
Alain Bashung - Vertige de l'amour
Passion Theatre - Vacation day
Kai Alce - Late night submersion (feat. Byron the aquarius)
Nina Simone - See-Line woman
Rozi Plain - Best team
Khruangbin - Three from two
Boubacar Traore - Mali twist
Childish Gambino - This is America
Baroto - Blossom
Donny Hathaway - The Ghetto
Hortense Ellis - Woman of the ghetto
Vin Gordon - Red blood
Mildlife - Sunrise
Terrain Vague - Contact
Vladimir Ashkenazy - Prélude pour piano en ut dièse min op 3 n°2
Bill Withers - Lean on me
Faith No More - Easy
Thee Sinseers - It s such a shame
The Ironsides - Changing light
Andrea Laszlo De Simone - Immensità
Righteous Brothers - Unchained melody
Janis Joplin - Cry baby
Veronique Sanson - Les délices d'hollywood
Medeski Martin And Wood - Bubblehouse
Emma-Jean Thackray - Golden green
Roge - Existe uma voz
Cousin Kula - Good feelin'
Erika De Casier - Ice
Shay Hazan - Shimo kitazawa
Perilymph - Les yeux
Irvine Weldon - Sinbad : Music is the key
The Doors - The ghost song (bonus track)
Fela Kuti - Yellow fever (Edit)
Tony Allen - Ebun
Kokoroko - We give thanks
DJ Harrison - IGY
Stevie Wonder - Master blaster (Jammin')
Billy Cobham - Crosswind
ZZ Top - Nasty dogs and funky kings
The Dandy Warhols - I'd like to help you with your problem
The Liminanas & Laurent Garnier - Au début c'était le début (feat. Bertrand Belin)
Baron Retif & Concepcion Perez - On fait comment
Emanuel Harrold - Mr. Brew (Instrumental)
Oan Kim & The Dirty Jazz - Slow redux
"Laurent Bardainne & Tigre D’eau Douce - Luxe, calme et volupté"
Isabelle Aubret - Vous qui passez sans me voir
Cochemea - Al-Mutasim
Harry Belafonte - John Henry
Hawaiian Pistoleros - Mystery train
Weather Report - Birdland
Betty Harris - Mean man
The Salmon - Enough is enough
Jonathan Wilson - Platform
La Ritirata - Quatuor à cordes n°2 en La Maj : Menuet - pour deux violons alto et violoncelle
Moriarty - La Habanera
Kay Starr - It's a good day
Benjamin Clementine - Nemesis (radio edit)
Lorna Bennett - Chapel of love
Peter Herbolzheimer - These boots are made for walking
Ry Cooder & Corridos Famosos - Wooly Bully
Jess Sah Bi & Peter One - African chant
Alain Souchon - Le zèbre
Sosa Mercedes - Que he sacado con quererte
Guillaume Juhel - Place des fêtes
Laufey - While you were sleeping
Rebecka Tornqvist & Johan Lindstrom - From here (feat. M.Ward)
Mocky - You can' t rush the funk
Earth Wind & Fire - Help somebody
Groupe Minzoto Ya Zai¨re - Mfuur ma
Renaud Garcia Fons - Aljamaido
Sophia Charai - Mêle ta langue
Michael Franti - Speaking of tongues
Elvis Costello And The Roots - Stick out your tongue
Janko Nilovic - Push push
The Beatles - Back in the U.S.S.R.
Gilbert Becaud - Nathalie
Regis Pasquier - Valse-scherzo en Ut Maj op 34
Aretha Franklin - God Bless The Child
Fruit Distro Collective - Love says I am everything
La Luz - Close your eyes
The Who - Happy Jack
Les Lionceaux - Mon obsession me poursuit
Céu - Arrastarte - Ei
Exploding Pig - Bob Marley had a shooting range
My Brightest Diamond - Feeling good
Bryony Jarman Pinto - Saffron yellow
The Zombies - She's not there (stereo version)
The Ventures - Walk don't run
Lisa Leblanc - Chanson d'une rouspéteuse
Aysay - Sen Kimsin
Danger Doom - Old school (feat. Talib Kweli)
Arms And Sleepers - thru & true
Laurie Anderson & Kronos Quartet - Riding bicycles through the Muddy streets
Roy Orbison - Evergreen
Irma Thomas - Time is on my side
Donna Blue - Harmony of spheres
Buck Clayton - Tous les garçons et les filles
Francoise Hardy - Oh oh cheri
The Harlem Gospel Travelers - We don't love enough
Emily Saunders - Sideways (Instrumental)
Agnes Nunes - Cartas de amor
De Phazz - Happiness
Nathan Milstein - Consolation en Ré bémol Maj S 172 n°3 - arrangement pour violon et piano
Buggles - Video killed the radio star
Prep - Only love
Alaaska - Music for pool
Stevie Wonder - The party at the beach
Les Mouettes - Vers la mer
Kobo Town - Waiting by the sea
Carl Harvey - Breezing
Heavy D - This is your night
Manila Haze - Strangers in the bay
Bloom Bat - Among the flowers
Graham Reynolds - Before midnight : Captain Nina
Jim Croce - Operator (That's not the way it feels)
Les Gypsys - Prolétaire
Speedometer - Work it out
Waltel Branco - Lady Samba
Ly Sander - Lay Down
Martina Dasilva - Take a picture of the moon
Koen Plaetinck - Musette en Ré Maj BWV Anh 126
Rita & The Tiaras - Gone with the wind is my love
XTC - Day in day out
Annie Taylor - Ride high
Roger Webb - Incantation
Radiomatic - Femme femme
Sreya & Cilon - Quem é você ?
Rjd2 - Ghostwriter
James Brown - It's a man's man's man's world
The Libertines - Shiver
Lenny De Luca - Lhiks
Aloe Blacc - Song 2
Alexandre Delano - Les radios françaises
Galactic - Goose grease
Fleetwood Mac - Sugar daddy
Sven Wunder - Hanami
Tonpei Hidari - Tonpei no hey you blues
Henri Salvador - L'amour va ça va
Gang Of Four - Is it love
Alberta - Juste tous les deux
Metronomy - My love (feat. Nourished by Time)
Liam Bailey - Please love me
Bettye Lavette - Heart of gold
Mattic - A Mirrors Love
Rubel - Forró violento (instrumental)
Les Petits Chanteurs Du Rock - Aquarela
The Divine Comedy - Queuejumper
The Lemon Twigs - No one holds you (Closer than the one you haven't met)
Walter Carlos - 9ème symphonie extrait 2ème mouvement
Madison McFerrin - OMW (Pachyman remix)
The Stance Brothers - Deeper tones
K.O.G - Foriwah (feat. Ogunskele)
Daniel Britt - Auditor
The Stranglers - Golden brown
Broadcast - The book lovers
Jules & Jo - Coussin péteur
JD McPherson - Shy boy
Blacklites - BL movement
Otis Redding - Shake
Sam Redmore - What would you do? (feat. Lumi HD)
Nitin Sawhney - Be who you are (feat. Natacha Atlas)
Sababa 5 - Rosenzweig
Motel Club - Danica
Johnny Ray - Just walking in a fountain
Marlene Dietrich - No love no nothin'
Marc Falcone - Moment musical en fa min Op 94 nº3 D 780 nº3
Bernard Wright - Haboglabotribin'
Seafood Sam - Bullets from a butterfly
Naima Quartet - One or two
The Tango Saloon - Transylvania
Boby Lapointe - L'hélicon
Beirut - Santa Fe
Mork - Towards the sun
Peter Cat Recording Co - People never change
Funkindustry & Clair - Etretat
Weldon Irvine - Morning sunrise
Bb Seaton - Rainbow love
Gerry Mulligan Quartet - Walkin' shoes
Jamie Cullum - Back To The Ground
Allysha Joy - Nothing To Prove
Justin Hurwitz - Babylon : Kinescope erhu (Orientally yours)
Andrew Bird & Jimbo Mathus - Beat still my heart
Scrima David - C bi1 fé
Johnny Cash - Big River
Jean Shepard - I didn't know the gun was loaded
"Dizzy Gillespie - Bang, bang"
Romain Leleu Sextet - West Side Story : America - arrangement pour trompette et quintette à cordes
Patricia Carli - Le roseau et la rivière
Laufey - Bewitched
Nat King Cole - Smile
Tamasene - Beaches
Antoine Pesle - Out
Aaron Taylor - I think I love you again
Mike L'Inspi - Phénomène
Thundercat - For love I come
Khruangbin - A love international
Oscar Brown Jr - Gang bang
Getenesh Kebret - Ene yalant feker
Tenorio Jr. - Nebulosa
Guts - Bougé bagay la
Zoufris Maracas - Un gamin
Don Cavalli - Me and my baby
Don Vappie & Jazz Creole - Port Bayou St. John
Van Morrison - Brown eyed girl
The Pioneers - Sha la la
The Teskey Brothers - Let me let you down
Off Swing Quintet & Samy Daussat - Meditation
Mireille - Couchés dans le foin
Clora Bryant - Makin' whoopee
"Sam Wilkes, Craig Weinrib & Dylan Day - Too young to go steady"
Moses Sumney - Love's refrain
Claude Nougaro - Harlem
Ossie All-Stars - Brooklyn style
Granmaster Caz - South Bronx subway rap
Leonard Cohen - First we take Manhattan
Coco Bryce - Running away towards me
The Flaming Lips - Yoshimi Battles the Pink Robots pt.1
The Strokes - Ask Me Anything
Elias Rahbani - Always in my heart
Rachid Taha - Ecoute moi Camarade
Arooj Aftab - Raat ki rani
Camille Thomas - Prélude en Fa dièse Maj op 28 n°13 - arrangement pour 4 violoncelles
Louis Cole - They find you
Elza Soares - Coração do mar
Pale Jay - Spend more time with your friends
Air - Casanova 70
R.E.M. - Suspicion
Ensemble Agave - Taedet animam meam
Alexandre Desplat - Mr. Moustafa
Juliette Greco - On n'oublie rien
"Joanna Newsom - Peach, plum, pear"
Chico Buarque - Rotativa
Fabiano Do Nascimento & Sam Gendel - Capricho
XTC - War dance
War - Low rider
De La Soul - Potholes in my lawn
Peel Dream Magazine - Reiki
Laura Cahen - Quitter la Ville
Black Voices - Rivers of babylon
Mourning (a) Blkstar - Junee
The Quincey - Ritornerà
Minnie Riperton - Reasons
Witch - Introduction and in the past : Mashed potato
Patti Smith - Redondo beach
Tommy McCook - Jamaica bolero
Nancy Holloway - Je suis bien
Duval Timothy - Look
Elsy Wameyo - Sulwe
Lexicon - Makin music (instrumental)
Emma-Jean Thackray - Movementt
Suuns - Baseline
The Who - Baba o'riley
Feenjon Group - Frangosiriani
Cindy Lee - Diamond jubilee
Howard Neal - Disco fever
Juniore - Méditerranée
The Ironsides - A return from ashes
Fairuz - Indi thika fik
Silas Short - Cloudy june
Maxwell Owin - Probably never (feat.Joe Armon Jones)
Gregoire Jokic - Blue summer
Marine Quemere - Ektachrome
Busta Rhymes - Hot shit makin' ya bounce
Jimi Hendrix - All along the watch tower
Bembeya Jazz National - Petit Sékou
Ari Tsugi - Haru
Greenflow - I got'cha
Ann Sorel - La poupée des favella
Piero Umiliani - La fille à la peau de lune : Mahè
Remi Wolf - Woo! (Panda Bear Remix)
Astrel K - Darkness at noon
Kiefer - Thinking of you
Ray Charles - I can't stop loving you
Shirley Scott & The Soul Saxes - I wish i knew how it would feel to be free
Marcus King - Me or Tennessee
Rubel - As palavras (feat. Tim Bernardes)
Francoiz Breut - Crever l'asphalte
Skeletons - Over the bridge
Anthony Joseph And The Spasm Band - Robberman
"Jaco Pastorius - Come on, come over"
Abeti Et Les Redoutables - Musique tshiluba
Francis Bebey - Agatha
Vampire Weekend - Cape cod kwassa kwassa
Nilufer Yanya - Like I say (I runaway)
Bedouin Soundclash - When we're gone
Chancha Via Circuito - Coroico
Glass Animals - Hazey
Sebastien Tellier - Roche
Gil Scott Heron - Home
Erik Truffaz - Trippin' the lovelight fantastic
Gary Bartz - Day By Day
Cypress Hill - When the shit goes down
Outlaw Blues Band - Deep gully
The Rolling Stones - Soul survivor
Ponta Preta - I've been lonely
Dave Guy - The green door
Limousine - The limousine blues (feat. Amber Burgoyne)
Enchantee Julia - Sois pas pressé
Yannis & The Yaw - Rain can't reach us
Cousin Kula - Staying with you
Bacao Rhythm & Steel Band - Love for the sake of dub
Quantic & Nidia Gongora - Amor en Francia
Joe Yorke - Man
Jan Lundgren & Yamandu Costa - Diplomata
Radicants - Sené (ft. Emile Parisien)
Hugh Coltman - Rainy summer holiday
Kurtis Li - Fade Away
Clement Kasili - Partir pour rester
Atse Tewodros Project - Saba
Nomade Orquestra - Mariposa tigre
Maynard Ferguson - Spinning wheel
Brecker Brothers - Scrunch
Valia Calda - Back home
Sarah Vaughan - My favorite things
Kinkajous - In the void of all things
Ashley Henry - Fly away (feat. Aja Monet)
Jazzbois - Shangri la
Mendes Sergio & Brasil '66 - Watch what happens (récit de Cassard)
Shay Hazan - Sunflowers (feat. Nitai Hershkovits)
Billie Eilish - Billie Bossa Nova
The Dynamites - (It's a) sunny day
Kool & The Gang - Hollywood swinging
Jaze Baqti - Galactic bud
Max Romeo - Wet dream
Ondatropica - Hummingbird
Michael Rault - Neither love nor money
Shawn Lee's Ping Pong Orchestra - Jungle soul (Ping Pong Orchestra version)
The Turtles - Elenore
Czesare - Czesare
Ben Harper - Gold to me
Matthieu Beck - Tokyo Montana
Maxwell Farrington & Le Superhomard - North pole
Great Lake Swimmers - Promise of spring
Beth Gibbons - For Sale
Living Strings - The time for love (Is any time) (theme from Cactus flower)
La Maison Tellier - Copie carbone
Al Green - Let's stay together
Liam Bailey - Dance with me
Trioritat - Krustikal
The Devil Makes Three - Beneath the piano
"Jacques Dutronc - Fais pas çi, fais pas ça"
Vera Sola - Is that you?
Cosmic Analog Ensemble - Stereogrammes
King Krule - Whaleshark
Alex Izenberg - Egyptian Cadillac (single mix)
Wolfgang Valbrun - Keep your head up
Eric Burdon - Nights in white satin I
Captain Planet - Loose Wires (feat. El Din)
Camelia Jordana - SOS Méditerranée
Priscila Tossan - Vida
Oxmo Puccino - 365 Jours
Vin's Da Cuero - Wings
The Temptations - Cloud nine
Kenneth John Gilmore - Anina
Ike White - Comin' home
Rene Aubry - Night club
Bachar Mar Khalife & Christophe - Jnoun
Beach Fossils - Feel so high
Pip Millett - Yes you can
Wax Tailor - Dusk to dusk (instrumental version)
"Dawn Penn - You don't love me(no, no, no) (extended mix)"
Kendra Morris - Nine lives
Kid Loco - Come again (feat. Lex Amor)
Shawn Lee - Greg's theme
Munya - Caramel (Mon coeur s'ouvre à toi)
Hugh Coltman - THE JUMPER
Wagner Almeida - Férias
Hermanos Gutierrez - Luz y sombra
Céu - Varanda suspensa
Mylene Farmer - Maman a tort
Midlake - Antiphon
Dirg Gerner - Bumpy ride (feat. Theo Croker)
Dinner Party - Answered prayer
Emil Gilels - 7 Fantaisies pour piano op 116 : 1. Capriccio en ré min. Presto energico
Vernis Rouge - Funambules
Lou Reed - Satellite of love
Edoardo Florio Di Grazia - Chiedo scusa
Boom Pam - Uniton
Bachar Mar Khalife - Madonna
MGMT - I wish I was joking
Satellite Jockey - Tu ne sais plus
Stringtronics - Dawn mists
Andrea Aaron - Love Guru
Penny Arcade - Jona
Jamiroquai - Blow Your Mind
Shunzo Ohno - In the sky
Frank Rabeyrolles - Mental crisis
Dina Ogon - Glitter
Barbagallo - Ma falaise
Fred Bongusto - L'homme à la ferrari : Spaghetti a detroit (clavicembalo fast)
Gilberto Gil - Refazenda
Mamama - Message à toi même
The Ruby Suns - Tane mahuta
The Oscillators - Emulsify
Q Tip - Won't trade
Amy Winehouse - Cupid
Finley Quaye - Sunday shining
Pokey Lafarge - Sister Andre
"Gustavo Santaolalla - Quiebre, juego y revelación"
James Blake - Retrograde
Bella Brown & The Jealous Lovers - There is love
Monster Rally - Equinox
Antena - Sissexa
Orchestre O.K. Jazz - Kiwita kumunani
Bloom Bat - Odd friends
Maria Chiara Argiro - Closer
Cat Anderson - Baby won' you please come home
Eugene Blacknell - Mo self
Nick Waterhouse - It no.3
Sister Nancy - Bam-bam
Joy Crookes - No hands
Luidji - Joueur 1 (feat. Tuerie)
Ezechiel Pailhes - Ventas Rumba
Baeshi Bang & Ip Koa Son - Janggi taryeong
Wings - Magneto and titanium man
Skinshape - Penny in a well
Felicity Lott - Wesendonck lieder : Der engel
Neil Young - Old man
Bruno Berle - Dizer adeus (feat. Batata Boy)
Kiefer - Falling
Maze - While I`m alone
Foxwarren - Everything apart
Norah Jones - Running
Freddie Cruger - I wanna make you move (instrumental)
Gorillaz - Humility (feat. George Benson)
Lisa Leblanc - Pourquoi faire aujourdhui
Shabaka - I’ll do whatever you want (feat. Floating Points & Laraafi)
Marvin Gaye - What's going on
Kassav' - Kakika
Nomo - Nova
Eels - Flyswatter
Nirvana - Come as you are
Vidderna - Utanför
"Gevorg Dabagian - Akh im champen (ah, my road)"
The Chemical Brothers - The test
Julie London - In the wee small hours of the morning
Emanuel Harrold - Brighter days
The KBCS - I wish you a world of happiness (Instrumental)
Cesar Precio - Solitude mon amour
The Police - Can't stand losing you
The Specials - Friday Night Saturday Morning
Polylogue From Sila - Chewing them pills
Bon Voyage Organisation - Les pêcheurs
James Gang - Ashes the rain & I
Jessye Norman - Wesendonck Lieder WWV 91 : 4. Schmerzen
The Jimmy Castor Bunch - Creation (Prologue)
The Jimmy Castor Bunch - It's just begun
Louis Cole - Park your car on my face
Lucill - Le calme
Parental - Patterns (instrumental)
DJ Shadow - Midnight in a perfect world
Herman 'S Hermit - East West
Billy Swan - I can help
Jembaa Groove - Sweet my ear (instrumental)
Melody Gardot - Les etoiles
Lloretta Lynn And Conway Twitty - You're the reason our kids are ugly
Beyonce - Alliigator tears
Clea Vincent - Quelque chose qui me chiffonne
Julien Lourau - Pearl on the half-shell
Showa And Mafia - Deus me faca funky
Dag - Your mama's eyes
Quincy Jones - Superstition
Lonnie Liston Smith - Cosmic funk
Tony Allen - Don’t believe the dancers
The Heliocentrics - Distant star
Sameer Ahmad - Cholos
Blick Bassy - Bengue
Thomas De Pourquery - Carry on
Cotonete - Satori
Erika De Casier - Toxic
Flavien Berger - Rivière
Portishead - Mysterons
Lhasa - De cara a la pared
Olle Nyman - Heart & Soul
Julian Lage - Serenade
Jimi Hendrix - The wind cries Mary
Phuong Dung - Do ai (riddles)
Limousine - Ubon train station
Marcus King - Soul it screams
Laura Cahen - Ma chérie (feat Melissa Laveaux)
Khruangbin - May ninth
Omer Avital - Small time shit
G Love And Special Sauce - Baby's got sauce
Arat Kilo - Masarat
Mahmoud Ahmed - Ebakesh taraqign
"Bill Frisell - That's alright, Mama"
The Kinks - Sunny afternoon
The Lemon Twigs - A dream is all I know
Laurent Bardainne & Tigre D’eau Douce - Globules rouges (feat Pupajim)
10 Foot Ganja Plant - Blood money
Laufey - From the start
Pedro Mizutani - Melhor você se acostumar
The Reed Conservation Society - Aux rochers rouges
Bob James - Serpico : Alone in the apartment
Chet Baker - That old feeling
Cymande - Genevieve
Kiledjian - Silver Cab
Suzanne Vega - Frank & Ava
Jeff Parker & The New Breed - 3 for L
DJ Harrison - L'anthropofemme
John Powell - Solo :  A Star Wars Story : Chicken in the Pot
Anne Marie Gladel - Voltige : Star wars
Antonio Zambujo - Flagrante
JJ Cale - Travelin' light
Christophe - Green dreams
Sergio Mendes & Brasil 66 - You stepped out of a dream
Sylvia - Pillow talk
Hortense Ellis - Bed of roses
Kinobe - Slip into something more comfortable
Febueder - Morning Yawn
Albert Newton - Morning light
Ugggy - Dewdrop morning
Alice Dona - Reveille toi
Emy Jackson - Tenshi no itazura
Kinny And Horne - Why me
The Spotnicks - Valentina (save the last dance for me)
Theo Lawrence & The Hearts - A house but not a home
Peggy Sue - Slow Fade
Paul McCartney - Peggy Sue
Victor Le Masne - Victor 84
Chaka Khan - Ain't nobody
Etienne Daho - Mes copains
Me And My Friends - Look up
Manu Chao - Me gustas tu
Meshell Ndegeocello - Fellowship
Vincil From Ummo - Omnibus nocturne
Sparklehorse - Gold day
Sam Cooke - How far am I from Canaan ?
Aretha Franklin - ( Blue ) By myself
Quintette Bislacco - Pizzicato milongueado
Leyla Mac Calla - Fort dimanche
Loving - Medicine
Harry Nilsson - One
Giorgio Moroder - Tears
Handbook - All Deepens
Kelly Finnigan - Love (your pain goes deep)
Diana Ross & The Supremes - Come see about me
David Snell - International flight
Jordan Rakei - Bruises
Louis Cole - Trying not to die (feat. Dennis Hamm)
Nilufer Yanya - Method actor
Pierre Daven-Keller - Dakota Jim
Marie Modiano - La fille à la balafre
Non Identifie - Albator
Cher - Gypsys Tramps and Thieves
"Francesc Heredero - Nina de cera (poupée de cire, poupée de son)"
Gabor Szabo - Raga doll
Ernie Smith - I can't take it
Dog Park - Time
L'Imperatrice - Me da Igual
Papooz - It hurts me
Dave Guy - 7th heaven
Gaya - Répète que je vous aime
Toto Bona Kanza - Awo
The Doobie Brothers - Long train runnin'
Shawn Lee - Farmer brown
The Natural Four - It's the music (instrumental)
Gaya - James Brown' pompe à vélo
Gilbert Becaud - Contre vous
Carmen Souza - Song for my father
Glenn Gould - Sonate pour piano n°12 en Fa Maj K 332 : Allegro assai
Nat King Cole - It's only a papermoon
Gene Vincent - There I go again
Ike & Tina Turner - Mississippi rolling stone
The Haggis Horns - Take it back (instrumental) (CMC & Silenta remix)
Yannis & The Yaw - Walk through fire (feat. Tony Allen)
Dire Straits - Walk of life
Aldous Harding - Lawn
Andrea Laszlo De Simone - Petite moment
Cosmo Sheldrake - Rich
Philippe Katerine - Sous mon bob
K.O.G - Damiama (feat. Fameye)
Bo/The Hot Spot - Coming to town
Bobbie Gentry - Parchman farm
Jalen Ngonda - Rapture
Mark Murphy - Two kites (Feat. Viva Brazil)
Lily - Tenki ni naare
Quatuor Brentano - Quatuor à cordes n°14 en ut dièse min op 131 : Presto
Jacques Brel - Les Marquises
